Time,Book,Away Team,Home Team,Home Line,Home Odds,Away Line,Away Odds,Home Score,Away Score,Home Line Open,Away Line Open
12/9 6:23:55 am,Pinnacle,Denver Nuggets,Brooklyn Nets,0.0,-653,0.0,484,105,102,4,-4
12/9 6:23:52 am,Pinnacle,Denver Nuggets,Brooklyn Nets,0.0,-741,0.0,536,105,102,4,-4
12/9 6:23:28 am,Pinnacle,Denver Nuggets,Brooklyn Nets,0.0,-750,0.0,541,105,102,4,-4
12/9 6:21:16 am,Pinnacle,Denver Nuggets,Brooklyn Nets,0.0,-152,0.0,129,105,102,4,-4
12/9 6:21:10 am,Pinnacle,Denver Nuggets,Brooklyn Nets,0.0,-148,0.0,127,105,102,4,-4
12/9 6:21:06 am,Pinnacle,Denver Nuggets,Brooklyn Nets,0.0,-146,0.0,124,105,102,4,-4
12/9 6:21:01 am,Pinnacle,Denver Nuggets,Brooklyn Nets,0.0,-145,0.0,124,105,102,4,-4
12/9 6:20:31 am,Pinnacle,Denver Nuggets,Brooklyn Nets,0.0,-140,0.0,120,105,102,4,-4
12/9 6:19:30 am,Pinnacle,Denver Nuggets,Brooklyn Nets,0.0,161,0.0,-190,105,102,4,-4
12/9 6:19:21 am,Pinnacle,Denver Nuggets,Brooklyn Nets,0.0,160,0.0,-189,105,102,4,-4
12/9 6:19:12 am,Pinnacle,Denver Nuggets,Brooklyn Nets,0.0,161,0.0,-190,105,102,4,-4
12/9 6:19:01 am,Pinnacle,Denver Nuggets,Brooklyn Nets,0.0,157,0.0,-185,105,102,4,-4
12/9 6:18:55 am,Pinnacle,Denver Nuggets,Brooklyn Nets,0.0,151,0.0,-177,105,102,4,-4
12/9 6:18:42 am,Pinnacle,Denver Nuggets,Brooklyn Nets,0.0,149,0.0,-175,105,102,4,-4
12/9 6:17:27 am,Pinnacle,Denver Nuggets,Brooklyn Nets,0.0,-134,0.0,114,105,102,4,-4
12/9 6:17:01 am,Pinnacle,Denver Nuggets,Brooklyn Nets,0.0,-129,0.0,110,105,102,4,-4
12/9 6:16:48 am,Pinnacle,Denver Nuggets,Brooklyn Nets,0.0,-128,0.0,110,105,102,4,-4
