Time,Book,Away Team,Home Team,Home Line,Home Odds,Away Line,Away Odds,Home Score,Away Score,Home Line Open,Away Line Open
3/12 10:26:40 am,RedZone,Denver Nuggets,Dallas Mavericks,-15.5,110,15.5,-139,113,97,2.5,-2.5
3/12 10:26:27 am,RedZone,Denver Nuggets,Dallas Mavericks,-15.5,-108,15.5,-115,113,97,2.5,-2.5
3/12 10:25:49 am,RedZone,Denver Nuggets,Dallas Mavericks,-14.5,-108,14.5,-115,113,97,2.5,-2.5
3/12 10:25:33 am,RedZone,Denver Nuggets,Dallas Mavericks,-14.5,-115,14.5,-108,113,97,2.5,-2.5
3/12 10:25:25 am,RedZone,Denver Nuggets,Dallas Mavericks,-14.5,-112,14.5,-112,113,97,2.5,-2.5
3/12 10:25:12 am,RedZone,Denver Nuggets,Dallas Mavericks,-14.5,-117,14.5,-106,113,97,2.5,-2.5
3/12 10:22:43 am,RedZone,Denver Nuggets,Dallas Mavericks,-14.5,126,14.5,-159,113,97,2.5,-2.5
3/12 10:22:12 am,RedZone,Denver Nuggets,Dallas Mavericks,-14.5,137,14.5,-174,113,97,2.5,-2.5
3/12 10:22:01 am,RedZone,Denver Nuggets,Dallas Mavericks,-14.5,144,14.5,-183,113,97,2.5,-2.5
3/12 10:21:50 am,RedZone,Denver Nuggets,Dallas Mavericks,-13.5,-112,13.5,-112,113,97,2.5,-2.5
3/12 10:21:28 am,RedZone,Denver Nuggets,Dallas Mavericks,-12.5,-134,12.5,107,113,97,2.5,-2.5
3/12 10:21:12 am,RedZone,Denver Nuggets,Dallas Mavericks,-12.5,101,12.5,-125,113,97,2.5,-2.5
3/12 10:20:57 am,RedZone,Denver Nuggets,Dallas Mavericks,-11.5,-121,11.5,-103,113,97,2.5,-2.5
3/12 10:20:51 am,RedZone,Denver Nuggets,Dallas Mavericks,-10.5,-134,10.5,107,113,97,2.5,-2.5
3/12 10:20:30 am,RedZone,Denver Nuggets,Dallas Mavericks,-9.5,-121,9.5,-103,113,97,2.5,-2.5
3/12 10:20:23 am,RedZone,Denver Nuggets,Dallas Mavericks,-9.5,-115,9.5,-108,113,97,2.5,-2.5
3/12 10:19:48 am,RedZone,Denver Nuggets,Dallas Mavericks,-9.5,-118,9.5,-105,113,97,2.5,-2.5
3/12 10:19:37 am,RedZone,Denver Nuggets,Dallas Mavericks,-8.5,-118,8.5,-105,113,97,2.5,-2.5
3/12 10:19:23 am,RedZone,Denver Nuggets,Dallas Mavericks,-8.5,-112,8.5,-112,113,97,2.5,-2.5
3/12 10:19:09 am,Pinnacle,Denver Nuggets,Dallas Mavericks,-7.5,-122,7.5,104,113,97,2.5,-2.5
3/12 10:19:03 am,Pinnacle,Denver Nuggets,Dallas Mavericks,-7.5,-125,7.5,107,113,97,2.5,-2.5
3/12 10:19:00 am,Pinnacle,Denver Nuggets,Dallas Mavericks,-7.5,-131,7.5,112,113,97,2.5,-2.5
3/12 10:18:51 am,Pinnacle,Denver Nuggets,Dallas Mavericks,-7.5,-135,7.5,115,113,97,2.5,-2.5
3/12 10:18:46 am,Pinnacle,Denver Nuggets,Dallas Mavericks,-7.5,-136,7.5,116,113,97,2.5,-2.5
3/12 10:18:42 am,Pinnacle,Denver Nuggets,Dallas Mavericks,-7.5,-126,7.5,108,113,97,2.5,-2.5
3/12 10:18:37 am,Pinnacle,Denver Nuggets,Dallas Mavericks,-7.5,-125,7.5,107,113,97,2.5,-2.5
3/12 10:18:36 am,Pinnacle,Denver Nuggets,Dallas Mavericks,-7.5,-126,7.5,108,113,97,2.5,-2.5
3/12 10:18:33 am,Pinnacle,Denver Nuggets,Dallas Mavericks,-7.5,-128,7.5,110,113,97,2.5,-2.5
3/12 10:18:30 am,Pinnacle,Denver Nuggets,Dallas Mavericks,-7.5,-126,7.5,108,113,97,2.5,-2.5
3/12 10:18:27 am,Pinnacle,Denver Nuggets,Dallas Mavericks,-7.5,-121,7.5,104,113,97,2.5,-2.5
3/12 10:18:24 am,Pinnacle,Denver Nuggets,Dallas Mavericks,-7.5,-109,7.5,-107,113,97,2.5,-2.5
3/12 10:18:21 am,Pinnacle,Denver Nuggets,Dallas Mavericks,-7.5,-108,7.5,-108,113,97,2.5,-2.5
3/12 10:18:18 am,Pinnacle,Denver Nuggets,Dallas Mavericks,-7.5,105,7.5,-123,113,97,2.5,-2.5
3/12 10:18:12 am,Pinnacle,Denver Nuggets,Dallas Mavericks,-7.5,107,7.5,-125,113,97,2.5,-2.5
3/12 10:17:38 am,RedZone,Denver Nuggets,Dallas Mavericks,-8.5,101,8.5,-126,113,97,2.5,-2.5
3/12 10:17:16 am,RedZone,Denver Nuggets,Dallas Mavericks,-7.5,-135,7.5,107,113,97,2.5,-2.5
3/12 10:17:04 am,RedZone,Denver Nuggets,Dallas Mavericks,-7.5,104,7.5,-130,113,97,2.5,-2.5
3/12 10:16:26 am,RedZone,Denver Nuggets,Dallas Mavericks,-5.5,-112,5.5,-112,113,97,2.5,-2.5
3/12 10:16:16 am,RedZone,Denver Nuggets,Dallas Mavericks,-4.5,-118,4.5,-105,113,97,2.5,-2.5
3/12 10:15:14 am,RedZone,Denver Nuggets,Dallas Mavericks,-5.5,-112,5.5,-112,113,97,2.5,-2.5
3/12 10:15:05 am,RedZone,Denver Nuggets,Dallas Mavericks,-4.5,-118,4.5,-105,113,97,2.5,-2.5
3/12 10:14:41 am,RedZone,Denver Nuggets,Dallas Mavericks,-5.5,-112,5.5,-112,113,97,2.5,-2.5
3/12 10:14:25 am,RedZone,Denver Nuggets,Dallas Mavericks,-4.5,-112,4.5,-112,113,97,2.5,-2.5
3/12 10:14:07 am,RedZone,Denver Nuggets,Dallas Mavericks,-5.5,-112,5.5,-112,113,97,2.5,-2.5
3/12 10:13:24 am,RedZone,Denver Nuggets,Dallas Mavericks,-6.5,101,6.5,-126,113,97,2.5,-2.5
3/12 10:13:21 am,RedZone,Denver Nuggets,Dallas Mavericks,-5.5,-105,5.5,-118,113,97,2.5,-2.5
3/12 10:13:06 am,RedZone,Denver Nuggets,Dallas Mavericks,-4.5,-112,4.5,-112,113,97,2.5,-2.5
3/12 10:12:39 am,RedZone,Denver Nuggets,Dallas Mavericks,-5.5,-105,5.5,-118,113,97,2.5,-2.5
3/12 10:12:21 am,RedZone,Denver Nuggets,Dallas Mavericks,-4.5,-112,4.5,-112,113,97,2.5,-2.5
3/12 10:12:09 am,RedZone,Denver Nuggets,Dallas Mavericks,-3.5,-118,3.5,-105,113,97,2.5,-2.5
3/12 10:11:59 am,RedZone,Denver Nuggets,Dallas Mavericks,-2.5,-118,2.5,-105,113,97,2.5,-2.5
3/12 10:11:05 am,RedZone,Denver Nuggets,Dallas Mavericks,-3.5,-118,3.5,-105,113,97,2.5,-2.5
3/12 10:10:30 am,Pinnacle,Denver Nuggets,Dallas Mavericks,-3.5,103,3.5,-120,113,97,2.5,-2.5
3/12 10:10:27 am,Pinnacle,Denver Nuggets,Dallas Mavericks,-3.5,100,3.5,-117,113,97,2.5,-2.5
3/12 10:10:24 am,Pinnacle,Denver Nuggets,Dallas Mavericks,-3.5,104,3.5,-121,113,97,2.5,-2.5
3/12 10:10:18 am,Pinnacle,Denver Nuggets,Dallas Mavericks,-3.5,-104,3.5,-112,113,97,2.5,-2.5
3/12 10:10:15 am,Pinnacle,Denver Nuggets,Dallas Mavericks,-3.5,-107,3.5,-109,113,97,2.5,-2.5
3/12 10:09:57 am,Pinnacle,Denver Nuggets,Dallas Mavericks,-3.5,-108,3.5,-108,113,97,2.5,-2.5
3/12 10:09:10 am,RedZone,Denver Nuggets,Dallas Mavericks,-4.5,-102,4.5,-122,113,97,2.5,-2.5
3/12 10:08:34 am,RedZone,Denver Nuggets,Dallas Mavericks,-5.5,-118,5.5,-105,113,97,2.5,-2.5
3/12 10:08:18 am,RedZone,Denver Nuggets,Dallas Mavericks,-4.5,-118,4.5,-105,113,97,2.5,-2.5
3/12 10:07:56 am,RedZone,Denver Nuggets,Dallas Mavericks,-5.5,-118,5.5,-105,113,97,2.5,-2.5
3/12 10:07:55 am,Pinnacle,Denver Nuggets,Dallas Mavericks,-5.0,-112,5.0,-118,113,97,2.5,-2.5
3/12 10:07:52 am,Pinnacle,Denver Nuggets,Dallas Mavericks,-6.5,137,6.5,-184,113,97,2.5,-2.5
3/12 10:07:48 am,Pinnacle,Denver Nuggets,Dallas Mavericks,-6.5,121,6.5,-161,113,97,2.5,-2.5
3/12 10:07:42 am,Pinnacle,Denver Nuggets,Dallas Mavericks,-6.5,-107,6.5,-123,113,97,2.5,-2.5
3/12 10:07:36 am,Pinnacle,Denver Nuggets,Dallas Mavericks,-6.0,-115,6.0,-101,113,97,2.5,-2.5
3/12 10:07:18 am,Pinnacle,Denver Nuggets,Dallas Mavericks,-6.0,-115,6.0,-101,113,97,2.5,-2.5
3/12 10:07:03 am,Pinnacle,Denver Nuggets,Dallas Mavericks,-6.0,-115,6.0,-101,113,97,2.5,-2.5
3/12 10:07:01 am,Pinnacle,Denver Nuggets,Dallas Mavericks,-6.5,-107,6.5,-109,113,97,2.5,-2.5
3/12 10:06:48 am,Pinnacle,Denver Nuggets,Dallas Mavericks,-6.5,-107,6.5,-109,113,97,2.5,-2.5
3/12 10:06:39 am,Pinnacle,Denver Nuggets,Dallas Mavericks,-6.5,-107,6.5,-109,113,97,2.5,-2.5
3/12 10:06:33 am,Pinnacle,Denver Nuggets,Dallas Mavericks,-6.5,-111,6.5,-105,113,97,2.5,-2.5
3/12 10:06:30 am,Pinnacle,Denver Nuggets,Dallas Mavericks,-6.5,-103,6.5,-113,113,97,2.5,-2.5
3/12 10:06:06 am,Pinnacle,Denver Nuggets,Dallas Mavericks,-6.5,-114,6.5,-102,113,97,2.5,-2.5
3/12 10:05:57 am,Pinnacle,Denver Nuggets,Dallas Mavericks,-6.5,-116,6.5,-101,113,97,2.5,-2.5
3/12 10:05:39 am,Pinnacle,Denver Nuggets,Dallas Mavericks,-6.5,-116,6.5,-101,113,97,2.5,-2.5
3/12 10:05:30 am,Pinnacle,Denver Nuggets,Dallas Mavericks,-7.0,-101,7.0,-116,113,97,2.5,-2.5
3/12 10:05:00 am,Pinnacle,Denver Nuggets,Dallas Mavericks,-7.0,-104,7.0,-112,113,97,2.5,-2.5
3/12 10:04:57 am,Pinnacle,Denver Nuggets,Dallas Mavericks,-6.5,-114,6.5,-102,113,97,2.5,-2.5
3/12 10:04:33 am,Pinnacle,Denver Nuggets,Dallas Mavericks,-6.5,-114,6.5,-102,113,97,2.5,-2.5
3/12 10:04:21 am,RedZone,Denver Nuggets,Dallas Mavericks,-6.5,-126,6.5,101,113,97,2.5,-2.5
3/12 10:04:18 am,Pinnacle,Denver Nuggets,Dallas Mavericks,-6.5,-122,6.5,-109,113,97,2.5,-2.5
