Time,Book,Away Team,Home Team,Home Line,Home Odds,Away Line,Away Odds,Home Score,Away Score,Home Line Open,Away Line Open
12/23 12:46:42 pm,Pinnacle,Denver Nuggets,Los Angeles Lakers,15.5,-118,-15.5,102,104,128,-3,3
12/23 12:46:29 pm,Pinnacle,Denver Nuggets,Los Angeles Lakers,15.5,-116,-15.5,-101,104,128,-3,3
12/23 12:46:15 pm,Pinnacle,Denver Nuggets,Los Angeles Lakers,15.5,-114,-15.5,-102,104,128,-3,3
12/23 12:46:09 pm,Pinnacle,Denver Nuggets,Los Angeles Lakers,15.5,-111,-15.5,-105,104,128,-3,3
12/23 12:45:39 pm,Pinnacle,Denver Nuggets,Los Angeles Lakers,15.5,-108,-15.5,-108,104,128,-3,3
12/23 12:44:45 pm,Pinnacle,Denver Nuggets,Los Angeles Lakers,17.5,-121,-17.5,-109,104,128,-3,3
12/23 12:44:42 pm,Pinnacle,Denver Nuggets,Los Angeles Lakers,17.5,-120,-17.5,-110,104,128,-3,3
12/23 12:44:36 pm,Pinnacle,Denver Nuggets,Los Angeles Lakers,19.0,-137,-19.0,103,104,128,-3,3
12/23 12:44:27 pm,Pinnacle,Denver Nuggets,Los Angeles Lakers,19.0,-112,-19.0,-118,104,128,-3,3
12/23 12:44:24 pm,Pinnacle,Denver Nuggets,Los Angeles Lakers,20.0,-119,-20.0,-111,104,128,-3,3
12/23 12:44:21 pm,Pinnacle,Denver Nuggets,Los Angeles Lakers,20.0,-111,-20.0,-119,104,128,-3,3
12/23 12:43:54 pm,Pinnacle,Denver Nuggets,Los Angeles Lakers,20.0,-114,-20.0,-116,104,128,-3,3
12/23 12:43:48 pm,Pinnacle,Denver Nuggets,Los Angeles Lakers,19.0,-117,-19.0,-113,104,128,-3,3
12/23 12:43:39 pm,Pinnacle,Denver Nuggets,Los Angeles Lakers,19.5,-108,-19.5,-122,104,128,-3,3
12/23 12:43:36 pm,Pinnacle,Denver Nuggets,Los Angeles Lakers,19.5,-107,-19.5,-124,104,128,-3,3
12/23 12:43:33 pm,Pinnacle,Denver Nuggets,Los Angeles Lakers,19.0,-126,-19.0,-105,104,128,-3,3
12/23 12:43:24 pm,Pinnacle,Denver Nuggets,Los Angeles Lakers,19.0,-123,-19.0,-107,104,128,-3,3
12/23 12:43:21 pm,Pinnacle,Denver Nuggets,Los Angeles Lakers,19.0,-123,-19.0,-108,104,128,-3,3
