Time,Book,Away Team,Home Team,Home Line,Home Odds,Away Line,Away Odds,Home Score,Away Score,Home Line Open,Away Line Open
11/18 9:10:07 am,Pinnacle,Denver Nuggets,Memphis Grizzlies,17.0,-145,-17.0,124,114,131,6.5,-6.5
11/18 9:10:01 am,Pinnacle,Denver Nuggets,Memphis Grizzlies,17.0,-146,-17.0,125,114,131,6.5,-6.5
11/18 9:09:58 am,Pinnacle,Denver Nuggets,Memphis Grizzlies,17.0,-144,-17.0,123,114,131,6.5,-6.5
11/18 9:09:55 am,Pinnacle,Denver Nuggets,Memphis Grizzlies,17.0,-129,-17.0,110,114,131,6.5,-6.5
11/18 9:09:52 am,Pinnacle,Denver Nuggets,Memphis Grizzlies,17.0,-128,-17.0,109,114,131,6.5,-6.5
11/18 9:09:49 am,Pinnacle,Denver Nuggets,Memphis Grizzlies,17.0,-125,-17.0,107,114,131,6.5,-6.5
11/18 9:09:45 am,Pinnacle,Denver Nuggets,Memphis Grizzlies,17.0,-124,-17.0,106,114,131,6.5,-6.5
11/18 9:09:43 am,Pinnacle,Denver Nuggets,Memphis Grizzlies,17.0,-123,-17.0,105,114,131,6.5,-6.5
11/18 9:09:39 am,Pinnacle,Denver Nuggets,Memphis Grizzlies,17.0,-118,-17.0,101,114,131,6.5,-6.5
11/18 9:09:36 am,Pinnacle,Denver Nuggets,Memphis Grizzlies,17.0,-117,-17.0,100,114,131,6.5,-6.5
11/18 9:09:34 am,Pinnacle,Denver Nuggets,Memphis Grizzlies,17.0,-116,-17.0,-101,114,131,6.5,-6.5
11/18 9:09:31 am,Pinnacle,Denver Nuggets,Memphis Grizzlies,17.0,-115,-17.0,-101,114,131,6.5,-6.5
11/18 9:04:52 am,Pinnacle,Denver Nuggets,Memphis Grizzlies,25.0,-112,-25.0,-104,114,131,6.5,-6.5
11/18 9:04:27 am,Pinnacle,Denver Nuggets,Memphis Grizzlies,25.0,-111,-25.0,-105,114,131,6.5,-6.5
11/18 9:02:58 am,Pinnacle,Denver Nuggets,Memphis Grizzlies,26.0,-113,-26.0,-117,114,131,6.5,-6.5
