Time,Book,Away Team,Home Team,Home Line,Home Odds,Away Line,Away Odds,Home Score,Away Score,Home Line Open,Away Line Open
1/21 11:13:38 am,Pinnacle,Denver Nuggets,Minnesota Timberwolves,6.5,113,-6.5,-132,100,107,-3.5,3.5
1/21 11:13:32 am,Pinnacle,Denver Nuggets,Minnesota Timberwolves,6.5,112,-6.5,-131,100,107,-3.5,3.5
1/21 11:12:50 am,Pinnacle,Denver Nuggets,Minnesota Timberwolves,6.5,122,-6.5,-143,100,107,-3.5,3.5
1/21 11:12:35 am,Pinnacle,Denver Nuggets,Minnesota Timberwolves,6.5,128,-6.5,-150,100,107,-3.5,3.5
1/21 11:08:05 am,Pinnacle,Denver Nuggets,Minnesota Timberwolves,6.5,-112,-6.5,-104,100,107,-3.5,3.5
1/21 11:07:57 am,Pinnacle,Denver Nuggets,Minnesota Timberwolves,6.5,-109,-6.5,-107,100,107,-3.5,3.5
1/21 11:07:41 am,Pinnacle,Denver Nuggets,Minnesota Timberwolves,6.5,-106,-6.5,-110,100,107,-3.5,3.5
1/21 11:07:23 am,Pinnacle,Denver Nuggets,Minnesota Timberwolves,6.5,-108,-6.5,-108,100,107,-3.5,3.5
1/21 11:07:06 am,Pinnacle,Denver Nuggets,Minnesota Timberwolves,6.5,-110,-6.5,-106,100,107,-3.5,3.5
1/21 11:07:02 am,Pinnacle,Denver Nuggets,Minnesota Timberwolves,6.5,103,-6.5,-121,100,107,-3.5,3.5
1/21 11:06:50 am,Pinnacle,Denver Nuggets,Minnesota Timberwolves,6.5,107,-6.5,-125,100,107,-3.5,3.5
1/21 11:07:11 am,Pinnacle,Denver Nuggets,Minnesota Timberwolves,6.5,-109,-6.5,-107,100,107,-3.5,3.5
1/21 11:07:09 am,Pinnacle,Denver Nuggets,Minnesota Timberwolves,6.5,-108,-6.5,-108,100,107,-3.5,3.5
1/21 11:02:45 am,Pinnacle,Denver Nuggets,Minnesota Timberwolves,7.5,-101,-7.5,-116,100,107,-3.5,3.5
1/21 11:02:41 am,Pinnacle,Denver Nuggets,Minnesota Timberwolves,7.5,104,-7.5,-121,100,107,-3.5,3.5
1/21 11:02:25 am,Pinnacle,Denver Nuggets,Minnesota Timberwolves,7.5,-101,-7.5,-116,100,107,-3.5,3.5
1/21 11:02:11 am,Pinnacle,Denver Nuggets,Minnesota Timberwolves,7.5,-100,-7.5,-116,100,107,-3.5,3.5
1/21 11:02:05 am,Pinnacle,Denver Nuggets,Minnesota Timberwolves,7.5,-101,-7.5,-116,100,107,-3.5,3.5
1/21 11:01:21 am,Pinnacle,Denver Nuggets,Minnesota Timberwolves,7.5,100,-7.5,-117,100,107,-3.5,3.5
1/21 10:59:44 am,Pinnacle,Denver Nuggets,Minnesota Timberwolves,6.0,-111,-6.0,-120,100,107,-3.5,3.5
1/21 10:59:29 am,Pinnacle,Denver Nuggets,Minnesota Timberwolves,4.5,-109,-4.5,-121,100,107,-3.5,3.5
1/21 10:59:26 am,Pinnacle,Denver Nuggets,Minnesota Timberwolves,3.5,-111,-3.5,-119,100,107,-3.5,3.5
1/21 10:59:24 am,Pinnacle,Denver Nuggets,Minnesota Timberwolves,4.5,-110,-4.5,-120,100,107,-3.5,3.5
1/21 10:58:53 am,Pinnacle,Denver Nuggets,Minnesota Timberwolves,6.0,-118,-6.0,-112,100,107,-3.5,3.5
1/21 10:58:51 am,Pinnacle,Denver Nuggets,Minnesota Timberwolves,7.0,-114,-7.0,-116,100,107,-3.5,3.5
1/21 10:58:41 am,Pinnacle,Denver Nuggets,Minnesota Timberwolves,6.0,-121,-6.0,-110,100,107,-3.5,3.5
1/21 10:58:22 am,Pinnacle,Denver Nuggets,Minnesota Timberwolves,6.0,-120,-6.0,-110,100,107,-3.5,3.5
1/21 10:58:08 am,Pinnacle,Denver Nuggets,Minnesota Timberwolves,5.5,-115,-5.5,-115,100,107,-3.5,3.5
1/21 10:57:59 am,Pinnacle,Denver Nuggets,Minnesota Timberwolves,5.0,-108,-5.0,-122,100,107,-3.5,3.5
1/21 10:57:41 am,Pinnacle,Denver Nuggets,Minnesota Timberwolves,5.0,-108,-5.0,-122,100,107,-3.5,3.5
1/21 10:57:35 am,Pinnacle,Denver Nuggets,Minnesota Timberwolves,4.0,-112,-4.0,-118,100,107,-3.5,3.5
1/21 10:57:32 am,Pinnacle,Denver Nuggets,Minnesota Timberwolves,4.0,-112,-4.0,-118,100,107,-3.5,3.5
1/21 10:57:17 am,Pinnacle,Denver Nuggets,Minnesota Timberwolves,4.0,-111,-4.0,-119,100,107,-3.5,3.5
1/21 10:57:08 am,Pinnacle,Denver Nuggets,Minnesota Timberwolves,4.0,-112,-4.0,-119,100,107,-3.5,3.5
1/21 10:56:44 am,Pinnacle,Denver Nuggets,Minnesota Timberwolves,4.0,-112,-4.0,-118,100,107,-3.5,3.5
1/21 10:56:41 am,Pinnacle,Denver Nuggets,Minnesota Timberwolves,4.0,-112,-4.0,-118,100,107,-3.5,3.5
1/21 10:56:29 am,Pinnacle,Denver Nuggets,Minnesota Timberwolves,4.0,103,-4.0,-120,100,107,-3.5,3.5
1/21 10:56:12 am,Pinnacle,Denver Nuggets,Minnesota Timberwolves,4.0,107,-4.0,-125,100,107,-3.5,3.5
1/21 10:55:38 am,Pinnacle,Denver Nuggets,Minnesota Timberwolves,4.0,109,-4.0,-127,100,107,-3.5,3.5
1/21 10:55:23 am,Pinnacle,Denver Nuggets,Minnesota Timberwolves,4.0,108,-4.0,-126,100,107,-3.5,3.5
1/21 10:55:00 am,Pinnacle,Denver Nuggets,Minnesota Timberwolves,4.0,109,-4.0,-127,100,107,-3.5,3.5
1/21 10:54:53 am,Pinnacle,Denver Nuggets,Minnesota Timberwolves,4.0,105,-4.0,-123,100,107,-3.5,3.5
1/21 10:54:41 am,Pinnacle,Denver Nuggets,Minnesota Timberwolves,4.0,104,-4.0,-121,100,107,-3.5,3.5
1/21 10:54:39 am,Pinnacle,Denver Nuggets,Minnesota Timberwolves,4.0,101,-4.0,-118,100,107,-3.5,3.5
1/21 10:54:14 am,Pinnacle,Denver Nuggets,Minnesota Timberwolves,4.0,-100,-4.0,-116,100,107,-3.5,3.5
1/21 10:54:02 am,Pinnacle,Denver Nuggets,Minnesota Timberwolves,4.0,-106,-4.0,-110,100,107,-3.5,3.5
1/21 10:53:59 am,Pinnacle,Denver Nuggets,Minnesota Timberwolves,4.0,-107,-4.0,-109,100,107,-3.5,3.5
1/21 10:53:56 am,Pinnacle,Denver Nuggets,Minnesota Timberwolves,4.0,-106,-4.0,-110,100,107,-3.5,3.5
1/21 10:53:41 am,Pinnacle,Denver Nuggets,Minnesota Timberwolves,4.0,-113,-4.0,-117,100,107,-3.5,3.5
1/21 10:53:26 am,Pinnacle,Denver Nuggets,Minnesota Timberwolves,2.5,-113,-2.5,-118,100,107,-3.5,3.5
1/21 10:53:19 am,Pinnacle,Denver Nuggets,Minnesota Timberwolves,1.5,-112,-1.5,-118,100,107,-3.5,3.5
1/21 10:52:59 am,Pinnacle,Denver Nuggets,Minnesota Timberwolves,3.0,-121,-3.0,-110,100,107,-3.5,3.5
1/21 10:52:41 am,Pinnacle,Denver Nuggets,Minnesota Timberwolves,3.5,-119,-3.5,-111,100,107,-3.5,3.5
1/21 10:52:17 am,Pinnacle,Denver Nuggets,Minnesota Timberwolves,4.5,-118,-4.5,-112,100,107,-3.5,3.5
1/21 10:52:12 am,Pinnacle,Denver Nuggets,Minnesota Timberwolves,4.5,-118,-4.5,-112,100,107,-3.5,3.5
1/21 10:51:53 am,Pinnacle,Denver Nuggets,Minnesota Timberwolves,4.5,-117,-4.5,-113,100,107,-3.5,3.5
1/21 10:51:36 am,Pinnacle,Denver Nuggets,Minnesota Timberwolves,4.5,-118,-4.5,-112,100,107,-3.5,3.5
1/21 10:51:32 am,Pinnacle,Denver Nuggets,Minnesota Timberwolves,4.5,-118,-4.5,-112,100,107,-3.5,3.5
1/21 10:51:29 am,Pinnacle,Denver Nuggets,Minnesota Timberwolves,3.5,-119,-3.5,-111,100,107,-3.5,3.5
1/21 10:50:47 am,Pinnacle,Denver Nuggets,Minnesota Timberwolves,3.5,-120,-3.5,-110,100,107,-3.5,3.5
1/21 10:50:44 am,Pinnacle,Denver Nuggets,Minnesota Timberwolves,3.5,-121,-3.5,-109,100,107,-3.5,3.5
1/21 10:50:29 am,Pinnacle,Denver Nuggets,Minnesota Timberwolves,3.5,-122,-3.5,-109,100,107,-3.5,3.5
