Time,Book,Away Team,Home Team,Home Line,Home Odds,Away Line,Away Odds,Home Score,Away Score,Home Line Open,Away Line Open
10/29 12:23:18 pm,Pinnacle,Denver Nuggets,Sacramento Kings,2.5,236,-2.5,-266,94,101,5,-5
10/29 12:23:15 pm,Pinnacle,Denver Nuggets,Sacramento Kings,2.5,237,-2.5,-267,94,101,5,-5
10/29 12:22:59 pm,Pinnacle,Denver Nuggets,Sacramento Kings,2.5,197,-2.5,-220,94,101,5,-5
10/29 12:22:02 pm,Pinnacle,Denver Nuggets,Sacramento Kings,4.5,179,-4.5,-199,94,101,5,-5
10/29 12:21:42 pm,Pinnacle,Denver Nuggets,Sacramento Kings,4.5,175,-4.5,-195,94,101,5,-5
10/29 12:21:23 pm,Pinnacle,Denver Nuggets,Sacramento Kings,4.5,205,-4.5,-230,94,101,5,-5
10/29 12:21:11 pm,Pinnacle,Denver Nuggets,Sacramento Kings,4.5,222,-4.5,-250,94,101,5,-5
10/29 12:18:33 pm,Pinnacle,Denver Nuggets,Sacramento Kings,5.5,132,-5.5,-146,94,101,5,-5
10/29 12:18:17 pm,Pinnacle,Denver Nuggets,Sacramento Kings,5.5,131,-5.5,-145,94,101,5,-5
10/29 12:18:14 pm,Pinnacle,Denver Nuggets,Sacramento Kings,5.5,136,-5.5,-150,94,101,5,-5
10/29 12:18:09 pm,Pinnacle,Denver Nuggets,Sacramento Kings,5.5,127,-5.5,-141,94,101,5,-5
10/29 12:18:05 pm,Pinnacle,Denver Nuggets,Sacramento Kings,5.5,123,-5.5,-136,94,101,5,-5
10/29 12:18:01 pm,Pinnacle,Denver Nuggets,Sacramento Kings,5.5,122,-5.5,-135,94,101,5,-5
10/29 12:17:57 pm,Pinnacle,Denver Nuggets,Sacramento Kings,5.5,113,-5.5,-125,94,101,5,-5
10/29 12:17:53 pm,Pinnacle,Denver Nuggets,Sacramento Kings,5.5,109,-5.5,-120,94,101,5,-5
10/29 12:17:49 pm,Pinnacle,Denver Nuggets,Sacramento Kings,5.5,106,-5.5,-117,94,101,5,-5
10/29 12:17:45 pm,Pinnacle,Denver Nuggets,Sacramento Kings,5.5,-103,-5.5,-107,94,101,5,-5
10/29 12:17:30 pm,Pinnacle,Denver Nuggets,Sacramento Kings,5.5,-105,-5.5,-105,94,101,5,-5
10/29 12:12:57 pm,Pinnacle,Denver Nuggets,Sacramento Kings,4.0,103,-4.0,-120,94,101,5,-5
10/29 12:12:41 pm,Pinnacle,Denver Nuggets,Sacramento Kings,4.0,101,-4.0,-118,94,101,5,-5
10/29 12:12:37 pm,Pinnacle,Denver Nuggets,Sacramento Kings,4.0,-102,-4.0,-114,94,101,5,-5
10/29 12:12:30 pm,Pinnacle,Denver Nuggets,Sacramento Kings,4.0,-103,-4.0,-113,94,101,5,-5
10/29 12:12:05 pm,Pinnacle,Denver Nuggets,Sacramento Kings,4.0,-108,-4.0,-108,94,101,5,-5
10/29 12:04:19 pm,Pinnacle,Denver Nuggets,Sacramento Kings,11.0,-141,-11.0,120,94,101,5,-5
10/29 12:03:17 pm,Pinnacle,Denver Nuggets,Sacramento Kings,11.0,-139,-11.0,119,94,101,5,-5
10/29 12:02:30 pm,Pinnacle,Denver Nuggets,Sacramento Kings,11.0,-138,-11.0,118,94,101,5,-5
10/29 12:02:26 pm,Pinnacle,Denver Nuggets,Sacramento Kings,11.0,-119,-11.0,102,94,101,5,-5
10/29 12:02:22 pm,Pinnacle,Denver Nuggets,Sacramento Kings,11.0,-116,-11.0,-100,94,101,5,-5
10/29 12:02:18 pm,Pinnacle,Denver Nuggets,Sacramento Kings,11.0,-111,-11.0,-105,94,101,5,-5
10/29 12:01:40 pm,Pinnacle,Denver Nuggets,Sacramento Kings,9.0,-117,-9.0,-134,94,101,5,-5
