Time,Book,Away Team,Home Team,Home Line,Home Odds,Away Line,Away Odds,Home Score,Away Score,Home Line Open,Away Line Open
2/6 12:08:54 pm,Pinnacle,Denver Nuggets,Utah Jazz,-4.0,-140,4.0,120,95,98,-10,10
2/6 12:08:35 pm,Pinnacle,Denver Nuggets,Utah Jazz,-4.0,-132,4.0,113,95,98,-10,10
2/6 12:08:29 pm,Pinnacle,Denver Nuggets,Utah Jazz,-4.0,-130,4.0,111,95,98,-10,10
2/6 12:08:26 pm,Pinnacle,Denver Nuggets,Utah Jazz,-4.0,-124,4.0,106,95,98,-10,10
2/6 12:08:23 pm,Pinnacle,Denver Nuggets,Utah Jazz,-4.0,-118,4.0,101,95,98,-10,10
2/6 12:08:21 pm,Pinnacle,Denver Nuggets,Utah Jazz,-4.0,-105,4.0,-111,95,98,-10,10
2/6 12:08:08 pm,Pinnacle,Denver Nuggets,Utah Jazz,-4.0,102,4.0,-119,95,98,-10,10
2/6 12:04:32 pm,Pinnacle,Denver Nuggets,Utah Jazz,-5.5,109,5.5,-128,95,98,-10,10
2/6 12:04:11 pm,Pinnacle,Denver Nuggets,Utah Jazz,-5.5,110,5.5,-129,95,98,-10,10
2/6 12:03:59 pm,Pinnacle,Denver Nuggets,Utah Jazz,-5.5,-103,5.5,-114,95,98,-10,10
2/6 12:03:56 pm,Pinnacle,Denver Nuggets,Utah Jazz,-5.5,-106,5.5,-110,95,98,-10,10
2/6 12:03:44 pm,Pinnacle,Denver Nuggets,Utah Jazz,-4.5,-113,4.5,-103,95,98,-10,10
2/6 12:03:41 pm,Pinnacle,Denver Nuggets,Utah Jazz,-4.5,-110,4.5,-106,95,98,-10,10
2/6 12:03:38 pm,Pinnacle,Denver Nuggets,Utah Jazz,-4.5,-109,4.5,-107,95,98,-10,10
2/6 12:03:31 pm,Pinnacle,Denver Nuggets,Utah Jazz,-4.5,-107,4.5,-109,95,98,-10,10
2/6 12:03:30 pm,Pinnacle,Denver Nuggets,Utah Jazz,-4.0,-126,4.0,108,95,98,-10,10
2/6 12:03:29 pm,Pinnacle,Denver Nuggets,Utah Jazz,-4.5,-107,4.5,-109,95,98,-10,10
2/6 12:03:26 pm,Pinnacle,Denver Nuggets,Utah Jazz,-4.0,-126,4.0,108,95,98,-10,10
2/6 11:58:36 am,Pinnacle,Denver Nuggets,Utah Jazz,-10.0,-123,10.0,-108,95,98,-10,10
2/6 11:58:21 am,Pinnacle,Denver Nuggets,Utah Jazz,-9.5,-111,9.5,-119,95,98,-10,10
2/6 11:58:08 am,Pinnacle,Denver Nuggets,Utah Jazz,-9.5,-113,9.5,-117,95,98,-10,10
2/6 11:58:05 am,Pinnacle,Denver Nuggets,Utah Jazz,-10.5,-110,10.5,-121,95,98,-10,10
2/6 11:57:44 am,Pinnacle,Denver Nuggets,Utah Jazz,-9.5,-110,9.5,-120,95,98,-10,10
2/6 11:57:32 am,Pinnacle,Denver Nuggets,Utah Jazz,-9.0,-117,9.0,-113,95,98,-10,10
2/6 11:57:23 am,Pinnacle,Denver Nuggets,Utah Jazz,-9.0,-111,9.0,-119,95,98,-10,10
2/6 11:57:20 am,Pinnacle,Denver Nuggets,Utah Jazz,-9.0,-111,9.0,-119,95,98,-10,10
2/6 11:57:06 am,Pinnacle,Denver Nuggets,Utah Jazz,-9.0,-113,9.0,-117,95,98,-10,10
2/6 11:56:53 am,Pinnacle,Denver Nuggets,Utah Jazz,-9.5,-115,9.5,-115,95,98,-10,10
2/6 11:56:50 am,Pinnacle,Denver Nuggets,Utah Jazz,-9.5,-109,9.5,-107,95,98,-10,10
2/6 11:56:26 am,Pinnacle,Denver Nuggets,Utah Jazz,-9.5,100,9.5,-117,95,98,-10,10
2/6 11:55:35 am,Pinnacle,Denver Nuggets,Utah Jazz,-9.5,-110,9.5,-106,95,98,-10,10
2/6 11:54:53 am,Pinnacle,Denver Nuggets,Utah Jazz,-9.5,-111,9.5,-105,95,98,-10,10
2/6 11:54:36 am,Pinnacle,Denver Nuggets,Utah Jazz,-9.5,-110,9.5,-106,95,98,-10,10
2/6 11:54:26 am,Pinnacle,Denver Nuggets,Utah Jazz,-9.5,-111,9.5,-105,95,98,-10,10
2/6 11:54:08 am,Pinnacle,Denver Nuggets,Utah Jazz,-9.5,-109,9.5,-107,95,98,-10,10
2/6 11:54:02 am,Pinnacle,Denver Nuggets,Utah Jazz,-9.5,-110,9.5,-106,95,98,-10,10
2/6 11:53:56 am,Pinnacle,Denver Nuggets,Utah Jazz,-9.5,-116,9.5,-114,95,98,-10,10
2/6 11:53:52 am,Pinnacle,Denver Nuggets,Utah Jazz,-9.5,-116,9.5,-114,95,98,-10,10
2/6 11:53:38 am,Pinnacle,Denver Nuggets,Utah Jazz,-9.0,-117,9.0,-113,95,98,-10,10
2/6 11:53:18 am,Pinnacle,Denver Nuggets,Utah Jazz,-8.0,-121,8.0,-109,95,98,-10,10
2/6 11:52:56 am,Pinnacle,Denver Nuggets,Utah Jazz,-8.0,-123,8.0,-107,95,98,-10,10
2/6 11:52:53 am,Pinnacle,Denver Nuggets,Utah Jazz,-7.5,-123,7.5,-108,95,98,-10,10
2/6 11:52:47 am,Pinnacle,Denver Nuggets,Utah Jazz,-7.5,-123,7.5,-107,95,98,-10,10
2/6 11:52:41 am,Pinnacle,Denver Nuggets,Utah Jazz,-7.5,-124,7.5,-107,95,98,-10,10
2/6 11:52:38 am,Pinnacle,Denver Nuggets,Utah Jazz,-8.0,-107,8.0,-124,95,98,-10,10
2/6 11:52:32 am,Pinnacle,Denver Nuggets,Utah Jazz,-7.0,-120,7.0,-110,95,98,-10,10
2/6 11:52:20 am,Pinnacle,Denver Nuggets,Utah Jazz,-7.0,-129,7.0,-103,95,98,-10,10
