Time,Book,Away Team,Home Team,Home Line,Home Odds,Away Line,Away Odds,Home Score,Away Score,Home Line Open,Away Line Open
1/5 11:25:03 am,Pinnacle,Denver Nuggets,Washington Wizards,-13.0,-108,13.0,-108,128,114,12.5,-12.5
1/5 11:20:57 am,Pinnacle,Denver Nuggets,Washington Wizards,-10.5,-118,10.5,101,128,114,12.5,-12.5
1/5 11:20:51 am,Pinnacle,Denver Nuggets,Washington Wizards,-10.5,-119,10.5,102,128,114,12.5,-12.5
1/5 11:20:48 am,Pinnacle,Denver Nuggets,Washington Wizards,-10.5,-116,10.5,-101,128,114,12.5,-12.5
1/5 11:20:45 am,Pinnacle,Denver Nuggets,Washington Wizards,-10.5,-113,10.5,-103,128,114,12.5,-12.5
1/5 11:20:36 am,Pinnacle,Denver Nuggets,Washington Wizards,-10.5,-114,10.5,-102,128,114,12.5,-12.5
1/5 11:20:30 am,Pinnacle,Denver Nuggets,Washington Wizards,-10.5,-113,10.5,-104,128,114,12.5,-12.5
1/5 11:20:24 am,Pinnacle,Denver Nuggets,Washington Wizards,-10.5,-112,10.5,-104,128,114,12.5,-12.5
1/5 11:15:34 am,Pinnacle,Denver Nuggets,Washington Wizards,-4.0,-121,4.0,104,128,114,12.5,-12.5
1/5 11:15:06 am,Pinnacle,Denver Nuggets,Washington Wizards,-4.0,-118,4.0,101,128,114,12.5,-12.5
1/5 11:15:04 am,Pinnacle,Denver Nuggets,Washington Wizards,-4.0,-119,4.0,102,128,114,12.5,-12.5
1/5 11:14:57 am,Pinnacle,Denver Nuggets,Washington Wizards,-4.0,-118,4.0,101,128,114,12.5,-12.5
1/5 11:14:49 am,Pinnacle,Denver Nuggets,Washington Wizards,-4.0,-119,4.0,102,128,114,12.5,-12.5
1/5 11:14:06 am,Pinnacle,Denver Nuggets,Washington Wizards,-4.0,-116,4.0,-101,128,114,12.5,-12.5
1/5 11:13:57 am,Pinnacle,Denver Nuggets,Washington Wizards,-4.0,-117,4.0,100,128,114,12.5,-12.5
1/5 11:13:54 am,Pinnacle,Denver Nuggets,Washington Wizards,-4.0,-116,4.0,-101,128,114,12.5,-12.5
1/5 11:13:51 am,Pinnacle,Denver Nuggets,Washington Wizards,-4.0,-109,4.0,-107,128,114,12.5,-12.5
1/5 11:13:48 am,Pinnacle,Denver Nuggets,Washington Wizards,-4.0,-108,4.0,-108,128,114,12.5,-12.5
1/5 11:13:45 am,Pinnacle,Denver Nuggets,Washington Wizards,-4.0,-106,4.0,-110,128,114,12.5,-12.5
1/5 11:13:40 am,Pinnacle,Denver Nuggets,Washington Wizards,-4.0,-103,4.0,-113,128,114,12.5,-12.5
1/5 11:12:57 am,Pinnacle,Denver Nuggets,Washington Wizards,-5.5,-107,5.5,-109,128,114,12.5,-12.5
1/5 11:12:54 am,Pinnacle,Denver Nuggets,Washington Wizards,-5.5,-113,5.5,-117,128,114,12.5,-12.5
1/5 11:12:51 am,Pinnacle,Denver Nuggets,Washington Wizards,-6.0,-108,6.0,-123,128,114,12.5,-12.5
1/5 11:12:45 am,Pinnacle,Denver Nuggets,Washington Wizards,-6.0,-108,6.0,-122,128,114,12.5,-12.5
1/5 11:12:42 am,Pinnacle,Denver Nuggets,Washington Wizards,-4.0,-121,4.0,-110,128,114,12.5,-12.5
1/5 11:12:36 am,Pinnacle,Denver Nuggets,Washington Wizards,-4.0,-119,4.0,-111,128,114,12.5,-12.5
1/5 11:12:34 am,Pinnacle,Denver Nuggets,Washington Wizards,-4.0,-113,4.0,-117,128,114,12.5,-12.5
1/5 11:12:31 am,Pinnacle,Denver Nuggets,Washington Wizards,-4.5,-111,4.5,-119,128,114,12.5,-12.5
1/5 11:12:06 am,Pinnacle,Denver Nuggets,Washington Wizards,-3.0,-117,3.0,-113,128,114,12.5,-12.5
1/5 11:12:04 am,Pinnacle,Denver Nuggets,Washington Wizards,-3.0,-116,3.0,-114,128,114,12.5,-12.5
1/5 11:12:00 am,Pinnacle,Denver Nuggets,Washington Wizards,-3.0,-117,3.0,-113,128,114,12.5,-12.5
1/5 11:11:54 am,Pinnacle,Denver Nuggets,Washington Wizards,-3.0,-115,3.0,-115,128,114,12.5,-12.5
1/5 11:11:51 am,Pinnacle,Denver Nuggets,Washington Wizards,-4.5,-110,4.5,-120,128,114,12.5,-12.5
