Time,Book,Away Team,Home Team,Home Line,Home Odds,Away Line,Away Odds,Home Score,Away Score,Home Line Open,Away Line Open
1/19 10:37:30 am,Pinnacle,Detroit Pistons,Atlanta Hawks,28.0,-110,-28.0,-121,103,136,1,-1
1/19 10:37:18 am,Pinnacle,Detroit Pistons,Atlanta Hawks,28.0,-105,-28.0,-111,103,136,1,-1
1/19 10:37:06 am,Pinnacle,Detroit Pistons,Atlanta Hawks,26.5,-109,-26.5,-107,103,136,1,-1
1/19 10:37:03 am,Pinnacle,Detroit Pistons,Atlanta Hawks,28.0,-101,-28.0,-115,103,136,1,-1
1/19 10:36:57 am,Pinnacle,Detroit Pistons,Atlanta Hawks,28.0,-103,-28.0,-114,103,136,1,-1
1/19 10:36:49 am,Pinnacle,Detroit Pistons,Atlanta Hawks,28.0,-104,-28.0,-112,103,136,1,-1
1/19 10:36:43 am,Pinnacle,Detroit Pistons,Atlanta Hawks,28.0,-110,-28.0,-106,103,136,1,-1
1/19 10:36:33 am,Pinnacle,Detroit Pistons,Atlanta Hawks,28.0,-113,-28.0,-103,103,136,1,-1
1/19 10:36:27 am,Pinnacle,Detroit Pistons,Atlanta Hawks,28.0,-115,-28.0,-101,103,136,1,-1
1/19 10:35:51 am,Pinnacle,Detroit Pistons,Atlanta Hawks,27.0,-101,-27.0,-116,103,136,1,-1
1/19 10:35:30 am,Pinnacle,Detroit Pistons,Atlanta Hawks,27.5,-124,-27.5,-107,103,136,1,-1
1/19 10:35:23 am,Pinnacle,Detroit Pistons,Atlanta Hawks,25.5,-108,-25.5,-122,103,136,1,-1
1/19 10:35:09 am,Pinnacle,Detroit Pistons,Atlanta Hawks,24.5,-108,-24.5,-122,103,136,1,-1
1/19 10:35:06 am,Pinnacle,Detroit Pistons,Atlanta Hawks,24.0,-114,-24.0,-116,103,136,1,-1
1/19 10:35:04 am,Pinnacle,Detroit Pistons,Atlanta Hawks,24.0,-114,-24.0,-116,103,136,1,-1
1/19 10:35:00 am,Pinnacle,Detroit Pistons,Atlanta Hawks,24.0,-115,-24.0,-115,103,136,1,-1
1/19 10:34:54 am,Pinnacle,Detroit Pistons,Atlanta Hawks,24.0,-109,-24.0,-107,103,136,1,-1
1/19 10:34:45 am,Pinnacle,Detroit Pistons,Atlanta Hawks,24.0,-119,-24.0,102,103,136,1,-1
1/19 10:33:39 am,Pinnacle,Detroit Pistons,Atlanta Hawks,24.0,-116,-24.0,-101,103,136,1,-1
1/19 10:33:09 am,Pinnacle,Detroit Pistons,Atlanta Hawks,24.0,-111,-24.0,-105,103,136,1,-1
1/19 10:31:54 am,Pinnacle,Detroit Pistons,Atlanta Hawks,24.0,-115,-24.0,-115,103,136,1,-1
1/19 10:31:51 am,Pinnacle,Detroit Pistons,Atlanta Hawks,24.5,-109,-24.5,-121,103,136,1,-1
1/19 10:31:48 am,Pinnacle,Detroit Pistons,Atlanta Hawks,24.5,-107,-24.5,-124,103,136,1,-1
1/19 10:31:45 am,Pinnacle,Detroit Pistons,Atlanta Hawks,25.5,-111,-25.5,-119,103,136,1,-1
1/19 10:31:39 am,Pinnacle,Detroit Pistons,Atlanta Hawks,25.5,-109,-25.5,-121,103,136,1,-1
1/19 10:31:18 am,Pinnacle,Detroit Pistons,Atlanta Hawks,25.5,-107,-25.5,-123,103,136,1,-1
1/19 10:31:15 am,Pinnacle,Detroit Pistons,Atlanta Hawks,24.5,-107,-24.5,-123,103,136,1,-1
1/19 10:30:57 am,Pinnacle,Detroit Pistons,Atlanta Hawks,26.0,-122,-26.0,-108,103,136,1,-1
1/19 10:31:59 am,Pinnacle,Detroit Pistons,Atlanta Hawks,24.0,-109,-24.0,-107,103,136,1,-1
1/19 10:30:45 am,Pinnacle,Detroit Pistons,Atlanta Hawks,26.5,-124,-26.5,-107,103,136,1,-1
1/19 10:30:39 am,Pinnacle,Detroit Pistons,Atlanta Hawks,26.5,-120,-26.5,-110,103,136,1,-1
1/19 10:30:30 am,Pinnacle,Detroit Pistons,Atlanta Hawks,26.5,-115,-26.5,-115,103,136,1,-1
1/19 10:30:24 am,Pinnacle,Detroit Pistons,Atlanta Hawks,27.5,-115,-27.5,-115,103,136,1,-1
1/19 10:30:21 am,Pinnacle,Detroit Pistons,Atlanta Hawks,27.5,-115,-27.5,-115,103,136,1,-1
1/19 10:30:18 am,Pinnacle,Detroit Pistons,Atlanta Hawks,26.5,-117,-26.5,-113,103,136,1,-1
1/19 10:29:45 am,Pinnacle,Detroit Pistons,Atlanta Hawks,26.5,-119,-26.5,-112,103,136,1,-1
1/19 10:29:27 am,Pinnacle,Detroit Pistons,Atlanta Hawks,25.5,-107,-25.5,-124,103,136,1,-1
