Time,Book,Away Team,Home Team,Home Line,Home Odds,Away Line,Away Odds,Home Score,Away Score,Home Line Open,Away Line Open
12/21 10:36:28 am,Pinnacle,Detroit Pistons,Boston Celtics,-26.0,-111,26.0,-119,114,93,-9,9
12/21 10:36:07 am,Pinnacle,Detroit Pistons,Boston Celtics,-25.0,-112,25.0,-119,114,93,-9,9
12/21 10:36:00 am,Pinnacle,Detroit Pistons,Boston Celtics,-25.0,-114,25.0,-116,114,93,-9,9
12/21 10:35:49 am,Pinnacle,Detroit Pistons,Boston Celtics,-24.0,-119,24.0,-111,114,93,-9,9
12/21 10:35:46 am,Pinnacle,Detroit Pistons,Boston Celtics,-23.0,-127,23.0,-104,114,93,-9,9
12/21 10:35:43 am,Pinnacle,Detroit Pistons,Boston Celtics,-23.0,-115,23.0,-115,114,93,-9,9
12/21 10:35:40 am,Pinnacle,Detroit Pistons,Boston Celtics,-23.0,-116,23.0,-114,114,93,-9,9
12/21 10:35:28 am,Pinnacle,Detroit Pistons,Boston Celtics,-22.0,-120,22.0,-110,114,93,-9,9
12/21 10:35:19 am,Pinnacle,Detroit Pistons,Boston Celtics,-22.0,-121,22.0,-109,114,93,-9,9
12/21 10:35:13 am,Pinnacle,Detroit Pistons,Boston Celtics,-23.0,-115,23.0,-115,114,93,-9,9
12/21 10:34:55 am,Pinnacle,Detroit Pistons,Boston Celtics,-23.0,-116,23.0,-114,114,93,-9,9
12/21 10:34:52 am,Pinnacle,Detroit Pistons,Boston Celtics,-24.0,-117,24.0,-113,114,93,-9,9
12/21 10:34:38 am,Pinnacle,Detroit Pistons,Boston Celtics,-24.0,-106,24.0,-125,114,93,-9,9
12/21 10:34:17 am,Pinnacle,Detroit Pistons,Boston Celtics,-24.0,-121,24.0,-109,114,93,-9,9
12/21 10:34:01 am,Pinnacle,Detroit Pistons,Boston Celtics,-24.0,-116,24.0,-114,114,93,-9,9
12/21 10:33:58 am,Pinnacle,Detroit Pistons,Boston Celtics,-23.5,-126,23.5,-105,114,93,-9,9
12/21 10:33:55 am,Pinnacle,Detroit Pistons,Boston Celtics,-20.5,-123,20.5,-108,114,93,-9,9
12/21 10:33:10 am,Pinnacle,Detroit Pistons,Boston Celtics,-23.0,-119,23.0,-111,114,93,-9,9
12/21 10:33:08 am,Pinnacle,Detroit Pistons,Boston Celtics,-24.0,-113,24.0,-117,114,93,-9,9
12/21 10:33:01 am,Pinnacle,Detroit Pistons,Boston Celtics,-24.0,-111,24.0,-119,114,93,-9,9
12/21 10:32:55 am,Pinnacle,Detroit Pistons,Boston Celtics,-23.0,-119,23.0,-111,114,93,-9,9
12/21 10:32:43 am,Pinnacle,Detroit Pistons,Boston Celtics,-23.0,-120,23.0,-110,114,93,-9,9
12/21 10:32:40 am,Pinnacle,Detroit Pistons,Boston Celtics,-25.0,-112,25.0,-118,114,93,-9,9
12/21 10:31:55 am,Pinnacle,Detroit Pistons,Boston Celtics,-24.5,-120,24.5,103,114,93,-9,9
12/21 10:31:52 am,Pinnacle,Detroit Pistons,Boston Celtics,-24.5,-126,24.5,108,114,93,-9,9
12/21 10:30:37 am,Pinnacle,Detroit Pistons,Boston Celtics,-24.5,-113,24.5,-103,114,93,-9,9
12/21 10:30:22 am,Pinnacle,Detroit Pistons,Boston Celtics,-24.5,-108,24.5,-108,114,93,-9,9
12/21 10:29:25 am,Pinnacle,Detroit Pistons,Boston Celtics,-25.0,-108,25.0,-123,114,93,-9,9
12/21 10:29:19 am,Pinnacle,Detroit Pistons,Boston Celtics,-25.0,-112,25.0,-118,114,93,-9,9
12/21 10:29:16 am,Pinnacle,Detroit Pistons,Boston Celtics,-26.0,-101,26.0,-131,114,93,-9,9
12/21 10:29:13 am,Pinnacle,Detroit Pistons,Boston Celtics,-26.0,-111,26.0,-119,114,93,-9,9
12/21 10:29:02 am,Pinnacle,Detroit Pistons,Boston Celtics,-25.0,-114,25.0,-116,114,93,-9,9
12/21 10:28:58 am,Pinnacle,Detroit Pistons,Boston Celtics,-25.5,-112,25.5,-118,114,93,-9,9
12/21 10:28:55 am,Pinnacle,Detroit Pistons,Boston Celtics,-26.0,-102,26.0,-130,114,93,-9,9
12/21 10:28:34 am,Pinnacle,Detroit Pistons,Boston Celtics,-26.0,-112,26.0,-118,114,93,-9,9
12/21 10:28:33 am,Pinnacle,Detroit Pistons,Boston Celtics,-26.0,106,26.0,-141,114,93,-9,9
12/21 10:28:31 am,Pinnacle,Detroit Pistons,Boston Celtics,-26.0,110,26.0,-145,114,93,-9,9
12/21 10:28:28 am,Pinnacle,Detroit Pistons,Boston Celtics,-26.0,106,26.0,-141,114,93,-9,9
12/21 10:28:10 am,Pinnacle,Detroit Pistons,Boston Celtics,-26.0,-112,26.0,-118,114,93,-9,9
12/21 10:28:01 am,Pinnacle,Detroit Pistons,Boston Celtics,-25.0,-112,25.0,-118,114,93,-9,9
12/21 10:27:55 am,Pinnacle,Detroit Pistons,Boston Celtics,-26.0,-107,26.0,-124,114,93,-9,9
12/21 10:27:53 am,Pinnacle,Detroit Pistons,Boston Celtics,-26.0,-112,26.0,-118,114,93,-9,9
12/21 10:27:40 am,Pinnacle,Detroit Pistons,Boston Celtics,-25.0,-106,25.0,-125,114,93,-9,9
12/21 10:27:37 am,Pinnacle,Detroit Pistons,Boston Celtics,-25.0,-111,25.0,-120,114,93,-9,9
12/21 10:27:28 am,Pinnacle,Detroit Pistons,Boston Celtics,-25.0,-110,25.0,-120,114,93,-9,9
12/21 10:27:13 am,Pinnacle,Detroit Pistons,Boston Celtics,-24.0,-115,24.0,-115,114,93,-9,9
12/21 10:27:10 am,Pinnacle,Detroit Pistons,Boston Celtics,-23.0,-110,23.0,-120,114,93,-9,9
12/21 10:26:58 am,Pinnacle,Detroit Pistons,Boston Celtics,-23.0,-115,23.0,-115,114,93,-9,9
12/21 10:26:14 am,Pinnacle,Detroit Pistons,Boston Celtics,-22.5,-120,22.5,102,114,93,-9,9
12/21 10:25:49 am,Pinnacle,Detroit Pistons,Boston Celtics,-22.5,-120,22.5,103,114,93,-9,9
12/21 10:25:28 am,Pinnacle,Detroit Pistons,Boston Celtics,-22.5,-116,22.5,-101,114,93,-9,9
12/21 10:25:13 am,Pinnacle,Detroit Pistons,Boston Celtics,-22.5,-119,22.5,102,114,93,-9,9
12/21 10:25:10 am,Pinnacle,Detroit Pistons,Boston Celtics,-22.5,-120,22.5,103,114,93,-9,9
12/21 10:24:57 am,Pinnacle,Detroit Pistons,Boston Celtics,-22.5,-113,22.5,-103,114,93,-9,9
12/21 10:24:52 am,Pinnacle,Detroit Pistons,Boston Celtics,-22.5,-114,22.5,-102,114,93,-9,9
12/21 10:24:40 am,Pinnacle,Detroit Pistons,Boston Celtics,-22.5,-109,22.5,-107,114,93,-9,9
12/21 10:24:16 am,Pinnacle,Detroit Pistons,Boston Celtics,-23.0,-114,23.0,-116,114,93,-9,9
12/21 10:25:16 am,Pinnacle,Detroit Pistons,Boston Celtics,-22.5,-118,22.5,101,114,93,-9,9
12/21 10:24:01 am,Pinnacle,Detroit Pistons,Boston Celtics,-23.0,-115,23.0,-115,114,93,-9,9
12/21 10:23:58 am,Pinnacle,Detroit Pistons,Boston Celtics,-22.0,-107,22.0,-123,114,93,-9,9
12/21 10:23:52 am,Pinnacle,Detroit Pistons,Boston Celtics,-22.0,-114,22.0,-117,114,93,-9,9
12/21 10:23:34 am,Pinnacle,Detroit Pistons,Boston Celtics,-22.0,-119,22.0,-111,114,93,-9,9
12/21 10:23:31 am,Pinnacle,Detroit Pistons,Boston Celtics,-21.0,-121,21.0,-110,114,93,-9,9
12/21 10:23:25 am,Pinnacle,Detroit Pistons,Boston Celtics,-22.0,-102,22.0,-129,114,93,-9,9
12/21 10:23:05 am,Pinnacle,Detroit Pistons,Boston Celtics,-22.0,-113,22.0,-117,114,93,-9,9
12/21 10:22:55 am,Pinnacle,Detroit Pistons,Boston Celtics,-22.0,-119,22.0,-111,114,93,-9,9
12/21 10:22:44 am,Pinnacle,Detroit Pistons,Boston Celtics,-21.5,-121,21.5,-110,114,93,-9,9
12/21 10:22:37 am,Pinnacle,Detroit Pistons,Boston Celtics,-21.0,-121,21.0,-110,114,93,-9,9
