Time,Book,Away Team,Home Team,Home Line,Home Odds,Away Line,Away Odds,Home Score,Away Score,Home Line Open,Away Line Open
11/21 9:47:38 am,Pinnacle,Detroit Pistons,Chicago Bulls,-3,-110,3,-106,109,89,1,-1
11/21 9:05:46 am,Pinnacle,Detroit Pistons,Chicago Bulls,-1,-107,1,-103,109,89,1,-1
11/21 9:05:19 am,Pinnacle,Detroit Pistons,Chicago Bulls,-1,-106,1,-104,109,89,1,-1
11/21 9:05:01 am,Pinnacle,Detroit Pistons,Chicago Bulls,1,-115,-1,105,109,89,1,-1
11/21 9:01:44 am,Pinnacle,Detroit Pistons,Chicago Bulls,1,-112,-1,102,109,89,1,-1
11/21 8:52:58 am,Pinnacle,Detroit Pistons,Chicago Bulls,1,-110,-1,-100,109,89,1,-1
11/21 8:45:58 am,Pinnacle,Detroit Pistons,Chicago Bulls,1,-107,-1,-103,109,89,1,-1
11/21 8:45:47 am,Pinnacle,Detroit Pistons,Chicago Bulls,1,-108,-1,-103,109,89,1,-1
11/21 8:41:02 am,Pinnacle,Detroit Pistons,Chicago Bulls,1,-108,-1,-102,109,89,1,-1
11/21 8:39:44 am,Pinnacle,Detroit Pistons,Chicago Bulls,1,-106,-1,-104,109,89,1,-1
11/21 8:25:10 am,Pinnacle,Detroit Pistons,Chicago Bulls,1,-107,-1,-103,109,89,1,-1
11/21 8:25:07 am,Pinnacle,Detroit Pistons,Chicago Bulls,1,-106,-1,-104,109,89,1,-1
11/21 8:16:34 am,Pinnacle,Detroit Pistons,Chicago Bulls,1,-107,-1,-103,109,89,1,-1
11/21 8:14:25 am,Pinnacle,Detroit Pistons,Chicago Bulls,1,-105,-1,-105,109,89,1,-1
11/21 8:08:56 am,Pinnacle,Detroit Pistons,Chicago Bulls,1,-106,-1,-104,109,89,1,-1
