Time,Book,Away Team,Home Team,Home Line,Home Odds,Away Line,Away Odds,Home Score,Away Score,Home Line Open,Away Line Open
1/8 10:08:34 am,Pinnacle,Detroit Pistons,Cleveland Cavaliers,-2.0,-114,2.0,-102,113,115,3.5,-3.5
1/8 10:08:25 am,Pinnacle,Detroit Pistons,Cleveland Cavaliers,-2.0,-112,2.0,-105,113,115,3.5,-3.5
1/8 10:08:14 am,Pinnacle,Detroit Pistons,Cleveland Cavaliers,-2.0,-110,2.0,-106,113,115,3.5,-3.5
1/8 10:07:16 am,Pinnacle,Detroit Pistons,Cleveland Cavaliers,-2.0,-112,2.0,-104,113,115,3.5,-3.5
1/8 10:04:16 am,Pinnacle,Detroit Pistons,Cleveland Cavaliers,-2.5,-111,2.5,-119,113,115,3.5,-3.5
1/8 10:04:11 am,Pinnacle,Detroit Pistons,Cleveland Cavaliers,-1.5,-124,1.5,-107,113,115,3.5,-3.5
1/8 10:04:02 am,Pinnacle,Detroit Pistons,Cleveland Cavaliers,-1.5,-122,1.5,-108,113,115,3.5,-3.5
1/8 10:03:58 am,Pinnacle,Detroit Pistons,Cleveland Cavaliers,-3.0,-119,3.0,-111,113,115,3.5,-3.5
1/8 10:03:55 am,Pinnacle,Detroit Pistons,Cleveland Cavaliers,-3.0,-138,3.0,104,113,115,3.5,-3.5
1/8 10:03:46 am,Pinnacle,Detroit Pistons,Cleveland Cavaliers,-3.0,-123,3.0,-108,113,115,3.5,-3.5
1/8 10:03:41 am,Pinnacle,Detroit Pistons,Cleveland Cavaliers,-4.0,-119,4.0,-111,113,115,3.5,-3.5
1/8 10:03:38 am,Pinnacle,Detroit Pistons,Cleveland Cavaliers,-3.0,-120,3.0,-110,113,115,3.5,-3.5
1/8 10:03:23 am,Pinnacle,Detroit Pistons,Cleveland Cavaliers,-3.0,-115,3.0,-115,113,115,3.5,-3.5
1/8 10:03:20 am,Pinnacle,Detroit Pistons,Cleveland Cavaliers,-2.5,-118,2.5,-112,113,115,3.5,-3.5
1/8 10:03:19 am,Pinnacle,Detroit Pistons,Cleveland Cavaliers,-3.0,-106,3.0,-125,113,115,3.5,-3.5
