Time,Book,Away Team,Home Team,Home Line,Home Odds,Away Line,Away Odds,Home Score,Away Score,Home Line Open,Away Line Open
1/5 11:45:10 am,Pinnacle,Detroit Pistons,Golden State Warriors,10.0,-113,-10.0,-103,104,111,3,-3
1/5 11:45:00 am,Pinnacle,Detroit Pistons,Golden State Warriors,10.0,-115,-10.0,-101,104,111,3,-3
1/5 11:44:51 am,Pinnacle,Detroit Pistons,Golden State Warriors,10.0,-118,-10.0,101,104,111,3,-3
1/5 11:44:45 am,Pinnacle,Detroit Pistons,Golden State Warriors,10.0,-120,-10.0,103,104,111,3,-3
1/5 11:44:42 am,Pinnacle,Detroit Pistons,Golden State Warriors,10.0,-111,-10.0,-106,104,111,3,-3
1/5 11:44:36 am,Pinnacle,Detroit Pistons,Golden State Warriors,10.0,-103,-10.0,-113,104,111,3,-3
1/5 11:44:19 am,Pinnacle,Detroit Pistons,Golden State Warriors,10.0,-108,-10.0,-108,104,111,3,-3
1/5 11:39:39 am,Pinnacle,Detroit Pistons,Golden State Warriors,11.0,-125,-11.0,107,104,111,3,-3
1/5 11:39:12 am,Pinnacle,Detroit Pistons,Golden State Warriors,11.0,-120,-11.0,103,104,111,3,-3
1/5 11:38:51 am,Pinnacle,Detroit Pistons,Golden State Warriors,11.0,-113,-11.0,-103,104,111,3,-3
1/5 11:38:48 am,Pinnacle,Detroit Pistons,Golden State Warriors,11.0,-109,-11.0,-107,104,111,3,-3
1/5 11:38:07 am,Pinnacle,Detroit Pistons,Golden State Warriors,11.0,-108,-11.0,-108,104,111,3,-3
1/5 11:34:18 am,Pinnacle,Detroit Pistons,Golden State Warriors,9.0,-117,-9.0,-113,104,111,3,-3
1/5 11:34:12 am,Pinnacle,Detroit Pistons,Golden State Warriors,10.0,-118,-10.0,-112,104,111,3,-3
1/5 11:34:06 am,Pinnacle,Detroit Pistons,Golden State Warriors,7.5,-112,-7.5,-118,104,111,3,-3
1/5 11:34:03 am,Pinnacle,Detroit Pistons,Golden State Warriors,7.5,-120,-7.5,-110,104,111,3,-3
1/5 11:33:57 am,Pinnacle,Detroit Pistons,Golden State Warriors,7.5,-111,-7.5,-119,104,111,3,-3
1/5 11:33:36 am,Pinnacle,Detroit Pistons,Golden State Warriors,7.5,-111,-7.5,-119,104,111,3,-3
1/5 11:33:33 am,Pinnacle,Detroit Pistons,Golden State Warriors,7.5,-110,-7.5,-120,104,111,3,-3
1/5 11:33:27 am,Pinnacle,Detroit Pistons,Golden State Warriors,8.0,-120,-8.0,-110,104,111,3,-3
1/5 11:33:22 am,Pinnacle,Detroit Pistons,Golden State Warriors,7.0,-117,-7.0,-114,104,111,3,-3
1/5 11:33:13 am,Pinnacle,Detroit Pistons,Golden State Warriors,6.5,-116,-6.5,-114,104,111,3,-3
1/5 11:33:09 am,Pinnacle,Detroit Pistons,Golden State Warriors,7.5,-118,-7.5,-113,104,111,3,-3
1/5 11:33:06 am,Pinnacle,Detroit Pistons,Golden State Warriors,6.0,-118,-6.0,-112,104,111,3,-3
1/5 11:33:00 am,Pinnacle,Detroit Pistons,Golden State Warriors,6.0,-117,-6.0,-113,104,111,3,-3
1/5 11:32:33 am,Pinnacle,Detroit Pistons,Golden State Warriors,6.0,-113,-6.0,-117,104,111,3,-3
1/5 11:32:30 am,Pinnacle,Detroit Pistons,Golden State Warriors,5.5,-123,-5.5,-107,104,111,3,-3
1/5 11:32:28 am,Pinnacle,Detroit Pistons,Golden State Warriors,5.5,-124,-5.5,-107,104,111,3,-3
1/5 11:32:21 am,Pinnacle,Detroit Pistons,Golden State Warriors,5.0,-115,-5.0,-115,104,111,3,-3
1/5 11:32:18 am,Pinnacle,Detroit Pistons,Golden State Warriors,5.0,-116,-5.0,-114,104,111,3,-3
1/5 11:32:16 am,Pinnacle,Detroit Pistons,Golden State Warriors,5.0,-125,-5.0,-106,104,111,3,-3
1/5 11:32:07 am,Pinnacle,Detroit Pistons,Golden State Warriors,5.0,-109,-5.0,-122,104,111,3,-3
1/5 11:32:03 am,Pinnacle,Detroit Pistons,Golden State Warriors,5.0,-120,-5.0,-110,104,111,3,-3
1/5 11:31:54 am,Pinnacle,Detroit Pistons,Golden State Warriors,5.5,-112,-5.5,-118,104,111,3,-3
1/5 11:31:45 am,Pinnacle,Detroit Pistons,Golden State Warriors,6.0,-117,-6.0,-113,104,111,3,-3
1/5 11:31:42 am,Pinnacle,Detroit Pistons,Golden State Warriors,6.0,-121,-6.0,-109,104,111,3,-3
1/5 11:31:31 am,Pinnacle,Detroit Pistons,Golden State Warriors,7.5,-123,-7.5,-108,104,111,3,-3
1/5 11:31:27 am,Pinnacle,Detroit Pistons,Golden State Warriors,7.5,-123,-7.5,-108,104,111,3,-3
1/5 11:31:06 am,Pinnacle,Detroit Pistons,Golden State Warriors,7.5,-123,-7.5,-108,104,111,3,-3
1/5 11:30:18 am,Pinnacle,Detroit Pistons,Golden State Warriors,7.0,-108,-7.0,-108,104,111,3,-3
1/5 11:30:00 am,Pinnacle,Detroit Pistons,Golden State Warriors,7.0,-109,-7.0,-107,104,111,3,-3
1/5 11:29:13 am,Pinnacle,Detroit Pistons,Golden State Warriors,7.0,-108,-7.0,-108,104,111,3,-3
1/5 11:29:06 am,Pinnacle,Detroit Pistons,Golden State Warriors,7.0,-111,-7.0,-105,104,111,3,-3
1/5 11:28:45 am,Pinnacle,Detroit Pistons,Golden State Warriors,7.0,-112,-7.0,-104,104,111,3,-3
1/5 11:28:36 am,Pinnacle,Detroit Pistons,Golden State Warriors,7.0,-116,-7.0,-101,104,111,3,-3
1/5 11:28:22 am,Pinnacle,Detroit Pistons,Golden State Warriors,8.0,-103,-8.0,-113,104,111,3,-3
