Time,Book,Away Team,Home Team,Home Line,Home Odds,Away Line,Away Odds,Home Score,Away Score,Home Line Open,Away Line Open
12/15 12:14:51 pm,Pinnacle,Detroit Pistons,Houston Rockets,7.5,126,-7.5,-147,107,115,2.5,-2.5
12/15 12:14:25 pm,Pinnacle,Detroit Pistons,Houston Rockets,7.5,120,-7.5,-140,107,115,2.5,-2.5
12/15 12:14:20 pm,Pinnacle,Detroit Pistons,Houston Rockets,7.5,115,-7.5,-135,107,115,2.5,-2.5
12/15 12:14:15 pm,Pinnacle,Detroit Pistons,Houston Rockets,7.5,112,-7.5,-131,107,115,2.5,-2.5
12/15 12:13:57 pm,Pinnacle,Detroit Pistons,Houston Rockets,7.5,110,-7.5,-129,107,115,2.5,-2.5
12/15 12:13:30 pm,Pinnacle,Detroit Pistons,Houston Rockets,7.5,103,-7.5,-120,107,115,2.5,-2.5
12/15 12:11:55 pm,Pinnacle,Detroit Pistons,Houston Rockets,11.0,-136,-11.0,117,107,115,2.5,-2.5
12/15 12:11:49 pm,Pinnacle,Detroit Pistons,Houston Rockets,11.0,-133,-11.0,114,107,115,2.5,-2.5
12/15 12:11:15 pm,Pinnacle,Detroit Pistons,Houston Rockets,11.0,-134,-11.0,114,107,115,2.5,-2.5
12/15 12:11:04 pm,Pinnacle,Detroit Pistons,Houston Rockets,11.0,-134,-11.0,115,107,115,2.5,-2.5
12/15 12:10:59 pm,Pinnacle,Detroit Pistons,Houston Rockets,11.0,-131,-11.0,112,107,115,2.5,-2.5
12/15 12:10:55 pm,Pinnacle,Detroit Pistons,Houston Rockets,11.0,-126,-11.0,108,107,115,2.5,-2.5
12/15 12:10:27 pm,Pinnacle,Detroit Pistons,Houston Rockets,11.0,-110,-11.0,-106,107,115,2.5,-2.5
12/15 12:10:10 pm,Pinnacle,Detroit Pistons,Houston Rockets,11.0,-108,-11.0,-108,107,115,2.5,-2.5
12/15 12:06:26 pm,Pinnacle,Detroit Pistons,Houston Rockets,10.0,-101,-10.0,-116,107,115,2.5,-2.5
12/15 12:01:21 pm,Pinnacle,Detroit Pistons,Houston Rockets,5.0,114,-5.0,-133,107,115,2.5,-2.5
12/15 12:00:07 pm,Pinnacle,Detroit Pistons,Houston Rockets,5.0,108,-5.0,-126,107,115,2.5,-2.5
12/15 12:00:00 pm,Pinnacle,Detroit Pistons,Houston Rockets,5.0,107,-5.0,-125,107,115,2.5,-2.5
12/15 11:59:51 am,Pinnacle,Detroit Pistons,Houston Rockets,5.0,-102,-5.0,-115,107,115,2.5,-2.5
12/15 11:58:04 am,Pinnacle,Detroit Pistons,Houston Rockets,5.5,-137,-5.5,104,107,115,2.5,-2.5
12/15 11:57:57 am,Pinnacle,Detroit Pistons,Houston Rockets,5.5,-125,-5.5,-106,107,115,2.5,-2.5
12/15 11:57:50 am,Pinnacle,Detroit Pistons,Houston Rockets,6.0,-115,-6.0,-115,107,115,2.5,-2.5
12/15 11:57:23 am,Pinnacle,Detroit Pistons,Houston Rockets,7.0,-117,-7.0,-113,107,115,2.5,-2.5
12/15 11:57:16 am,Pinnacle,Detroit Pistons,Houston Rockets,7.0,-114,-7.0,-116,107,115,2.5,-2.5
12/15 11:57:10 am,Pinnacle,Detroit Pistons,Houston Rockets,7.0,-117,-7.0,-113,107,115,2.5,-2.5
12/15 11:56:55 am,Pinnacle,Detroit Pistons,Houston Rockets,6.0,-112,-6.0,-119,107,115,2.5,-2.5
12/15 11:56:26 am,Pinnacle,Detroit Pistons,Houston Rockets,6.0,-115,-6.0,-115,107,115,2.5,-2.5
12/15 11:56:07 am,Pinnacle,Detroit Pistons,Houston Rockets,5.0,-103,-5.0,-129,107,115,2.5,-2.5
12/15 11:55:51 am,Pinnacle,Detroit Pistons,Houston Rockets,5.5,-113,-5.5,-117,107,115,2.5,-2.5
12/15 11:55:03 am,Pinnacle,Detroit Pistons,Houston Rockets,6.5,-116,-6.5,-114,107,115,2.5,-2.5
12/15 11:54:55 am,Pinnacle,Detroit Pistons,Houston Rockets,6.5,-135,-6.5,102,107,115,2.5,-2.5
12/15 11:54:19 am,Pinnacle,Detroit Pistons,Houston Rockets,6.5,-118,-6.5,-112,107,115,2.5,-2.5
12/15 11:54:13 am,Pinnacle,Detroit Pistons,Houston Rockets,6.0,-111,-6.0,-119,107,115,2.5,-2.5
12/15 11:54:06 am,Pinnacle,Detroit Pistons,Houston Rockets,8.0,-133,-8.0,100,107,115,2.5,-2.5
12/15 11:53:58 am,Pinnacle,Detroit Pistons,Houston Rockets,8.5,-127,-8.5,-104,107,115,2.5,-2.5
12/15 11:53:29 am,Pinnacle,Detroit Pistons,Houston Rockets,6.5,-120,-6.5,-110,107,115,2.5,-2.5
12/15 11:52:59 am,Pinnacle,Detroit Pistons,Houston Rockets,6.0,-117,-6.0,100,107,115,2.5,-2.5
12/15 11:52:25 am,Pinnacle,Detroit Pistons,Houston Rockets,6.0,-110,-6.0,-106,107,115,2.5,-2.5
12/15 11:52:11 am,Pinnacle,Detroit Pistons,Houston Rockets,6.0,-108,-6.0,-108,107,115,2.5,-2.5
12/15 11:51:50 am,Pinnacle,Detroit Pistons,Houston Rockets,6.0,-105,-6.0,-112,107,115,2.5,-2.5
12/15 11:51:22 am,Pinnacle,Detroit Pistons,Houston Rockets,6.0,-103,-6.0,-114,107,115,2.5,-2.5
12/15 11:51:15 am,Pinnacle,Detroit Pistons,Houston Rockets,6.0,-102,-6.0,-115,107,115,2.5,-2.5
12/15 11:50:54 am,Pinnacle,Detroit Pistons,Houston Rockets,6.0,-101,-6.0,-115,107,115,2.5,-2.5
12/15 11:50:24 am,Pinnacle,Detroit Pistons,Houston Rockets,4.5,102,-4.5,-136,107,115,2.5,-2.5
12/15 11:50:18 am,Pinnacle,Detroit Pistons,Houston Rockets,4.5,-107,-4.5,-123,107,115,2.5,-2.5
12/15 11:50:12 am,Pinnacle,Detroit Pistons,Houston Rockets,5.5,-152,-5.5,114,107,115,2.5,-2.5
12/15 11:50:05 am,Pinnacle,Detroit Pistons,Houston Rockets,5.5,-134,-5.5,101,107,115,2.5,-2.5
12/15 11:49:59 am,Pinnacle,Detroit Pistons,Houston Rockets,4.5,-104,-4.5,-127,107,115,2.5,-2.5
12/15 11:49:29 am,Pinnacle,Detroit Pistons,Houston Rockets,2.5,109,-2.5,-145,107,115,2.5,-2.5
12/15 11:49:22 am,Pinnacle,Detroit Pistons,Houston Rockets,2.5,-123,-2.5,-107,107,115,2.5,-2.5
12/15 11:49:15 am,Pinnacle,Detroit Pistons,Houston Rockets,3.0,-127,-3.0,-104,107,115,2.5,-2.5
12/15 11:49:08 am,Pinnacle,Detroit Pistons,Houston Rockets,3.0,-108,-3.0,-122,107,115,2.5,-2.5
12/15 11:48:23 am,Pinnacle,Detroit Pistons,Houston Rockets,4.5,-101,-4.5,-131,107,115,2.5,-2.5
12/15 11:48:03 am,Pinnacle,Detroit Pistons,Houston Rockets,4.5,-112,-4.5,-119,107,115,2.5,-2.5
12/15 11:47:49 am,Pinnacle,Detroit Pistons,Houston Rockets,6.5,-139,-6.5,105,107,115,2.5,-2.5
12/15 11:47:20 am,Pinnacle,Detroit Pistons,Houston Rockets,4.5,-112,-4.5,-118,107,115,2.5,-2.5
12/15 11:47:08 am,Pinnacle,Detroit Pistons,Houston Rockets,4.0,-121,-4.0,-109,107,115,2.5,-2.5
12/15 11:47:01 am,Pinnacle,Detroit Pistons,Houston Rockets,5.5,-142,-5.5,107,107,115,2.5,-2.5
12/15 11:46:55 am,Pinnacle,Detroit Pistons,Houston Rockets,5.5,-120,-5.5,-111,107,115,2.5,-2.5
12/15 11:46:24 am,Pinnacle,Detroit Pistons,Houston Rockets,6.5,-120,-6.5,-111,107,115,2.5,-2.5
12/15 11:46:13 am,Pinnacle,Detroit Pistons,Houston Rockets,8.0,-115,-8.0,-115,107,115,2.5,-2.5
12/15 11:45:27 am,Pinnacle,Detroit Pistons,Houston Rockets,8.5,-131,-8.5,112,107,115,2.5,-2.5
12/15 11:45:04 am,Pinnacle,Detroit Pistons,Houston Rockets,8.5,-132,-8.5,113,107,115,2.5,-2.5
12/15 11:44:28 am,Pinnacle,Detroit Pistons,Houston Rockets,8.5,-130,-8.5,111,107,115,2.5,-2.5
12/15 11:44:00 am,Pinnacle,Detroit Pistons,Houston Rockets,8.5,-132,-8.5,113,107,115,2.5,-2.5
12/15 11:43:53 am,Pinnacle,Detroit Pistons,Houston Rockets,8.5,-113,-8.5,-103,107,115,2.5,-2.5
12/15 11:43:20 am,Pinnacle,Detroit Pistons,Houston Rockets,8.5,-133,-8.5,100,107,115,2.5,-2.5
12/15 11:43:09 am,Pinnacle,Detroit Pistons,Houston Rockets,8.5,-115,-8.5,-115,107,115,2.5,-2.5
12/15 11:42:25 am,Pinnacle,Detroit Pistons,Houston Rockets,6.5,-130,-6.5,-102,107,115,2.5,-2.5
12/15 11:42:18 am,Pinnacle,Detroit Pistons,Houston Rockets,6.5,-119,-6.5,-111,107,115,2.5,-2.5
12/15 11:42:12 am,Pinnacle,Detroit Pistons,Houston Rockets,6.0,-118,-6.0,-112,107,115,2.5,-2.5
12/15 11:42:01 am,Pinnacle,Detroit Pistons,Houston Rockets,6.5,-115,-6.5,-115,107,115,2.5,-2.5
12/15 11:41:15 am,Pinnacle,Detroit Pistons,Houston Rockets,7.0,-119,-7.0,-112,107,115,2.5,-2.5
12/15 11:41:08 am,Pinnacle,Detroit Pistons,Houston Rockets,8.0,-112,-8.0,-118,107,115,2.5,-2.5
12/15 11:41:03 am,Pinnacle,Detroit Pistons,Houston Rockets,7.0,-125,-7.0,-106,107,115,2.5,-2.5
12/15 11:40:51 am,Pinnacle,Detroit Pistons,Houston Rockets,7.0,-121,-7.0,-109,107,115,2.5,-2.5
12/15 11:40:45 am,Pinnacle,Detroit Pistons,Houston Rockets,7.5,-114,-7.5,-116,107,115,2.5,-2.5
12/15 11:40:18 am,Pinnacle,Detroit Pistons,Houston Rockets,7.0,-110,-7.0,-120,107,115,2.5,-2.5
