Time,Book,Away Team,Home Team,Home Line,Home Odds,Away Line,Away Odds,Home Score,Away Score,Home Line Open,Away Line Open
3/9 9:46:22 am,RedZone,Detroit Pistons,New York Knicks,-9.5,-110,9.5,-110,96,84,-4.5,4.5
3/9 9:45:34 am,RedZone,Detroit Pistons,New York Knicks,-8.5,-110,8.5,-110,96,84,-4.5,4.5
3/9 9:45:26 am,RedZone,Detroit Pistons,New York Knicks,-7.5,-110,7.5,-110,96,84,-4.5,4.5
3/9 9:45:05 am,RedZone,Detroit Pistons,New York Knicks,-9.5,-110,9.5,-110,96,84,-4.5,4.5
3/9 9:44:54 am,RedZone,Detroit Pistons,New York Knicks,-8.5,-110,8.5,-110,96,84,-4.5,4.5
3/9 9:44:27 am,RedZone,Detroit Pistons,New York Knicks,-11.5,101,11.5,-125,96,84,-4.5,4.5
3/9 9:44:05 am,RedZone,Detroit Pistons,New York Knicks,-9.5,-108,9.5,-115,96,84,-4.5,4.5
3/9 9:43:47 am,RedZone,Detroit Pistons,New York Knicks,-9.5,-134,9.5,107,96,84,-4.5,4.5
3/9 9:43:17 am,RedZone,Detroit Pistons,New York Knicks,-9.5,-121,9.5,-103,96,84,-4.5,4.5
3/9 9:43:15 am,Pinnacle,Detroit Pistons,New York Knicks,-10.0,-120,10.0,103,96,84,-4.5,4.5
3/9 9:42:51 am,Pinnacle,Detroit Pistons,New York Knicks,-10.0,-115,10.0,-101,96,84,-4.5,4.5
3/9 9:42:17 am,RedZone,Detroit Pistons,New York Knicks,-10.5,-103,10.5,-121,96,84,-4.5,4.5
3/9 9:42:02 am,RedZone,Detroit Pistons,New York Knicks,-11.5,-103,11.5,-121,96,84,-4.5,4.5
3/9 9:39:55 am,RedZone,Detroit Pistons,New York Knicks,-10.5,107,10.5,-135,96,84,-4.5,4.5
3/9 9:38:46 am,RedZone,Detroit Pistons,New York Knicks,-10.5,-130,10.5,104,96,84,-4.5,4.5
3/9 9:38:06 am,RedZone,Detroit Pistons,New York Knicks,-11.5,-126,11.5,101,96,84,-4.5,4.5
3/9 9:37:31 am,RedZone,Detroit Pistons,New York Knicks,-10.5,-126,10.5,101,96,84,-4.5,4.5
3/9 9:37:12 am,RedZone,Detroit Pistons,New York Knicks,-9.5,-105,9.5,-118,96,84,-4.5,4.5
