Time,Book,Away Team,Home Team,Home Line,Home Odds,Away Line,Away Odds,Home Score,Away Score,Home Line Open,Away Line Open
2/8 11:07:20 am,Pinnacle,Detroit Pistons,Oklahoma City Thunder,-9.5,-122,9.5,-108,108,101,-12.5,12.5
2/8 11:07:17 am,Pinnacle,Detroit Pistons,Oklahoma City Thunder,-9.5,-119,9.5,-111,108,101,-12.5,12.5
2/8 11:07:11 am,Pinnacle,Detroit Pistons,Oklahoma City Thunder,-9.5,-117,9.5,-113,108,101,-12.5,12.5
2/8 11:06:59 am,Pinnacle,Detroit Pistons,Oklahoma City Thunder,-9.5,-117,9.5,-113,108,101,-12.5,12.5
2/8 11:06:55 am,Pinnacle,Detroit Pistons,Oklahoma City Thunder,-10.5,-116,10.5,-114,108,101,-12.5,12.5
2/8 11:06:40 am,Pinnacle,Detroit Pistons,Oklahoma City Thunder,-9.5,-114,9.5,-116,108,101,-12.5,12.5
2/8 11:06:34 am,Pinnacle,Detroit Pistons,Oklahoma City Thunder,-9.0,-121,9.0,-110,108,101,-12.5,12.5
2/8 11:06:08 am,Pinnacle,Detroit Pistons,Oklahoma City Thunder,-9.0,-116,9.0,-114,108,101,-12.5,12.5
2/8 11:06:05 am,Pinnacle,Detroit Pistons,Oklahoma City Thunder,-10.5,-114,10.5,-116,108,101,-12.5,12.5
2/8 11:05:55 am,Pinnacle,Detroit Pistons,Oklahoma City Thunder,-10.5,-116,10.5,-114,108,101,-12.5,12.5
2/8 11:05:44 am,Pinnacle,Detroit Pistons,Oklahoma City Thunder,-10.5,-116,10.5,-114,108,101,-12.5,12.5
2/8 11:05:42 am,Pinnacle,Detroit Pistons,Oklahoma City Thunder,-10.5,-117,10.5,-113,108,101,-12.5,12.5
2/8 11:05:40 am,Pinnacle,Detroit Pistons,Oklahoma City Thunder,-10.5,-116,10.5,-114,108,101,-12.5,12.5
2/8 11:05:34 am,Pinnacle,Detroit Pistons,Oklahoma City Thunder,-10.5,-117,10.5,-113,108,101,-12.5,12.5
2/8 11:05:32 am,Pinnacle,Detroit Pistons,Oklahoma City Thunder,-11.5,-115,11.5,-115,108,101,-12.5,12.5
2/8 11:05:25 am,Pinnacle,Detroit Pistons,Oklahoma City Thunder,-11.5,-112,11.5,-118,108,101,-12.5,12.5
2/8 11:05:14 am,Pinnacle,Detroit Pistons,Oklahoma City Thunder,-11.5,-117,11.5,-113,108,101,-12.5,12.5
2/8 11:05:11 am,Pinnacle,Detroit Pistons,Oklahoma City Thunder,-11.5,-117,11.5,-113,108,101,-12.5,12.5
2/8 11:05:08 am,Pinnacle,Detroit Pistons,Oklahoma City Thunder,-10.5,-123,10.5,-108,108,101,-12.5,12.5
2/8 11:05:01 am,Pinnacle,Detroit Pistons,Oklahoma City Thunder,-10.5,-123,10.5,-108,108,101,-12.5,12.5
2/8 11:04:45 am,Pinnacle,Detroit Pistons,Oklahoma City Thunder,-11.5,-120,11.5,-110,108,101,-12.5,12.5
2/8 11:02:34 am,Pinnacle,Detroit Pistons,Oklahoma City Thunder,-12.0,108,12.0,-126,108,101,-12.5,12.5
2/8 11:02:14 am,Pinnacle,Detroit Pistons,Oklahoma City Thunder,-12.0,-101,12.0,-115,108,101,-12.5,12.5
2/8 11:01:55 am,Pinnacle,Detroit Pistons,Oklahoma City Thunder,-11.5,-114,11.5,-103,108,101,-12.5,12.5
2/8 11:01:47 am,Pinnacle,Detroit Pistons,Oklahoma City Thunder,-11.5,-120,11.5,-110,108,101,-12.5,12.5
2/8 11:01:41 am,Pinnacle,Detroit Pistons,Oklahoma City Thunder,-11.0,-107,11.0,-123,108,101,-12.5,12.5
2/8 11:01:34 am,Pinnacle,Detroit Pistons,Oklahoma City Thunder,-11.5,-122,11.5,-108,108,101,-12.5,12.5
2/8 11:01:28 am,Pinnacle,Detroit Pistons,Oklahoma City Thunder,-11.5,-120,11.5,-110,108,101,-12.5,12.5
2/8 11:01:24 am,Pinnacle,Detroit Pistons,Oklahoma City Thunder,-10.5,-116,10.5,-114,108,101,-12.5,12.5
2/8 11:01:14 am,Pinnacle,Detroit Pistons,Oklahoma City Thunder,-10.5,-116,10.5,-114,108,101,-12.5,12.5
2/8 11:00:55 am,Pinnacle,Detroit Pistons,Oklahoma City Thunder,-10.5,-111,10.5,-120,108,101,-12.5,12.5
2/8 11:00:44 am,Pinnacle,Detroit Pistons,Oklahoma City Thunder,-10.5,-110,10.5,-120,108,101,-12.5,12.5
2/8 11:00:40 am,Pinnacle,Detroit Pistons,Oklahoma City Thunder,-10.5,-111,10.5,-120,108,101,-12.5,12.5
2/8 11:00:34 am,Pinnacle,Detroit Pistons,Oklahoma City Thunder,-11.5,-117,11.5,-113,108,101,-12.5,12.5
2/8 11:00:28 am,Pinnacle,Detroit Pistons,Oklahoma City Thunder,-11.5,-119,11.5,-111,108,101,-12.5,12.5
2/8 11:00:25 am,Pinnacle,Detroit Pistons,Oklahoma City Thunder,-11.5,-113,11.5,-117,108,101,-12.5,12.5
2/8 11:00:11 am,Pinnacle,Detroit Pistons,Oklahoma City Thunder,-11.5,-119,11.5,-111,108,101,-12.5,12.5
2/8 11:00:08 am,Pinnacle,Detroit Pistons,Oklahoma City Thunder,-11.5,-118,11.5,-112,108,101,-12.5,12.5
2/8 11:00:05 am,Pinnacle,Detroit Pistons,Oklahoma City Thunder,-10.5,-119,10.5,-111,108,101,-12.5,12.5
2/8 10:59:49 am,Pinnacle,Detroit Pistons,Oklahoma City Thunder,-10.5,-118,10.5,-112,108,101,-12.5,12.5
2/8 10:59:45 am,Pinnacle,Detroit Pistons,Oklahoma City Thunder,-10.0,-119,10.0,-111,108,101,-12.5,12.5
2/8 10:59:37 am,Pinnacle,Detroit Pistons,Oklahoma City Thunder,-10.0,-110,10.0,-121,108,101,-12.5,12.5
2/8 10:59:23 am,Pinnacle,Detroit Pistons,Oklahoma City Thunder,-10.0,-109,10.0,-122,108,101,-12.5,12.5
2/8 10:59:19 am,Pinnacle,Detroit Pistons,Oklahoma City Thunder,-9.5,-115,9.5,-115,108,101,-12.5,12.5
2/8 10:59:17 am,Pinnacle,Detroit Pistons,Oklahoma City Thunder,-9.5,-112,9.5,-118,108,101,-12.5,12.5
2/8 10:59:05 am,Pinnacle,Detroit Pistons,Oklahoma City Thunder,-9.5,-109,9.5,-121,108,101,-12.5,12.5
2/8 10:58:53 am,Pinnacle,Detroit Pistons,Oklahoma City Thunder,-10.0,-112,10.0,-118,108,101,-12.5,12.5
2/8 10:58:49 am,Pinnacle,Detroit Pistons,Oklahoma City Thunder,-10.0,-107,10.0,-109,108,101,-12.5,12.5
2/8 10:58:16 am,Pinnacle,Detroit Pistons,Oklahoma City Thunder,-10.0,-114,10.0,-102,108,101,-12.5,12.5
2/8 10:56:31 am,Pinnacle,Detroit Pistons,Oklahoma City Thunder,-10.0,-117,10.0,100,108,101,-12.5,12.5
2/8 10:56:20 am,Pinnacle,Detroit Pistons,Oklahoma City Thunder,-10.0,-107,10.0,-109,108,101,-12.5,12.5
2/8 10:56:01 am,Pinnacle,Detroit Pistons,Oklahoma City Thunder,-10.0,-107,10.0,-109,108,101,-12.5,12.5
2/8 10:55:53 am,Pinnacle,Detroit Pistons,Oklahoma City Thunder,-10.0,-113,10.0,-117,108,101,-12.5,12.5
2/8 10:55:47 am,Pinnacle,Detroit Pistons,Oklahoma City Thunder,-10.0,-113,10.0,-117,108,101,-12.5,12.5
2/8 10:55:40 am,Pinnacle,Detroit Pistons,Oklahoma City Thunder,-9.5,-111,9.5,-119,108,101,-12.5,12.5
2/8 10:55:38 am,Pinnacle,Detroit Pistons,Oklahoma City Thunder,-8.5,-114,8.5,-116,108,101,-12.5,12.5
2/8 10:55:28 am,Pinnacle,Detroit Pistons,Oklahoma City Thunder,-8.5,-115,8.5,-115,108,101,-12.5,12.5
2/8 10:55:20 am,Pinnacle,Detroit Pistons,Oklahoma City Thunder,-8.5,-112,8.5,-118,108,101,-12.5,12.5
2/8 10:55:01 am,Pinnacle,Detroit Pistons,Oklahoma City Thunder,-9.5,-119,9.5,-111,108,101,-12.5,12.5
2/8 10:54:53 am,Pinnacle,Detroit Pistons,Oklahoma City Thunder,-9.5,-115,9.5,-115,108,101,-12.5,12.5
2/8 10:54:41 am,Pinnacle,Detroit Pistons,Oklahoma City Thunder,-9.5,-121,9.5,-109,108,101,-12.5,12.5
2/8 10:54:40 am,Pinnacle,Detroit Pistons,Oklahoma City Thunder,-9.5,-121,9.5,-109,108,101,-12.5,12.5
2/8 10:54:39 am,Pinnacle,Detroit Pistons,Oklahoma City Thunder,-9.5,-121,9.5,-109,108,101,-12.5,12.5
2/8 10:54:14 am,Pinnacle,Detroit Pistons,Oklahoma City Thunder,-9.5,-121,9.5,-109,108,101,-12.5,12.5
2/8 10:53:44 am,Pinnacle,Detroit Pistons,Oklahoma City Thunder,-10.0,-108,10.0,-123,108,101,-12.5,12.5
2/8 10:53:26 am,Pinnacle,Detroit Pistons,Oklahoma City Thunder,-10.5,-108,10.5,-123,108,101,-12.5,12.5
2/8 10:53:23 am,Pinnacle,Detroit Pistons,Oklahoma City Thunder,-10.5,-109,10.5,-121,108,101,-12.5,12.5
2/8 10:53:04 am,Pinnacle,Detroit Pistons,Oklahoma City Thunder,-10.5,-115,10.5,-115,108,101,-12.5,12.5
2/8 10:52:43 am,Pinnacle,Detroit Pistons,Oklahoma City Thunder,-12.0,-109,12.0,-121,108,101,-12.5,12.5
2/8 10:52:29 am,Pinnacle,Detroit Pistons,Oklahoma City Thunder,-11.5,-109,11.5,-122,108,101,-12.5,12.5
2/8 10:52:24 am,Pinnacle,Detroit Pistons,Oklahoma City Thunder,-12.0,-108,12.0,-122,108,101,-12.5,12.5
2/8 10:52:20 am,Pinnacle,Detroit Pistons,Oklahoma City Thunder,-12.0,-117,12.0,-114,108,101,-12.5,12.5
2/8 10:52:15 am,Pinnacle,Detroit Pistons,Oklahoma City Thunder,-12.0,-117,12.0,-113,108,101,-12.5,12.5
2/8 10:52:10 am,Pinnacle,Detroit Pistons,Oklahoma City Thunder,-12.0,-119,12.0,-112,108,101,-12.5,12.5
2/8 10:52:07 am,Pinnacle,Detroit Pistons,Oklahoma City Thunder,-12.0,-119,12.0,-112,108,101,-12.5,12.5
2/8 10:52:01 am,Pinnacle,Detroit Pistons,Oklahoma City Thunder,-12.5,-109,12.5,-121,108,101,-12.5,12.5
2/8 10:51:56 am,Pinnacle,Detroit Pistons,Oklahoma City Thunder,-12.5,-110,12.5,-120,108,101,-12.5,12.5
2/8 10:51:53 am,Pinnacle,Detroit Pistons,Oklahoma City Thunder,-13.0,-114,13.0,-116,108,101,-12.5,12.5
2/8 10:51:49 am,Pinnacle,Detroit Pistons,Oklahoma City Thunder,-13.0,-116,13.0,-114,108,101,-12.5,12.5
2/8 10:51:47 am,Pinnacle,Detroit Pistons,Oklahoma City Thunder,-13.0,-116,13.0,-114,108,101,-12.5,12.5
2/8 10:51:44 am,Pinnacle,Detroit Pistons,Oklahoma City Thunder,-13.0,-114,13.0,-116,108,101,-12.5,12.5
2/8 10:51:41 am,Pinnacle,Detroit Pistons,Oklahoma City Thunder,-13.0,-117,13.0,-113,108,101,-12.5,12.5
2/8 10:51:26 am,Pinnacle,Detroit Pistons,Oklahoma City Thunder,-12.5,-114,12.5,-116,108,101,-12.5,12.5
2/8 10:51:19 am,Pinnacle,Detroit Pistons,Oklahoma City Thunder,-12.5,-112,12.5,-118,108,101,-12.5,12.5
2/8 10:51:08 am,Pinnacle,Detroit Pistons,Oklahoma City Thunder,-11.5,-115,11.5,-115,108,101,-12.5,12.5
2/8 10:51:01 am,Pinnacle,Detroit Pistons,Oklahoma City Thunder,-11.5,-115,11.5,-115,108,101,-12.5,12.5
2/8 10:50:44 am,Pinnacle,Detroit Pistons,Oklahoma City Thunder,-11.5,-116,11.5,-114,108,101,-12.5,12.5
2/8 10:50:38 am,Pinnacle,Detroit Pistons,Oklahoma City Thunder,-11.0,-116,11.0,-114,108,101,-12.5,12.5
2/8 10:50:34 am,Pinnacle,Detroit Pistons,Oklahoma City Thunder,-11.0,-109,11.0,-122,108,101,-12.5,12.5
2/8 10:50:19 am,Pinnacle,Detroit Pistons,Oklahoma City Thunder,-11.0,-110,11.0,-120,108,101,-12.5,12.5
2/8 10:49:58 am,Pinnacle,Detroit Pistons,Oklahoma City Thunder,-10.5,-111,10.5,-119,108,101,-12.5,12.5
2/8 10:49:55 am,Pinnacle,Detroit Pistons,Oklahoma City Thunder,-11.5,-119,11.5,-111,108,101,-12.5,12.5
2/8 10:49:25 am,Pinnacle,Detroit Pistons,Oklahoma City Thunder,-11.5,-121,11.5,-110,108,101,-12.5,12.5
2/8 10:49:22 am,Pinnacle,Detroit Pistons,Oklahoma City Thunder,-11.5,-114,11.5,-102,108,101,-12.5,12.5
2/8 10:48:55 am,Pinnacle,Detroit Pistons,Oklahoma City Thunder,-11.5,-122,11.5,105,108,101,-12.5,12.5
