Time,Book,Away Team,Home Team,Home Line,Home Odds,Away Line,Away Odds,Home Score,Away Score,Home Line Open,Away Line Open
1/11 1:51:48 pm,Pinnacle,Golden State Warriors,Los Angeles Clippers,-6.0,-142,6.0,122,109,100,-14.5,14.5
1/11 1:51:36 pm,Pinnacle,Golden State Warriors,Los Angeles Clippers,-6.0,-140,6.0,120,109,100,-14.5,14.5
1/11 1:51:18 pm,Pinnacle,Golden State Warriors,Los Angeles Clippers,-6.0,-135,6.0,115,109,100,-14.5,14.5
1/11 1:51:15 pm,Pinnacle,Golden State Warriors,Los Angeles Clippers,-6.0,-122,6.0,105,109,100,-14.5,14.5
1/11 1:51:09 pm,Pinnacle,Golden State Warriors,Los Angeles Clippers,-6.0,-108,6.0,-108,109,100,-14.5,14.5
1/11 1:47:30 pm,Pinnacle,Golden State Warriors,Los Angeles Clippers,-5.5,-115,5.5,-101,109,100,-14.5,14.5
1/11 1:47:09 pm,Pinnacle,Golden State Warriors,Los Angeles Clippers,-5.5,-117,5.5,100,109,100,-14.5,14.5
1/11 1:47:06 pm,Pinnacle,Golden State Warriors,Los Angeles Clippers,-5.5,-119,5.5,102,109,100,-14.5,14.5
1/11 1:46:54 pm,Pinnacle,Golden State Warriors,Los Angeles Clippers,-5.5,-120,5.5,103,109,100,-14.5,14.5
1/11 1:46:37 pm,Pinnacle,Golden State Warriors,Los Angeles Clippers,-5.5,-118,5.5,101,109,100,-14.5,14.5
1/11 1:46:24 pm,Pinnacle,Golden State Warriors,Los Angeles Clippers,-5.5,-109,5.5,-107,109,100,-14.5,14.5
1/11 1:46:15 pm,Pinnacle,Golden State Warriors,Los Angeles Clippers,-5.5,-108,5.5,-108,109,100,-14.5,14.5
1/11 1:44:45 pm,Pinnacle,Golden State Warriors,Los Angeles Clippers,-7.5,-109,7.5,-107,109,100,-14.5,14.5
1/11 1:44:09 pm,Pinnacle,Golden State Warriors,Los Angeles Clippers,-7.5,-108,7.5,-108,109,100,-14.5,14.5
1/11 1:35:27 pm,Pinnacle,Golden State Warriors,Los Angeles Clippers,-5.5,-102,5.5,-115,109,100,-14.5,14.5
1/11 1:34:36 pm,Pinnacle,Golden State Warriors,Los Angeles Clippers,-5.5,-103,5.5,-114,109,100,-14.5,14.5
1/11 1:34:21 pm,Pinnacle,Golden State Warriors,Los Angeles Clippers,-5.5,-104,5.5,-112,109,100,-14.5,14.5
1/11 1:34:12 pm,Pinnacle,Golden State Warriors,Los Angeles Clippers,-5.5,-105,5.5,-111,109,100,-14.5,14.5
1/11 1:33:48 pm,Pinnacle,Golden State Warriors,Los Angeles Clippers,-5.5,-110,5.5,-106,109,100,-14.5,14.5
1/11 1:33:24 pm,Pinnacle,Golden State Warriors,Los Angeles Clippers,-5.5,-112,5.5,-105,109,100,-14.5,14.5
1/11 1:32:39 pm,Pinnacle,Golden State Warriors,Los Angeles Clippers,-5.5,-112,5.5,-118,109,100,-14.5,14.5
