Time,Book,Away Team,Home Team,Home Line,Home Odds,Away Line,Away Odds,Home Score,Away Score,Home Line Open,Away Line Open
11/30 11:20:25 am,Pinnacle,Golden State Warriors,Miami Heat,-22.5,-106,22.5,-110,122,105,-11.5,11.5
11/30 11:12:13 am,Pinnacle,Golden State Warriors,Miami Heat,-26.0,-113,26.0,-104,122,105,-11.5,11.5
11/30 11:11:40 am,Pinnacle,Golden State Warriors,Miami Heat,-26.0,-103,26.0,-113,122,105,-11.5,11.5
11/30 11:10:37 am,Pinnacle,Golden State Warriors,Miami Heat,-26.0,-107,26.0,-124,122,105,-11.5,11.5
11/30 11:10:31 am,Pinnacle,Golden State Warriors,Miami Heat,-26.0,-108,26.0,-123,122,105,-11.5,11.5
11/30 11:10:28 am,Pinnacle,Golden State Warriors,Miami Heat,-26.0,-109,26.0,-121,122,105,-11.5,11.5
11/30 11:10:25 am,Pinnacle,Golden State Warriors,Miami Heat,-26.0,-114,26.0,-116,122,105,-11.5,11.5
11/30 11:10:16 am,Pinnacle,Golden State Warriors,Miami Heat,-26.0,-115,26.0,-115,122,105,-11.5,11.5
11/30 11:10:07 am,Pinnacle,Golden State Warriors,Miami Heat,-26.0,-114,26.0,-116,122,105,-11.5,11.5
11/30 11:10:04 am,Pinnacle,Golden State Warriors,Miami Heat,-27.0,-104,27.0,-128,122,105,-11.5,11.5
11/30 11:10:02 am,Pinnacle,Golden State Warriors,Miami Heat,-27.0,-110,27.0,-120,122,105,-11.5,11.5
11/30 11:09:55 am,Pinnacle,Golden State Warriors,Miami Heat,-27.0,-113,27.0,-117,122,105,-11.5,11.5
11/30 11:09:37 am,Pinnacle,Golden State Warriors,Miami Heat,-26.0,-115,26.0,-115,122,105,-11.5,11.5
11/30 11:09:25 am,Pinnacle,Golden State Warriors,Miami Heat,-25.0,-121,25.0,-109,122,105,-11.5,11.5
11/30 11:09:19 am,Pinnacle,Golden State Warriors,Miami Heat,-25.0,-116,25.0,-114,122,105,-11.5,11.5
11/30 11:09:05 am,Pinnacle,Golden State Warriors,Miami Heat,-24.5,-108,24.5,-123,122,105,-11.5,11.5
11/30 11:09:01 am,Pinnacle,Golden State Warriors,Miami Heat,-24.0,-109,24.0,-122,122,105,-11.5,11.5
11/30 11:08:58 am,Pinnacle,Golden State Warriors,Miami Heat,-23.5,-109,23.5,-122,122,105,-11.5,11.5
11/30 11:08:49 am,Pinnacle,Golden State Warriors,Miami Heat,-23.5,-115,23.5,-115,122,105,-11.5,11.5
11/30 11:08:44 am,Pinnacle,Golden State Warriors,Miami Heat,-23.5,-116,23.5,-114,122,105,-11.5,11.5
11/30 11:08:40 am,Pinnacle,Golden State Warriors,Miami Heat,-23.5,-125,23.5,-106,122,105,-11.5,11.5
11/30 11:08:13 am,Pinnacle,Golden State Warriors,Miami Heat,-24.5,-106,24.5,-125,122,105,-11.5,11.5
11/30 11:08:10 am,Pinnacle,Golden State Warriors,Miami Heat,-24.5,-115,24.5,-115,122,105,-11.5,11.5
11/30 11:08:04 am,Pinnacle,Golden State Warriors,Miami Heat,-24.5,-116,24.5,-114,122,105,-11.5,11.5
11/30 11:07:58 am,Pinnacle,Golden State Warriors,Miami Heat,-24.5,-117,24.5,-113,122,105,-11.5,11.5
11/30 11:07:52 am,Pinnacle,Golden State Warriors,Miami Heat,-23.0,-107,23.0,-124,122,105,-11.5,11.5
11/30 11:07:51 am,Pinnacle,Golden State Warriors,Miami Heat,-22.0,-104,22.0,-127,122,105,-11.5,11.5
11/30 11:07:49 am,Pinnacle,Golden State Warriors,Miami Heat,-22.0,-105,22.0,-127,122,105,-11.5,11.5
11/30 11:07:48 am,Pinnacle,Golden State Warriors,Miami Heat,-22.0,101,22.0,-134,122,105,-11.5,11.5
11/30 11:07:40 am,Pinnacle,Golden State Warriors,Miami Heat,-22.0,-105,22.0,-127,122,105,-11.5,11.5
11/30 11:07:34 am,Pinnacle,Golden State Warriors,Miami Heat,-22.0,-108,22.0,-122,122,105,-11.5,11.5
11/30 11:07:31 am,Pinnacle,Golden State Warriors,Miami Heat,-21.5,-124,21.5,-107,122,105,-11.5,11.5
11/30 11:07:28 am,Pinnacle,Golden State Warriors,Miami Heat,-22.0,-115,22.0,-115,122,105,-11.5,11.5
11/30 11:07:16 am,Pinnacle,Golden State Warriors,Miami Heat,-21.0,-115,21.0,-115,122,105,-11.5,11.5
11/30 11:07:10 am,Pinnacle,Golden State Warriors,Miami Heat,-20.0,-113,20.0,-117,122,105,-11.5,11.5
11/30 11:06:37 am,Pinnacle,Golden State Warriors,Miami Heat,-20.0,-115,20.0,-115,122,105,-11.5,11.5
11/30 11:06:01 am,Pinnacle,Golden State Warriors,Miami Heat,-20.0,-105,20.0,-111,122,105,-11.5,11.5
11/30 11:05:24 am,Pinnacle,Golden State Warriors,Miami Heat,-20.0,-108,20.0,-108,122,105,-11.5,11.5
11/30 11:05:10 am,Pinnacle,Golden State Warriors,Miami Heat,-20.0,100,20.0,-117,122,105,-11.5,11.5
11/30 11:04:58 am,Pinnacle,Golden State Warriors,Miami Heat,-20.0,-103,20.0,-113,122,105,-11.5,11.5
11/30 11:04:37 am,Pinnacle,Golden State Warriors,Miami Heat,-20.0,-107,20.0,-109,122,105,-11.5,11.5
11/30 11:03:52 am,Pinnacle,Golden State Warriors,Miami Heat,-20.0,-108,20.0,-108,122,105,-11.5,11.5
11/30 11:03:34 am,Pinnacle,Golden State Warriors,Miami Heat,-20.5,-114,20.5,-116,122,105,-11.5,11.5
11/30 11:03:29 am,Pinnacle,Golden State Warriors,Miami Heat,-20.5,-117,20.5,-113,122,105,-11.5,11.5
11/30 11:03:19 am,Pinnacle,Golden State Warriors,Miami Heat,-19.5,-117,19.5,-113,122,105,-11.5,11.5
11/30 11:03:07 am,Pinnacle,Golden State Warriors,Miami Heat,-19.5,-122,19.5,-108,122,105,-11.5,11.5
11/30 11:03:04 am,Pinnacle,Golden State Warriors,Miami Heat,-19.0,-111,19.0,-120,122,105,-11.5,11.5
11/30 11:03:00 am,Pinnacle,Golden State Warriors,Miami Heat,-19.0,-104,19.0,-127,122,105,-11.5,11.5
11/30 11:02:59 am,Pinnacle,Golden State Warriors,Miami Heat,-19.0,-109,19.0,-121,122,105,-11.5,11.5
11/30 11:02:58 am,Pinnacle,Golden State Warriors,Miami Heat,-19.0,-104,19.0,-127,122,105,-11.5,11.5
11/30 11:02:46 am,Pinnacle,Golden State Warriors,Miami Heat,-19.0,-109,19.0,-121,122,105,-11.5,11.5
11/30 11:02:31 am,Pinnacle,Golden State Warriors,Miami Heat,-17.0,-120,17.0,-110,122,105,-11.5,11.5
11/30 11:02:28 am,Pinnacle,Golden State Warriors,Miami Heat,-16.5,-108,16.5,-122,122,105,-11.5,11.5
11/30 11:02:16 am,Pinnacle,Golden State Warriors,Miami Heat,-17.5,-112,17.5,-118,122,105,-11.5,11.5
11/30 11:02:13 am,Pinnacle,Golden State Warriors,Miami Heat,-17.5,-117,17.5,-113,122,105,-11.5,11.5
11/30 11:01:46 am,Pinnacle,Golden State Warriors,Miami Heat,-18.0,-115,18.0,-115,122,105,-11.5,11.5
11/30 11:00:46 am,Pinnacle,Golden State Warriors,Miami Heat,-18.0,-116,18.0,-114,122,105,-11.5,11.5
