Time,Book,Away Team,Home Team,Home Line,Home Odds,Away Line,Away Odds,Home Score,Away Score,Home Line Open,Away Line Open
11/9 11:34:47 am,Pinnacle,Golden State Warriors,Minnesota Timberwolves,-2.5,-117,2.5,100,125,119,-11.5,11.5
11/9 11:33:17 am,Pinnacle,Golden State Warriors,Minnesota Timberwolves,-2.5,-110,2.5,-106,125,119,-11.5,11.5
11/9 11:33:14 am,Pinnacle,Golden State Warriors,Minnesota Timberwolves,-2.5,-117,2.5,100,125,119,-11.5,11.5
11/9 11:32:50 am,Pinnacle,Golden State Warriors,Minnesota Timberwolves,-2.5,-114,2.5,-103,125,119,-11.5,11.5
11/9 11:32:46 am,Pinnacle,Golden State Warriors,Minnesota Timberwolves,-2.5,-121,2.5,104,125,119,-11.5,11.5
11/9 11:32:37 am,Pinnacle,Golden State Warriors,Minnesota Timberwolves,-2.5,-114,2.5,-103,125,119,-11.5,11.5
11/9 11:32:27 am,Pinnacle,Golden State Warriors,Minnesota Timberwolves,-2.5,-108,2.5,-108,125,119,-11.5,11.5
11/9 11:27:07 am,Pinnacle,Golden State Warriors,Minnesota Timberwolves,3.5,156,-3.5,-184,125,119,-11.5,11.5
11/9 11:26:58 am,Pinnacle,Golden State Warriors,Minnesota Timberwolves,3.5,163,-3.5,-192,125,119,-11.5,11.5
11/9 11:26:56 am,Pinnacle,Golden State Warriors,Minnesota Timberwolves,3.5,172,-3.5,-204,125,119,-11.5,11.5
11/9 11:26:47 am,Pinnacle,Golden State Warriors,Minnesota Timberwolves,3.5,169,-3.5,-200,125,119,-11.5,11.5
11/9 11:26:41 am,Pinnacle,Golden State Warriors,Minnesota Timberwolves,3.5,164,-3.5,-193,125,119,-11.5,11.5
11/9 11:26:17 am,Pinnacle,Golden State Warriors,Minnesota Timberwolves,3.5,153,-3.5,-180,125,119,-11.5,11.5
11/9 11:26:11 am,Pinnacle,Golden State Warriors,Minnesota Timberwolves,3.5,169,-3.5,-200,125,119,-11.5,11.5
11/9 11:23:14 am,Pinnacle,Golden State Warriors,Minnesota Timberwolves,0.0,452,0.0,-600,125,119,-11.5,11.5
11/9 11:09:10 am,Pinnacle,Golden State Warriors,Minnesota Timberwolves,-1.5,-107,1.5,-124,125,119,-11.5,11.5
11/9 11:09:07 am,Pinnacle,Golden State Warriors,Minnesota Timberwolves,-1.5,-109,1.5,-121,125,119,-11.5,11.5
11/9 11:09:01 am,Pinnacle,Golden State Warriors,Minnesota Timberwolves,-1.0,-103,1.0,-128,125,119,-11.5,11.5
11/9 11:08:59 am,Pinnacle,Golden State Warriors,Minnesota Timberwolves,-1.0,-101,1.0,-131,125,119,-11.5,11.5
11/9 11:08:56 am,Pinnacle,Golden State Warriors,Minnesota Timberwolves,-1.0,102,1.0,-136,125,119,-11.5,11.5
11/9 11:08:49 am,Pinnacle,Golden State Warriors,Minnesota Timberwolves,-1.0,100,1.0,-133,125,119,-11.5,11.5
11/9 11:08:44 am,Pinnacle,Golden State Warriors,Minnesota Timberwolves,1.0,-115,-1.0,-115,125,119,-11.5,11.5
11/9 11:08:40 am,Pinnacle,Golden State Warriors,Minnesota Timberwolves,1.0,-111,-1.0,-119,125,119,-11.5,11.5
11/9 11:08:28 am,Pinnacle,Golden State Warriors,Minnesota Timberwolves,1.0,-116,-1.0,-114,125,119,-11.5,11.5
11/9 11:08:25 am,Pinnacle,Golden State Warriors,Minnesota Timberwolves,2.0,-123,-2.0,-108,125,119,-11.5,11.5
11/9 11:08:20 am,Pinnacle,Golden State Warriors,Minnesota Timberwolves,2.0,-116,-2.0,-114,125,119,-11.5,11.5
11/9 11:08:17 am,Pinnacle,Golden State Warriors,Minnesota Timberwolves,2.0,-120,-2.0,-110,125,119,-11.5,11.5
11/9 11:08:07 am,Pinnacle,Golden State Warriors,Minnesota Timberwolves,2.0,-122,-2.0,-109,125,119,-11.5,11.5
11/9 11:08:04 am,Pinnacle,Golden State Warriors,Minnesota Timberwolves,1.5,-117,-1.5,-113,125,119,-11.5,11.5
11/9 11:08:01 am,Pinnacle,Golden State Warriors,Minnesota Timberwolves,2.5,-117,-2.5,-113,125,119,-11.5,11.5
11/9 11:07:55 am,Pinnacle,Golden State Warriors,Minnesota Timberwolves,3.5,-115,-3.5,-115,125,119,-11.5,11.5
