Time,Book,Away Team,Home Team,Home Line,Home Odds,Away Line,Away Odds,Home Score,Away Score,Home Line Open,Away Line Open
11/10 11:15:39 am,Pinnacle,Golden State Warriors,Oklahoma City Thunder,-7.0,-104,7.0,-112,114,108,-12,12
11/10 11:15:30 am,Pinnacle,Golden State Warriors,Oklahoma City Thunder,-7.0,-107,7.0,-109,114,108,-12,12
11/10 11:15:17 am,Pinnacle,Golden State Warriors,Oklahoma City Thunder,-7.0,-103,7.0,-113,114,108,-12,12
11/10 11:15:09 am,Pinnacle,Golden State Warriors,Oklahoma City Thunder,-7.0,-108,7.0,-108,114,108,-12,12
11/10 11:07:54 am,Pinnacle,Golden State Warriors,Oklahoma City Thunder,-11.0,-114,11.0,-103,114,108,-12,12
11/10 11:07:42 am,Pinnacle,Golden State Warriors,Oklahoma City Thunder,-11.0,-114,11.0,-102,114,108,-12,12
11/10 11:07:38 am,Pinnacle,Golden State Warriors,Oklahoma City Thunder,-11.0,-112,11.0,-104,114,108,-12,12
11/10 11:07:29 am,Pinnacle,Golden State Warriors,Oklahoma City Thunder,-11.0,-117,11.0,100,114,108,-12,12
11/10 11:07:24 am,Pinnacle,Golden State Warriors,Oklahoma City Thunder,-11.0,-113,11.0,-103,114,108,-12,12
11/10 11:07:15 am,Pinnacle,Golden State Warriors,Oklahoma City Thunder,-11.0,-108,11.0,-108,114,108,-12,12
11/10 11:07:12 am,Pinnacle,Golden State Warriors,Oklahoma City Thunder,-11.0,-104,11.0,-112,114,108,-12,12
11/10 11:06:59 am,Pinnacle,Golden State Warriors,Oklahoma City Thunder,-11.0,-101,11.0,-116,114,108,-12,12
11/10 11:06:51 am,Pinnacle,Golden State Warriors,Oklahoma City Thunder,-11.0,-108,11.0,-108,114,108,-12,12
11/10 10:58:41 am,Pinnacle,Golden State Warriors,Oklahoma City Thunder,-11.0,-111,11.0,-119,114,108,-12,12
11/10 10:58:39 am,Pinnacle,Golden State Warriors,Oklahoma City Thunder,-10.5,-107,10.5,-123,114,108,-12,12
11/10 10:58:09 am,Pinnacle,Golden State Warriors,Oklahoma City Thunder,-10.5,-107,10.5,-124,114,108,-12,12
11/10 10:57:45 am,Pinnacle,Golden State Warriors,Oklahoma City Thunder,-9.5,-129,9.5,-102,114,108,-12,12
11/10 10:57:36 am,Pinnacle,Golden State Warriors,Oklahoma City Thunder,-9.5,-112,9.5,-119,114,108,-12,12
11/10 10:57:32 am,Pinnacle,Golden State Warriors,Oklahoma City Thunder,-8.0,-115,8.0,-115,114,108,-12,12
11/10 10:57:30 am,Pinnacle,Golden State Warriors,Oklahoma City Thunder,-8.0,-111,8.0,-119,114,108,-12,12
11/10 10:57:26 am,Pinnacle,Golden State Warriors,Oklahoma City Thunder,-9.5,-122,9.5,-109,114,108,-12,12
11/10 10:57:21 am,Pinnacle,Golden State Warriors,Oklahoma City Thunder,-9.5,-118,9.5,-112,114,108,-12,12
11/10 10:57:15 am,Pinnacle,Golden State Warriors,Oklahoma City Thunder,-9.5,-114,9.5,-116,114,108,-12,12
11/10 10:57:12 am,Pinnacle,Golden State Warriors,Oklahoma City Thunder,-10.5,-109,10.5,-122,114,108,-12,12
11/10 10:57:03 am,Pinnacle,Golden State Warriors,Oklahoma City Thunder,-9.5,-113,9.5,-117,114,108,-12,12
11/10 10:56:59 am,Pinnacle,Golden State Warriors,Oklahoma City Thunder,-10.5,101,10.5,-134,114,108,-12,12
11/10 10:56:48 am,Pinnacle,Golden State Warriors,Oklahoma City Thunder,-10.5,100,10.5,-133,114,108,-12,12
11/10 10:56:41 am,Pinnacle,Golden State Warriors,Oklahoma City Thunder,-10.5,-113,10.5,-117,114,108,-12,12
11/10 10:56:38 am,Pinnacle,Golden State Warriors,Oklahoma City Thunder,-10.0,-120,10.0,-110,114,108,-12,12
11/10 10:56:35 am,Pinnacle,Golden State Warriors,Oklahoma City Thunder,-9.5,-128,9.5,-103,114,108,-12,12
11/10 10:56:27 am,Pinnacle,Golden State Warriors,Oklahoma City Thunder,-9.5,-136,9.5,102,114,108,-12,12
