Time,Book,Away Team,Home Team,Home Line,Home Odds,Away Line,Away Odds,Home Score,Away Score,Home Line Open,Away Line Open
3/1 12:22:08 pm,RedZone,Golden State Warriors,Phoenix Suns,15.5,133,-15.5,-168,99,115,-8.5,8.5
3/1 12:21:57 pm,RedZone,Golden State Warriors,Phoenix Suns,15.5,104,-15.5,-129,99,115,-8.5,8.5
3/1 12:21:43 pm,RedZone,Golden State Warriors,Phoenix Suns,16.5,-150,-16.5,119,99,115,-8.5,8.5
3/1 12:21:34 pm,RedZone,Golden State Warriors,Phoenix Suns,17.5,-125,-17.5,101,99,115,-8.5,8.5
3/1 12:21:21 pm,RedZone,Golden State Warriors,Phoenix Suns,17.5,-137,-17.5,109,99,115,-8.5,8.5
3/1 12:20:56 pm,RedZone,Golden State Warriors,Phoenix Suns,16.5,-112,-16.5,-112,99,115,-8.5,8.5
3/1 12:20:39 pm,RedZone,Golden State Warriors,Phoenix Suns,16.5,-108,-16.5,-115,99,115,-8.5,8.5
3/1 12:20:20 pm,RedZone,Golden State Warriors,Phoenix Suns,16.5,101,-16.5,-125,99,115,-8.5,8.5
3/1 12:19:59 pm,RedZone,Golden State Warriors,Phoenix Suns,16.5,-115,-16.5,-108,99,115,-8.5,8.5
3/1 12:19:52 pm,RedZone,Golden State Warriors,Phoenix Suns,15.5,-106,-15.5,-117,99,115,-8.5,8.5
3/1 12:19:22 pm,RedZone,Golden State Warriors,Phoenix Suns,14.5,-121,-14.5,-103,99,115,-8.5,8.5
3/1 12:18:55 pm,RedZone,Golden State Warriors,Phoenix Suns,11.5,109,-11.5,-138,99,115,-8.5,8.5
3/1 12:18:35 pm,RedZone,Golden State Warriors,Phoenix Suns,12.5,-102,-12.5,-122,99,115,-8.5,8.5
3/1 12:18:26 pm,RedZone,Golden State Warriors,Phoenix Suns,12.5,-118,-12.5,-105,99,115,-8.5,8.5
3/1 12:17:56 pm,RedZone,Golden State Warriors,Phoenix Suns,11.5,109,-11.5,-138,99,115,-8.5,8.5
3/1 12:17:51 pm,RedZone,Golden State Warriors,Phoenix Suns,10.5,104,-10.5,-130,99,115,-8.5,8.5
3/1 12:17:29 pm,RedZone,Golden State Warriors,Phoenix Suns,11.5,-105,-11.5,-118,99,115,-8.5,8.5
3/1 12:16:48 pm,RedZone,Golden State Warriors,Phoenix Suns,10.5,-112,-10.5,-112,99,115,-8.5,8.5
