Time,Book,Away Team,Home Team,Home Line,Home Odds,Away Line,Away Odds,Home Score,Away Score,Home Line Open,Away Line Open
12/19 1:21:47 pm,Pinnacle,Golden State Warriors,Portland Trail Blazers,-8.0,112,8.0,-130,122,112,-9,9
12/19 1:21:44 pm,Pinnacle,Golden State Warriors,Portland Trail Blazers,-8.0,107,8.0,-125,122,112,-9,9
12/19 1:21:41 pm,Pinnacle,Golden State Warriors,Portland Trail Blazers,-8.0,106,8.0,-124,122,112,-9,9
12/19 1:21:40 pm,Pinnacle,Golden State Warriors,Portland Trail Blazers,-8.0,107,8.0,-124,122,112,-9,9
12/19 1:21:29 pm,Pinnacle,Golden State Warriors,Portland Trail Blazers,-8.0,105,8.0,-123,122,112,-9,9
12/19 1:21:20 pm,Pinnacle,Golden State Warriors,Portland Trail Blazers,-8.0,-101,8.0,-116,122,112,-9,9
12/19 1:17:05 pm,Pinnacle,Golden State Warriors,Portland Trail Blazers,-5.5,-131,5.5,112,122,112,-9,9
12/19 1:16:59 pm,Pinnacle,Golden State Warriors,Portland Trail Blazers,-5.5,-126,5.5,108,122,112,-9,9
12/19 1:16:56 pm,Pinnacle,Golden State Warriors,Portland Trail Blazers,-5.5,-111,5.5,-105,122,112,-9,9
12/19 1:16:53 pm,Pinnacle,Golden State Warriors,Portland Trail Blazers,-5.5,-110,5.5,-106,122,112,-9,9
12/19 1:16:50 pm,Pinnacle,Golden State Warriors,Portland Trail Blazers,-5.5,-109,5.5,-107,122,112,-9,9
12/19 1:14:47 pm,Pinnacle,Golden State Warriors,Portland Trail Blazers,-7.5,-121,7.5,104,122,112,-9,9
12/19 1:14:32 pm,Pinnacle,Golden State Warriors,Portland Trail Blazers,-7.5,-123,7.5,105,122,112,-9,9
12/19 1:14:23 pm,Pinnacle,Golden State Warriors,Portland Trail Blazers,-7.5,-124,7.5,107,122,112,-9,9
12/19 1:14:02 pm,Pinnacle,Golden State Warriors,Portland Trail Blazers,-7.5,-117,7.5,100,122,112,-9,9
12/19 1:13:50 pm,Pinnacle,Golden State Warriors,Portland Trail Blazers,-7.5,-119,7.5,102,122,112,-9,9
12/19 1:13:26 pm,Pinnacle,Golden State Warriors,Portland Trail Blazers,-7.5,-120,7.5,103,122,112,-9,9
12/19 1:13:17 pm,Pinnacle,Golden State Warriors,Portland Trail Blazers,-7.5,-109,7.5,-107,122,112,-9,9
12/19 1:13:11 pm,Pinnacle,Golden State Warriors,Portland Trail Blazers,-7.5,-108,7.5,-108,122,112,-9,9
12/19 1:12:56 pm,Pinnacle,Golden State Warriors,Portland Trail Blazers,-7.5,-107,7.5,-109,122,112,-9,9
12/19 1:12:47 pm,Pinnacle,Golden State Warriors,Portland Trail Blazers,-7.5,-108,7.5,-108,122,112,-9,9
12/19 1:12:20 pm,Pinnacle,Golden State Warriors,Portland Trail Blazers,-7.5,-109,7.5,-107,122,112,-9,9
12/19 1:12:11 pm,Pinnacle,Golden State Warriors,Portland Trail Blazers,-7.5,-106,7.5,-110,122,112,-9,9
12/19 1:11:59 pm,Pinnacle,Golden State Warriors,Portland Trail Blazers,-7.5,-108,7.5,-108,122,112,-9,9
12/19 1:08:02 pm,Pinnacle,Golden State Warriors,Portland Trail Blazers,-1.0,-310,1.0,254,122,112,-9,9
12/19 1:07:44 pm,Pinnacle,Golden State Warriors,Portland Trail Blazers,-5.5,-107,5.5,-124,122,112,-9,9
12/19 1:07:42 pm,Pinnacle,Golden State Warriors,Portland Trail Blazers,-5.5,-109,5.5,-122,122,112,-9,9
12/19 1:07:37 pm,Pinnacle,Golden State Warriors,Portland Trail Blazers,-5.0,-121,5.0,-110,122,112,-9,9
12/19 1:07:32 pm,Pinnacle,Golden State Warriors,Portland Trail Blazers,-6.0,-121,6.0,-110,122,112,-9,9
12/19 1:07:23 pm,Pinnacle,Golden State Warriors,Portland Trail Blazers,-6.0,-131,6.0,-101,122,112,-9,9
12/19 1:07:08 pm,Pinnacle,Golden State Warriors,Portland Trail Blazers,-6.0,-129,6.0,-102,122,112,-9,9
12/19 1:07:05 pm,Pinnacle,Golden State Warriors,Portland Trail Blazers,-6.0,-121,6.0,-109,122,112,-9,9
12/19 1:06:56 pm,Pinnacle,Golden State Warriors,Portland Trail Blazers,-7.0,-107,7.0,-124,122,112,-9,9
12/19 1:06:44 pm,Pinnacle,Golden State Warriors,Portland Trail Blazers,-7.0,-124,7.0,-107,122,112,-9,9
12/19 1:06:41 pm,Pinnacle,Golden State Warriors,Portland Trail Blazers,-7.0,-123,7.0,-108,122,112,-9,9
12/19 1:06:26 pm,Pinnacle,Golden State Warriors,Portland Trail Blazers,-7.5,-126,7.5,-105,122,112,-9,9
12/19 1:05:05 pm,Pinnacle,Golden State Warriors,Portland Trail Blazers,-8.0,-112,8.0,-104,122,112,-9,9
12/19 1:04:50 pm,Pinnacle,Golden State Warriors,Portland Trail Blazers,-8.0,-111,8.0,-105,122,112,-9,9
12/19 1:04:26 pm,Pinnacle,Golden State Warriors,Portland Trail Blazers,-8.0,-109,8.0,-107,122,112,-9,9
