Time,Book,Away Team,Home Team,Home Line,Home Odds,Away Line,Away Odds,Home Score,Away Score,Home Line Open,Away Line Open
11/23 12:12:58 pm,Pinnacle,Golden State Warriors,Utah Jazz,-7.0,-112,7.0,-104,113,109,-16,16
11/23 12:12:51 pm,Pinnacle,Golden State Warriors,Utah Jazz,-7.0,-110,7.0,-106,113,109,-16,16
11/23 12:12:42 pm,Pinnacle,Golden State Warriors,Utah Jazz,-7.0,-112,7.0,-104,113,109,-16,16
11/23 12:12:40 pm,Pinnacle,Golden State Warriors,Utah Jazz,-7.0,-110,7.0,-106,113,109,-16,16
11/23 12:12:21 pm,Pinnacle,Golden State Warriors,Utah Jazz,-7.0,-108,7.0,-108,113,109,-16,16
11/23 12:12:16 pm,Pinnacle,Golden State Warriors,Utah Jazz,-7.0,-109,7.0,-107,113,109,-16,16
11/23 12:12:13 pm,Pinnacle,Golden State Warriors,Utah Jazz,-7.0,-108,7.0,-108,113,109,-16,16
11/23 12:12:09 pm,Pinnacle,Golden State Warriors,Utah Jazz,-7.0,-109,7.0,-107,113,109,-16,16
11/23 12:12:07 pm,Pinnacle,Golden State Warriors,Utah Jazz,-7.0,-112,7.0,-104,113,109,-16,16
11/23 12:12:04 pm,Pinnacle,Golden State Warriors,Utah Jazz,-7.0,-118,7.0,101,113,109,-16,16
11/23 12:12:01 pm,Pinnacle,Golden State Warriors,Utah Jazz,-7.0,-122,7.0,105,113,109,-16,16
11/23 12:11:54 pm,Pinnacle,Golden State Warriors,Utah Jazz,-7.0,-125,7.0,107,113,109,-16,16
11/23 12:05:30 pm,Pinnacle,Golden State Warriors,Utah Jazz,-13.5,-125,13.5,107,113,109,-16,16
11/23 12:05:28 pm,Pinnacle,Golden State Warriors,Utah Jazz,-13.5,-124,13.5,106,113,109,-16,16
11/23 12:04:34 pm,Pinnacle,Golden State Warriors,Utah Jazz,-13.5,-125,13.5,107,113,109,-16,16
11/23 12:04:27 pm,Pinnacle,Golden State Warriors,Utah Jazz,-13.5,-128,13.5,109,113,109,-16,16
11/23 12:04:25 pm,Pinnacle,Golden State Warriors,Utah Jazz,-13.5,-131,13.5,112,113,109,-16,16
11/23 12:03:46 pm,Pinnacle,Golden State Warriors,Utah Jazz,-13.5,-125,13.5,107,113,109,-16,16
11/23 12:03:37 pm,Pinnacle,Golden State Warriors,Utah Jazz,-13.5,-124,13.5,106,113,109,-16,16
11/23 12:03:10 pm,Pinnacle,Golden State Warriors,Utah Jazz,-13.5,-125,13.5,107,113,109,-16,16
11/23 12:02:15 pm,Pinnacle,Golden State Warriors,Utah Jazz,-15.5,-134,15.5,101,113,109,-16,16
11/23 12:02:09 pm,Pinnacle,Golden State Warriors,Utah Jazz,-15.5,-114,15.5,-116,113,109,-16,16
11/23 12:02:00 pm,Pinnacle,Golden State Warriors,Utah Jazz,-17.0,-122,17.0,-108,113,109,-16,16
11/23 12:01:58 pm,Pinnacle,Golden State Warriors,Utah Jazz,-18.0,108,18.0,-144,113,109,-16,16
11/23 12:01:55 pm,Pinnacle,Golden State Warriors,Utah Jazz,-18.0,-116,18.0,-114,113,109,-16,16
