Time,Book,Away Team,Home Team,Home Line,Home Odds,Away Line,Away Odds,Home Score,Away Score,Home Line Open,Away Line Open
2/4 10:19:12 am,Pinnacle,Golden State Warriors,Washington Wizards,5.5,100,-5.5,-117,117,125,-6.5,6.5
2/4 10:19:06 am,Pinnacle,Golden State Warriors,Washington Wizards,5.5,-101,-5.5,-115,117,125,-6.5,6.5
2/4 10:19:03 am,Pinnacle,Golden State Warriors,Washington Wizards,5.5,112,-5.5,-131,117,125,-6.5,6.5
2/4 10:18:57 am,Pinnacle,Golden State Warriors,Washington Wizards,5.5,113,-5.5,-132,117,125,-6.5,6.5
2/4 10:18:48 am,Pinnacle,Golden State Warriors,Washington Wizards,5.5,105,-5.5,-122,117,125,-6.5,6.5
2/4 10:18:42 am,Pinnacle,Golden State Warriors,Washington Wizards,5.5,-108,-5.5,-108,117,125,-6.5,6.5
2/4 10:15:27 am,Pinnacle,Golden State Warriors,Washington Wizards,4.0,107,-4.0,-125,117,125,-6.5,6.5
2/4 10:14:51 am,Pinnacle,Golden State Warriors,Washington Wizards,4.0,105,-4.0,-123,117,125,-6.5,6.5
2/4 10:14:34 am,Pinnacle,Golden State Warriors,Washington Wizards,4.0,106,-4.0,-124,117,125,-6.5,6.5
2/4 10:14:03 am,Pinnacle,Golden State Warriors,Washington Wizards,4.0,107,-4.0,-125,117,125,-6.5,6.5
2/4 10:13:51 am,Pinnacle,Golden State Warriors,Washington Wizards,4.0,109,-4.0,-127,117,125,-6.5,6.5
2/4 10:13:39 am,Pinnacle,Golden State Warriors,Washington Wizards,4.0,107,-4.0,-125,117,125,-6.5,6.5
2/4 10:13:36 am,Pinnacle,Golden State Warriors,Washington Wizards,4.0,105,-4.0,-122,117,125,-6.5,6.5
2/4 10:13:18 am,Pinnacle,Golden State Warriors,Washington Wizards,4.0,100,-4.0,-117,117,125,-6.5,6.5
2/4 10:08:57 am,Pinnacle,Golden State Warriors,Washington Wizards,8.0,-109,-8.0,-121,117,125,-6.5,6.5
2/4 10:08:39 am,Pinnacle,Golden State Warriors,Washington Wizards,9.0,-108,-9.0,-122,117,125,-6.5,6.5
2/4 10:08:36 am,Pinnacle,Golden State Warriors,Washington Wizards,9.0,-106,-9.0,-125,117,125,-6.5,6.5
2/4 10:08:27 am,Pinnacle,Golden State Warriors,Washington Wizards,9.0,-108,-9.0,-122,117,125,-6.5,6.5
2/4 10:08:19 am,Pinnacle,Golden State Warriors,Washington Wizards,9.0,-106,-9.0,-125,117,125,-6.5,6.5
2/4 10:08:06 am,Pinnacle,Golden State Warriors,Washington Wizards,9.0,-106,-9.0,-124,117,125,-6.5,6.5
2/4 10:07:51 am,Pinnacle,Golden State Warriors,Washington Wizards,8.0,-110,-8.0,-120,117,125,-6.5,6.5
2/4 10:07:48 am,Pinnacle,Golden State Warriors,Washington Wizards,8.0,-110,-8.0,-120,117,125,-6.5,6.5
2/4 10:07:30 am,Pinnacle,Golden State Warriors,Washington Wizards,7.5,-116,-7.5,-114,117,125,-6.5,6.5
2/4 10:07:24 am,Pinnacle,Golden State Warriors,Washington Wizards,7.5,-118,-7.5,-112,117,125,-6.5,6.5
2/4 10:07:22 am,Pinnacle,Golden State Warriors,Washington Wizards,7.5,-119,-7.5,-111,117,125,-6.5,6.5
2/4 10:07:18 am,Pinnacle,Golden State Warriors,Washington Wizards,7.0,-109,-7.0,-122,117,125,-6.5,6.5
2/4 10:07:15 am,Pinnacle,Golden State Warriors,Washington Wizards,7.0,-110,-7.0,-121,117,125,-6.5,6.5
2/4 10:07:12 am,Pinnacle,Golden State Warriors,Washington Wizards,7.0,-111,-7.0,-119,117,125,-6.5,6.5
