Time,Book,Away Team,Home Team,Home Line,Home Odds,Away Line,Away Odds,Home Score,Away Score,Home Line Open,Away Line Open
11/10 11:13:09 am,Pinnacle,Houston Rockets,Chicago Bulls,18.5,-130,-18.5,112,94,117,6.5,-6.5
11/10 11:13:02 am,Pinnacle,Houston Rockets,Chicago Bulls,18.5,-133,-18.5,114,94,117,6.5,-6.5
11/10 11:12:59 am,Pinnacle,Houston Rockets,Chicago Bulls,18.5,-134,-18.5,115,94,117,6.5,-6.5
11/10 11:12:56 am,Pinnacle,Houston Rockets,Chicago Bulls,18.5,-137,-18.5,117,94,117,6.5,-6.5
11/10 11:12:45 am,Pinnacle,Houston Rockets,Chicago Bulls,18.5,-140,-18.5,120,94,117,6.5,-6.5
11/10 11:12:42 am,Pinnacle,Houston Rockets,Chicago Bulls,18.5,-141,-18.5,121,94,117,6.5,-6.5
11/10 11:12:33 am,Pinnacle,Houston Rockets,Chicago Bulls,18.5,-133,-18.5,114,94,117,6.5,-6.5
11/10 11:12:26 am,Pinnacle,Houston Rockets,Chicago Bulls,18.5,-115,-18.5,-102,94,117,6.5,-6.5
11/10 11:12:08 am,Pinnacle,Houston Rockets,Chicago Bulls,18.5,-109,-18.5,-107,94,117,6.5,-6.5
11/10 11:08:53 am,Pinnacle,Houston Rockets,Chicago Bulls,18.0,-125,-18.0,-106,94,117,6.5,-6.5
11/10 11:08:50 am,Pinnacle,Houston Rockets,Chicago Bulls,17.5,-111,-17.5,-119,94,117,6.5,-6.5
11/10 11:08:17 am,Pinnacle,Houston Rockets,Chicago Bulls,17.0,-107,-17.0,-124,94,117,6.5,-6.5
11/10 11:08:15 am,Pinnacle,Houston Rockets,Chicago Bulls,16.0,-111,-16.0,-119,94,117,6.5,-6.5
11/10 11:08:11 am,Pinnacle,Houston Rockets,Chicago Bulls,18.0,-115,-18.0,-115,94,117,6.5,-6.5
11/10 11:08:00 am,Pinnacle,Houston Rockets,Chicago Bulls,18.0,-109,-18.0,-121,94,117,6.5,-6.5
11/10 11:07:54 am,Pinnacle,Houston Rockets,Chicago Bulls,18.0,-108,-18.0,-122,94,117,6.5,-6.5
11/10 11:07:47 am,Pinnacle,Houston Rockets,Chicago Bulls,18.0,-114,-18.0,-116,94,117,6.5,-6.5
11/10 11:07:36 am,Pinnacle,Houston Rockets,Chicago Bulls,18.0,-111,-18.0,-119,94,117,6.5,-6.5
11/10 11:07:33 am,Pinnacle,Houston Rockets,Chicago Bulls,18.0,-108,-18.0,-122,94,117,6.5,-6.5
11/10 11:07:27 am,Pinnacle,Houston Rockets,Chicago Bulls,19.0,-118,-19.0,-112,94,117,6.5,-6.5
11/10 11:07:21 am,Pinnacle,Houston Rockets,Chicago Bulls,20.0,-115,-20.0,-115,94,117,6.5,-6.5
11/10 11:07:15 am,Pinnacle,Houston Rockets,Chicago Bulls,20.0,-114,-20.0,-116,94,117,6.5,-6.5
11/10 11:07:05 am,Pinnacle,Houston Rockets,Chicago Bulls,19.0,-111,-19.0,-120,94,117,6.5,-6.5
11/10 11:07:03 am,Pinnacle,Houston Rockets,Chicago Bulls,19.0,-117,-19.0,-113,94,117,6.5,-6.5
11/10 11:07:00 am,Pinnacle,Houston Rockets,Chicago Bulls,19.0,-118,-19.0,-113,94,117,6.5,-6.5
11/10 11:06:56 am,Pinnacle,Houston Rockets,Chicago Bulls,19.0,-107,-19.0,-124,94,117,6.5,-6.5
11/10 11:06:51 am,Pinnacle,Houston Rockets,Chicago Bulls,17.0,-107,-17.0,-124,94,117,6.5,-6.5
11/10 11:06:48 am,Pinnacle,Houston Rockets,Chicago Bulls,16.0,-102,-16.0,-130,94,117,6.5,-6.5
11/10 11:06:36 am,Pinnacle,Houston Rockets,Chicago Bulls,16.0,-109,-16.0,-122,94,117,6.5,-6.5
11/10 11:05:56 am,Pinnacle,Houston Rockets,Chicago Bulls,17.5,-124,-17.5,-106,94,117,6.5,-6.5
11/10 11:05:50 am,Pinnacle,Houston Rockets,Chicago Bulls,16.0,-107,-16.0,-123,94,117,6.5,-6.5
11/10 11:05:41 am,Pinnacle,Houston Rockets,Chicago Bulls,16.5,-107,-16.5,-124,94,117,6.5,-6.5
11/10 11:05:33 am,Pinnacle,Houston Rockets,Chicago Bulls,17.5,-124,-17.5,-107,94,117,6.5,-6.5
11/10 11:05:27 am,Pinnacle,Houston Rockets,Chicago Bulls,16.0,-117,-16.0,-113,94,117,6.5,-6.5
