Time,Book,Away Team,Home Team,Home Line,Home Odds,Away Line,Away Odds,Home Score,Away Score,Home Line Open,Away Line Open
12/20 2:07:27 pm,Pinnacle,Houston Rockets,Los Angeles Clippers,5.0,116,-5.0,-135,117,122,-5,5
12/20 2:07:24 pm,Pinnacle,Houston Rockets,Los Angeles Clippers,5.0,113,-5.0,-132,117,122,-5,5
12/20 2:07:22 pm,Pinnacle,Houston Rockets,Los Angeles Clippers,5.0,112,-5.0,-130,117,122,-5,5
12/20 2:07:15 pm,Pinnacle,Houston Rockets,Los Angeles Clippers,5.0,110,-5.0,-129,117,122,-5,5
12/20 2:07:06 pm,Pinnacle,Houston Rockets,Los Angeles Clippers,5.0,111,-5.0,-130,117,122,-5,5
12/20 2:06:57 pm,Pinnacle,Houston Rockets,Los Angeles Clippers,5.0,107,-5.0,-125,117,122,-5,5
12/20 2:06:51 pm,Pinnacle,Houston Rockets,Los Angeles Clippers,5.0,121,-5.0,-142,117,122,-5,5
12/20 2:06:48 pm,Pinnacle,Houston Rockets,Los Angeles Clippers,5.0,119,-5.0,-139,117,122,-5,5
12/20 2:06:42 pm,Pinnacle,Houston Rockets,Los Angeles Clippers,5.0,105,-5.0,-123,117,122,-5,5
12/20 2:06:40 pm,Pinnacle,Houston Rockets,Los Angeles Clippers,5.0,104,-5.0,-122,117,122,-5,5
12/20 2:06:30 pm,Pinnacle,Houston Rockets,Los Angeles Clippers,5.0,103,-5.0,-120,117,122,-5,5
12/20 2:06:24 pm,Pinnacle,Houston Rockets,Los Angeles Clippers,5.0,101,-5.0,-118,117,122,-5,5
12/20 2:06:15 pm,Pinnacle,Houston Rockets,Los Angeles Clippers,5.0,-101,-5.0,-116,117,122,-5,5
12/20 2:01:37 pm,Pinnacle,Houston Rockets,Los Angeles Clippers,0.0,-142,0.0,121,117,122,-5,5
12/20 2:01:30 pm,Pinnacle,Houston Rockets,Los Angeles Clippers,0.0,-140,0.0,120,117,122,-5,5
12/20 2:01:18 pm,Pinnacle,Houston Rockets,Los Angeles Clippers,0.0,-143,0.0,122,117,122,-5,5
12/20 2:01:09 pm,Pinnacle,Houston Rockets,Los Angeles Clippers,0.0,-144,0.0,123,117,122,-5,5
12/20 2:01:06 pm,Pinnacle,Houston Rockets,Los Angeles Clippers,0.0,-146,0.0,124,117,122,-5,5
12/20 2:01:00 pm,Pinnacle,Houston Rockets,Los Angeles Clippers,0.0,-150,0.0,128,117,122,-5,5
12/20 2:00:57 pm,Pinnacle,Houston Rockets,Los Angeles Clippers,0.0,-155,0.0,132,117,122,-5,5
12/20 2:00:54 pm,Pinnacle,Houston Rockets,Los Angeles Clippers,0.0,-148,0.0,126,117,122,-5,5
12/20 2:00:31 pm,Pinnacle,Houston Rockets,Los Angeles Clippers,0.0,-155,0.0,132,117,122,-5,5
12/20 1:56:03 pm,Pinnacle,Houston Rockets,Los Angeles Clippers,-4.0,-121,4.0,104,117,122,-5,5
12/20 1:55:52 pm,Pinnacle,Houston Rockets,Los Angeles Clippers,-4.0,-119,4.0,102,117,122,-5,5
12/20 1:55:45 pm,Pinnacle,Houston Rockets,Los Angeles Clippers,-4.0,-118,4.0,101,117,122,-5,5
12/20 1:55:36 pm,Pinnacle,Houston Rockets,Los Angeles Clippers,-4.0,-119,4.0,102,117,122,-5,5
12/20 1:55:33 pm,Pinnacle,Houston Rockets,Los Angeles Clippers,-4.0,-118,4.0,101,117,122,-5,5
12/20 1:55:30 pm,Pinnacle,Houston Rockets,Los Angeles Clippers,-4.0,-116,4.0,-100,117,122,-5,5
12/20 1:55:24 pm,Pinnacle,Houston Rockets,Los Angeles Clippers,-4.0,-115,4.0,-102,117,122,-5,5
12/20 1:55:21 pm,Pinnacle,Houston Rockets,Los Angeles Clippers,-4.0,-101,4.0,-116,117,122,-5,5
12/20 1:53:00 pm,Pinnacle,Houston Rockets,Los Angeles Clippers,-15.0,136,15.0,-150,117,122,-5,5
12/20 1:52:15 pm,Pinnacle,Houston Rockets,Los Angeles Clippers,2.0,-122,-2.0,-108,117,122,-5,5
12/20 1:52:12 pm,Pinnacle,Houston Rockets,Los Angeles Clippers,2.5,-127,-2.5,-104,117,122,-5,5
12/20 1:52:10 pm,Pinnacle,Houston Rockets,Los Angeles Clippers,1.5,-127,-1.5,-104,117,122,-5,5
