Time,Book,Away Team,Home Team,Home Line,Home Odds,Away Line,Away Odds,Home Score,Away Score,Home Line Open,Away Line Open
11/5 11:10:39 am,Pinnacle,Houston Rockets,Memphis Grizzlies,11.5,-125,-11.5,107,100,107,5.5,-5.5
11/5 11:10:36 am,Pinnacle,Houston Rockets,Memphis Grizzlies,11.5,-121,-11.5,103,100,107,5.5,-5.5
11/5 11:10:33 am,Pinnacle,Houston Rockets,Memphis Grizzlies,11.5,-123,-11.5,106,100,107,5.5,-5.5
11/5 11:10:27 am,Pinnacle,Houston Rockets,Memphis Grizzlies,11.5,-121,-11.5,103,100,107,5.5,-5.5
11/5 11:10:18 am,Pinnacle,Houston Rockets,Memphis Grizzlies,11.5,-120,-11.5,103,100,107,5.5,-5.5
11/5 11:10:15 am,Pinnacle,Houston Rockets,Memphis Grizzlies,11.5,-118,-11.5,101,100,107,5.5,-5.5
11/5 11:10:12 am,Pinnacle,Houston Rockets,Memphis Grizzlies,11.5,-102,-11.5,-115,100,107,5.5,-5.5
11/5 11:10:06 am,Pinnacle,Houston Rockets,Memphis Grizzlies,11.5,-105,-11.5,-111,100,107,5.5,-5.5
11/5 11:03:06 am,Pinnacle,Houston Rockets,Memphis Grizzlies,9.5,-103,-9.5,-114,100,107,5.5,-5.5
11/5 11:02:21 am,Pinnacle,Houston Rockets,Memphis Grizzlies,9.5,-103,-9.5,-113,100,107,5.5,-5.5
11/5 11:02:00 am,Pinnacle,Houston Rockets,Memphis Grizzlies,9.5,-101,-9.5,-116,100,107,5.5,-5.5
11/5 11:01:48 am,Pinnacle,Houston Rockets,Memphis Grizzlies,9.5,-106,-9.5,-110,100,107,5.5,-5.5
11/5 11:01:21 am,Pinnacle,Houston Rockets,Memphis Grizzlies,9.5,-107,-9.5,-109,100,107,5.5,-5.5
11/5 11:00:36 am,Pinnacle,Houston Rockets,Memphis Grizzlies,9.5,-114,-9.5,-116,100,107,5.5,-5.5
11/5 11:00:33 am,Pinnacle,Houston Rockets,Memphis Grizzlies,10.5,-147,-10.5,111,100,107,5.5,-5.5
11/5 11:00:30 am,Pinnacle,Houston Rockets,Memphis Grizzlies,10.5,-138,-10.5,104,100,107,5.5,-5.5
11/5 11:00:27 am,Pinnacle,Houston Rockets,Memphis Grizzlies,10.5,-123,-10.5,-108,100,107,5.5,-5.5
11/5 11:00:21 am,Pinnacle,Houston Rockets,Memphis Grizzlies,10.5,-113,-10.5,-117,100,107,5.5,-5.5
11/5 11:00:15 am,Pinnacle,Houston Rockets,Memphis Grizzlies,10.5,-112,-10.5,-118,100,107,5.5,-5.5
11/5 11:00:03 am,Pinnacle,Houston Rockets,Memphis Grizzlies,11.0,-106,-11.0,-125,100,107,5.5,-5.5
11/5 11:00:00 am,Pinnacle,Houston Rockets,Memphis Grizzlies,12.0,-108,-12.0,-122,100,107,5.5,-5.5
11/5 10:59:48 am,Pinnacle,Houston Rockets,Memphis Grizzlies,11.5,-124,-11.5,-107,100,107,5.5,-5.5
11/5 10:59:15 am,Pinnacle,Houston Rockets,Memphis Grizzlies,11.0,-123,-11.0,-107,100,107,5.5,-5.5
11/5 10:59:12 am,Pinnacle,Houston Rockets,Memphis Grizzlies,10.5,-118,-10.5,-112,100,107,5.5,-5.5
11/5 10:59:06 am,Pinnacle,Houston Rockets,Memphis Grizzlies,10.0,105,-10.0,-139,100,107,5.5,-5.5
11/5 10:58:27 am,Pinnacle,Houston Rockets,Memphis Grizzlies,10.0,-119,-10.0,-111,100,107,5.5,-5.5
11/5 10:58:24 am,Pinnacle,Houston Rockets,Memphis Grizzlies,10.0,-117,-10.0,-113,100,107,5.5,-5.5
11/5 10:58:18 am,Pinnacle,Houston Rockets,Memphis Grizzlies,9.5,101,-9.5,-118,100,107,5.5,-5.5
11/5 10:56:46 am,Pinnacle,Houston Rockets,Memphis Grizzlies,9.5,100,-9.5,-117,100,107,5.5,-5.5
11/5 10:56:45 am,Pinnacle,Houston Rockets,Memphis Grizzlies,9.5,103,-9.5,-121,100,107,5.5,-5.5
11/5 10:56:45 am,Pinnacle,Houston Rockets,Memphis Grizzlies,9.5,100,-9.5,-117,100,107,5.5,-5.5
11/5 10:56:39 am,Pinnacle,Houston Rockets,Memphis Grizzlies,9.5,103,-9.5,-121,100,107,5.5,-5.5
11/5 10:56:21 am,Pinnacle,Houston Rockets,Memphis Grizzlies,9.5,-101,-9.5,-116,100,107,5.5,-5.5
11/5 10:56:03 am,Pinnacle,Houston Rockets,Memphis Grizzlies,9.5,-104,-9.5,-112,100,107,5.5,-5.5
11/5 10:55:39 am,Pinnacle,Houston Rockets,Memphis Grizzlies,10.0,-122,-10.0,-109,100,107,5.5,-5.5
11/5 10:55:24 am,Pinnacle,Houston Rockets,Memphis Grizzlies,10.0,-118,-10.0,-112,100,107,5.5,-5.5
