Time,Book,Away Team,Home Team,Home Line,Home Odds,Away Line,Away Odds,Home Score,Away Score,Home Line Open,Away Line Open
11/4 9:15:42 am,Pinnacle,Houston Rockets,Miami Heat,-30.5,100,30.5,-117,129,100,3,-3
11/4 9:14:36 am,Pinnacle,Houston Rockets,Miami Heat,-30.5,103,30.5,-120,129,100,3,-3
11/4 9:14:00 am,Pinnacle,Houston Rockets,Miami Heat,-30.5,100,30.5,-117,129,100,3,-3
11/4 9:13:36 am,Pinnacle,Houston Rockets,Miami Heat,-30.5,102,30.5,-119,129,100,3,-3
11/4 9:13:24 am,Pinnacle,Houston Rockets,Miami Heat,-30.5,100,30.5,-117,129,100,3,-3
11/4 9:13:15 am,Pinnacle,Houston Rockets,Miami Heat,-30.5,-104,30.5,-112,129,100,3,-3
11/4 9:11:00 am,Pinnacle,Houston Rockets,Miami Heat,-30.0,-109,30.0,-121,129,100,3,-3
11/4 9:10:51 am,Pinnacle,Houston Rockets,Miami Heat,-30.5,-119,30.5,-111,129,100,3,-3
11/4 9:10:39 am,Pinnacle,Houston Rockets,Miami Heat,-32.0,-106,32.0,-124,129,100,3,-3
11/4 9:09:42 am,Pinnacle,Houston Rockets,Miami Heat,-31.5,-109,31.5,-121,129,100,3,-3
11/4 9:09:39 am,Pinnacle,Houston Rockets,Miami Heat,-31.5,-108,31.5,-123,129,100,3,-3
11/4 9:09:33 am,Pinnacle,Houston Rockets,Miami Heat,-32.0,-121,32.0,-109,129,100,3,-3
11/4 9:09:30 am,Pinnacle,Houston Rockets,Miami Heat,-32.0,-116,32.0,-114,129,100,3,-3
11/4 9:09:24 am,Pinnacle,Houston Rockets,Miami Heat,-31.0,-125,31.0,-106,129,100,3,-3
11/4 9:09:21 am,Pinnacle,Houston Rockets,Miami Heat,-29.0,-129,29.0,-103,129,100,3,-3
11/4 9:09:16 am,Pinnacle,Houston Rockets,Miami Heat,-29.0,-125,29.0,-105,129,100,3,-3
11/4 9:09:09 am,Pinnacle,Houston Rockets,Miami Heat,-30.5,-122,30.5,-108,129,100,3,-3
11/4 9:09:03 am,Pinnacle,Houston Rockets,Miami Heat,-30.5,-124,30.5,-107,129,100,3,-3
11/4 9:08:57 am,Pinnacle,Houston Rockets,Miami Heat,-30.5,-115,30.5,-115,129,100,3,-3
11/4 9:08:54 am,Pinnacle,Houston Rockets,Miami Heat,-29.0,-124,29.0,-107,129,100,3,-3
11/4 9:08:48 am,Pinnacle,Houston Rockets,Miami Heat,-29.0,-119,29.0,-112,129,100,3,-3
11/4 9:08:42 am,Pinnacle,Houston Rockets,Miami Heat,-30.0,-119,30.0,-111,129,100,3,-3
11/4 9:08:33 am,Pinnacle,Houston Rockets,Miami Heat,-30.0,-122,30.0,-108,129,100,3,-3
11/4 9:08:27 am,Pinnacle,Houston Rockets,Miami Heat,-30.0,-120,30.0,-110,129,100,3,-3
11/4 9:08:15 am,Pinnacle,Houston Rockets,Miami Heat,-31.5,-108,31.5,-123,129,100,3,-3
11/4 9:08:09 am,Pinnacle,Houston Rockets,Miami Heat,-32.5,-110,32.5,-120,129,100,3,-3
11/4 9:07:42 am,Pinnacle,Houston Rockets,Miami Heat,-32.5,-101,32.5,-131,129,100,3,-3
11/4 9:07:39 am,Pinnacle,Houston Rockets,Miami Heat,-32.5,-112,32.5,-118,129,100,3,-3
11/4 9:07:36 am,Pinnacle,Houston Rockets,Miami Heat,-31.5,-118,31.5,-112,129,100,3,-3
11/4 9:07:24 am,Pinnacle,Houston Rockets,Miami Heat,-31.5,-114,31.5,-116,129,100,3,-3
11/4 9:07:21 am,Pinnacle,Houston Rockets,Miami Heat,-31.5,-115,31.5,-115,129,100,3,-3
11/4 9:06:48 am,Pinnacle,Houston Rockets,Miami Heat,-32.0,-124,32.0,-107,129,100,3,-3
11/4 9:06:21 am,Pinnacle,Houston Rockets,Miami Heat,-34.0,-113,34.0,-117,129,100,3,-3
11/4 9:06:09 am,Pinnacle,Houston Rockets,Miami Heat,-35.5,-108,35.5,-122,129,100,3,-3
11/4 9:06:00 am,Pinnacle,Houston Rockets,Miami Heat,-34.0,-119,34.0,-111,129,100,3,-3
11/4 9:04:48 am,Pinnacle,Houston Rockets,Miami Heat,-34.0,-117,34.0,100,129,100,3,-3
11/4 9:04:09 am,Pinnacle,Houston Rockets,Miami Heat,-34.0,-111,34.0,-105,129,100,3,-3
11/4 9:03:27 am,Pinnacle,Houston Rockets,Miami Heat,-34.0,-108,34.0,-108,129,100,3,-3
11/4 9:03:12 am,Pinnacle,Houston Rockets,Miami Heat,-34.0,-114,34.0,-116,129,100,3,-3
11/4 9:03:09 am,Pinnacle,Houston Rockets,Miami Heat,-34.0,-120,34.0,-110,129,100,3,-3
11/4 9:02:54 am,Pinnacle,Houston Rockets,Miami Heat,-34.0,-115,34.0,-115,129,100,3,-3
