Time,Book,Away Team,Home Team,Home Line,Home Odds,Away Line,Away Odds,Home Score,Away Score,Home Line Open,Away Line Open
12/30 11:13:51 am,Pinnacle,Houston Rockets,New Orleans Pelicans,-15.5,126,15.5,-147,127,112,-5,5
12/30 11:13:24 am,Pinnacle,Houston Rockets,New Orleans Pelicans,-15.5,128,15.5,-150,127,112,-5,5
12/30 11:13:21 am,Pinnacle,Houston Rockets,New Orleans Pelicans,-15.5,122,15.5,-143,127,112,-5,5
12/30 11:07:45 am,Pinnacle,Houston Rockets,New Orleans Pelicans,-9.0,107,9.0,-125,127,112,-5,5
12/30 11:07:36 am,Pinnacle,Houston Rockets,New Orleans Pelicans,-9.0,106,9.0,-123,127,112,-5,5
12/30 11:07:33 am,Pinnacle,Houston Rockets,New Orleans Pelicans,-9.0,105,9.0,-122,127,112,-5,5
12/30 11:07:25 am,Pinnacle,Houston Rockets,New Orleans Pelicans,-9.0,100,9.0,-117,127,112,-5,5
12/30 11:07:18 am,Pinnacle,Houston Rockets,New Orleans Pelicans,-9.0,-105,9.0,-111,127,112,-5,5
12/30 11:07:12 am,Pinnacle,Houston Rockets,New Orleans Pelicans,-9.0,-106,9.0,-110,127,112,-5,5
12/30 11:07:06 am,Pinnacle,Houston Rockets,New Orleans Pelicans,-9.0,-107,9.0,-109,127,112,-5,5
12/30 11:06:48 am,Pinnacle,Houston Rockets,New Orleans Pelicans,-9.0,-108,9.0,-108,127,112,-5,5
12/30 11:01:42 am,Pinnacle,Houston Rockets,New Orleans Pelicans,-6.5,-120,6.5,-110,127,112,-5,5
12/30 11:01:39 am,Pinnacle,Houston Rockets,New Orleans Pelicans,-6.5,-121,6.5,-109,127,112,-5,5
12/30 11:01:30 am,Pinnacle,Houston Rockets,New Orleans Pelicans,-7.5,106,7.5,-141,127,112,-5,5
12/30 11:01:27 am,Pinnacle,Houston Rockets,New Orleans Pelicans,-7.5,105,7.5,-139,127,112,-5,5
12/30 11:01:21 am,Pinnacle,Houston Rockets,New Orleans Pelicans,-7.5,-105,7.5,-126,127,112,-5,5
12/30 11:01:15 am,Pinnacle,Houston Rockets,New Orleans Pelicans,-6.5,-123,6.5,-108,127,112,-5,5
