Time,Book,Away Team,Home Team,Home Line,Home Odds,Away Line,Away Odds,Home Score,Away Score,Home Line Open,Away Line Open
3/3 10:23:48 am,RedZone,Houston Rockets,New York Knicks,-1.5,149,1.5,-190,125,123,9.5,-9.5
3/3 10:23:29 am,RedZone,Houston Rockets,New York Knicks,-1.5,-108,1.5,-115,125,123,9.5,-9.5
3/3 10:23:19 am,RedZone,Houston Rockets,New York Knicks,-1.5,-129,1.5,104,125,123,9.5,-9.5
3/3 10:22:55 am,RedZone,Houston Rockets,New York Knicks,-2.5,109,2.5,-137,125,123,9.5,-9.5
3/3 10:22:37 am,RedZone,Houston Rockets,New York Knicks,-2.5,-106,2.5,-117,125,123,9.5,-9.5
3/3 10:22:17 am,RedZone,Houston Rockets,New York Knicks,-1.5,-139,1.5,110,125,123,9.5,-9.5
3/3 10:20:58 am,RedZone,Houston Rockets,New York Knicks,-1.5,-125,1.5,101,125,123,9.5,-9.5
3/3 10:20:29 am,RedZone,Houston Rockets,New York Knicks,-2.5,104,2.5,-129,125,123,9.5,-9.5
3/3 10:20:23 am,RedZone,Houston Rockets,New York Knicks,-2.5,-112,2.5,-112,125,123,9.5,-9.5
3/3 10:20:03 am,RedZone,Houston Rockets,New York Knicks,-3.5,-134,3.5,107,125,123,9.5,-9.5
3/3 10:19:49 am,RedZone,Houston Rockets,New York Knicks,-3.5,104,3.5,-129,125,123,9.5,-9.5
3/3 10:19:40 am,RedZone,Houston Rockets,New York Knicks,-3.5,107,3.5,-134,125,123,9.5,-9.5
3/3 10:19:18 am,RedZone,Houston Rockets,New York Knicks,-3.5,-103,3.5,-121,125,123,9.5,-9.5
3/3 10:19:08 am,RedZone,Houston Rockets,New York Knicks,-3.5,-121,3.5,-103,125,123,9.5,-9.5
3/3 10:18:48 am,RedZone,Houston Rockets,New York Knicks,-4.5,-108,4.5,-115,125,123,9.5,-9.5
3/3 10:18:22 am,RedZone,Houston Rockets,New York Knicks,-4.5,104,4.5,-129,125,123,9.5,-9.5
3/3 10:17:33 am,RedZone,Houston Rockets,New York Knicks,-3.5,-112,3.5,-112,125,123,9.5,-9.5
3/3 10:17:25 am,RedZone,Houston Rockets,New York Knicks,-3.5,-108,3.5,-115,125,123,9.5,-9.5
3/3 10:16:51 am,RedZone,Houston Rockets,New York Knicks,-1.5,-105,1.5,-118,125,123,9.5,-9.5
3/3 10:15:19 am,RedZone,Houston Rockets,New York Knicks,-2.5,-105,2.5,-118,125,123,9.5,-9.5
3/3 10:14:58 am,RedZone,Houston Rockets,New York Knicks,-2.5,-112,2.5,-112,125,123,9.5,-9.5
3/3 10:14:42 am,RedZone,Houston Rockets,New York Knicks,-2.5,-126,2.5,101,125,123,9.5,-9.5
3/3 10:14:23 am,RedZone,Houston Rockets,New York Knicks,-2.5,-118,2.5,-105,125,123,9.5,-9.5
3/3 10:14:18 am,RedZone,Houston Rockets,New York Knicks,-2.5,-112,2.5,-112,125,123,9.5,-9.5
3/3 10:14:11 am,RedZone,Houston Rockets,New York Knicks,-2.5,-108,2.5,-115,125,123,9.5,-9.5
3/3 10:13:53 am,RedZone,Houston Rockets,New York Knicks,-2.5,109,2.5,-138,125,123,9.5,-9.5
3/3 10:13:51 am,RedZone,Houston Rockets,New York Knicks,-3.5,109,3.5,-138,125,123,9.5,-9.5
3/3 10:13:34 am,RedZone,Houston Rockets,New York Knicks,-2.5,-130,2.5,104,125,123,9.5,-9.5
3/3 10:13:30 am,RedZone,Houston Rockets,New York Knicks,-0.5,-105,0.5,-118,125,123,9.5,-9.5
3/3 10:13:06 am,RedZone,Houston Rockets,New York Knicks,1.5,-126,-1.5,101,125,123,9.5,-9.5
3/3 10:12:49 am,RedZone,Houston Rockets,New York Knicks,1.5,-112,-1.5,-112,125,123,9.5,-9.5
3/3 10:12:39 am,RedZone,Houston Rockets,New York Knicks,-0.5,101,0.5,-126,125,123,9.5,-9.5
3/3 10:12:10 am,RedZone,Houston Rockets,New York Knicks,1.5,-112,-1.5,-112,125,123,9.5,-9.5
3/3 10:11:53 am,RedZone,Houston Rockets,New York Knicks,-2.5,101,2.5,-126,125,123,9.5,-9.5
3/3 10:11:32 am,RedZone,Houston Rockets,New York Knicks,-2.5,-112,2.5,-112,125,123,9.5,-9.5
3/3 10:11:19 am,RedZone,Houston Rockets,New York Knicks,-1.5,-130,1.5,104,125,123,9.5,-9.5
3/3 10:11:09 am,RedZone,Houston Rockets,New York Knicks,-4.5,-122,4.5,-102,125,123,9.5,-9.5
3/3 10:11:03 am,RedZone,Houston Rockets,New York Knicks,-6.5,101,6.5,-126,125,123,9.5,-9.5
3/3 10:10:54 am,RedZone,Houston Rockets,New York Knicks,-5.5,104,5.5,-130,125,123,9.5,-9.5
3/3 10:10:35 am,RedZone,Houston Rockets,New York Knicks,-4.5,-105,4.5,-118,125,123,9.5,-9.5
3/3 10:10:17 am,RedZone,Houston Rockets,New York Knicks,-2.5,-112,2.5,-112,125,123,9.5,-9.5
3/3 10:09:49 am,RedZone,Houston Rockets,New York Knicks,-2.5,-105,2.5,-118,125,123,9.5,-9.5
3/3 10:09:33 am,Pinnacle,Houston Rockets,New York Knicks,-3.5,-121,3.5,-110,125,123,9.5,-9.5
3/3 10:09:31 am,RedZone,Houston Rockets,New York Knicks,-3.5,101,3.5,-126,125,123,9.5,-9.5
3/3 10:09:29 am,RedZone,Houston Rockets,New York Knicks,-2.5,-112,2.5,-112,125,123,9.5,-9.5
3/3 10:09:27 am,Pinnacle,Houston Rockets,New York Knicks,-6.0,-104,6.0,-127,125,123,9.5,-9.5
3/3 10:09:21 am,Pinnacle,Houston Rockets,New York Knicks,-6.0,-107,6.0,-123,125,123,9.5,-9.5
3/3 10:09:19 am,RedZone,Houston Rockets,New York Knicks,-4.5,-112,4.5,-112,125,123,9.5,-9.5
3/3 10:09:10 am,RedZone,Houston Rockets,New York Knicks,-5.5,101,5.5,-126,125,123,9.5,-9.5
3/3 10:09:06 am,Pinnacle,Houston Rockets,New York Knicks,-4.5,-119,4.5,-112,125,123,9.5,-9.5
3/3 10:09:03 am,Pinnacle,Houston Rockets,New York Knicks,-4.5,-108,4.5,-108,125,123,9.5,-9.5
3/3 10:08:51 am,RedZone,Houston Rockets,New York Knicks,-3.5,-115,3.5,-108,125,123,9.5,-9.5
3/3 10:08:47 am,Pinnacle,Houston Rockets,New York Knicks,-4.0,-109,4.0,-107,125,123,9.5,-9.5
