Time,Book,Away Team,Home Team,Home Line,Home Odds,Away Line,Away Odds,Home Score,Away Score,Home Line Open,Away Line Open
12/14 10:07:47 am,RedZone,Houston Rockets,Orlando Magic,22.5,-106,-22.5,-117,107,130,6.5,-6.5
12/14 10:07:29 am,RedZone,Houston Rockets,Orlando Magic,21.5,-115,-21.5,-108,107,130,6.5,-6.5
12/14 10:07:01 am,RedZone,Houston Rockets,Orlando Magic,21.5,-106,-21.5,-117,107,130,6.5,-6.5
12/14 10:06:50 am,RedZone,Houston Rockets,Orlando Magic,21.5,-108,-21.5,-115,107,130,6.5,-6.5
12/14 10:06:35 am,RedZone,Houston Rockets,Orlando Magic,21.5,-112,-21.5,-112,107,130,6.5,-6.5
12/14 10:06:20 am,RedZone,Houston Rockets,Orlando Magic,20.5,-121,-20.5,-103,107,130,6.5,-6.5
12/14 10:05:54 am,RedZone,Houston Rockets,Orlando Magic,18.5,-112,-18.5,-112,107,130,6.5,-6.5
12/14 10:05:23 am,RedZone,Houston Rockets,Orlando Magic,19.5,-121,-19.5,-103,107,130,6.5,-6.5
12/14 10:05:05 am,RedZone,Houston Rockets,Orlando Magic,18.5,-108,-18.5,-115,107,130,6.5,-6.5
12/14 10:04:46 am,RedZone,Houston Rockets,Orlando Magic,18.5,-106,-18.5,-117,107,130,6.5,-6.5
12/14 10:04:29 am,RedZone,Houston Rockets,Orlando Magic,18.5,-121,-18.5,-103,107,130,6.5,-6.5
12/14 10:04:18 am,RedZone,Houston Rockets,Orlando Magic,18.5,-106,-18.5,-117,107,130,6.5,-6.5
12/14 10:03:42 am,RedZone,Houston Rockets,Orlando Magic,18.5,-108,-18.5,-115,107,130,6.5,-6.5
12/14 10:03:12 am,RedZone,Houston Rockets,Orlando Magic,18.5,-112,-18.5,-112,107,130,6.5,-6.5
12/14 10:02:55 am,RedZone,Houston Rockets,Orlando Magic,17.5,-112,-17.5,-112,107,130,6.5,-6.5
12/14 9:59:42 am,RedZone,Houston Rockets,Orlando Magic,18.5,-112,-18.5,-112,107,130,6.5,-6.5
12/14 9:59:32 am,RedZone,Houston Rockets,Orlando Magic,18.5,-117,-18.5,-106,107,130,6.5,-6.5
12/14 9:59:08 am,RedZone,Houston Rockets,Orlando Magic,15.5,-108,-15.5,-115,107,130,6.5,-6.5
12/14 9:59:00 am,RedZone,Houston Rockets,Orlando Magic,13.5,-103,-13.5,-121,107,130,6.5,-6.5
12/14 9:58:38 am,RedZone,Houston Rockets,Orlando Magic,13.5,-108,-13.5,-115,107,130,6.5,-6.5
12/14 9:58:09 am,RedZone,Houston Rockets,Orlando Magic,13.5,-106,-13.5,-117,107,130,6.5,-6.5
12/14 9:57:43 am,RedZone,Houston Rockets,Orlando Magic,14.5,-106,-14.5,-117,107,130,6.5,-6.5
12/14 9:57:28 am,RedZone,Houston Rockets,Orlando Magic,14.5,-108,-14.5,-115,107,130,6.5,-6.5
12/14 9:56:52 am,RedZone,Houston Rockets,Orlando Magic,14.5,-112,-14.5,-112,107,130,6.5,-6.5
12/14 9:56:40 am,RedZone,Houston Rockets,Orlando Magic,16.5,-112,-16.5,-112,107,130,6.5,-6.5
12/14 9:56:31 am,RedZone,Houston Rockets,Orlando Magic,16.5,-115,-16.5,-108,107,130,6.5,-6.5
12/14 9:55:59 am,RedZone,Houston Rockets,Orlando Magic,13.5,-106,-13.5,-117,107,130,6.5,-6.5
12/14 9:55:41 am,RedZone,Houston Rockets,Orlando Magic,14.5,-108,-14.5,-115,107,130,6.5,-6.5
12/14 9:52:17 am,RedZone,Houston Rockets,Orlando Magic,12.5,-108,-12.5,-115,107,130,6.5,-6.5
12/14 9:51:55 am,RedZone,Houston Rockets,Orlando Magic,11.5,-112,-11.5,-112,107,130,6.5,-6.5
12/14 9:51:38 am,RedZone,Houston Rockets,Orlando Magic,10.5,-108,-10.5,-115,107,130,6.5,-6.5
12/14 9:50:36 am,RedZone,Houston Rockets,Orlando Magic,9.5,-108,-9.5,-115,107,130,6.5,-6.5
