Time,Book,Away Team,Home Team,Home Line,Home Odds,Away Line,Away Odds,Home Score,Away Score,Home Line Open,Away Line Open
12/24 12:59:01 pm,Pinnacle,Houston Rockets,Sacramento Kings,8.5,-113,-8.5,-118,104,113,6,-6
12/24 12:58:58 pm,Pinnacle,Houston Rockets,Sacramento Kings,7.5,-100,-7.5,-132,104,113,6,-6
12/24 12:58:34 pm,Pinnacle,Houston Rockets,Sacramento Kings,7.5,-105,-7.5,-126,104,113,6,-6
12/24 12:58:25 pm,Pinnacle,Houston Rockets,Sacramento Kings,8.5,-112,-8.5,-118,104,113,6,-6
12/24 12:57:07 pm,Pinnacle,Houston Rockets,Sacramento Kings,8.5,-104,-8.5,-112,104,113,6,-6
12/24 12:57:01 pm,Pinnacle,Houston Rockets,Sacramento Kings,8.5,-103,-8.5,-113,104,113,6,-6
12/24 12:56:37 pm,Pinnacle,Houston Rockets,Sacramento Kings,8.5,-108,-8.5,-108,104,113,6,-6
12/24 12:56:22 pm,Pinnacle,Houston Rockets,Sacramento Kings,8.5,-103,-8.5,-113,104,113,6,-6
12/24 12:55:52 pm,Pinnacle,Houston Rockets,Sacramento Kings,8.5,-105,-8.5,-111,104,113,6,-6
12/24 12:55:28 pm,Pinnacle,Houston Rockets,Sacramento Kings,8.5,-110,-8.5,-120,104,113,6,-6
12/24 12:55:25 pm,Pinnacle,Houston Rockets,Sacramento Kings,8.5,-121,-8.5,-109,104,113,6,-6
12/24 12:55:22 pm,Pinnacle,Houston Rockets,Sacramento Kings,9.5,-121,-9.5,-109,104,113,6,-6
12/24 12:55:18 pm,Pinnacle,Houston Rockets,Sacramento Kings,10.5,-134,-10.5,101,104,113,6,-6
12/24 12:55:16 pm,Pinnacle,Houston Rockets,Sacramento Kings,10.5,-128,-10.5,-103,104,113,6,-6
12/24 12:54:25 pm,Pinnacle,Houston Rockets,Sacramento Kings,10.5,-120,-10.5,-111,104,113,6,-6
12/24 12:54:22 pm,Pinnacle,Houston Rockets,Sacramento Kings,10.5,-120,-10.5,-110,104,113,6,-6
12/24 12:54:19 pm,Pinnacle,Houston Rockets,Sacramento Kings,11.0,-114,-11.0,-116,104,113,6,-6
12/24 12:54:13 pm,Pinnacle,Houston Rockets,Sacramento Kings,12.0,-117,-12.0,-113,104,113,6,-6
12/24 12:54:10 pm,Pinnacle,Houston Rockets,Sacramento Kings,11.0,-107,-11.0,-124,104,113,6,-6
12/24 12:53:49 pm,Pinnacle,Houston Rockets,Sacramento Kings,11.0,-113,-11.0,-117,104,113,6,-6
12/24 12:53:43 pm,Pinnacle,Houston Rockets,Sacramento Kings,12.0,-120,-12.0,-110,104,113,6,-6
12/24 12:53:31 pm,Pinnacle,Houston Rockets,Sacramento Kings,12.0,-116,-12.0,-114,104,113,6,-6
12/24 12:53:28 pm,Pinnacle,Houston Rockets,Sacramento Kings,11.5,-113,-11.5,-117,104,113,6,-6
12/24 12:53:13 pm,Pinnacle,Houston Rockets,Sacramento Kings,13.5,-113,-13.5,-117,104,113,6,-6
12/24 12:53:07 pm,Pinnacle,Houston Rockets,Sacramento Kings,14.5,-120,-14.5,-110,104,113,6,-6
12/24 12:52:10 pm,Pinnacle,Houston Rockets,Sacramento Kings,14.5,-113,-14.5,-117,104,113,6,-6
12/24 12:51:43 pm,Pinnacle,Houston Rockets,Sacramento Kings,15.5,-126,-15.5,-105,104,113,6,-6
12/24 12:50:49 pm,Pinnacle,Houston Rockets,Sacramento Kings,15.5,-123,-15.5,-108,104,113,6,-6
12/24 12:50:40 pm,Pinnacle,Houston Rockets,Sacramento Kings,16.5,-132,-16.5,100,104,113,6,-6
12/24 12:50:25 pm,Pinnacle,Houston Rockets,Sacramento Kings,16.5,-123,-16.5,-108,104,113,6,-6
12/24 12:50:22 pm,Pinnacle,Houston Rockets,Sacramento Kings,16.0,-114,-16.0,-116,104,113,6,-6
12/24 12:50:21 pm,Pinnacle,Houston Rockets,Sacramento Kings,17.0,-114,-17.0,-116,104,113,6,-6
12/24 12:50:16 pm,Pinnacle,Houston Rockets,Sacramento Kings,17.5,-113,-17.5,-118,104,113,6,-6
12/24 12:50:10 pm,Pinnacle,Houston Rockets,Sacramento Kings,18.0,-113,-18.0,-118,104,113,6,-6
12/24 12:50:07 pm,Pinnacle,Houston Rockets,Sacramento Kings,17.5,-115,-17.5,-115,104,113,6,-6
12/24 12:50:00 pm,Pinnacle,Houston Rockets,Sacramento Kings,17.0,-109,-17.0,-122,104,113,6,-6
12/24 12:49:52 pm,Pinnacle,Houston Rockets,Sacramento Kings,17.0,-115,-17.0,-115,104,113,6,-6
12/24 12:49:37 pm,Pinnacle,Houston Rockets,Sacramento Kings,18.0,-114,-18.0,-116,104,113,6,-6
12/24 12:49:24 pm,Pinnacle,Houston Rockets,Sacramento Kings,19.0,-122,-19.0,-108,104,113,6,-6
12/24 12:49:22 pm,Pinnacle,Houston Rockets,Sacramento Kings,19.0,-123,-19.0,-108,104,113,6,-6
12/24 12:49:19 pm,Pinnacle,Houston Rockets,Sacramento Kings,19.0,-121,-19.0,-109,104,113,6,-6
12/24 12:49:16 pm,Pinnacle,Houston Rockets,Sacramento Kings,19.0,-111,-19.0,-119,104,113,6,-6
12/24 12:48:58 pm,Pinnacle,Houston Rockets,Sacramento Kings,17.0,-111,-17.0,-119,104,113,6,-6
12/24 12:48:46 pm,Pinnacle,Houston Rockets,Sacramento Kings,17.0,-107,-17.0,-109,104,113,6,-6
12/24 12:47:49 pm,Pinnacle,Houston Rockets,Sacramento Kings,17.0,-106,-17.0,-110,104,113,6,-6
12/24 12:46:58 pm,Pinnacle,Houston Rockets,Sacramento Kings,17.0,-105,-17.0,-111,104,113,6,-6
12/24 12:46:13 pm,Pinnacle,Houston Rockets,Sacramento Kings,18.0,-125,-18.0,-106,104,113,6,-6
12/24 12:46:10 pm,Pinnacle,Houston Rockets,Sacramento Kings,18.0,-114,-18.0,-117,104,113,6,-6
12/24 12:46:07 pm,Pinnacle,Houston Rockets,Sacramento Kings,18.0,-110,-18.0,-120,104,113,6,-6
12/24 12:46:04 pm,Pinnacle,Houston Rockets,Sacramento Kings,17.0,-122,-17.0,-109,104,113,6,-6
12/24 12:45:52 pm,Pinnacle,Houston Rockets,Sacramento Kings,17.0,-120,-17.0,-110,104,113,6,-6
12/24 12:45:48 pm,Pinnacle,Houston Rockets,Sacramento Kings,17.0,-115,-17.0,-115,104,113,6,-6
12/24 12:45:15 pm,Pinnacle,Houston Rockets,Sacramento Kings,17.5,-120,-17.5,-110,104,113,6,-6
12/24 12:45:12 pm,Pinnacle,Houston Rockets,Sacramento Kings,17.5,-121,-17.5,-110,104,113,6,-6
12/24 12:45:10 pm,Pinnacle,Houston Rockets,Sacramento Kings,18.0,-117,-18.0,-113,104,113,6,-6
12/24 12:45:04 pm,Pinnacle,Houston Rockets,Sacramento Kings,17.0,-117,-17.0,-113,104,113,6,-6
12/24 12:44:58 pm,Pinnacle,Houston Rockets,Sacramento Kings,16.5,-109,-16.5,-122,104,113,6,-6
12/24 12:44:48 pm,Pinnacle,Houston Rockets,Sacramento Kings,17.5,-114,-17.5,-116,104,113,6,-6
12/24 12:44:43 pm,Pinnacle,Houston Rockets,Sacramento Kings,17.5,-115,-17.5,-115,104,113,6,-6
12/24 12:44:40 pm,Pinnacle,Houston Rockets,Sacramento Kings,18.0,-119,-18.0,-111,104,113,6,-6
12/24 12:44:34 pm,Pinnacle,Houston Rockets,Sacramento Kings,16.0,-115,-16.0,-115,104,113,6,-6
12/24 12:44:30 pm,Pinnacle,Houston Rockets,Sacramento Kings,16.0,-119,-16.0,-111,104,113,6,-6
12/24 12:44:25 pm,Pinnacle,Houston Rockets,Sacramento Kings,16.0,-118,-16.0,-112,104,113,6,-6
12/24 12:44:10 pm,Pinnacle,Houston Rockets,Sacramento Kings,16.5,-113,-16.5,-117,104,113,6,-6
12/24 12:44:01 pm,Pinnacle,Houston Rockets,Sacramento Kings,16.0,-118,-16.0,-112,104,113,6,-6
12/24 12:43:43 pm,Pinnacle,Houston Rockets,Sacramento Kings,15.0,-120,-15.0,-110,104,113,6,-6
12/24 12:43:31 pm,Pinnacle,Houston Rockets,Sacramento Kings,16.0,-119,-16.0,-111,104,113,6,-6
12/24 12:43:25 pm,Pinnacle,Houston Rockets,Sacramento Kings,15.0,-120,-15.0,-110,104,113,6,-6
12/24 12:43:20 pm,Pinnacle,Houston Rockets,Sacramento Kings,16.0,-125,-16.0,-106,104,113,6,-6
12/24 12:43:04 pm,Pinnacle,Houston Rockets,Sacramento Kings,16.0,-115,-16.0,-115,104,113,6,-6
12/24 12:43:01 pm,Pinnacle,Houston Rockets,Sacramento Kings,16.0,-109,-16.0,-121,104,113,6,-6
12/24 12:42:37 pm,Pinnacle,Houston Rockets,Sacramento Kings,16.5,-114,-16.5,-116,104,113,6,-6
12/24 12:42:31 pm,Pinnacle,Houston Rockets,Sacramento Kings,17.5,-114,-17.5,-116,104,113,6,-6
12/24 12:42:24 pm,Pinnacle,Houston Rockets,Sacramento Kings,16.5,-114,-16.5,-116,104,113,6,-6
12/24 12:41:43 pm,Pinnacle,Houston Rockets,Sacramento Kings,16.5,-114,-16.5,-102,104,113,6,-6
12/24 12:41:37 pm,Pinnacle,Houston Rockets,Sacramento Kings,16.5,-102,-16.5,-114,104,113,6,-6
12/24 12:41:25 pm,Pinnacle,Houston Rockets,Sacramento Kings,16.5,-101,-16.5,-116,104,113,6,-6
12/24 12:41:22 pm,Pinnacle,Houston Rockets,Sacramento Kings,16.5,-101,-16.5,-115,104,113,6,-6
12/24 12:41:09 pm,Pinnacle,Houston Rockets,Sacramento Kings,16.5,-106,-16.5,-110,104,113,6,-6
12/24 12:40:24 pm,Pinnacle,Houston Rockets,Sacramento Kings,16.5,-116,-16.5,-114,104,113,6,-6
12/24 12:40:16 pm,Pinnacle,Houston Rockets,Sacramento Kings,17.5,-124,-17.5,-107,104,113,6,-6
12/24 12:40:10 pm,Pinnacle,Houston Rockets,Sacramento Kings,17.5,-117,-17.5,-113,104,113,6,-6
12/24 12:40:07 pm,Pinnacle,Houston Rockets,Sacramento Kings,17.5,-115,-17.5,-115,104,113,6,-6
12/24 12:40:00 pm,Pinnacle,Houston Rockets,Sacramento Kings,19.0,-122,-19.0,-109,104,113,6,-6
12/24 12:39:51 pm,Pinnacle,Houston Rockets,Sacramento Kings,19.0,-113,-19.0,-117,104,113,6,-6
12/24 12:39:46 pm,Pinnacle,Houston Rockets,Sacramento Kings,20.0,-112,-20.0,-118,104,113,6,-6
12/24 12:39:28 pm,Pinnacle,Houston Rockets,Sacramento Kings,19.0,-118,-19.0,-112,104,113,6,-6
12/24 12:39:19 pm,Pinnacle,Houston Rockets,Sacramento Kings,18.5,-110,-18.5,-120,104,113,6,-6
12/24 12:38:25 pm,Pinnacle,Houston Rockets,Sacramento Kings,18.5,-131,-18.5,-101,104,113,6,-6
12/24 12:38:04 pm,Pinnacle,Houston Rockets,Sacramento Kings,18.5,-119,-18.5,-111,104,113,6,-6
12/24 12:37:58 pm,Pinnacle,Houston Rockets,Sacramento Kings,20.0,-124,-20.0,-107,104,113,6,-6
12/24 12:37:45 pm,Pinnacle,Houston Rockets,Sacramento Kings,20.0,-117,-20.0,-113,104,113,6,-6
12/24 12:37:37 pm,Pinnacle,Houston Rockets,Sacramento Kings,19.0,-110,-19.0,-120,104,113,6,-6
12/24 12:37:34 pm,Pinnacle,Houston Rockets,Sacramento Kings,18.0,-111,-18.0,-119,104,113,6,-6
12/24 12:37:22 pm,Pinnacle,Houston Rockets,Sacramento Kings,19.5,-116,-19.5,-114,104,113,6,-6
12/24 12:37:04 pm,Pinnacle,Houston Rockets,Sacramento Kings,20.0,-111,-20.0,-119,104,113,6,-6
