Time,Book,Away Team,Home Team,Home Line,Home Odds,Away Line,Away Odds,Home Score,Away Score,Home Line Open,Away Line Open
11/6 10:42:55 am,Pinnacle,Indiana Pacers,Charlotte Hornets,0.0,-149,0.0,127,122,120,2.5,-2.5
11/6 10:42:40 am,Pinnacle,Indiana Pacers,Charlotte Hornets,0.0,-152,0.0,129,122,120,2.5,-2.5
11/6 10:42:34 am,Pinnacle,Indiana Pacers,Charlotte Hornets,0.0,-145,0.0,124,122,120,2.5,-2.5
11/6 10:42:16 am,Pinnacle,Indiana Pacers,Charlotte Hornets,0.0,-135,0.0,116,122,120,2.5,-2.5
11/6 10:42:10 am,Pinnacle,Indiana Pacers,Charlotte Hornets,0.0,-135,0.0,115,122,120,2.5,-2.5
11/6 10:42:04 am,Pinnacle,Indiana Pacers,Charlotte Hornets,0.0,-130,0.0,111,122,120,2.5,-2.5
11/6 10:40:53 am,Pinnacle,Indiana Pacers,Charlotte Hornets,0.0,-361,0.0,291,122,120,2.5,-2.5
11/6 10:40:35 am,Pinnacle,Indiana Pacers,Charlotte Hornets,0.0,-377,0.0,303,122,120,2.5,-2.5
11/6 10:40:28 am,Pinnacle,Indiana Pacers,Charlotte Hornets,0.0,-370,0.0,298,122,120,2.5,-2.5
11/6 10:40:14 am,Pinnacle,Indiana Pacers,Charlotte Hornets,0.0,-365,0.0,294,122,120,2.5,-2.5
11/6 10:40:04 am,Pinnacle,Indiana Pacers,Charlotte Hornets,0.0,-360,0.0,291,122,120,2.5,-2.5
11/6 10:34:59 am,Pinnacle,Indiana Pacers,Charlotte Hornets,0.0,-138,0.0,118,122,120,2.5,-2.5
11/6 10:34:39 am,Pinnacle,Indiana Pacers,Charlotte Hornets,0.0,-132,0.0,113,122,120,2.5,-2.5
11/6 10:34:22 am,Pinnacle,Indiana Pacers,Charlotte Hornets,0.0,-125,0.0,107,122,120,2.5,-2.5
11/6 10:26:08 am,Pinnacle,Indiana Pacers,Charlotte Hornets,0.0,116,0.0,-136,122,120,2.5,-2.5
11/6 10:25:52 am,Pinnacle,Indiana Pacers,Charlotte Hornets,0.0,112,0.0,-131,122,120,2.5,-2.5
11/6 10:25:43 am,Pinnacle,Indiana Pacers,Charlotte Hornets,0.0,113,0.0,-133,122,120,2.5,-2.5
11/6 10:25:34 am,Pinnacle,Indiana Pacers,Charlotte Hornets,0.0,114,0.0,-133,122,120,2.5,-2.5
11/6 10:25:25 am,Pinnacle,Indiana Pacers,Charlotte Hornets,0.0,117,0.0,-137,122,120,2.5,-2.5
11/6 10:25:16 am,Pinnacle,Indiana Pacers,Charlotte Hornets,0.0,120,0.0,-141,122,120,2.5,-2.5
11/6 10:24:55 am,Pinnacle,Indiana Pacers,Charlotte Hornets,0.0,124,0.0,-145,122,120,2.5,-2.5
11/6 10:24:44 am,Pinnacle,Indiana Pacers,Charlotte Hornets,1.5,101,-1.5,-117,122,120,2.5,-2.5
11/6 10:24:22 am,Pinnacle,Indiana Pacers,Charlotte Hornets,1.5,-101,-1.5,-115,122,120,2.5,-2.5
11/6 10:22:59 am,Pinnacle,Indiana Pacers,Charlotte Hornets,0.0,126,0.0,-147,122,120,2.5,-2.5
11/6 10:22:34 am,Pinnacle,Indiana Pacers,Charlotte Hornets,0.0,133,0.0,-156,122,120,2.5,-2.5
11/6 10:22:08 am,Pinnacle,Indiana Pacers,Charlotte Hornets,0.0,132,0.0,-155,122,120,2.5,-2.5
11/6 10:20:07 am,Pinnacle,Indiana Pacers,Charlotte Hornets,0.0,-185,0.0,157,122,120,2.5,-2.5
11/6 10:20:05 am,Pinnacle,Indiana Pacers,Charlotte Hornets,0.0,-184,0.0,156,122,120,2.5,-2.5
11/6 10:19:56 am,Pinnacle,Indiana Pacers,Charlotte Hornets,0.0,-180,0.0,153,122,120,2.5,-2.5
11/6 10:15:47 am,Pinnacle,Indiana Pacers,Charlotte Hornets,0.0,-195,0.0,165,122,120,2.5,-2.5
11/6 10:15:29 am,Pinnacle,Indiana Pacers,Charlotte Hornets,0.0,-192,0.0,163,122,120,2.5,-2.5
11/6 10:15:17 am,Pinnacle,Indiana Pacers,Charlotte Hornets,0.0,-188,0.0,159,122,120,2.5,-2.5
11/6 10:15:04 am,Pinnacle,Indiana Pacers,Charlotte Hornets,0.0,-177,0.0,151,122,120,2.5,-2.5
11/6 10:14:44 am,Pinnacle,Indiana Pacers,Charlotte Hornets,0.0,-170,0.0,145,122,120,2.5,-2.5
11/6 10:09:56 am,Pinnacle,Indiana Pacers,Charlotte Hornets,-1.5,-106,1.5,-110,122,120,2.5,-2.5
11/6 10:07:35 am,Pinnacle,Indiana Pacers,Charlotte Hornets,0.5,101,-0.5,-118,122,120,2.5,-2.5
11/6 10:07:20 am,Pinnacle,Indiana Pacers,Charlotte Hornets,0.5,-103,-0.5,-113,122,120,2.5,-2.5
11/6 10:01:37 am,Pinnacle,Indiana Pacers,Charlotte Hornets,-1.0,104,1.0,-121,122,120,2.5,-2.5
11/6 10:01:23 am,Pinnacle,Indiana Pacers,Charlotte Hornets,-1.0,105,1.0,-123,122,120,2.5,-2.5
11/6 10:01:13 am,Pinnacle,Indiana Pacers,Charlotte Hornets,-1.0,106,1.0,-123,122,120,2.5,-2.5
11/6 10:00:56 am,Pinnacle,Indiana Pacers,Charlotte Hornets,-1.0,110,1.0,-129,122,120,2.5,-2.5
11/6 9:59:56 am,Pinnacle,Indiana Pacers,Charlotte Hornets,1.0,-108,-1.0,-108,122,120,2.5,-2.5
11/6 9:59:46 am,Pinnacle,Indiana Pacers,Charlotte Hornets,1.0,-106,-1.0,-110,122,120,2.5,-2.5
11/6 9:59:36 am,Pinnacle,Indiana Pacers,Charlotte Hornets,1.0,-118,-1.0,101,122,120,2.5,-2.5
