Time,Book,Away Team,Home Team,Home Line,Home Odds,Away Line,Away Odds,Home Score,Away Score,Home Line Open,Away Line Open
10/27 10:23:51 am,Pinnacle,Indiana Pacers,Cleveland Cavaliers,-9.0,-106,9.0,-110,110,99,4.5,-4.5
10/27 10:09:03 am,Pinnacle,Indiana Pacers,Cleveland Cavaliers,-11.5,-136,11.5,-115,110,99,4.5,-4.5
10/27 10:08:51 am,Pinnacle,Indiana Pacers,Cleveland Cavaliers,-11.0,-119,11.0,-131,110,99,4.5,-4.5
10/27 10:08:47 am,Pinnacle,Indiana Pacers,Cleveland Cavaliers,-10.0,-123,10.0,-127,110,99,4.5,-4.5
10/27 10:08:30 am,Pinnacle,Indiana Pacers,Cleveland Cavaliers,-11.0,-122,11.0,-128,110,99,4.5,-4.5
10/27 10:08:22 am,Pinnacle,Indiana Pacers,Cleveland Cavaliers,-11.0,-134,11.0,-116,110,99,4.5,-4.5
10/27 10:07:49 am,Pinnacle,Indiana Pacers,Cleveland Cavaliers,-11.5,-126,11.5,-124,110,99,4.5,-4.5
10/27 10:07:40 am,Pinnacle,Indiana Pacers,Cleveland Cavaliers,-11.5,-122,11.5,-128,110,99,4.5,-4.5
10/27 10:07:02 am,Pinnacle,Indiana Pacers,Cleveland Cavaliers,-10.5,-130,10.5,-120,110,99,4.5,-4.5
10/27 10:06:37 am,Pinnacle,Indiana Pacers,Cleveland Cavaliers,-9.5,-126,9.5,-124,110,99,4.5,-4.5
10/27 10:06:29 am,Pinnacle,Indiana Pacers,Cleveland Cavaliers,-9.5,-127,9.5,-123,110,99,4.5,-4.5
10/27 10:06:25 am,Pinnacle,Indiana Pacers,Cleveland Cavaliers,-9.5,-130,9.5,-120,110,99,4.5,-4.5
10/27 10:06:17 am,Pinnacle,Indiana Pacers,Cleveland Cavaliers,-8.5,-130,8.5,-120,110,99,4.5,-4.5
10/27 10:05:45 am,Pinnacle,Indiana Pacers,Cleveland Cavaliers,-8.0,-115,8.0,-136,110,99,4.5,-4.5
10/27 10:05:16 am,Pinnacle,Indiana Pacers,Cleveland Cavaliers,-8.5,-126,8.5,-124,110,99,4.5,-4.5
10/27 10:04:15 am,Pinnacle,Indiana Pacers,Cleveland Cavaliers,-8.5,-114,8.5,-102,110,99,4.5,-4.5
10/27 10:03:11 am,Pinnacle,Indiana Pacers,Cleveland Cavaliers,-8.5,-110,8.5,-106,110,99,4.5,-4.5
10/27 10:03:06 am,Pinnacle,Indiana Pacers,Cleveland Cavaliers,-8.5,101,8.5,-117,110,99,4.5,-4.5
10/27 10:02:19 am,Pinnacle,Indiana Pacers,Cleveland Cavaliers,-8.5,-124,8.5,-126,110,99,4.5,-4.5
10/27 10:02:14 am,Pinnacle,Indiana Pacers,Cleveland Cavaliers,-9.5,-119,9.5,-131,110,99,4.5,-4.5
10/27 10:02:10 am,Pinnacle,Indiana Pacers,Cleveland Cavaliers,-8.5,-123,8.5,-127,110,99,4.5,-4.5
10/27 10:02:06 am,Pinnacle,Indiana Pacers,Cleveland Cavaliers,-9.5,-117,9.5,-134,110,99,4.5,-4.5
10/27 10:01:57 am,Pinnacle,Indiana Pacers,Cleveland Cavaliers,-10.0,-134,10.0,-117,110,99,4.5,-4.5
10/27 10:01:49 am,Pinnacle,Indiana Pacers,Cleveland Cavaliers,-10.0,-131,10.0,-120,110,99,4.5,-4.5
10/27 10:01:36 am,Pinnacle,Indiana Pacers,Cleveland Cavaliers,-11.5,-133,11.5,-117,110,99,4.5,-4.5
10/27 10:01:11 am,Pinnacle,Indiana Pacers,Cleveland Cavaliers,-12.0,-125,12.0,-125,110,99,4.5,-4.5
10/27 10:01:07 am,Pinnacle,Indiana Pacers,Cleveland Cavaliers,-11.5,-123,11.5,-127,110,99,4.5,-4.5
10/27 10:00:50 am,Pinnacle,Indiana Pacers,Cleveland Cavaliers,-10.5,-130,10.5,-120,110,99,4.5,-4.5
10/27 10:00:42 am,Pinnacle,Indiana Pacers,Cleveland Cavaliers,-10.5,-131,10.5,-119,110,99,4.5,-4.5
10/27 10:00:37 am,Pinnacle,Indiana Pacers,Cleveland Cavaliers,-11.5,-118,11.5,-132,110,99,4.5,-4.5
10/27 10:00:29 am,Pinnacle,Indiana Pacers,Cleveland Cavaliers,-12.5,-116,12.5,-135,110,99,4.5,-4.5
10/27 9:59:38 am,Pinnacle,Indiana Pacers,Cleveland Cavaliers,-11.0,-134,11.0,-117,110,99,4.5,-4.5
10/27 9:58:22 am,Pinnacle,Indiana Pacers,Cleveland Cavaliers,-12.0,-127,12.0,-123,110,99,4.5,-4.5
10/27 9:58:08 am,Pinnacle,Indiana Pacers,Cleveland Cavaliers,-11.0,-128,11.0,-122,110,99,4.5,-4.5
10/27 9:57:52 am,Pinnacle,Indiana Pacers,Cleveland Cavaliers,-12.0,-123,12.0,-127,110,99,4.5,-4.5
10/27 9:57:44 am,Pinnacle,Indiana Pacers,Cleveland Cavaliers,-11.0,-124,11.0,-126,110,99,4.5,-4.5
10/27 9:57:21 am,Pinnacle,Indiana Pacers,Cleveland Cavaliers,-11.0,-121,11.0,104,110,99,4.5,-4.5
10/27 9:55:17 am,Pinnacle,Indiana Pacers,Cleveland Cavaliers,-11.0,-110,11.0,-106,110,99,4.5,-4.5
10/27 9:54:52 am,Pinnacle,Indiana Pacers,Cleveland Cavaliers,-10.0,-118,10.0,-122,110,99,4.5,-4.5
10/27 9:54:35 am,Pinnacle,Indiana Pacers,Cleveland Cavaliers,-11.5,-121,11.5,-119,110,99,4.5,-4.5
10/27 9:54:26 am,Pinnacle,Indiana Pacers,Cleveland Cavaliers,-11.5,-117,11.5,-123,110,99,4.5,-4.5
10/27 9:54:09 am,Pinnacle,Indiana Pacers,Cleveland Cavaliers,-13.0,-119,13.0,-121,110,99,4.5,-4.5
10/27 9:54:04 am,Pinnacle,Indiana Pacers,Cleveland Cavaliers,-13.0,-122,13.0,-118,110,99,4.5,-4.5
10/27 9:54:00 am,Pinnacle,Indiana Pacers,Cleveland Cavaliers,-13.0,-127,13.0,-113,110,99,4.5,-4.5
10/27 9:53:56 am,Pinnacle,Indiana Pacers,Cleveland Cavaliers,-11.0,-127,11.0,-113,110,99,4.5,-4.5
10/27 9:53:52 am,Pinnacle,Indiana Pacers,Cleveland Cavaliers,-11.5,-112,11.5,-128,110,99,4.5,-4.5
10/27 9:53:48 am,Pinnacle,Indiana Pacers,Cleveland Cavaliers,-13.0,-116,13.0,-124,110,99,4.5,-4.5
10/27 9:53:39 am,Pinnacle,Indiana Pacers,Cleveland Cavaliers,-13.0,-118,13.0,-122,110,99,4.5,-4.5
10/27 9:53:18 am,Pinnacle,Indiana Pacers,Cleveland Cavaliers,-12.0,-120,12.0,-120,110,99,4.5,-4.5
10/27 9:53:10 am,Pinnacle,Indiana Pacers,Cleveland Cavaliers,-13.5,-126,13.5,-114,110,99,4.5,-4.5
10/27 9:52:48 am,Pinnacle,Indiana Pacers,Cleveland Cavaliers,-13.5,-130,13.5,-102,110,99,4.5,-4.5
10/27 9:52:40 am,Pinnacle,Indiana Pacers,Cleveland Cavaliers,-13.5,-124,13.5,-116,110,99,4.5,-4.5
10/27 9:52:36 am,Pinnacle,Indiana Pacers,Cleveland Cavaliers,-14.5,-122,14.5,-118,110,99,4.5,-4.5
10/27 9:52:27 am,Pinnacle,Indiana Pacers,Cleveland Cavaliers,-14.5,-113,14.5,-127,110,99,4.5,-4.5
10/27 9:51:33 am,Pinnacle,Indiana Pacers,Cleveland Cavaliers,-12.5,-125,12.5,-116,110,99,4.5,-4.5
10/27 9:51:25 am,Pinnacle,Indiana Pacers,Cleveland Cavaliers,-12.5,-122,12.5,-118,110,99,4.5,-4.5
10/27 9:51:20 am,Pinnacle,Indiana Pacers,Cleveland Cavaliers,-11.5,-116,11.5,-124,110,99,4.5,-4.5
10/27 9:51:11 am,Pinnacle,Indiana Pacers,Cleveland Cavaliers,-11.0,-116,11.0,-124,110,99,4.5,-4.5
10/27 9:51:07 am,Pinnacle,Indiana Pacers,Cleveland Cavaliers,-11.0,-113,11.0,-127,110,99,4.5,-4.5
