Time,Book,Away Team,Home Team,Home Line,Home Odds,Away Line,Away Odds,Home Score,Away Score,Home Line Open,Away Line Open
12/3 11:00:31 am,Pinnacle,Indiana Pacers,Memphis Grizzlies,11.5,101,-11.5,-118,104,117,9,-9
12/3 10:59:40 am,Pinnacle,Indiana Pacers,Memphis Grizzlies,11.5,100,-11.5,-117,104,117,9,-9
12/3 10:59:04 am,Pinnacle,Indiana Pacers,Memphis Grizzlies,11.5,-104,-11.5,-112,104,117,9,-9
12/3 10:59:01 am,Pinnacle,Indiana Pacers,Memphis Grizzlies,11.5,-105,-11.5,-111,104,117,9,-9
12/3 10:58:46 am,Pinnacle,Indiana Pacers,Memphis Grizzlies,11.5,-104,-11.5,-112,104,117,9,-9
12/3 10:58:37 am,Pinnacle,Indiana Pacers,Memphis Grizzlies,11.5,-108,-11.5,-108,104,117,9,-9
12/3 10:58:25 am,Pinnacle,Indiana Pacers,Memphis Grizzlies,11.5,-114,-11.5,-102,104,117,9,-9
12/3 10:58:19 am,Pinnacle,Indiana Pacers,Memphis Grizzlies,11.5,101,-11.5,-118,104,117,9,-9
12/3 10:56:48 am,Pinnacle,Indiana Pacers,Memphis Grizzlies,12.5,-108,-12.5,-122,104,117,9,-9
12/3 10:56:46 am,Pinnacle,Indiana Pacers,Memphis Grizzlies,12.5,-118,-12.5,-112,104,117,9,-9
12/3 10:56:43 am,Pinnacle,Indiana Pacers,Memphis Grizzlies,13.5,-128,-13.5,-103,104,117,9,-9
12/3 10:56:37 am,Pinnacle,Indiana Pacers,Memphis Grizzlies,13.5,-118,-13.5,-112,104,117,9,-9
12/3 10:56:34 am,Pinnacle,Indiana Pacers,Memphis Grizzlies,13.5,-116,-13.5,-114,104,117,9,-9
12/3 10:56:24 am,Pinnacle,Indiana Pacers,Memphis Grizzlies,12.5,-108,-12.5,-122,104,117,9,-9
12/3 10:56:22 am,Pinnacle,Indiana Pacers,Memphis Grizzlies,12.5,-107,-12.5,-124,104,117,9,-9
12/3 10:56:19 am,Pinnacle,Indiana Pacers,Memphis Grizzlies,12.5,-116,-12.5,-114,104,117,9,-9
12/3 10:56:16 am,Pinnacle,Indiana Pacers,Memphis Grizzlies,13.5,-124,-13.5,-107,104,117,9,-9
12/3 10:56:13 am,Pinnacle,Indiana Pacers,Memphis Grizzlies,14.5,-117,-14.5,-113,104,117,9,-9
12/3 10:56:07 am,Pinnacle,Indiana Pacers,Memphis Grizzlies,13.5,-110,-13.5,-120,104,117,9,-9
12/3 10:56:04 am,Pinnacle,Indiana Pacers,Memphis Grizzlies,13.5,-115,-13.5,-115,104,117,9,-9
12/3 10:55:58 am,Pinnacle,Indiana Pacers,Memphis Grizzlies,13.5,-114,-13.5,-116,104,117,9,-9
12/3 10:55:16 am,Pinnacle,Indiana Pacers,Memphis Grizzlies,12.5,104,-12.5,-138,104,117,9,-9
12/3 10:55:07 am,Pinnacle,Indiana Pacers,Memphis Grizzlies,12.5,-106,-12.5,-125,104,117,9,-9
12/3 10:55:01 am,Pinnacle,Indiana Pacers,Memphis Grizzlies,13.5,-113,-13.5,-117,104,117,9,-9
12/3 10:54:58 am,Pinnacle,Indiana Pacers,Memphis Grizzlies,13.5,-112,-13.5,-118,104,117,9,-9
12/3 10:54:49 am,Pinnacle,Indiana Pacers,Memphis Grizzlies,13.5,104,-13.5,-121,104,117,9,-9
12/3 10:54:16 am,Pinnacle,Indiana Pacers,Memphis Grizzlies,13.5,100,-13.5,-117,104,117,9,-9
12/3 10:54:04 am,Pinnacle,Indiana Pacers,Memphis Grizzlies,13.5,103,-13.5,-120,104,117,9,-9
12/3 10:53:58 am,Pinnacle,Indiana Pacers,Memphis Grizzlies,13.5,100,-13.5,-117,104,117,9,-9
12/3 10:53:57 am,Pinnacle,Indiana Pacers,Memphis Grizzlies,13.5,103,-13.5,-120,104,117,9,-9
12/3 10:53:49 am,Pinnacle,Indiana Pacers,Memphis Grizzlies,13.5,-106,-13.5,-110,104,117,9,-9
12/3 10:53:46 am,Pinnacle,Indiana Pacers,Memphis Grizzlies,13.5,-108,-13.5,-108,104,117,9,-9
12/3 10:53:34 am,Pinnacle,Indiana Pacers,Memphis Grizzlies,13.5,-101,-13.5,-116,104,117,9,-9
12/3 10:53:19 am,Pinnacle,Indiana Pacers,Memphis Grizzlies,13.5,100,-13.5,-117,104,117,9,-9
12/3 10:53:16 am,Pinnacle,Indiana Pacers,Memphis Grizzlies,13.5,-103,-13.5,-114,104,117,9,-9
12/3 10:52:49 am,Pinnacle,Indiana Pacers,Memphis Grizzlies,13.5,-108,-13.5,-108,104,117,9,-9
12/3 10:52:04 am,Pinnacle,Indiana Pacers,Memphis Grizzlies,13.5,-112,-13.5,-118,104,117,9,-9
12/3 10:52:01 am,Pinnacle,Indiana Pacers,Memphis Grizzlies,12.0,-103,-12.0,-128,104,117,9,-9
12/3 10:51:55 am,Pinnacle,Indiana Pacers,Memphis Grizzlies,12.0,-112,-12.0,-118,104,117,9,-9
12/3 10:51:51 am,Pinnacle,Indiana Pacers,Memphis Grizzlies,11.0,105,-11.0,-140,104,117,9,-9
12/3 10:51:49 am,Pinnacle,Indiana Pacers,Memphis Grizzlies,11.5,-112,-11.5,-118,104,117,9,-9
12/3 10:51:46 am,Pinnacle,Indiana Pacers,Memphis Grizzlies,12.0,-135,-12.0,102,104,117,9,-9
12/3 10:51:43 am,Pinnacle,Indiana Pacers,Memphis Grizzlies,12.0,-128,-12.0,-103,104,117,9,-9
12/3 10:51:40 am,Pinnacle,Indiana Pacers,Memphis Grizzlies,12.0,-112,-12.0,-118,104,117,9,-9
12/3 10:51:31 am,Pinnacle,Indiana Pacers,Memphis Grizzlies,11.5,-118,-11.5,-112,104,117,9,-9
12/3 10:51:28 am,Pinnacle,Indiana Pacers,Memphis Grizzlies,11.5,104,-11.5,-138,104,117,9,-9
12/3 10:51:19 am,Pinnacle,Indiana Pacers,Memphis Grizzlies,11.5,-112,-11.5,-119,104,117,9,-9
12/3 10:51:01 am,Pinnacle,Indiana Pacers,Memphis Grizzlies,13.0,-123,-13.0,-108,104,117,9,-9
12/3 10:50:58 am,Pinnacle,Indiana Pacers,Memphis Grizzlies,13.5,-124,-13.5,-107,104,117,9,-9
12/3 10:50:49 am,Pinnacle,Indiana Pacers,Memphis Grizzlies,13.5,-110,-13.5,-121,104,117,9,-9
12/3 10:50:43 am,Pinnacle,Indiana Pacers,Memphis Grizzlies,13.5,-110,-13.5,-120,104,117,9,-9
12/3 10:50:34 am,Pinnacle,Indiana Pacers,Memphis Grizzlies,13.5,-109,-13.5,-121,104,117,9,-9
12/3 10:50:25 am,Pinnacle,Indiana Pacers,Memphis Grizzlies,14.5,-145,-14.5,109,104,117,9,-9
12/3 10:50:19 am,Pinnacle,Indiana Pacers,Memphis Grizzlies,14.5,-117,-14.5,-113,104,117,9,-9
12/3 10:50:13 am,Pinnacle,Indiana Pacers,Memphis Grizzlies,13.5,-105,-13.5,-126,104,117,9,-9
12/3 10:50:07 am,Pinnacle,Indiana Pacers,Memphis Grizzlies,13.5,-110,-13.5,-120,104,117,9,-9
12/3 10:50:04 am,Pinnacle,Indiana Pacers,Memphis Grizzlies,14.0,-120,-14.0,-110,104,117,9,-9
12/3 10:50:55 am,Pinnacle,Indiana Pacers,Memphis Grizzlies,13.5,-111,-13.5,-119,104,117,9,-9
12/3 10:50:02 am,Pinnacle,Indiana Pacers,Memphis Grizzlies,14.0,-118,-14.0,-112,104,117,9,-9
12/3 10:49:52 am,Pinnacle,Indiana Pacers,Memphis Grizzlies,12.5,-124,-12.5,-107,104,117,9,-9
12/3 10:49:49 am,Pinnacle,Indiana Pacers,Memphis Grizzlies,12.5,-131,-12.5,-101,104,117,9,-9
12/3 10:49:43 am,Pinnacle,Indiana Pacers,Memphis Grizzlies,12.5,-120,-12.5,-110,104,117,9,-9
12/3 10:49:40 am,Pinnacle,Indiana Pacers,Memphis Grizzlies,12.5,-118,-12.5,-112,104,117,9,-9
12/3 10:49:37 am,Pinnacle,Indiana Pacers,Memphis Grizzlies,12.0,-110,-12.0,-120,104,117,9,-9
12/3 10:49:34 am,Pinnacle,Indiana Pacers,Memphis Grizzlies,13.0,-110,-13.0,-120,104,117,9,-9
12/3 10:49:31 am,Pinnacle,Indiana Pacers,Memphis Grizzlies,13.0,-125,-13.0,-106,104,117,9,-9
12/3 10:49:28 am,Pinnacle,Indiana Pacers,Memphis Grizzlies,13.0,-117,-13.0,-113,104,117,9,-9
12/3 10:49:22 am,Pinnacle,Indiana Pacers,Memphis Grizzlies,13.0,-110,-13.0,-120,104,117,9,-9
12/3 10:49:16 am,Pinnacle,Indiana Pacers,Memphis Grizzlies,13.0,-109,-13.0,-121,104,117,9,-9
12/3 10:49:01 am,Pinnacle,Indiana Pacers,Memphis Grizzlies,13.0,-110,-13.0,-120,104,117,9,-9
12/3 10:48:55 am,Pinnacle,Indiana Pacers,Memphis Grizzlies,13.0,-112,-13.0,-118,104,117,9,-9
12/3 10:48:49 am,Pinnacle,Indiana Pacers,Memphis Grizzlies,12.5,-117,-12.5,-113,104,117,9,-9
12/3 10:48:43 am,Pinnacle,Indiana Pacers,Memphis Grizzlies,12.5,-116,-12.5,-114,104,117,9,-9
12/3 10:48:40 am,Pinnacle,Indiana Pacers,Memphis Grizzlies,12.5,-117,-12.5,-113,104,117,9,-9
12/3 10:48:34 am,Pinnacle,Indiana Pacers,Memphis Grizzlies,12.5,-116,-12.5,-114,104,117,9,-9
12/3 10:48:25 am,Pinnacle,Indiana Pacers,Memphis Grizzlies,13.0,-124,-13.0,-107,104,117,9,-9
12/3 10:48:13 am,Pinnacle,Indiana Pacers,Memphis Grizzlies,13.0,-123,-13.0,-107,104,117,9,-9
12/3 10:48:04 am,Pinnacle,Indiana Pacers,Memphis Grizzlies,13.0,-117,-13.0,-113,104,117,9,-9
12/3 10:48:01 am,Pinnacle,Indiana Pacers,Memphis Grizzlies,13.0,-108,-13.0,-122,104,117,9,-9
12/3 10:47:57 am,Pinnacle,Indiana Pacers,Memphis Grizzlies,12.5,-113,-12.5,-117,104,117,9,-9
12/3 10:47:46 am,Pinnacle,Indiana Pacers,Memphis Grizzlies,12.5,-108,-12.5,-122,104,117,9,-9
12/3 10:47:40 am,Pinnacle,Indiana Pacers,Memphis Grizzlies,12.5,-107,-12.5,-124,104,117,9,-9
12/3 10:47:33 am,Pinnacle,Indiana Pacers,Memphis Grizzlies,12.5,-108,-12.5,-123,104,117,9,-9
12/3 10:47:19 am,Pinnacle,Indiana Pacers,Memphis Grizzlies,12.5,-113,-12.5,-117,104,117,9,-9
12/3 10:47:16 am,Pinnacle,Indiana Pacers,Memphis Grizzlies,12.5,-121,-12.5,-109,104,117,9,-9
12/3 10:47:10 am,Pinnacle,Indiana Pacers,Memphis Grizzlies,13.5,-131,-13.5,-101,104,117,9,-9
12/3 10:47:07 am,Pinnacle,Indiana Pacers,Memphis Grizzlies,13.5,-121,-13.5,-109,104,117,9,-9
12/3 10:47:01 am,Pinnacle,Indiana Pacers,Memphis Grizzlies,13.5,-120,-13.5,-110,104,117,9,-9
12/3 10:46:51 am,Pinnacle,Indiana Pacers,Memphis Grizzlies,12.5,-112,-12.5,-119,104,117,9,-9
12/3 10:46:43 am,Pinnacle,Indiana Pacers,Memphis Grizzlies,11.5,-107,-11.5,-124,104,117,9,-9
12/3 10:46:40 am,Pinnacle,Indiana Pacers,Memphis Grizzlies,12.0,-105,-12.0,-126,104,117,9,-9
