Time,Book,Away Team,Home Team,Home Line,Home Odds,Away Line,Away Odds,Home Score,Away Score,Home Line Open,Away Line Open
12/28 11:03:45 am,Pinnacle,Indiana Pacers,Miami Heat,1.5,-114,-1.5,-102,113,112,-4.5,4.5
12/28 10:58:26 am,Pinnacle,Indiana Pacers,Miami Heat,-5.0,-118,5.0,101,113,112,-4.5,4.5
12/28 10:57:12 am,Pinnacle,Indiana Pacers,Miami Heat,-5.0,-111,5.0,-106,113,112,-4.5,4.5
12/28 10:56:21 am,Pinnacle,Indiana Pacers,Miami Heat,-5.0,-109,5.0,-107,113,112,-4.5,4.5
12/28 10:56:09 am,Pinnacle,Indiana Pacers,Miami Heat,-5.0,-108,5.0,-108,113,112,-4.5,4.5
12/28 10:55:57 am,Pinnacle,Indiana Pacers,Miami Heat,-5.0,-107,5.0,-109,113,112,-4.5,4.5
12/28 10:55:36 am,Pinnacle,Indiana Pacers,Miami Heat,-5.0,-112,5.0,-118,113,112,-4.5,4.5
12/28 10:55:30 am,Pinnacle,Indiana Pacers,Miami Heat,-4.0,-125,4.0,-106,113,112,-4.5,4.5
12/28 10:54:54 am,Pinnacle,Indiana Pacers,Miami Heat,-4.5,-107,4.5,-124,113,112,-4.5,4.5
12/28 10:54:51 am,Pinnacle,Indiana Pacers,Miami Heat,-4.0,-125,4.0,-106,113,112,-4.5,4.5
12/28 10:54:44 am,Pinnacle,Indiana Pacers,Miami Heat,-5.0,-115,5.0,-115,113,112,-4.5,4.5
12/28 10:54:40 am,Pinnacle,Indiana Pacers,Miami Heat,-6.0,105,6.0,-139,113,112,-4.5,4.5
12/28 10:54:23 am,Pinnacle,Indiana Pacers,Miami Heat,-7.0,-100,7.0,-132,113,112,-4.5,4.5
12/28 10:54:18 am,Pinnacle,Indiana Pacers,Miami Heat,-7.0,-110,7.0,-121,113,112,-4.5,4.5
12/28 10:54:15 am,Pinnacle,Indiana Pacers,Miami Heat,-7.0,-101,7.0,-132,113,112,-4.5,4.5
12/28 10:54:12 am,Pinnacle,Indiana Pacers,Miami Heat,-7.0,-111,7.0,-119,113,112,-4.5,4.5
12/28 10:54:09 am,Pinnacle,Indiana Pacers,Miami Heat,-6.0,-107,6.0,-124,113,112,-4.5,4.5
12/28 10:54:03 am,Pinnacle,Indiana Pacers,Miami Heat,-6.0,-119,6.0,-111,113,112,-4.5,4.5
12/28 10:53:57 am,Pinnacle,Indiana Pacers,Miami Heat,-5.0,-130,5.0,-101,113,112,-4.5,4.5
12/28 10:53:50 am,Pinnacle,Indiana Pacers,Miami Heat,-5.0,-118,5.0,-112,113,112,-4.5,4.5
12/28 10:53:48 am,Pinnacle,Indiana Pacers,Miami Heat,-5.0,-117,5.0,-113,113,112,-4.5,4.5
12/28 10:54:30 am,Pinnacle,Indiana Pacers,Miami Heat,-6.0,-119,6.0,-111,113,112,-4.5,4.5
12/28 10:53:40 am,Pinnacle,Indiana Pacers,Miami Heat,-4.5,-109,4.5,-122,113,112,-4.5,4.5
12/28 10:53:38 am,Pinnacle,Indiana Pacers,Miami Heat,-3.5,-117,3.5,-113,113,112,-4.5,4.5
12/28 10:53:36 am,Pinnacle,Indiana Pacers,Miami Heat,-3.5,-129,3.5,-102,113,112,-4.5,4.5
12/28 10:53:21 am,Pinnacle,Indiana Pacers,Miami Heat,-3.5,-117,3.5,-113,113,112,-4.5,4.5
12/28 10:53:14 am,Pinnacle,Indiana Pacers,Miami Heat,-4.5,-111,4.5,-119,113,112,-4.5,4.5
