Time,Book,Away Team,Home Team,Home Line,Home Odds,Away Line,Away Odds,Home Score,Away Score,Home Line Open,Away Line Open
12/23 9:59:38 am,Pinnacle,Indiana Pacers,Milwaukee Bucks,-22.5,-115,22.5,-102,117,89,-8,8
12/23 9:59:29 am,Pinnacle,Indiana Pacers,Milwaukee Bucks,-22.5,-113,22.5,-103,117,89,-8,8
12/23 9:59:20 am,Pinnacle,Indiana Pacers,Milwaukee Bucks,-22.5,-105,22.5,-111,117,89,-8,8
12/23 9:59:11 am,Pinnacle,Indiana Pacers,Milwaukee Bucks,-22.5,-106,22.5,-110,117,89,-8,8
12/23 9:59:08 am,Pinnacle,Indiana Pacers,Milwaukee Bucks,-22.5,-107,22.5,-109,117,89,-8,8
12/23 9:59:01 am,Pinnacle,Indiana Pacers,Milwaukee Bucks,-22.5,-108,22.5,-108,117,89,-8,8
12/23 9:54:53 am,Pinnacle,Indiana Pacers,Milwaukee Bucks,-18.5,102,18.5,-119,117,89,-8,8
12/23 9:54:19 am,Pinnacle,Indiana Pacers,Milwaukee Bucks,-18.5,-100,18.5,-116,117,89,-8,8
12/23 9:54:02 am,Pinnacle,Indiana Pacers,Milwaukee Bucks,-18.5,-105,18.5,-111,117,89,-8,8
12/23 9:53:55 am,Pinnacle,Indiana Pacers,Milwaukee Bucks,-18.5,-108,18.5,-108,117,89,-8,8
12/23 9:53:43 am,Pinnacle,Indiana Pacers,Milwaukee Bucks,-18.5,-109,18.5,-107,117,89,-8,8
12/23 9:53:10 am,Pinnacle,Indiana Pacers,Milwaukee Bucks,-18.5,-121,18.5,-110,117,89,-8,8
12/23 9:53:08 am,Pinnacle,Indiana Pacers,Milwaukee Bucks,-17.0,-125,17.0,-106,117,89,-8,8
12/23 9:52:58 am,Pinnacle,Indiana Pacers,Milwaukee Bucks,-17.0,-115,17.0,-115,117,89,-8,8
12/23 9:52:56 am,Pinnacle,Indiana Pacers,Milwaukee Bucks,-17.0,-113,17.0,-117,117,89,-8,8
12/23 9:52:53 am,Pinnacle,Indiana Pacers,Milwaukee Bucks,-18.0,102,18.0,-136,117,89,-8,8
12/23 9:52:46 am,Pinnacle,Indiana Pacers,Milwaukee Bucks,-18.0,-108,18.0,-123,117,89,-8,8
12/23 9:52:44 am,Pinnacle,Indiana Pacers,Milwaukee Bucks,-17.5,-124,17.5,-106,117,89,-8,8
12/23 9:52:34 am,Pinnacle,Indiana Pacers,Milwaukee Bucks,-16.0,-118,16.0,-112,117,89,-8,8
12/23 9:52:23 am,Pinnacle,Indiana Pacers,Milwaukee Bucks,-15.0,-120,15.0,-111,117,89,-8,8
12/23 9:52:10 am,Pinnacle,Indiana Pacers,Milwaukee Bucks,-16.0,110,16.0,-146,117,89,-8,8
12/23 9:52:08 am,Pinnacle,Indiana Pacers,Milwaukee Bucks,-16.0,103,16.0,-137,117,89,-8,8
12/23 9:52:05 am,Pinnacle,Indiana Pacers,Milwaukee Bucks,-16.0,-107,16.0,-124,117,89,-8,8
12/23 9:52:02 am,Pinnacle,Indiana Pacers,Milwaukee Bucks,-16.0,-105,16.0,-126,117,89,-8,8
12/23 9:51:59 am,Pinnacle,Indiana Pacers,Milwaukee Bucks,-16.0,-111,16.0,-120,117,89,-8,8
12/23 9:51:56 am,Pinnacle,Indiana Pacers,Milwaukee Bucks,-16.0,-115,16.0,-115,117,89,-8,8
12/23 9:51:53 am,Pinnacle,Indiana Pacers,Milwaukee Bucks,-16.0,-119,16.0,-111,117,89,-8,8
12/23 9:51:43 am,Pinnacle,Indiana Pacers,Milwaukee Bucks,-16.0,-121,16.0,-109,117,89,-8,8
12/23 9:51:40 am,Pinnacle,Indiana Pacers,Milwaukee Bucks,-17.0,-112,17.0,-118,117,89,-8,8
12/23 9:51:32 am,Pinnacle,Indiana Pacers,Milwaukee Bucks,-17.0,-112,17.0,-119,117,89,-8,8
12/23 9:51:22 am,Pinnacle,Indiana Pacers,Milwaukee Bucks,-15.5,-109,15.5,-122,117,89,-8,8
12/23 9:51:19 am,Pinnacle,Indiana Pacers,Milwaukee Bucks,-14.5,-107,14.5,-124,117,89,-8,8
12/23 9:51:10 am,Pinnacle,Indiana Pacers,Milwaukee Bucks,-14.5,-109,14.5,-121,117,89,-8,8
12/23 9:49:50 am,Pinnacle,Indiana Pacers,Milwaukee Bucks,-14.0,-109,14.0,-107,117,89,-8,8
12/23 9:48:58 am,Pinnacle,Indiana Pacers,Milwaukee Bucks,-14.0,-108,14.0,-108,117,89,-8,8
12/23 9:48:31 am,Pinnacle,Indiana Pacers,Milwaukee Bucks,-14.0,-113,14.0,-103,117,89,-8,8
12/23 9:48:04 am,Pinnacle,Indiana Pacers,Milwaukee Bucks,-13.5,-112,13.5,-118,117,89,-8,8
12/23 9:48:01 am,Pinnacle,Indiana Pacers,Milwaukee Bucks,-12.0,-112,12.0,-118,117,89,-8,8
12/23 9:47:53 am,Pinnacle,Indiana Pacers,Milwaukee Bucks,-12.0,-109,12.0,-122,117,89,-8,8
12/23 9:47:47 am,Pinnacle,Indiana Pacers,Milwaukee Bucks,-11.0,-130,11.0,-102,117,89,-8,8
12/23 9:47:43 am,Pinnacle,Indiana Pacers,Milwaukee Bucks,-11.0,-118,11.0,-112,117,89,-8,8
12/23 9:47:31 am,Pinnacle,Indiana Pacers,Milwaukee Bucks,-11.0,-114,11.0,-116,117,89,-8,8
12/23 9:47:29 am,Pinnacle,Indiana Pacers,Milwaukee Bucks,-11.0,-113,11.0,-117,117,89,-8,8
12/23 9:47:25 am,Pinnacle,Indiana Pacers,Milwaukee Bucks,-9.5,-144,9.5,108,117,89,-8,8
12/23 9:47:20 am,Pinnacle,Indiana Pacers,Milwaukee Bucks,-9.5,-128,9.5,-104,117,89,-8,8
12/23 9:47:17 am,Pinnacle,Indiana Pacers,Milwaukee Bucks,-9.5,-114,9.5,-116,117,89,-8,8
12/23 9:47:14 am,Pinnacle,Indiana Pacers,Milwaukee Bucks,-9.0,-115,9.0,-115,117,89,-8,8
