Time,Book,Away Team,Home Team,Home Line,Home Odds,Away Line,Away Odds,Home Score,Away Score,Home Line Open,Away Line Open
1/16 11:05:00 am,Pinnacle,Indiana Pacers,Minnesota Timberwolves,7.5,100,-7.5,-117,99,104,4,-4
1/16 11:04:54 am,Pinnacle,Indiana Pacers,Minnesota Timberwolves,7.5,-102,-7.5,-114,99,104,4,-4
1/16 11:04:51 am,Pinnacle,Indiana Pacers,Minnesota Timberwolves,7.5,-101,-7.5,-115,99,104,4,-4
1/16 11:04:45 am,Pinnacle,Indiana Pacers,Minnesota Timberwolves,7.5,107,-7.5,-124,99,104,4,-4
1/16 11:04:42 am,Pinnacle,Indiana Pacers,Minnesota Timberwolves,7.5,111,-7.5,-130,99,104,4,-4
1/16 11:04:39 am,Pinnacle,Indiana Pacers,Minnesota Timberwolves,7.5,112,-7.5,-131,99,104,4,-4
1/16 11:04:30 am,Pinnacle,Indiana Pacers,Minnesota Timberwolves,7.5,119,-7.5,-139,99,104,4,-4
1/16 11:04:18 am,Pinnacle,Indiana Pacers,Minnesota Timberwolves,7.5,120,-7.5,-140,99,104,4,-4
1/16 11:02:30 am,Pinnacle,Indiana Pacers,Minnesota Timberwolves,4.5,101,-4.5,-118,99,104,4,-4
1/16 11:02:18 am,Pinnacle,Indiana Pacers,Minnesota Timberwolves,4.5,-101,-4.5,-116,99,104,4,-4
1/16 11:02:15 am,Pinnacle,Indiana Pacers,Minnesota Timberwolves,4.5,102,-4.5,-119,99,104,4,-4
1/16 11:02:00 am,Pinnacle,Indiana Pacers,Minnesota Timberwolves,4.5,102,-4.5,-118,99,104,4,-4
1/16 11:01:42 am,Pinnacle,Indiana Pacers,Minnesota Timberwolves,4.5,108,-4.5,-126,99,104,4,-4
1/16 11:01:39 am,Pinnacle,Indiana Pacers,Minnesota Timberwolves,4.5,105,-4.5,-123,99,104,4,-4
1/16 11:04:36 am,Pinnacle,Indiana Pacers,Minnesota Timberwolves,7.5,116,-7.5,-136,99,104,4,-4
1/16 10:58:08 am,Pinnacle,Indiana Pacers,Minnesota Timberwolves,6.0,-119,-6.0,102,99,104,4,-4
1/16 10:57:42 am,Pinnacle,Indiana Pacers,Minnesota Timberwolves,6.0,-114,-6.0,-102,99,104,4,-4
1/16 10:57:03 am,Pinnacle,Indiana Pacers,Minnesota Timberwolves,6.0,-113,-6.0,-103,99,104,4,-4
1/16 10:56:54 am,Pinnacle,Indiana Pacers,Minnesota Timberwolves,6.0,-112,-6.0,-104,99,104,4,-4
1/16 10:56:45 am,Pinnacle,Indiana Pacers,Minnesota Timberwolves,6.0,-113,-6.0,-103,99,104,4,-4
1/16 10:56:39 am,Pinnacle,Indiana Pacers,Minnesota Timberwolves,6.0,-112,-6.0,-104,99,104,4,-4
1/16 10:51:24 am,Pinnacle,Indiana Pacers,Minnesota Timberwolves,5.0,-104,-5.0,-112,99,104,4,-4
1/16 10:50:57 am,Pinnacle,Indiana Pacers,Minnesota Timberwolves,5.0,-106,-5.0,-110,99,104,4,-4
1/16 10:50:51 am,Pinnacle,Indiana Pacers,Minnesota Timberwolves,5.0,-107,-5.0,-109,99,104,4,-4
1/16 10:50:48 am,Pinnacle,Indiana Pacers,Minnesota Timberwolves,5.0,-108,-5.0,-108,99,104,4,-4
1/16 10:50:15 am,Pinnacle,Indiana Pacers,Minnesota Timberwolves,5.0,-112,-5.0,-105,99,104,4,-4
1/16 10:49:45 am,Pinnacle,Indiana Pacers,Minnesota Timberwolves,5.0,-113,-5.0,-104,99,104,4,-4
1/16 10:49:33 am,Pinnacle,Indiana Pacers,Minnesota Timberwolves,5.0,-115,-5.0,-102,99,104,4,-4
1/16 10:49:18 am,Pinnacle,Indiana Pacers,Minnesota Timberwolves,5.0,-111,-5.0,-105,99,104,4,-4
1/16 10:48:57 am,Pinnacle,Indiana Pacers,Minnesota Timberwolves,5.0,-106,-5.0,-110,99,104,4,-4
1/16 10:47:33 am,Pinnacle,Indiana Pacers,Minnesota Timberwolves,3.5,-116,-3.5,-114,99,104,4,-4
