Time,Book,Away Team,Home Team,Home Line,Home Odds,Away Line,Away Odds,Home Score,Away Score,Home Line Open,Away Line Open
2/22 10:52:04 am,Pinnacle,Indiana Pacers,New York Knicks,4.0,104,-4.0,-121,98,106,6.5,-6.5
2/22 10:51:54 am,Pinnacle,Indiana Pacers,New York Knicks,4.0,103,-4.0,-120,98,106,6.5,-6.5
2/22 10:48:12 am,Pinnacle,Indiana Pacers,New York Knicks,5.5,109,-5.5,-127,98,106,6.5,-6.5
2/22 10:48:03 am,Pinnacle,Indiana Pacers,New York Knicks,5.5,108,-5.5,-126,98,106,6.5,-6.5
2/22 10:47:53 am,Pinnacle,Indiana Pacers,New York Knicks,5.5,106,-5.5,-124,98,106,6.5,-6.5
2/22 10:47:50 am,Pinnacle,Indiana Pacers,New York Knicks,5.5,104,-5.5,-121,98,106,6.5,-6.5
2/22 10:47:44 am,Pinnacle,Indiana Pacers,New York Knicks,5.5,-104,-5.5,-112,98,106,6.5,-6.5
2/22 10:47:35 am,Pinnacle,Indiana Pacers,New York Knicks,5.5,-106,-5.5,-111,98,106,6.5,-6.5
2/22 10:47:27 am,Pinnacle,Indiana Pacers,New York Knicks,5.5,-108,-5.5,-108,98,106,6.5,-6.5
2/22 10:43:08 am,Pinnacle,Indiana Pacers,New York Knicks,9.5,-119,-9.5,102,98,106,6.5,-6.5
2/22 10:42:42 am,Pinnacle,Indiana Pacers,New York Knicks,9.5,-116,-9.5,-101,98,106,6.5,-6.5
2/22 10:42:11 am,Pinnacle,Indiana Pacers,New York Knicks,9.5,-108,-9.5,-108,98,106,6.5,-6.5
2/22 10:42:09 am,Pinnacle,Indiana Pacers,New York Knicks,9.5,-104,-9.5,-112,98,106,6.5,-6.5
2/22 10:41:42 am,Pinnacle,Indiana Pacers,New York Knicks,9.5,-103,-9.5,-113,98,106,6.5,-6.5
2/22 10:36:33 am,Pinnacle,Indiana Pacers,New York Knicks,7.5,-117,-7.5,-113,98,106,6.5,-6.5
2/22 10:36:26 am,Pinnacle,Indiana Pacers,New York Knicks,7.5,-121,-7.5,-109,98,106,6.5,-6.5
2/22 10:36:18 am,Pinnacle,Indiana Pacers,New York Knicks,8.0,-116,-8.0,-114,98,106,6.5,-6.5
2/22 10:36:15 am,Pinnacle,Indiana Pacers,New York Knicks,8.0,-116,-8.0,-114,98,106,6.5,-6.5
2/22 10:35:56 am,Pinnacle,Indiana Pacers,New York Knicks,9.0,-112,-9.0,-118,98,106,6.5,-6.5
2/22 10:34:33 am,Pinnacle,Indiana Pacers,New York Knicks,9.0,-104,-9.0,-112,98,106,6.5,-6.5
2/22 10:34:30 am,Pinnacle,Indiana Pacers,New York Knicks,9.0,-105,-9.0,-112,98,106,6.5,-6.5
2/22 10:34:18 am,Pinnacle,Indiana Pacers,New York Knicks,9.0,-104,-9.0,-112,98,106,6.5,-6.5
2/22 10:33:36 am,Pinnacle,Indiana Pacers,New York Knicks,9.0,-110,-9.0,-106,98,106,6.5,-6.5
2/22 10:33:09 am,Pinnacle,Indiana Pacers,New York Knicks,9.0,-110,-9.0,-106,98,106,6.5,-6.5
2/22 10:32:59 am,Pinnacle,Indiana Pacers,New York Knicks,8.5,-107,-8.5,-109,98,106,6.5,-6.5
2/22 10:32:57 am,Pinnacle,Indiana Pacers,New York Knicks,8.5,-104,-8.5,-127,98,106,6.5,-6.5
2/22 10:32:48 am,Pinnacle,Indiana Pacers,New York Knicks,8.5,-115,-8.5,-116,98,106,6.5,-6.5
2/22 10:32:38 am,Pinnacle,Indiana Pacers,New York Knicks,10.0,-110,-10.0,-121,98,106,6.5,-6.5
2/22 10:32:33 am,Pinnacle,Indiana Pacers,New York Knicks,11.5,-125,-11.5,-106,98,106,6.5,-6.5
2/22 10:32:20 am,Pinnacle,Indiana Pacers,New York Knicks,11.5,-122,-11.5,-108,98,106,6.5,-6.5
2/22 10:32:18 am,Pinnacle,Indiana Pacers,New York Knicks,11.0,-107,-11.0,-124,98,106,6.5,-6.5
2/22 10:32:15 am,Pinnacle,Indiana Pacers,New York Knicks,12.0,-120,-12.0,-110,98,106,6.5,-6.5
2/22 10:32:05 am,Pinnacle,Indiana Pacers,New York Knicks,12.0,-118,-12.0,-112,98,106,6.5,-6.5
2/22 10:32:03 am,Pinnacle,Indiana Pacers,New York Knicks,12.0,-119,-12.0,-112,98,106,6.5,-6.5
2/22 10:31:56 am,Pinnacle,Indiana Pacers,New York Knicks,12.0,-122,-12.0,-108,98,106,6.5,-6.5
2/22 10:31:42 am,Pinnacle,Indiana Pacers,New York Knicks,12.0,-118,-12.0,-112,98,106,6.5,-6.5
2/22 10:31:38 am,Pinnacle,Indiana Pacers,New York Knicks,12.0,-110,-12.0,-121,98,106,6.5,-6.5
2/22 10:31:30 am,Pinnacle,Indiana Pacers,New York Knicks,11.5,-120,-11.5,-111,98,106,6.5,-6.5
2/22 10:31:18 am,Pinnacle,Indiana Pacers,New York Knicks,11.0,-111,-11.0,-119,98,106,6.5,-6.5
2/22 10:31:12 am,Pinnacle,Indiana Pacers,New York Knicks,10.5,-108,-10.5,-123,98,106,6.5,-6.5
2/22 10:31:06 am,Pinnacle,Indiana Pacers,New York Knicks,10.5,-102,-10.5,-130,98,106,6.5,-6.5
2/22 10:31:03 am,Pinnacle,Indiana Pacers,New York Knicks,10.5,-110,-10.5,-120,98,106,6.5,-6.5
2/22 10:30:57 am,Pinnacle,Indiana Pacers,New York Knicks,10.5,-118,-10.5,-112,98,106,6.5,-6.5
2/22 10:30:54 am,Pinnacle,Indiana Pacers,New York Knicks,9.0,-120,-9.0,-110,98,106,6.5,-6.5
2/22 10:30:48 am,Pinnacle,Indiana Pacers,New York Knicks,8.0,-112,-8.0,-118,98,106,6.5,-6.5
2/22 10:30:45 am,Pinnacle,Indiana Pacers,New York Knicks,8.0,-119,-8.0,-112,98,106,6.5,-6.5
2/22 10:30:42 am,Pinnacle,Indiana Pacers,New York Knicks,8.0,-118,-8.0,-112,98,106,6.5,-6.5
2/22 10:30:38 am,Pinnacle,Indiana Pacers,New York Knicks,8.0,-118,-8.0,-113,98,106,6.5,-6.5
2/22 10:30:36 am,Pinnacle,Indiana Pacers,New York Knicks,9.0,-120,-9.0,-111,98,106,6.5,-6.5
2/22 10:30:32 am,Pinnacle,Indiana Pacers,New York Knicks,9.5,-118,-9.5,-113,98,106,6.5,-6.5
2/22 10:30:27 am,Pinnacle,Indiana Pacers,New York Knicks,9.5,-110,-9.5,-120,98,106,6.5,-6.5
2/22 10:30:20 am,Pinnacle,Indiana Pacers,New York Knicks,9.5,-109,-9.5,-122,98,106,6.5,-6.5
2/22 10:30:18 am,Pinnacle,Indiana Pacers,New York Knicks,9.5,-109,-9.5,-122,98,106,6.5,-6.5
2/22 10:30:12 am,Pinnacle,Indiana Pacers,New York Knicks,8.5,-113,-8.5,-117,98,106,6.5,-6.5
2/22 10:30:09 am,Pinnacle,Indiana Pacers,New York Knicks,8.5,-119,-8.5,-111,98,106,6.5,-6.5
