Time,Book,Away Team,Home Team,Home Line,Home Odds,Away Line,Away Odds,Home Score,Away Score,Home Line Open,Away Line Open
12/5 11:15:44 am,Pinnacle,Indiana Pacers,Oklahoma City Thunder,4.5,165,-4.5,-195,100,107,1.5,-1.5
12/5 11:15:31 am,Pinnacle,Indiana Pacers,Oklahoma City Thunder,4.5,174,-4.5,-207,100,107,1.5,-1.5
12/5 11:14:52 am,Pinnacle,Indiana Pacers,Oklahoma City Thunder,4.5,177,-4.5,-210,100,107,1.5,-1.5
12/5 11:05:14 am,Pinnacle,Indiana Pacers,Oklahoma City Thunder,2.0,-110,-2.0,-106,100,107,1.5,-1.5
12/5 11:05:07 am,Pinnacle,Indiana Pacers,Oklahoma City Thunder,2.0,-108,-2.0,-108,100,107,1.5,-1.5
12/5 11:04:59 am,Pinnacle,Indiana Pacers,Oklahoma City Thunder,2.0,102,-2.0,-119,100,107,1.5,-1.5
12/5 11:04:53 am,Pinnacle,Indiana Pacers,Oklahoma City Thunder,2.0,105,-2.0,-122,100,107,1.5,-1.5
12/5 11:04:46 am,Pinnacle,Indiana Pacers,Oklahoma City Thunder,2.0,-117,-2.0,100,100,107,1.5,-1.5
12/5 10:59:27 am,Pinnacle,Indiana Pacers,Oklahoma City Thunder,2.5,105,-2.5,-123,100,107,1.5,-1.5
12/5 10:58:54 am,Pinnacle,Indiana Pacers,Oklahoma City Thunder,2.5,103,-2.5,-120,100,107,1.5,-1.5
12/5 10:58:34 am,Pinnacle,Indiana Pacers,Oklahoma City Thunder,2.5,107,-2.5,-125,100,107,1.5,-1.5
12/5 10:53:40 am,Pinnacle,Indiana Pacers,Oklahoma City Thunder,3.5,-117,-3.5,100,100,107,1.5,-1.5
12/5 10:53:26 am,Pinnacle,Indiana Pacers,Oklahoma City Thunder,3.5,-117,-3.5,101,100,107,1.5,-1.5
12/5 10:53:11 am,Pinnacle,Indiana Pacers,Oklahoma City Thunder,3.5,-114,-3.5,-102,100,107,1.5,-1.5
12/5 10:53:04 am,Pinnacle,Indiana Pacers,Oklahoma City Thunder,3.5,-117,-3.5,100,100,107,1.5,-1.5
12/5 10:52:56 am,Pinnacle,Indiana Pacers,Oklahoma City Thunder,3.5,-119,-3.5,102,100,107,1.5,-1.5
12/5 10:52:49 am,Pinnacle,Indiana Pacers,Oklahoma City Thunder,3.5,-120,-3.5,103,100,107,1.5,-1.5
12/5 10:52:42 am,Pinnacle,Indiana Pacers,Oklahoma City Thunder,3.5,-117,-3.5,100,100,107,1.5,-1.5
12/5 10:52:27 am,Pinnacle,Indiana Pacers,Oklahoma City Thunder,3.5,-112,-3.5,-104,100,107,1.5,-1.5
12/5 10:51:39 am,Pinnacle,Indiana Pacers,Oklahoma City Thunder,2.5,-115,-2.5,-115,100,107,1.5,-1.5
12/5 10:51:33 am,Pinnacle,Indiana Pacers,Oklahoma City Thunder,2.5,-120,-2.5,-110,100,107,1.5,-1.5
12/5 10:51:12 am,Pinnacle,Indiana Pacers,Oklahoma City Thunder,3.5,-125,-3.5,-106,100,107,1.5,-1.5
12/5 10:51:05 am,Pinnacle,Indiana Pacers,Oklahoma City Thunder,2.5,-120,-2.5,-110,100,107,1.5,-1.5
12/5 10:50:58 am,Pinnacle,Indiana Pacers,Oklahoma City Thunder,3.0,-107,-3.0,-124,100,107,1.5,-1.5
12/5 10:50:38 am,Pinnacle,Indiana Pacers,Oklahoma City Thunder,2.0,-107,-2.0,-124,100,107,1.5,-1.5
12/5 10:50:30 am,Pinnacle,Indiana Pacers,Oklahoma City Thunder,2.0,-117,-2.0,-113,100,107,1.5,-1.5
12/5 10:50:03 am,Pinnacle,Indiana Pacers,Oklahoma City Thunder,1.5,-104,-1.5,-127,100,107,1.5,-1.5
12/5 10:49:57 am,Pinnacle,Indiana Pacers,Oklahoma City Thunder,1.5,-112,-1.5,-118,100,107,1.5,-1.5
12/5 10:49:49 am,Pinnacle,Indiana Pacers,Oklahoma City Thunder,1.5,-110,-1.5,-120,100,107,1.5,-1.5
12/5 10:49:42 am,Pinnacle,Indiana Pacers,Oklahoma City Thunder,2.5,-123,-2.5,-108,100,107,1.5,-1.5
12/5 10:49:08 am,Pinnacle,Indiana Pacers,Oklahoma City Thunder,3.0,-113,-3.0,-117,100,107,1.5,-1.5
12/5 10:48:54 am,Pinnacle,Indiana Pacers,Oklahoma City Thunder,3.0,-122,-3.0,-108,100,107,1.5,-1.5
12/5 10:48:41 am,Pinnacle,Indiana Pacers,Oklahoma City Thunder,3.5,-110,-3.5,-121,100,107,1.5,-1.5
12/5 10:48:34 am,Pinnacle,Indiana Pacers,Oklahoma City Thunder,3.5,-123,-3.5,-107,100,107,1.5,-1.5
12/5 10:48:20 am,Pinnacle,Indiana Pacers,Oklahoma City Thunder,2.5,-110,-2.5,-121,100,107,1.5,-1.5
12/5 10:48:13 am,Pinnacle,Indiana Pacers,Oklahoma City Thunder,3.5,-114,-3.5,-116,100,107,1.5,-1.5
12/5 10:48:07 am,Pinnacle,Indiana Pacers,Oklahoma City Thunder,3.5,-121,-3.5,-109,100,107,1.5,-1.5
12/5 10:48:00 am,Pinnacle,Indiana Pacers,Oklahoma City Thunder,3.0,-112,-3.0,-118,100,107,1.5,-1.5
12/5 10:47:53 am,Pinnacle,Indiana Pacers,Oklahoma City Thunder,3.0,-121,-3.0,-109,100,107,1.5,-1.5
12/5 10:47:46 am,Pinnacle,Indiana Pacers,Oklahoma City Thunder,3.0,-122,-3.0,-108,100,107,1.5,-1.5
12/5 10:47:39 am,Pinnacle,Indiana Pacers,Oklahoma City Thunder,2.0,-112,-2.0,-118,100,107,1.5,-1.5
