Time,Book,Away Team,Home Team,Home Line,Home Odds,Away Line,Away Odds,Home Score,Away Score,Home Line Open,Away Line Open
12/1 10:23:53 am,Pinnacle,Indiana Pacers,Philadelphia 76ers,0.0,-1000,0.0,673,119,116,-6,6
12/1 10:22:17 am,Pinnacle,Indiana Pacers,Philadelphia 76ers,0.0,-205,0.0,173,119,116,-6,6
12/1 10:22:14 am,Pinnacle,Indiana Pacers,Philadelphia 76ers,0.0,-194,0.0,164,119,116,-6,6
12/1 10:21:59 am,Pinnacle,Indiana Pacers,Philadelphia 76ers,0.0,-190,0.0,161,119,116,-6,6
12/1 10:09:04 am,Pinnacle,Indiana Pacers,Philadelphia 76ers,0.0,-101,0.0,-116,119,116,-6,6
12/1 10:05:45 am,Pinnacle,Indiana Pacers,Philadelphia 76ers,0.0,115,0.0,-135,119,116,-6,6
12/1 10:05:41 am,Pinnacle,Indiana Pacers,Philadelphia 76ers,0.0,116,0.0,-136,119,116,-6,6
12/1 10:05:32 am,Pinnacle,Indiana Pacers,Philadelphia 76ers,0.0,116,0.0,-135,119,116,-6,6
12/1 10:04:44 am,Pinnacle,Indiana Pacers,Philadelphia 76ers,0.0,117,0.0,-137,119,116,-6,6
12/1 10:04:17 am,Pinnacle,Indiana Pacers,Philadelphia 76ers,0.0,116,0.0,-136,119,116,-6,6
12/1 10:00:29 am,Pinnacle,Indiana Pacers,Philadelphia 76ers,-3.0,-117,3.0,-113,119,116,-6,6
12/1 10:00:26 am,Pinnacle,Indiana Pacers,Philadelphia 76ers,-3.0,-109,3.0,-121,119,116,-6,6
12/1 10:00:11 am,Pinnacle,Indiana Pacers,Philadelphia 76ers,-4.0,-109,4.0,-121,119,116,-6,6
12/1 10:00:09 am,Pinnacle,Indiana Pacers,Philadelphia 76ers,-4.0,-110,4.0,-120,119,116,-6,6
12/1 10:00:02 am,Pinnacle,Indiana Pacers,Philadelphia 76ers,-3.0,-120,3.0,-110,119,116,-6,6
12/1 9:59:50 am,Pinnacle,Indiana Pacers,Philadelphia 76ers,-3.0,-123,3.0,-108,119,116,-6,6
12/1 9:59:48 am,Pinnacle,Indiana Pacers,Philadelphia 76ers,-2.5,-121,2.5,-109,119,116,-6,6
12/1 9:59:44 am,Pinnacle,Indiana Pacers,Philadelphia 76ers,-2.5,-118,2.5,-112,119,116,-6,6
12/1 9:59:38 am,Pinnacle,Indiana Pacers,Philadelphia 76ers,-2.5,-110,2.5,-120,119,116,-6,6
12/1 9:59:32 am,Pinnacle,Indiana Pacers,Philadelphia 76ers,-3.0,-122,3.0,-109,119,116,-6,6
12/1 9:59:30 am,Pinnacle,Indiana Pacers,Philadelphia 76ers,-2.5,-127,2.5,-104,119,116,-6,6
12/1 9:59:26 am,Pinnacle,Indiana Pacers,Philadelphia 76ers,-2.5,-119,2.5,-111,119,116,-6,6
12/1 9:59:23 am,Pinnacle,Indiana Pacers,Philadelphia 76ers,-2.5,-111,2.5,-119,119,116,-6,6
12/1 9:59:20 am,Pinnacle,Indiana Pacers,Philadelphia 76ers,-3.0,-112,3.0,-118,119,116,-6,6
12/1 9:59:15 am,Pinnacle,Indiana Pacers,Philadelphia 76ers,-3.0,-118,3.0,-112,119,116,-6,6
12/1 9:59:03 am,Pinnacle,Indiana Pacers,Philadelphia 76ers,-3.0,-124,3.0,-106,119,116,-6,6
12/1 9:58:50 am,Pinnacle,Indiana Pacers,Philadelphia 76ers,-2.5,-112,2.5,-118,119,116,-6,6
12/1 9:58:36 am,Pinnacle,Indiana Pacers,Philadelphia 76ers,-2.5,-113,2.5,-117,119,116,-6,6
12/1 9:58:34 am,Pinnacle,Indiana Pacers,Philadelphia 76ers,-2.5,-116,2.5,-114,119,116,-6,6
12/1 9:58:12 am,Pinnacle,Indiana Pacers,Philadelphia 76ers,-2.0,-107,2.0,-124,119,116,-6,6
12/1 9:58:08 am,Pinnacle,Indiana Pacers,Philadelphia 76ers,-2.0,-109,2.0,-121,119,116,-6,6
12/1 9:58:03 am,Pinnacle,Indiana Pacers,Philadelphia 76ers,-3.5,-108,3.5,-123,119,116,-6,6
