Time,Book,Away Team,Home Team,Home Line,Home Odds,Away Line,Away Odds,Home Score,Away Score,Home Line Open,Away Line Open
1/23 12:17:01 pm,Pinnacle,Indiana Pacers,Phoenix Suns,19.0,105,-19.0,-123,87,112,1.5,-1.5
1/23 12:16:58 pm,Pinnacle,Indiana Pacers,Phoenix Suns,19.0,107,-19.0,-125,87,112,1.5,-1.5
1/23 12:16:19 pm,Pinnacle,Indiana Pacers,Phoenix Suns,19.0,109,-19.0,-128,87,112,1.5,-1.5
1/23 12:16:11 pm,Pinnacle,Indiana Pacers,Phoenix Suns,19.0,111,-19.0,-130,87,112,1.5,-1.5
1/23 12:16:01 pm,Pinnacle,Indiana Pacers,Phoenix Suns,19.0,104,-19.0,-122,87,112,1.5,-1.5
1/23 12:15:46 pm,Pinnacle,Indiana Pacers,Phoenix Suns,19.0,108,-19.0,-126,87,112,1.5,-1.5
1/23 12:15:25 pm,Pinnacle,Indiana Pacers,Phoenix Suns,19.0,102,-19.0,-119,87,112,1.5,-1.5
1/23 12:15:19 pm,Pinnacle,Indiana Pacers,Phoenix Suns,19.0,-101,-19.0,-116,87,112,1.5,-1.5
1/23 12:10:46 pm,Pinnacle,Indiana Pacers,Phoenix Suns,20.5,-124,-20.5,-107,87,112,1.5,-1.5
1/23 12:10:40 pm,Pinnacle,Indiana Pacers,Phoenix Suns,20.0,-100,-20.0,-116,87,112,1.5,-1.5
1/23 12:09:28 pm,Pinnacle,Indiana Pacers,Phoenix Suns,20.0,-101,-20.0,-116,87,112,1.5,-1.5
1/23 12:09:22 pm,Pinnacle,Indiana Pacers,Phoenix Suns,20.0,-102,-20.0,-115,87,112,1.5,-1.5
1/23 12:09:19 pm,Pinnacle,Indiana Pacers,Phoenix Suns,20.5,-119,-20.5,102,87,112,1.5,-1.5
1/23 12:09:15 pm,Pinnacle,Indiana Pacers,Phoenix Suns,20.5,-116,-20.5,-101,87,112,1.5,-1.5
1/23 12:09:10 pm,Pinnacle,Indiana Pacers,Phoenix Suns,20.5,-116,-20.5,-101,87,112,1.5,-1.5
1/23 12:09:07 pm,Pinnacle,Indiana Pacers,Phoenix Suns,20.5,-116,-20.5,-101,87,112,1.5,-1.5
1/23 12:09:01 pm,Pinnacle,Indiana Pacers,Phoenix Suns,20.5,-116,-20.5,-101,87,112,1.5,-1.5
1/23 12:08:52 pm,Pinnacle,Indiana Pacers,Phoenix Suns,20.5,-115,-20.5,-102,87,112,1.5,-1.5
1/23 12:08:46 pm,Pinnacle,Indiana Pacers,Phoenix Suns,20.5,-115,-20.5,-102,87,112,1.5,-1.5
1/23 12:08:40 pm,Pinnacle,Indiana Pacers,Phoenix Suns,20.0,-101,-20.0,-115,87,112,1.5,-1.5
1/23 12:08:33 pm,Pinnacle,Indiana Pacers,Phoenix Suns,20.0,-101,-20.0,-115,87,112,1.5,-1.5
1/23 12:07:58 pm,Pinnacle,Indiana Pacers,Phoenix Suns,20.5,-115,-20.5,-101,87,112,1.5,-1.5
1/23 12:07:49 pm,Pinnacle,Indiana Pacers,Phoenix Suns,20.5,-122,-20.5,-108,87,112,1.5,-1.5
1/23 12:07:34 pm,Pinnacle,Indiana Pacers,Phoenix Suns,20.5,-122,-20.5,-108,87,112,1.5,-1.5
1/23 12:07:13 pm,Pinnacle,Indiana Pacers,Phoenix Suns,19.0,-107,-19.0,-124,87,112,1.5,-1.5
1/23 12:08:01 pm,Pinnacle,Indiana Pacers,Phoenix Suns,20.5,-115,-20.5,-101,87,112,1.5,-1.5
1/23 12:07:10 pm,Pinnacle,Indiana Pacers,Phoenix Suns,18.0,-125,-18.0,-106,87,112,1.5,-1.5
1/23 12:07:07 pm,Pinnacle,Indiana Pacers,Phoenix Suns,17.5,-109,-17.5,-121,87,112,1.5,-1.5
1/23 12:07:04 pm,Pinnacle,Indiana Pacers,Phoenix Suns,17.5,-107,-17.5,-124,87,112,1.5,-1.5
1/23 12:07:01 pm,Pinnacle,Indiana Pacers,Phoenix Suns,17.5,-110,-17.5,-120,87,112,1.5,-1.5
1/23 12:06:58 pm,Pinnacle,Indiana Pacers,Phoenix Suns,17.5,-120,-17.5,-110,87,112,1.5,-1.5
1/23 12:06:55 pm,Pinnacle,Indiana Pacers,Phoenix Suns,17.5,-123,-17.5,-107,87,112,1.5,-1.5
1/23 12:06:52 pm,Pinnacle,Indiana Pacers,Phoenix Suns,17.5,-123,-17.5,-107,87,112,1.5,-1.5
1/23 12:06:43 pm,Pinnacle,Indiana Pacers,Phoenix Suns,18.0,102,-18.0,-135,87,112,1.5,-1.5
1/23 12:06:37 pm,Pinnacle,Indiana Pacers,Phoenix Suns,18.0,-106,-18.0,-125,87,112,1.5,-1.5
1/23 12:06:31 pm,Pinnacle,Indiana Pacers,Phoenix Suns,18.5,-127,-18.5,-104,87,112,1.5,-1.5
1/23 12:06:22 pm,Pinnacle,Indiana Pacers,Phoenix Suns,18.5,-114,-18.5,-116,87,112,1.5,-1.5
1/23 12:06:13 pm,Pinnacle,Indiana Pacers,Phoenix Suns,19.0,-119,-19.0,-111,87,112,1.5,-1.5
1/23 12:05:55 pm,Pinnacle,Indiana Pacers,Phoenix Suns,19.5,-116,-19.5,-114,87,112,1.5,-1.5
1/23 12:05:52 pm,Pinnacle,Indiana Pacers,Phoenix Suns,19.5,-109,-19.5,-122,87,112,1.5,-1.5
1/23 12:05:49 pm,Pinnacle,Indiana Pacers,Phoenix Suns,20.0,-121,-20.0,-109,87,112,1.5,-1.5
1/23 12:05:43 pm,Pinnacle,Indiana Pacers,Phoenix Suns,20.0,-127,-20.0,-104,87,112,1.5,-1.5
1/23 12:05:40 pm,Pinnacle,Indiana Pacers,Phoenix Suns,20.0,-124,-20.0,-107,87,112,1.5,-1.5
1/23 12:05:34 pm,Pinnacle,Indiana Pacers,Phoenix Suns,20.0,-120,-20.0,-110,87,112,1.5,-1.5
1/23 12:05:16 pm,Pinnacle,Indiana Pacers,Phoenix Suns,19.0,-109,-19.0,-121,87,112,1.5,-1.5
1/23 12:05:10 pm,Pinnacle,Indiana Pacers,Phoenix Suns,20.5,-115,-20.5,-115,87,112,1.5,-1.5
1/23 12:05:01 pm,Pinnacle,Indiana Pacers,Phoenix Suns,20.5,-113,-20.5,-117,87,112,1.5,-1.5
1/23 12:04:55 pm,Pinnacle,Indiana Pacers,Phoenix Suns,20.5,-113,-20.5,-118,87,112,1.5,-1.5
1/23 12:04:49 pm,Pinnacle,Indiana Pacers,Phoenix Suns,18.5,-105,-18.5,-126,87,112,1.5,-1.5
1/23 12:04:43 pm,Pinnacle,Indiana Pacers,Phoenix Suns,18.5,-109,-18.5,-121,87,112,1.5,-1.5
1/23 12:04:40 pm,Pinnacle,Indiana Pacers,Phoenix Suns,17.5,-107,-17.5,-124,87,112,1.5,-1.5
1/23 12:04:28 pm,Pinnacle,Indiana Pacers,Phoenix Suns,17.5,-109,-17.5,-121,87,112,1.5,-1.5
1/23 12:04:25 pm,Pinnacle,Indiana Pacers,Phoenix Suns,17.5,-110,-17.5,-121,87,112,1.5,-1.5
1/23 12:04:10 pm,Pinnacle,Indiana Pacers,Phoenix Suns,17.5,-104,-17.5,-112,87,112,1.5,-1.5
1/23 12:04:01 pm,Pinnacle,Indiana Pacers,Phoenix Suns,17.5,-101,-17.5,-115,87,112,1.5,-1.5
1/23 12:03:40 pm,Pinnacle,Indiana Pacers,Phoenix Suns,17.5,-102,-17.5,-114,87,112,1.5,-1.5
1/23 12:03:16 pm,Pinnacle,Indiana Pacers,Phoenix Suns,17.5,-102,-17.5,-114,87,112,1.5,-1.5
1/23 12:03:14 pm,Pinnacle,Indiana Pacers,Phoenix Suns,17.5,-101,-17.5,-116,87,112,1.5,-1.5
1/23 12:03:04 pm,Pinnacle,Indiana Pacers,Phoenix Suns,17.5,-103,-17.5,-113,87,112,1.5,-1.5
1/23 12:02:52 pm,Pinnacle,Indiana Pacers,Phoenix Suns,17.5,-101,-17.5,-116,87,112,1.5,-1.5
1/23 12:02:46 pm,Pinnacle,Indiana Pacers,Phoenix Suns,17.5,-103,-17.5,-113,87,112,1.5,-1.5
1/23 12:02:43 pm,Pinnacle,Indiana Pacers,Phoenix Suns,17.5,-107,-17.5,-110,87,112,1.5,-1.5
1/23 12:02:37 pm,Pinnacle,Indiana Pacers,Phoenix Suns,17.5,-107,-17.5,-109,87,112,1.5,-1.5
1/23 12:02:31 pm,Pinnacle,Indiana Pacers,Phoenix Suns,17.5,-110,-17.5,-106,87,112,1.5,-1.5
1/23 12:02:23 pm,Pinnacle,Indiana Pacers,Phoenix Suns,17.5,-113,-17.5,-103,87,112,1.5,-1.5
1/23 12:02:19 pm,Pinnacle,Indiana Pacers,Phoenix Suns,17.5,-114,-17.5,-103,87,112,1.5,-1.5
1/23 12:02:13 pm,Pinnacle,Indiana Pacers,Phoenix Suns,17.5,-108,-17.5,-108,87,112,1.5,-1.5
1/23 12:02:12 pm,Pinnacle,Indiana Pacers,Phoenix Suns,17.5,-108,-17.5,-108,87,112,1.5,-1.5
1/23 12:02:10 pm,Pinnacle,Indiana Pacers,Phoenix Suns,17.5,-110,-17.5,-106,87,112,1.5,-1.5
1/23 12:02:10 pm,Pinnacle,Indiana Pacers,Phoenix Suns,17.5,-108,-17.5,-108,87,112,1.5,-1.5
1/23 12:02:04 pm,Pinnacle,Indiana Pacers,Phoenix Suns,17.5,-110,-17.5,-106,87,112,1.5,-1.5
1/23 12:01:58 pm,Pinnacle,Indiana Pacers,Phoenix Suns,17.5,-106,-17.5,-110,87,112,1.5,-1.5
1/23 12:01:49 pm,Pinnacle,Indiana Pacers,Phoenix Suns,17.5,-106,-17.5,-110,87,112,1.5,-1.5
1/23 12:01:46 pm,Pinnacle,Indiana Pacers,Phoenix Suns,18.0,-116,-18.0,-101,87,112,1.5,-1.5
1/23 12:01:43 pm,Pinnacle,Indiana Pacers,Phoenix Suns,17.5,-106,-17.5,-110,87,112,1.5,-1.5
1/23 12:01:37 pm,Pinnacle,Indiana Pacers,Phoenix Suns,17.5,-106,-17.5,-110,87,112,1.5,-1.5
1/23 12:01:28 pm,Pinnacle,Indiana Pacers,Phoenix Suns,17.5,-112,-17.5,-118,87,112,1.5,-1.5
1/23 12:01:25 pm,Pinnacle,Indiana Pacers,Phoenix Suns,17.0,-113,-17.0,-117,87,112,1.5,-1.5
1/23 12:01:22 pm,Pinnacle,Indiana Pacers,Phoenix Suns,17.0,-118,-17.0,-112,87,112,1.5,-1.5
1/23 12:01:16 pm,Pinnacle,Indiana Pacers,Phoenix Suns,17.0,-120,-17.0,-110,87,112,1.5,-1.5
1/23 12:01:07 pm,Pinnacle,Indiana Pacers,Phoenix Suns,16.0,-121,-16.0,-110,87,112,1.5,-1.5
1/23 12:01:04 pm,Pinnacle,Indiana Pacers,Phoenix Suns,16.0,-115,-16.0,-115,87,112,1.5,-1.5
1/23 12:01:01 pm,Pinnacle,Indiana Pacers,Phoenix Suns,16.5,-123,-16.5,-107,87,112,1.5,-1.5
1/23 12:00:52 pm,Pinnacle,Indiana Pacers,Phoenix Suns,17.0,-119,-17.0,-111,87,112,1.5,-1.5
