Time,Book,Away Team,Home Team,Home Line,Home Odds,Away Line,Away Odds,Home Score,Away Score,Home Line Open,Away Line Open
1/27 12:10:53 pm,Pinnacle,Indiana Pacers,Portland Trail Blazers,-13.0,-105,13.0,-112,139,129,-2.5,2.5
1/27 12:10:51 pm,Pinnacle,Indiana Pacers,Portland Trail Blazers,-13.0,-113,13.0,-103,139,129,-2.5,2.5
1/27 12:10:29 pm,Pinnacle,Indiana Pacers,Portland Trail Blazers,-13.0,-116,13.0,-101,139,129,-2.5,2.5
1/27 12:10:20 pm,Pinnacle,Indiana Pacers,Portland Trail Blazers,-13.0,-102,13.0,-114,139,129,-2.5,2.5
1/27 12:09:50 pm,Pinnacle,Indiana Pacers,Portland Trail Blazers,-13.0,101,13.0,-118,139,129,-2.5,2.5
1/27 12:09:47 pm,Pinnacle,Indiana Pacers,Portland Trail Blazers,-13.0,-104,13.0,-112,139,129,-2.5,2.5
1/27 12:09:32 pm,Pinnacle,Indiana Pacers,Portland Trail Blazers,-13.0,-105,13.0,-111,139,129,-2.5,2.5
1/27 12:09:11 pm,Pinnacle,Indiana Pacers,Portland Trail Blazers,-13.0,-106,13.0,-110,139,129,-2.5,2.5
1/27 12:08:56 pm,Pinnacle,Indiana Pacers,Portland Trail Blazers,-13.0,-108,13.0,-108,139,129,-2.5,2.5
1/27 12:08:38 pm,Pinnacle,Indiana Pacers,Portland Trail Blazers,-13.0,-114,13.0,-102,139,129,-2.5,2.5
1/27 12:08:32 pm,Pinnacle,Indiana Pacers,Portland Trail Blazers,-13.0,-119,13.0,102,139,129,-2.5,2.5
1/27 12:02:05 pm,Pinnacle,Indiana Pacers,Portland Trail Blazers,-10.0,-109,10.0,-121,139,129,-2.5,2.5
1/27 12:02:02 pm,Pinnacle,Indiana Pacers,Portland Trail Blazers,-10.5,-117,10.5,-113,139,129,-2.5,2.5
1/27 12:01:59 pm,Pinnacle,Indiana Pacers,Portland Trail Blazers,-10.5,-121,10.5,-109,139,129,-2.5,2.5
1/27 12:01:50 pm,Pinnacle,Indiana Pacers,Portland Trail Blazers,-12.0,-103,12.0,-129,139,129,-2.5,2.5
1/27 12:01:41 pm,Pinnacle,Indiana Pacers,Portland Trail Blazers,-11.5,-120,11.5,-110,139,129,-2.5,2.5
1/27 12:01:38 pm,Pinnacle,Indiana Pacers,Portland Trail Blazers,-10.5,-124,10.5,-107,139,129,-2.5,2.5
