Time,Book,Away Team,Home Team,Home Line,Home Odds,Away Line,Away Odds,Home Score,Away Score,Home Line Open,Away Line Open
2/24 9:13:23 am,RedZone,Indiana Pacers,Toronto Raptors,-47.5,-112,47.5,-112,127,81,-4.5,4.5
2/24 9:13:14 am,RedZone,Indiana Pacers,Toronto Raptors,-47.5,104,47.5,-129,127,81,-4.5,4.5
2/24 9:13:04 am,RedZone,Indiana Pacers,Toronto Raptors,-46.5,-125,46.5,101,127,81,-4.5,4.5
2/24 9:12:19 am,RedZone,Indiana Pacers,Toronto Raptors,-43.5,-134,43.5,107,127,81,-4.5,4.5
2/24 9:12:05 am,RedZone,Indiana Pacers,Toronto Raptors,-44.5,-106,44.5,-117,127,81,-4.5,4.5
2/24 9:11:53 am,RedZone,Indiana Pacers,Toronto Raptors,-44.5,101,44.5,-125,127,81,-4.5,4.5
2/24 9:11:39 am,RedZone,Indiana Pacers,Toronto Raptors,-42.5,-129,42.5,104,127,81,-4.5,4.5
2/24 9:11:26 am,RedZone,Indiana Pacers,Toronto Raptors,-44.5,104,44.5,-129,127,81,-4.5,4.5
2/24 9:11:11 am,RedZone,Indiana Pacers,Toronto Raptors,-41.5,-117,41.5,-106,127,81,-4.5,4.5
2/24 9:11:01 am,RedZone,Indiana Pacers,Toronto Raptors,-41.5,-115,41.5,-108,127,81,-4.5,4.5
2/24 9:10:52 am,RedZone,Indiana Pacers,Toronto Raptors,-42.5,-106,42.5,-117,127,81,-4.5,4.5
2/24 9:10:42 am,RedZone,Indiana Pacers,Toronto Raptors,-43.5,-115,43.5,-108,127,81,-4.5,4.5
2/24 9:10:38 am,RedZone,Indiana Pacers,Toronto Raptors,-43.5,-112,43.5,-112,127,81,-4.5,4.5
2/24 9:10:20 am,RedZone,Indiana Pacers,Toronto Raptors,-39.5,-108,39.5,-115,127,81,-4.5,4.5
2/24 9:10:07 am,RedZone,Indiana Pacers,Toronto Raptors,-39.5,-106,39.5,-117,127,81,-4.5,4.5
2/24 9:09:48 am,RedZone,Indiana Pacers,Toronto Raptors,-39.5,-125,39.5,101,127,81,-4.5,4.5
2/24 9:09:36 am,RedZone,Indiana Pacers,Toronto Raptors,-40.5,101,40.5,-125,127,81,-4.5,4.5
2/24 9:09:14 am,RedZone,Indiana Pacers,Toronto Raptors,-40.5,104,40.5,-129,127,81,-4.5,4.5
2/24 9:08:58 am,RedZone,Indiana Pacers,Toronto Raptors,-39.5,-121,39.5,-103,127,81,-4.5,4.5
2/24 9:08:51 am,RedZone,Indiana Pacers,Toronto Raptors,-38.5,-125,38.5,101,127,81,-4.5,4.5
2/24 9:08:34 am,RedZone,Indiana Pacers,Toronto Raptors,-40.5,-108,40.5,-115,127,81,-4.5,4.5
2/24 9:08:12 am,RedZone,Indiana Pacers,Toronto Raptors,-41.5,-108,41.5,-115,127,81,-4.5,4.5
2/24 9:08:00 am,RedZone,Indiana Pacers,Toronto Raptors,-40.5,-117,40.5,-106,127,81,-4.5,4.5
2/24 9:07:51 am,RedZone,Indiana Pacers,Toronto Raptors,-40.5,-115,40.5,-108,127,81,-4.5,4.5
2/24 9:07:42 am,RedZone,Indiana Pacers,Toronto Raptors,-38.5,-106,38.5,-117,127,81,-4.5,4.5
