Time,Book,Away Team,Home Team,Home Line,Home Odds,Away Line,Away Odds,Home Score,Away Score,Home Line Open,Away Line Open
1/21 11:53:29 am,Pinnacle,Indiana Pacers,Utah Jazz,-20.0,-120,20.0,-110,118,88,-7.5,7.5
1/21 11:53:08 am,Pinnacle,Indiana Pacers,Utah Jazz,-19.5,-111,19.5,-119,118,88,-7.5,7.5
1/21 11:53:02 am,Pinnacle,Indiana Pacers,Utah Jazz,-20.0,-118,20.0,-112,118,88,-7.5,7.5
1/21 11:52:53 am,Pinnacle,Indiana Pacers,Utah Jazz,-21.0,-123,21.0,-108,118,88,-7.5,7.5
1/21 11:52:47 am,Pinnacle,Indiana Pacers,Utah Jazz,-20.0,-117,20.0,-113,118,88,-7.5,7.5
1/21 11:52:29 am,Pinnacle,Indiana Pacers,Utah Jazz,-20.0,-117,20.0,-113,118,88,-7.5,7.5
1/21 11:52:23 am,Pinnacle,Indiana Pacers,Utah Jazz,-19.5,-113,19.5,-118,118,88,-7.5,7.5
1/21 11:52:02 am,Pinnacle,Indiana Pacers,Utah Jazz,-19.0,-120,19.0,-110,118,88,-7.5,7.5
1/21 11:51:53 am,Pinnacle,Indiana Pacers,Utah Jazz,-18.5,-113,18.5,-117,118,88,-7.5,7.5
1/21 11:51:47 am,Pinnacle,Indiana Pacers,Utah Jazz,-18.5,-113,18.5,-117,118,88,-7.5,7.5
1/21 11:51:38 am,Pinnacle,Indiana Pacers,Utah Jazz,-20.0,-122,20.0,-109,118,88,-7.5,7.5
1/21 11:51:35 am,Pinnacle,Indiana Pacers,Utah Jazz,-20.0,-113,20.0,-103,118,88,-7.5,7.5
1/21 11:51:20 am,Pinnacle,Indiana Pacers,Utah Jazz,-19.5,-104,19.5,-112,118,88,-7.5,7.5
1/21 11:51:02 am,Pinnacle,Indiana Pacers,Utah Jazz,-19.0,-110,19.0,-106,118,88,-7.5,7.5
1/21 11:50:59 am,Pinnacle,Indiana Pacers,Utah Jazz,-19.5,-116,19.5,-100,118,88,-7.5,7.5
1/21 11:50:32 am,Pinnacle,Indiana Pacers,Utah Jazz,-19.5,-111,19.5,-105,118,88,-7.5,7.5
1/21 11:50:27 am,Pinnacle,Indiana Pacers,Utah Jazz,-19.5,-112,19.5,-104,118,88,-7.5,7.5
1/21 11:50:05 am,Pinnacle,Indiana Pacers,Utah Jazz,-19.5,-114,19.5,-103,118,88,-7.5,7.5
1/21 11:50:02 am,Pinnacle,Indiana Pacers,Utah Jazz,-19.5,-119,19.5,102,118,88,-7.5,7.5
1/21 11:49:20 am,Pinnacle,Indiana Pacers,Utah Jazz,-19.5,-107,19.5,-109,118,88,-7.5,7.5
1/21 11:49:11 am,Pinnacle,Indiana Pacers,Utah Jazz,-19.5,-115,19.5,-102,118,88,-7.5,7.5
1/21 11:48:29 am,Pinnacle,Indiana Pacers,Utah Jazz,-19.5,-116,19.5,-100,118,88,-7.5,7.5
1/21 11:48:20 am,Pinnacle,Indiana Pacers,Utah Jazz,-19.0,-110,19.0,-106,118,88,-7.5,7.5
1/21 11:48:08 am,Pinnacle,Indiana Pacers,Utah Jazz,-19.0,-118,19.0,-112,118,88,-7.5,7.5
1/21 11:48:02 am,Pinnacle,Indiana Pacers,Utah Jazz,-18.5,-112,18.5,-118,118,88,-7.5,7.5
1/21 11:47:50 am,Pinnacle,Indiana Pacers,Utah Jazz,-17.5,-111,17.5,-119,118,88,-7.5,7.5
1/21 11:47:41 am,Pinnacle,Indiana Pacers,Utah Jazz,-16.5,-122,16.5,-108,118,88,-7.5,7.5
1/21 11:47:26 am,Pinnacle,Indiana Pacers,Utah Jazz,-18.0,-120,18.0,-110,118,88,-7.5,7.5
1/21 11:47:23 am,Pinnacle,Indiana Pacers,Utah Jazz,-18.0,-122,18.0,-108,118,88,-7.5,7.5
1/21 11:47:17 am,Pinnacle,Indiana Pacers,Utah Jazz,-18.5,-108,18.5,-123,118,88,-7.5,7.5
1/21 11:47:14 am,Pinnacle,Indiana Pacers,Utah Jazz,-18.5,-108,18.5,-123,118,88,-7.5,7.5
1/21 11:47:05 am,Pinnacle,Indiana Pacers,Utah Jazz,-19.5,-110,19.5,-120,118,88,-7.5,7.5
1/21 11:46:50 am,Pinnacle,Indiana Pacers,Utah Jazz,-18.0,-123,18.0,-108,118,88,-7.5,7.5
1/21 11:46:29 am,Pinnacle,Indiana Pacers,Utah Jazz,-17.5,-118,17.5,-112,118,88,-7.5,7.5
1/21 11:46:11 am,Pinnacle,Indiana Pacers,Utah Jazz,-19.0,-116,19.0,-114,118,88,-7.5,7.5
1/21 11:46:02 am,Pinnacle,Indiana Pacers,Utah Jazz,-18.5,-111,18.5,-119,118,88,-7.5,7.5
1/21 11:45:56 am,Pinnacle,Indiana Pacers,Utah Jazz,-18.5,-109,18.5,-121,118,88,-7.5,7.5
1/21 11:45:53 am,Pinnacle,Indiana Pacers,Utah Jazz,-17.0,-122,17.0,-108,118,88,-7.5,7.5
1/21 11:45:41 am,Pinnacle,Indiana Pacers,Utah Jazz,-17.0,-122,17.0,-108,118,88,-7.5,7.5
1/21 11:45:26 am,Pinnacle,Indiana Pacers,Utah Jazz,-18.5,-109,18.5,-121,118,88,-7.5,7.5
1/21 11:44:53 am,Pinnacle,Indiana Pacers,Utah Jazz,-18.5,-109,18.5,-122,118,88,-7.5,7.5
1/21 11:44:50 am,Pinnacle,Indiana Pacers,Utah Jazz,-17.0,-121,17.0,-109,118,88,-7.5,7.5
1/21 11:44:20 am,Pinnacle,Indiana Pacers,Utah Jazz,-17.0,-122,17.0,-109,118,88,-7.5,7.5
1/21 11:44:11 am,Pinnacle,Indiana Pacers,Utah Jazz,-16.0,-111,16.0,-120,118,88,-7.5,7.5
1/21 11:44:05 am,Pinnacle,Indiana Pacers,Utah Jazz,-15.0,-110,15.0,-121,118,88,-7.5,7.5
1/21 11:43:59 am,Pinnacle,Indiana Pacers,Utah Jazz,-15.0,-111,15.0,-120,118,88,-7.5,7.5
1/21 11:43:53 am,Pinnacle,Indiana Pacers,Utah Jazz,-16.0,-111,16.0,-119,118,88,-7.5,7.5
1/21 11:43:32 am,Pinnacle,Indiana Pacers,Utah Jazz,-15.0,-111,15.0,-120,118,88,-7.5,7.5
1/21 11:43:29 am,Pinnacle,Indiana Pacers,Utah Jazz,-16.5,-119,16.5,-111,118,88,-7.5,7.5
1/21 11:42:50 am,Pinnacle,Indiana Pacers,Utah Jazz,-16.5,-119,16.5,-111,118,88,-7.5,7.5
1/21 11:42:47 am,Pinnacle,Indiana Pacers,Utah Jazz,-17.0,-121,17.0,-109,118,88,-7.5,7.5
1/21 11:42:39 am,Pinnacle,Indiana Pacers,Utah Jazz,-17.5,-109,17.5,-122,118,88,-7.5,7.5
1/21 11:42:26 am,Pinnacle,Indiana Pacers,Utah Jazz,-18.0,-121,18.0,-109,118,88,-7.5,7.5
1/21 11:42:20 am,Pinnacle,Indiana Pacers,Utah Jazz,-17.0,-120,17.0,-110,118,88,-7.5,7.5
1/21 11:42:05 am,Pinnacle,Indiana Pacers,Utah Jazz,-17.0,-119,17.0,-111,118,88,-7.5,7.5
1/21 11:41:56 am,Pinnacle,Indiana Pacers,Utah Jazz,-16.5,-116,16.5,-114,118,88,-7.5,7.5
1/21 11:41:53 am,Pinnacle,Indiana Pacers,Utah Jazz,-15.5,-117,15.5,-113,118,88,-7.5,7.5
1/21 11:41:29 am,Pinnacle,Indiana Pacers,Utah Jazz,-16.5,-116,16.5,-114,118,88,-7.5,7.5
1/21 11:41:17 am,Pinnacle,Indiana Pacers,Utah Jazz,-16.5,-126,16.5,108,118,88,-7.5,7.5
1/21 11:40:32 am,Pinnacle,Indiana Pacers,Utah Jazz,-16.5,-129,16.5,111,118,88,-7.5,7.5
1/21 11:40:17 am,Pinnacle,Indiana Pacers,Utah Jazz,-16.5,-128,16.5,110,118,88,-7.5,7.5
1/21 11:39:26 am,Pinnacle,Indiana Pacers,Utah Jazz,-16.5,-129,16.5,110,118,88,-7.5,7.5
1/21 11:39:23 am,Pinnacle,Indiana Pacers,Utah Jazz,-16.5,-122,16.5,105,118,88,-7.5,7.5
1/21 11:39:18 am,Pinnacle,Indiana Pacers,Utah Jazz,-16.5,-121,16.5,104,118,88,-7.5,7.5
1/21 11:38:59 am,Pinnacle,Indiana Pacers,Utah Jazz,-16.5,-110,16.5,-106,118,88,-7.5,7.5
1/21 11:38:47 am,Pinnacle,Indiana Pacers,Utah Jazz,-16.5,-109,16.5,-107,118,88,-7.5,7.5
1/21 11:38:35 am,Pinnacle,Indiana Pacers,Utah Jazz,-16.5,-116,16.5,-114,118,88,-7.5,7.5
1/21 11:38:32 am,Pinnacle,Indiana Pacers,Utah Jazz,-16.5,-125,16.5,-106,118,88,-7.5,7.5
1/21 11:38:26 am,Pinnacle,Indiana Pacers,Utah Jazz,-16.5,-116,16.5,-114,118,88,-7.5,7.5
1/21 11:38:00 am,Pinnacle,Indiana Pacers,Utah Jazz,-18.5,-112,18.5,-118,118,88,-7.5,7.5
1/21 11:37:56 am,Pinnacle,Indiana Pacers,Utah Jazz,-17.0,-119,17.0,-111,118,88,-7.5,7.5
1/21 11:37:50 am,Pinnacle,Indiana Pacers,Utah Jazz,-17.0,-116,17.0,-114,118,88,-7.5,7.5
1/21 11:37:48 am,Pinnacle,Indiana Pacers,Utah Jazz,-17.0,-116,17.0,-114,118,88,-7.5,7.5
1/21 11:37:41 am,Pinnacle,Indiana Pacers,Utah Jazz,-17.0,-115,17.0,-115,118,88,-7.5,7.5
1/21 11:37:32 am,Pinnacle,Indiana Pacers,Utah Jazz,-17.5,-116,17.5,-114,118,88,-7.5,7.5
1/21 11:37:14 am,Pinnacle,Indiana Pacers,Utah Jazz,-18.5,-117,18.5,-113,118,88,-7.5,7.5
