Time,Book,Away Team,Home Team,Home Line,Home Odds,Away Line,Away Odds,Home Score,Away Score,Home Line Open,Away Line Open
12/15 11:32:01 am,Pinnacle,Los Angeles Clippers,Chicago Bulls,0.0,-1000,0.0,673,109,106,3.5,-3.5
12/15 11:22:02 am,Pinnacle,Los Angeles Clippers,Chicago Bulls,1.5,124,-1.5,-145,109,106,3.5,-3.5
12/15 11:18:50 am,Pinnacle,Los Angeles Clippers,Chicago Bulls,4.5,107,-4.5,-125,109,106,3.5,-3.5
12/15 11:18:21 am,Pinnacle,Los Angeles Clippers,Chicago Bulls,4.5,103,-4.5,-121,109,106,3.5,-3.5
12/15 11:18:11 am,Pinnacle,Los Angeles Clippers,Chicago Bulls,4.5,-101,-4.5,-116,109,106,3.5,-3.5
12/15 11:18:02 am,Pinnacle,Los Angeles Clippers,Chicago Bulls,4.5,-108,-4.5,-108,109,106,3.5,-3.5
12/15 11:13:59 am,Pinnacle,Los Angeles Clippers,Chicago Bulls,3.0,102,-3.0,-118,109,106,3.5,-3.5
12/15 11:13:37 am,Pinnacle,Los Angeles Clippers,Chicago Bulls,3.0,-104,-3.0,-112,109,106,3.5,-3.5
12/15 11:10:16 am,Pinnacle,Los Angeles Clippers,Chicago Bulls,0.0,107,0.0,-125,109,106,3.5,-3.5
12/15 8:39:32 am,Pinnacle,Los Angeles Clippers,Chicago Bulls,3.5,-106,-3.5,-104,109,106,3.5,-3.5
12/15 8:37:51 am,Pinnacle,Los Angeles Clippers,Chicago Bulls,3.5,-106,-3.5,-104,109,106,3.5,-3.5
12/15 8:33:40 am,Pinnacle,Los Angeles Clippers,Chicago Bulls,3.5,-106,-3.5,-104,109,106,3.5,-3.5
12/15 8:31:54 am,Pinnacle,Los Angeles Clippers,Chicago Bulls,3.5,-106,-3.5,-104,109,106,3.5,-3.5
