Time,Book,Away Team,Home Team,Home Line,Home Odds,Away Line,Away Odds,Home Score,Away Score,Home Line Open,Away Line Open
2/10 10:35:28 am,Pinnacle,Los Angeles Clippers,Cleveland Cavaliers,34.5,-121,-34.5,-109,92,133,5.5,-5.5
2/10 10:35:24 am,Pinnacle,Los Angeles Clippers,Cleveland Cavaliers,34.5,-109,-34.5,-121,92,133,5.5,-5.5
2/10 10:35:14 am,Pinnacle,Los Angeles Clippers,Cleveland Cavaliers,34.5,-118,-34.5,-112,92,133,5.5,-5.5
2/10 10:35:09 am,Pinnacle,Los Angeles Clippers,Cleveland Cavaliers,34.5,-122,-34.5,-109,92,133,5.5,-5.5
2/10 10:35:06 am,Pinnacle,Los Angeles Clippers,Cleveland Cavaliers,35.0,-113,-35.0,-117,92,133,5.5,-5.5
2/10 10:35:03 am,Pinnacle,Los Angeles Clippers,Cleveland Cavaliers,35.0,-117,-35.0,-113,92,133,5.5,-5.5
2/10 10:34:59 am,Pinnacle,Los Angeles Clippers,Cleveland Cavaliers,35.0,-119,-35.0,-112,92,133,5.5,-5.5
2/10 10:34:59 am,Pinnacle,Los Angeles Clippers,Cleveland Cavaliers,35.0,-119,-35.0,-111,92,133,5.5,-5.5
2/10 10:34:54 am,Pinnacle,Los Angeles Clippers,Cleveland Cavaliers,35.0,-119,-35.0,-112,92,133,5.5,-5.5
2/10 10:34:33 am,Pinnacle,Los Angeles Clippers,Cleveland Cavaliers,35.0,-119,-35.0,-111,92,133,5.5,-5.5
2/10 10:34:27 am,Pinnacle,Los Angeles Clippers,Cleveland Cavaliers,35.0,-119,-35.0,-111,92,133,5.5,-5.5
2/10 10:34:19 am,Pinnacle,Los Angeles Clippers,Cleveland Cavaliers,34.0,-105,-34.0,-111,92,133,5.5,-5.5
2/10 10:34:15 am,Pinnacle,Los Angeles Clippers,Cleveland Cavaliers,34.5,-104,-34.5,-112,92,133,5.5,-5.5
2/10 10:33:54 am,Pinnacle,Los Angeles Clippers,Cleveland Cavaliers,34.5,-108,-34.5,-108,92,133,5.5,-5.5
2/10 10:33:48 am,Pinnacle,Los Angeles Clippers,Cleveland Cavaliers,34.5,-103,-34.5,-113,92,133,5.5,-5.5
2/10 10:33:39 am,Pinnacle,Los Angeles Clippers,Cleveland Cavaliers,34.5,100,-34.5,-117,92,133,5.5,-5.5
2/10 10:33:29 am,Pinnacle,Los Angeles Clippers,Cleveland Cavaliers,34.5,-105,-34.5,-111,92,133,5.5,-5.5
2/10 10:33:24 am,Pinnacle,Los Angeles Clippers,Cleveland Cavaliers,34.5,107,-34.5,-125,92,133,5.5,-5.5
2/10 10:33:06 am,Pinnacle,Los Angeles Clippers,Cleveland Cavaliers,34.5,110,-34.5,-129,92,133,5.5,-5.5
2/10 10:33:02 am,Pinnacle,Los Angeles Clippers,Cleveland Cavaliers,34.5,111,-34.5,-130,92,133,5.5,-5.5
2/10 10:32:58 am,Pinnacle,Los Angeles Clippers,Cleveland Cavaliers,34.5,103,-34.5,-120,92,133,5.5,-5.5
2/10 10:32:48 am,Pinnacle,Los Angeles Clippers,Cleveland Cavaliers,34.5,105,-34.5,-123,92,133,5.5,-5.5
2/10 10:32:44 am,Pinnacle,Los Angeles Clippers,Cleveland Cavaliers,34.5,-104,-34.5,-112,92,133,5.5,-5.5
2/10 10:32:43 am,Pinnacle,Los Angeles Clippers,Cleveland Cavaliers,34.5,-106,-34.5,-110,92,133,5.5,-5.5
2/10 10:32:34 am,Pinnacle,Los Angeles Clippers,Cleveland Cavaliers,34.5,-107,-34.5,-109,92,133,5.5,-5.5
2/10 10:32:28 am,Pinnacle,Los Angeles Clippers,Cleveland Cavaliers,34.5,-108,-34.5,-108,92,133,5.5,-5.5
2/10 10:32:24 am,Pinnacle,Los Angeles Clippers,Cleveland Cavaliers,34.5,-107,-34.5,-109,92,133,5.5,-5.5
2/10 10:32:18 am,Pinnacle,Los Angeles Clippers,Cleveland Cavaliers,34.5,-106,-34.5,-110,92,133,5.5,-5.5
2/10 10:32:13 am,Pinnacle,Los Angeles Clippers,Cleveland Cavaliers,34.5,-117,-34.5,100,92,133,5.5,-5.5
2/10 10:31:58 am,Pinnacle,Los Angeles Clippers,Cleveland Cavaliers,34.5,-125,-34.5,107,92,133,5.5,-5.5
2/10 10:31:39 am,Pinnacle,Los Angeles Clippers,Cleveland Cavaliers,34.5,-115,-34.5,-102,92,133,5.5,-5.5
2/10 10:31:36 am,Pinnacle,Los Angeles Clippers,Cleveland Cavaliers,34.5,-114,-34.5,-102,92,133,5.5,-5.5
2/10 10:31:24 am,Pinnacle,Los Angeles Clippers,Cleveland Cavaliers,34.5,-120,-34.5,-110,92,133,5.5,-5.5
2/10 10:31:18 am,Pinnacle,Los Angeles Clippers,Cleveland Cavaliers,34.5,-122,-34.5,-108,92,133,5.5,-5.5
2/10 10:31:15 am,Pinnacle,Los Angeles Clippers,Cleveland Cavaliers,33.0,-111,-33.0,-119,92,133,5.5,-5.5
2/10 10:31:00 am,Pinnacle,Los Angeles Clippers,Cleveland Cavaliers,33.0,-113,-33.0,-117,92,133,5.5,-5.5
2/10 10:30:59 am,Pinnacle,Los Angeles Clippers,Cleveland Cavaliers,32.5,-121,-32.5,-109,92,133,5.5,-5.5
2/10 10:30:54 am,Pinnacle,Los Angeles Clippers,Cleveland Cavaliers,32.5,-122,-32.5,-109,92,133,5.5,-5.5
2/10 10:30:51 am,Pinnacle,Los Angeles Clippers,Cleveland Cavaliers,32.5,-124,-32.5,-107,92,133,5.5,-5.5
2/10 10:30:48 am,Pinnacle,Los Angeles Clippers,Cleveland Cavaliers,32.5,-122,-32.5,-109,92,133,5.5,-5.5
2/10 10:30:44 am,Pinnacle,Los Angeles Clippers,Cleveland Cavaliers,32.5,-121,-32.5,-109,92,133,5.5,-5.5
2/10 10:30:21 am,Pinnacle,Los Angeles Clippers,Cleveland Cavaliers,31.0,-108,-31.0,-122,92,133,5.5,-5.5
2/10 10:30:18 am,Pinnacle,Los Angeles Clippers,Cleveland Cavaliers,32.0,-108,-32.0,-123,92,133,5.5,-5.5
2/10 10:29:57 am,Pinnacle,Los Angeles Clippers,Cleveland Cavaliers,31.0,-111,-31.0,-119,92,133,5.5,-5.5
2/10 10:29:43 am,Pinnacle,Los Angeles Clippers,Cleveland Cavaliers,31.0,-122,-31.0,-108,92,133,5.5,-5.5
2/10 10:29:35 am,Pinnacle,Los Angeles Clippers,Cleveland Cavaliers,30.5,-112,-30.5,-118,92,133,5.5,-5.5
2/10 10:29:29 am,Pinnacle,Los Angeles Clippers,Cleveland Cavaliers,30.5,-112,-30.5,-118,92,133,5.5,-5.5
2/10 10:29:28 am,Pinnacle,Los Angeles Clippers,Cleveland Cavaliers,29.5,-110,-29.5,-121,92,133,5.5,-5.5
2/10 10:29:15 am,Pinnacle,Los Angeles Clippers,Cleveland Cavaliers,30.5,-113,-30.5,-117,92,133,5.5,-5.5
2/10 10:29:05 am,Pinnacle,Los Angeles Clippers,Cleveland Cavaliers,30.5,-110,-30.5,-121,92,133,5.5,-5.5
2/10 10:29:00 am,Pinnacle,Los Angeles Clippers,Cleveland Cavaliers,31.0,-114,-31.0,-116,92,133,5.5,-5.5
2/10 10:28:51 am,Pinnacle,Los Angeles Clippers,Cleveland Cavaliers,31.5,-115,-31.5,-115,92,133,5.5,-5.5
2/10 10:28:48 am,Pinnacle,Los Angeles Clippers,Cleveland Cavaliers,31.5,-114,-31.5,-116,92,133,5.5,-5.5
2/10 10:28:45 am,Pinnacle,Los Angeles Clippers,Cleveland Cavaliers,31.5,-114,-31.5,-116,92,133,5.5,-5.5
2/10 10:28:43 am,Pinnacle,Los Angeles Clippers,Cleveland Cavaliers,31.5,-115,-31.5,-115,92,133,5.5,-5.5
2/10 10:28:21 am,Pinnacle,Los Angeles Clippers,Cleveland Cavaliers,31.5,-115,-31.5,-115,92,133,5.5,-5.5
2/10 10:27:59 am,Pinnacle,Los Angeles Clippers,Cleveland Cavaliers,31.5,-117,-31.5,-113,92,133,5.5,-5.5
2/10 10:27:43 am,Pinnacle,Los Angeles Clippers,Cleveland Cavaliers,31.5,-118,-31.5,-112,92,133,5.5,-5.5
2/10 10:27:24 am,Pinnacle,Los Angeles Clippers,Cleveland Cavaliers,31.0,-122,-31.0,-109,92,133,5.5,-5.5
2/10 10:27:18 am,Pinnacle,Los Angeles Clippers,Cleveland Cavaliers,31.5,-120,-31.5,-110,92,133,5.5,-5.5
2/10 10:27:15 am,Pinnacle,Los Angeles Clippers,Cleveland Cavaliers,32.5,-138,-32.5,104,92,133,5.5,-5.5
2/10 10:27:09 am,Pinnacle,Los Angeles Clippers,Cleveland Cavaliers,32.5,-131,-32.5,-101,92,133,5.5,-5.5
2/10 10:27:05 am,Pinnacle,Los Angeles Clippers,Cleveland Cavaliers,32.5,-120,-32.5,-110,92,133,5.5,-5.5
2/10 10:27:03 am,Pinnacle,Los Angeles Clippers,Cleveland Cavaliers,33.0,-116,-33.0,-114,92,133,5.5,-5.5
2/10 10:26:59 am,Pinnacle,Los Angeles Clippers,Cleveland Cavaliers,33.0,-116,-33.0,-114,92,133,5.5,-5.5
2/10 10:26:54 am,Pinnacle,Los Angeles Clippers,Cleveland Cavaliers,34.0,-116,-34.0,-114,92,133,5.5,-5.5
2/10 10:26:47 am,Pinnacle,Los Angeles Clippers,Cleveland Cavaliers,34.0,-114,-34.0,-116,92,133,5.5,-5.5
2/10 10:26:35 am,Pinnacle,Los Angeles Clippers,Cleveland Cavaliers,34.5,-113,-34.5,-117,92,133,5.5,-5.5
2/10 10:26:33 am,Pinnacle,Los Angeles Clippers,Cleveland Cavaliers,34.5,-107,-34.5,-124,92,133,5.5,-5.5
2/10 10:26:14 am,Pinnacle,Los Angeles Clippers,Cleveland Cavaliers,34.5,-106,-34.5,-125,92,133,5.5,-5.5
2/10 10:26:06 am,Pinnacle,Los Angeles Clippers,Cleveland Cavaliers,34.5,-114,-34.5,-116,92,133,5.5,-5.5
2/10 10:25:59 am,Pinnacle,Los Angeles Clippers,Cleveland Cavaliers,34.0,-117,-34.0,-113,92,133,5.5,-5.5
2/10 10:25:54 am,Pinnacle,Los Angeles Clippers,Cleveland Cavaliers,32.5,-109,-32.5,-122,92,133,5.5,-5.5
2/10 10:25:51 am,Pinnacle,Los Angeles Clippers,Cleveland Cavaliers,32.5,100,-32.5,-132,92,133,5.5,-5.5
2/10 10:25:48 am,Pinnacle,Los Angeles Clippers,Cleveland Cavaliers,32.5,-111,-32.5,-120,92,133,5.5,-5.5
2/10 10:25:43 am,Pinnacle,Los Angeles Clippers,Cleveland Cavaliers,32.5,-111,-32.5,-119,92,133,5.5,-5.5
2/10 10:25:29 am,Pinnacle,Los Angeles Clippers,Cleveland Cavaliers,33.0,-116,-33.0,-114,92,133,5.5,-5.5
2/10 10:25:24 am,Pinnacle,Los Angeles Clippers,Cleveland Cavaliers,32.5,-111,-32.5,-119,92,133,5.5,-5.5
2/10 10:25:21 am,Pinnacle,Los Angeles Clippers,Cleveland Cavaliers,32.0,-113,-32.0,-117,92,133,5.5,-5.5
2/10 10:25:15 am,Pinnacle,Los Angeles Clippers,Cleveland Cavaliers,31.0,-102,-31.0,-130,92,133,5.5,-5.5
2/10 10:25:08 am,Pinnacle,Los Angeles Clippers,Cleveland Cavaliers,31.0,-114,-31.0,-116,92,133,5.5,-5.5
2/10 10:24:48 am,Pinnacle,Los Angeles Clippers,Cleveland Cavaliers,31.0,-113,-31.0,-117,92,133,5.5,-5.5
2/10 10:24:38 am,Pinnacle,Los Angeles Clippers,Cleveland Cavaliers,31.0,-113,-31.0,-117,92,133,5.5,-5.5
2/10 10:24:36 am,Pinnacle,Los Angeles Clippers,Cleveland Cavaliers,32.0,-115,-32.0,-115,92,133,5.5,-5.5
2/10 10:24:27 am,Pinnacle,Los Angeles Clippers,Cleveland Cavaliers,32.5,-117,-32.5,-113,92,133,5.5,-5.5
2/10 10:24:23 am,Pinnacle,Los Angeles Clippers,Cleveland Cavaliers,31.5,-116,-31.5,-114,92,133,5.5,-5.5
2/10 10:24:20 am,Pinnacle,Los Angeles Clippers,Cleveland Cavaliers,32.5,-117,-32.5,-113,92,133,5.5,-5.5
2/10 10:24:18 am,Pinnacle,Los Angeles Clippers,Cleveland Cavaliers,32.5,-130,-32.5,-102,92,133,5.5,-5.5
2/10 10:24:03 am,Pinnacle,Los Angeles Clippers,Cleveland Cavaliers,32.5,-119,-32.5,-111,92,133,5.5,-5.5
2/10 10:24:00 am,Pinnacle,Los Angeles Clippers,Cleveland Cavaliers,31.5,-122,-31.5,-109,92,133,5.5,-5.5
2/10 10:23:57 am,Pinnacle,Los Angeles Clippers,Cleveland Cavaliers,31.5,-112,-31.5,-118,92,133,5.5,-5.5
2/10 10:23:54 am,Pinnacle,Los Angeles Clippers,Cleveland Cavaliers,31.5,-121,-31.5,-109,92,133,5.5,-5.5
2/10 10:23:45 am,Pinnacle,Los Angeles Clippers,Cleveland Cavaliers,31.5,-124,-31.5,-107,92,133,5.5,-5.5
2/10 10:23:35 am,Pinnacle,Los Angeles Clippers,Cleveland Cavaliers,31.5,-119,-31.5,-111,92,133,5.5,-5.5
2/10 10:23:29 am,Pinnacle,Los Angeles Clippers,Cleveland Cavaliers,31.0,-132,-31.0,100,92,133,5.5,-5.5
2/10 10:23:22 am,Pinnacle,Los Angeles Clippers,Cleveland Cavaliers,31.0,-121,-31.0,-109,92,133,5.5,-5.5
2/10 10:23:13 am,Pinnacle,Los Angeles Clippers,Cleveland Cavaliers,29.5,-109,-29.5,-122,92,133,5.5,-5.5
2/10 10:22:44 am,Pinnacle,Los Angeles Clippers,Cleveland Cavaliers,30.0,-122,-30.0,-109,92,133,5.5,-5.5
2/10 10:22:38 am,Pinnacle,Los Angeles Clippers,Cleveland Cavaliers,29.5,-102,-29.5,-114,92,133,5.5,-5.5
2/10 10:21:48 am,Pinnacle,Los Angeles Clippers,Cleveland Cavaliers,30.5,-120,-30.5,103,92,133,5.5,-5.5
2/10 10:21:36 am,Pinnacle,Los Angeles Clippers,Cleveland Cavaliers,30.5,-126,-30.5,108,92,133,5.5,-5.5
2/10 10:21:28 am,Pinnacle,Los Angeles Clippers,Cleveland Cavaliers,30.5,-123,-30.5,106,92,133,5.5,-5.5
2/10 10:21:13 am,Pinnacle,Los Angeles Clippers,Cleveland Cavaliers,30.5,-118,-30.5,101,92,133,5.5,-5.5
2/10 10:21:09 am,Pinnacle,Los Angeles Clippers,Cleveland Cavaliers,30.5,-117,-30.5,100,92,133,5.5,-5.5
2/10 10:20:43 am,Pinnacle,Los Angeles Clippers,Cleveland Cavaliers,30.5,-112,-30.5,-104,92,133,5.5,-5.5
2/10 10:20:08 am,Pinnacle,Los Angeles Clippers,Cleveland Cavaliers,29.5,-102,-29.5,-114,92,133,5.5,-5.5
2/10 10:20:03 am,Pinnacle,Los Angeles Clippers,Cleveland Cavaliers,30.0,-112,-30.0,-104,92,133,5.5,-5.5
2/10 10:19:59 am,Pinnacle,Los Angeles Clippers,Cleveland Cavaliers,30.0,-110,-30.0,-106,92,133,5.5,-5.5
2/10 10:19:58 am,Pinnacle,Los Angeles Clippers,Cleveland Cavaliers,30.5,-119,-30.5,-111,92,133,5.5,-5.5
2/10 10:19:50 am,Pinnacle,Los Angeles Clippers,Cleveland Cavaliers,30.5,-117,-30.5,-113,92,133,5.5,-5.5
2/10 10:19:48 am,Pinnacle,Los Angeles Clippers,Cleveland Cavaliers,30.5,-119,-30.5,-111,92,133,5.5,-5.5
2/10 10:19:44 am,Pinnacle,Los Angeles Clippers,Cleveland Cavaliers,30.0,-109,-30.0,-121,92,133,5.5,-5.5
2/10 10:19:34 am,Pinnacle,Los Angeles Clippers,Cleveland Cavaliers,29.0,-108,-29.0,-122,92,133,5.5,-5.5
2/10 10:19:28 am,Pinnacle,Los Angeles Clippers,Cleveland Cavaliers,30.0,-111,-30.0,-119,92,133,5.5,-5.5
2/10 10:19:24 am,Pinnacle,Los Angeles Clippers,Cleveland Cavaliers,29.0,-112,-29.0,-118,92,133,5.5,-5.5
2/10 10:18:59 am,Pinnacle,Los Angeles Clippers,Cleveland Cavaliers,29.0,-113,-29.0,-117,92,133,5.5,-5.5
2/10 10:18:58 am,Pinnacle,Los Angeles Clippers,Cleveland Cavaliers,29.0,-116,-29.0,-114,92,133,5.5,-5.5
2/10 10:18:54 am,Pinnacle,Los Angeles Clippers,Cleveland Cavaliers,29.0,-116,-29.0,-114,92,133,5.5,-5.5
2/10 10:18:42 am,Pinnacle,Los Angeles Clippers,Cleveland Cavaliers,29.5,-130,-29.5,-102,92,133,5.5,-5.5
2/10 10:18:38 am,Pinnacle,Los Angeles Clippers,Cleveland Cavaliers,29.5,-119,-29.5,-111,92,133,5.5,-5.5
2/10 10:18:34 am,Pinnacle,Los Angeles Clippers,Cleveland Cavaliers,29.0,-119,-29.0,-111,92,133,5.5,-5.5
2/10 10:18:28 am,Pinnacle,Los Angeles Clippers,Cleveland Cavaliers,29.0,-120,-29.0,-111,92,133,5.5,-5.5
2/10 10:18:18 am,Pinnacle,Los Angeles Clippers,Cleveland Cavaliers,29.5,-131,-29.5,-101,92,133,5.5,-5.5
2/10 10:18:16 am,Pinnacle,Los Angeles Clippers,Cleveland Cavaliers,29.5,-113,-29.5,-103,92,133,5.5,-5.5
2/10 10:18:05 am,Pinnacle,Los Angeles Clippers,Cleveland Cavaliers,29.5,-101,-29.5,-116,92,133,5.5,-5.5
2/10 10:18:04 am,Pinnacle,Los Angeles Clippers,Cleveland Cavaliers,29.5,-102,-29.5,-115,92,133,5.5,-5.5
2/10 10:17:58 am,Pinnacle,Los Angeles Clippers,Cleveland Cavaliers,29.5,-108,-29.5,-108,92,133,5.5,-5.5
2/10 10:17:54 am,Pinnacle,Los Angeles Clippers,Cleveland Cavaliers,29.5,-109,-29.5,-107,92,133,5.5,-5.5
