Time,Book,Away Team,Home Team,Home Line,Home Odds,Away Line,Away Odds,Home Score,Away Score,Home Line Open,Away Line Open
3/11 12:45:49 pm,RedZone,Los Angeles Clippers,Golden State Warriors,23.5,126,-23.5,-159,107,131,12.5,-12.5
3/11 12:45:37 pm,RedZone,Los Angeles Clippers,Golden State Warriors,25.5,-125,-25.5,101,107,131,12.5,-12.5
3/11 12:41:40 pm,RedZone,Los Angeles Clippers,Golden State Warriors,23.5,-129,-23.5,104,107,131,12.5,-12.5
3/11 12:41:25 pm,RedZone,Los Angeles Clippers,Golden State Warriors,23.5,-103,-23.5,-121,107,131,12.5,-12.5
3/11 12:41:11 pm,RedZone,Los Angeles Clippers,Golden State Warriors,23.5,-129,-23.5,104,107,131,12.5,-12.5
3/11 12:40:54 pm,RedZone,Los Angeles Clippers,Golden State Warriors,23.5,-108,-23.5,-115,107,131,12.5,-12.5
3/11 12:40:42 pm,RedZone,Los Angeles Clippers,Golden State Warriors,23.5,-134,-23.5,107,107,131,12.5,-12.5
3/11 12:40:18 pm,RedZone,Los Angeles Clippers,Golden State Warriors,23.5,-112,-23.5,-112,107,131,12.5,-12.5
3/11 12:39:41 pm,RedZone,Los Angeles Clippers,Golden State Warriors,22.5,-135,-22.5,107,107,131,12.5,-12.5
3/11 12:39:25 pm,RedZone,Los Angeles Clippers,Golden State Warriors,22.5,-118,-22.5,-105,107,131,12.5,-12.5
3/11 12:39:15 pm,RedZone,Los Angeles Clippers,Golden State Warriors,23.5,101,-23.5,-126,107,131,12.5,-12.5
3/11 12:39:02 pm,RedZone,Los Angeles Clippers,Golden State Warriors,24.5,-102,-24.5,-122,107,131,12.5,-12.5
3/11 12:38:43 pm,RedZone,Los Angeles Clippers,Golden State Warriors,23.5,-105,-23.5,-118,107,131,12.5,-12.5
3/11 12:38:33 pm,RedZone,Los Angeles Clippers,Golden State Warriors,23.5,-112,-23.5,-112,107,131,12.5,-12.5
3/11 12:38:16 pm,RedZone,Los Angeles Clippers,Golden State Warriors,23.5,-126,-23.5,101,107,131,12.5,-12.5
3/11 12:37:50 pm,RedZone,Los Angeles Clippers,Golden State Warriors,22.5,101,-22.5,-126,107,131,12.5,-12.5
