Time,Book,Away Team,Home Team,Home Line,Home Odds,Away Line,Away Odds,Home Score,Away Score,Home Line Open,Away Line Open
3/6 11:40:41 am,RedZone,Los Angeles Clippers,Houston Rockets,16.5,174,-16.5,-225,105,120,1.5,-1.5
3/6 11:40:12 am,RedZone,Los Angeles Clippers,Houston Rockets,14.5,-150,-14.5,119,105,120,1.5,-1.5
3/6 11:39:50 am,RedZone,Los Angeles Clippers,Houston Rockets,14.5,-142,-14.5,113,105,120,1.5,-1.5
3/6 11:39:38 am,RedZone,Los Angeles Clippers,Houston Rockets,14.5,-134,-14.5,107,105,120,1.5,-1.5
3/6 11:39:23 am,RedZone,Los Angeles Clippers,Houston Rockets,14.5,-115,-14.5,-108,105,120,1.5,-1.5
3/6 11:39:06 am,RedZone,Los Angeles Clippers,Houston Rockets,15.5,124,-15.5,-157,105,120,1.5,-1.5
3/6 11:38:19 am,RedZone,Los Angeles Clippers,Houston Rockets,15.5,118,-15.5,-148,105,120,1.5,-1.5
3/6 11:38:06 am,RedZone,Los Angeles Clippers,Houston Rockets,17.5,124,-17.5,-157,105,120,1.5,-1.5
3/6 11:37:58 am,RedZone,Los Angeles Clippers,Houston Rockets,17.5,118,-17.5,-148,105,120,1.5,-1.5
3/6 11:37:51 am,RedZone,Los Angeles Clippers,Houston Rockets,19.5,118,-19.5,-148,105,120,1.5,-1.5
3/6 11:37:33 am,RedZone,Los Angeles Clippers,Houston Rockets,17.5,-103,-17.5,-121,105,120,1.5,-1.5
3/6 11:36:48 am,RedZone,Los Angeles Clippers,Houston Rockets,17.5,-126,-17.5,101,105,120,1.5,-1.5
3/6 11:36:38 am,RedZone,Los Angeles Clippers,Houston Rockets,18.5,-118,-18.5,-105,105,120,1.5,-1.5
3/6 11:36:02 am,RedZone,Los Angeles Clippers,Houston Rockets,17.5,-112,-17.5,-112,105,120,1.5,-1.5
3/6 11:35:51 am,RedZone,Los Angeles Clippers,Houston Rockets,17.5,-105,-17.5,-118,105,120,1.5,-1.5
3/6 11:35:42 am,Pinnacle,Los Angeles Clippers,Houston Rockets,17.5,-108,-17.5,-108,105,120,1.5,-1.5
3/6 11:35:36 am,RedZone,Los Angeles Clippers,Houston Rockets,18.5,-118,-18.5,-105,105,120,1.5,-1.5
3/6 11:35:16 am,Pinnacle,Los Angeles Clippers,Houston Rockets,17.5,-110,-17.5,-106,105,120,1.5,-1.5
3/6 11:35:11 am,Pinnacle,Los Angeles Clippers,Houston Rockets,17.5,-111,-17.5,-105,105,120,1.5,-1.5
3/6 11:35:08 am,Pinnacle,Los Angeles Clippers,Houston Rockets,17.5,-113,-17.5,-103,105,120,1.5,-1.5
3/6 11:34:46 am,Pinnacle,Los Angeles Clippers,Houston Rockets,17.5,-111,-17.5,-105,105,120,1.5,-1.5
3/6 11:34:45 am,RedZone,Los Angeles Clippers,Houston Rockets,18.5,-112,-18.5,-112,105,120,1.5,-1.5
3/6 11:34:39 am,Pinnacle,Los Angeles Clippers,Houston Rockets,17.5,-107,-17.5,-109,105,120,1.5,-1.5
3/6 11:34:36 am,Pinnacle,Los Angeles Clippers,Houston Rockets,17.5,-109,-17.5,-107,105,120,1.5,-1.5
3/6 11:36:33 am,RedZone,Los Angeles Clippers,Houston Rockets,17.5,101,-17.5,-126,105,120,1.5,-1.5
3/6 11:34:27 am,Pinnacle,Los Angeles Clippers,Houston Rockets,17.5,-110,-17.5,-106,105,120,1.5,-1.5
3/6 11:34:20 am,Pinnacle,Los Angeles Clippers,Houston Rockets,17.5,-108,-17.5,-108,105,120,1.5,-1.5
3/6 11:34:18 am,Pinnacle,Los Angeles Clippers,Houston Rockets,17.5,-113,-17.5,-103,105,120,1.5,-1.5
3/6 11:34:13 am,Pinnacle,Los Angeles Clippers,Houston Rockets,17.5,-115,-17.5,-101,105,120,1.5,-1.5
3/6 11:34:09 am,Pinnacle,Los Angeles Clippers,Houston Rockets,17.5,-104,-17.5,-112,105,120,1.5,-1.5
3/6 11:34:07 am,RedZone,Los Angeles Clippers,Houston Rockets,17.5,-112,-17.5,-112,105,120,1.5,-1.5
3/6 11:33:58 am,Pinnacle,Los Angeles Clippers,Houston Rockets,17.5,-103,-17.5,-113,105,120,1.5,-1.5
3/6 11:33:53 am,Pinnacle,Los Angeles Clippers,Houston Rockets,17.5,-104,-17.5,-112,105,120,1.5,-1.5
3/6 11:33:50 am,Pinnacle,Los Angeles Clippers,Houston Rockets,17.5,-105,-17.5,-111,105,120,1.5,-1.5
3/6 11:33:45 am,RedZone,Los Angeles Clippers,Houston Rockets,17.5,-105,-17.5,-118,105,120,1.5,-1.5
3/6 11:33:43 am,Pinnacle,Los Angeles Clippers,Houston Rockets,17.5,-114,-17.5,-102,105,120,1.5,-1.5
3/6 11:33:37 am,Pinnacle,Los Angeles Clippers,Houston Rockets,17.5,100,-17.5,-117,105,120,1.5,-1.5
3/6 11:32:55 am,RedZone,Los Angeles Clippers,Houston Rockets,16.5,104,-16.5,-130,105,120,1.5,-1.5
3/6 11:32:24 am,RedZone,Los Angeles Clippers,Houston Rockets,16.5,-112,-16.5,-112,105,120,1.5,-1.5
3/6 11:31:55 am,RedZone,Los Angeles Clippers,Houston Rockets,18.5,-118,-18.5,-105,105,120,1.5,-1.5
