Time,Book,Away Team,Home Team,Home Line,Home Odds,Away Line,Away Odds,Home Score,Away Score,Home Line Open,Away Line Open
12/7 11:40:11 am,Pinnacle,Los Angeles Clippers,Milwaukee Bucks,-35.0,-112,35.0,-104,119,91,-4.5,4.5
12/7 11:38:31 am,Pinnacle,Los Angeles Clippers,Milwaukee Bucks,-35.0,-122,35.0,105,119,91,-4.5,4.5
12/7 11:36:51 am,Pinnacle,Los Angeles Clippers,Milwaukee Bucks,-36.5,-123,36.5,-107,119,91,-4.5,4.5
12/7 11:35:11 am,Pinnacle,Los Angeles Clippers,Milwaukee Bucks,-38.5,-110,38.5,-120,119,91,-4.5,4.5
12/7 11:33:31 am,Pinnacle,Los Angeles Clippers,Milwaukee Bucks,-32.0,-127,32.0,-104,119,91,-4.5,4.5
12/7 11:31:50 am,Pinnacle,Los Angeles Clippers,Milwaukee Bucks,-28.5,-112,28.5,-118,119,91,-4.5,4.5
12/7 11:30:10 am,Pinnacle,Los Angeles Clippers,Milwaukee Bucks,-23.5,-120,23.5,-111,119,91,-4.5,4.5
12/7 11:30:03 am,Pinnacle,Los Angeles Clippers,Milwaukee Bucks,-22.5,-127,22.5,-104,119,91,-4.5,4.5
12/7 11:29:56 am,Pinnacle,Los Angeles Clippers,Milwaukee Bucks,-22.5,-113,22.5,-117,119,91,-4.5,4.5
12/7 11:29:42 am,Pinnacle,Los Angeles Clippers,Milwaukee Bucks,-21.5,-121,21.5,-110,119,91,-4.5,4.5
12/7 11:29:29 am,Pinnacle,Los Angeles Clippers,Milwaukee Bucks,-21.5,-112,21.5,-118,119,91,-4.5,4.5
12/7 11:29:09 am,Pinnacle,Los Angeles Clippers,Milwaukee Bucks,-23.5,-116,23.5,-114,119,91,-4.5,4.5
12/7 11:29:02 am,Pinnacle,Los Angeles Clippers,Milwaukee Bucks,-23.5,-112,23.5,-118,119,91,-4.5,4.5
12/7 11:28:54 am,Pinnacle,Los Angeles Clippers,Milwaukee Bucks,-23.5,-109,23.5,-122,119,91,-4.5,4.5
12/7 11:28:41 am,Pinnacle,Los Angeles Clippers,Milwaukee Bucks,-22.5,-118,22.5,-113,119,91,-4.5,4.5
12/7 11:28:33 am,Pinnacle,Los Angeles Clippers,Milwaukee Bucks,-22.5,-121,22.5,103,119,91,-4.5,4.5
12/7 11:28:26 am,Pinnacle,Los Angeles Clippers,Milwaukee Bucks,-22.5,-124,22.5,106,119,91,-4.5,4.5
12/7 11:28:12 am,Pinnacle,Los Angeles Clippers,Milwaukee Bucks,-22.5,-123,22.5,105,119,91,-4.5,4.5
12/7 11:27:58 am,Pinnacle,Los Angeles Clippers,Milwaukee Bucks,-22.5,-122,22.5,104,119,91,-4.5,4.5
12/7 11:27:35 am,Pinnacle,Los Angeles Clippers,Milwaukee Bucks,-22.5,-123,22.5,105,119,91,-4.5,4.5
12/7 11:27:20 am,Pinnacle,Los Angeles Clippers,Milwaukee Bucks,-22.5,-119,22.5,102,119,91,-4.5,4.5
12/7 11:26:59 am,Pinnacle,Los Angeles Clippers,Milwaukee Bucks,-22.5,-126,22.5,108,119,91,-4.5,4.5
12/7 11:26:44 am,Pinnacle,Los Angeles Clippers,Milwaukee Bucks,-22.5,-114,22.5,-102,119,91,-4.5,4.5
12/7 11:26:30 am,Pinnacle,Los Angeles Clippers,Milwaukee Bucks,-22.5,-108,22.5,-108,119,91,-4.5,4.5
12/7 11:26:09 am,Pinnacle,Los Angeles Clippers,Milwaukee Bucks,-22.5,-109,22.5,-107,119,91,-4.5,4.5
12/7 11:25:38 am,Pinnacle,Los Angeles Clippers,Milwaukee Bucks,-20.5,-122,20.5,-108,119,91,-4.5,4.5
12/7 11:25:16 am,Pinnacle,Los Angeles Clippers,Milwaukee Bucks,-20.5,-119,20.5,-111,119,91,-4.5,4.5
