Time,Book,Away Team,Home Team,Home Line,Home Odds,Away Line,Away Odds,Home Score,Away Score,Home Line Open,Away Line Open
1/19 7:12:54 am,Pinnacle,Los Angeles Clippers,New Orleans Pelicans,0.0,890,0.0,-1500,130,133,5.5,-5.5
1/19 7:09:15 am,Pinnacle,Los Angeles Clippers,New Orleans Pelicans,5.5,134,-5.5,-158,130,133,5.5,-5.5
1/19 7:09:05 am,Pinnacle,Los Angeles Clippers,New Orleans Pelicans,5.5,135,-5.5,-159,130,133,5.5,-5.5
1/19 7:09:00 am,Pinnacle,Los Angeles Clippers,New Orleans Pelicans,5.5,132,-5.5,-155,130,133,5.5,-5.5
1/19 7:08:57 am,Pinnacle,Los Angeles Clippers,New Orleans Pelicans,5.5,131,-5.5,-154,130,133,5.5,-5.5
1/19 7:08:41 am,Pinnacle,Los Angeles Clippers,New Orleans Pelicans,5.5,128,-5.5,-150,130,133,5.5,-5.5
1/19 7:08:39 am,Pinnacle,Los Angeles Clippers,New Orleans Pelicans,5.5,114,-5.5,-133,130,133,5.5,-5.5
1/19 7:08:27 am,Pinnacle,Los Angeles Clippers,New Orleans Pelicans,5.5,100,-5.5,-117,130,133,5.5,-5.5
1/19 7:06:06 am,Pinnacle,Los Angeles Clippers,New Orleans Pelicans,3.5,136,-3.5,-160,130,133,5.5,-5.5
1/19 7:05:54 am,Pinnacle,Los Angeles Clippers,New Orleans Pelicans,3.5,124,-3.5,-145,130,133,5.5,-5.5
1/19 7:01:12 am,Pinnacle,Los Angeles Clippers,New Orleans Pelicans,7.0,-116,-7.0,-101,130,133,5.5,-5.5
1/19 7:00:47 am,Pinnacle,Los Angeles Clippers,New Orleans Pelicans,7.0,-117,-7.0,100,130,133,5.5,-5.5
1/19 7:00:42 am,Pinnacle,Los Angeles Clippers,New Orleans Pelicans,7.0,-119,-7.0,102,130,133,5.5,-5.5
1/19 7:00:35 am,Pinnacle,Los Angeles Clippers,New Orleans Pelicans,7.0,-116,-7.0,-101,130,133,5.5,-5.5
1/19 7:00:24 am,Pinnacle,Los Angeles Clippers,New Orleans Pelicans,7.0,-110,-7.0,-106,130,133,5.5,-5.5
1/19 7:00:17 am,Pinnacle,Los Angeles Clippers,New Orleans Pelicans,7.0,-108,-7.0,-108,130,133,5.5,-5.5
1/19 6:53:32 am,Pinnacle,Los Angeles Clippers,New Orleans Pelicans,7.5,-117,-7.5,-113,130,133,5.5,-5.5
1/19 6:53:29 am,Pinnacle,Los Angeles Clippers,New Orleans Pelicans,7.0,-122,-7.0,-109,130,133,5.5,-5.5
1/19 6:53:10 am,Pinnacle,Los Angeles Clippers,New Orleans Pelicans,6.0,-122,-6.0,-109,130,133,5.5,-5.5
1/19 6:53:06 am,Pinnacle,Los Angeles Clippers,New Orleans Pelicans,6.0,-114,-6.0,-103,130,133,5.5,-5.5
1/19 6:52:59 am,Pinnacle,Los Angeles Clippers,New Orleans Pelicans,5.5,-114,-5.5,-102,130,133,5.5,-5.5
1/19 6:52:46 am,Pinnacle,Los Angeles Clippers,New Orleans Pelicans,5.0,-104,-5.0,-112,130,133,5.5,-5.5
1/19 6:49:47 am,Pinnacle,Los Angeles Clippers,New Orleans Pelicans,5.0,-111,-5.0,-119,130,133,5.5,-5.5
1/19 6:49:41 am,Pinnacle,Los Angeles Clippers,New Orleans Pelicans,5.0,-111,-5.0,-119,130,133,5.5,-5.5
1/19 6:49:18 am,Pinnacle,Los Angeles Clippers,New Orleans Pelicans,4.5,-110,-4.5,-120,130,133,5.5,-5.5
1/19 6:49:09 am,Pinnacle,Los Angeles Clippers,New Orleans Pelicans,3.5,-107,-3.5,-124,130,133,5.5,-5.5
1/19 6:49:03 am,Pinnacle,Los Angeles Clippers,New Orleans Pelicans,4.0,-116,-4.0,-114,130,133,5.5,-5.5
1/19 6:48:42 am,Pinnacle,Los Angeles Clippers,New Orleans Pelicans,3.5,-107,-3.5,-124,130,133,5.5,-5.5
1/19 6:48:39 am,Pinnacle,Los Angeles Clippers,New Orleans Pelicans,3.5,-107,-3.5,-124,130,133,5.5,-5.5
1/19 6:48:30 am,Pinnacle,Los Angeles Clippers,New Orleans Pelicans,3.0,-108,-3.0,-123,130,133,5.5,-5.5
1/19 6:48:08 am,Pinnacle,Los Angeles Clippers,New Orleans Pelicans,2.5,-123,-2.5,-107,130,133,5.5,-5.5
1/19 6:47:57 am,Pinnacle,Los Angeles Clippers,New Orleans Pelicans,3.5,-123,-3.5,-107,130,133,5.5,-5.5
1/19 6:47:51 am,Pinnacle,Los Angeles Clippers,New Orleans Pelicans,2.5,-122,-2.5,-108,130,133,5.5,-5.5
1/19 6:47:33 am,Pinnacle,Los Angeles Clippers,New Orleans Pelicans,3.5,-121,-3.5,-109,130,133,5.5,-5.5
1/19 6:47:24 am,Pinnacle,Los Angeles Clippers,New Orleans Pelicans,2.5,-109,-2.5,-121,130,133,5.5,-5.5
1/19 6:46:51 am,Pinnacle,Los Angeles Clippers,New Orleans Pelicans,3.0,-111,-3.0,-119,130,133,5.5,-5.5
1/19 6:46:38 am,Pinnacle,Los Angeles Clippers,New Orleans Pelicans,4.0,-113,-4.0,-117,130,133,5.5,-5.5
1/19 6:46:24 am,Pinnacle,Los Angeles Clippers,New Orleans Pelicans,4.0,101,-4.0,-118,130,133,5.5,-5.5
1/19 6:44:47 am,Pinnacle,Los Angeles Clippers,New Orleans Pelicans,4.0,102,-4.0,-118,130,133,5.5,-5.5
1/19 6:44:39 am,Pinnacle,Los Angeles Clippers,New Orleans Pelicans,4.0,-100,-4.0,-117,130,133,5.5,-5.5
1/19 6:43:32 am,Pinnacle,Los Angeles Clippers,New Orleans Pelicans,4.0,-100,-4.0,-116,130,133,5.5,-5.5
1/19 6:43:30 am,Pinnacle,Los Angeles Clippers,New Orleans Pelicans,4.0,-105,-4.0,-111,130,133,5.5,-5.5
1/19 6:43:12 am,Pinnacle,Los Angeles Clippers,New Orleans Pelicans,4.0,-113,-4.0,-117,130,133,5.5,-5.5
1/19 6:43:03 am,Pinnacle,Los Angeles Clippers,New Orleans Pelicans,4.0,-112,-4.0,-118,130,133,5.5,-5.5
1/19 6:42:57 am,Pinnacle,Los Angeles Clippers,New Orleans Pelicans,3.0,-110,-3.0,-120,130,133,5.5,-5.5
1/19 6:42:48 am,Pinnacle,Los Angeles Clippers,New Orleans Pelicans,4.0,-112,-4.0,-119,130,133,5.5,-5.5
1/19 6:42:39 am,Pinnacle,Los Angeles Clippers,New Orleans Pelicans,4.0,-111,-4.0,-119,130,133,5.5,-5.5
1/19 6:42:33 am,Pinnacle,Los Angeles Clippers,New Orleans Pelicans,4.5,-110,-4.5,-120,130,133,5.5,-5.5
1/19 6:42:24 am,Pinnacle,Los Angeles Clippers,New Orleans Pelicans,5.5,-114,-5.5,-116,130,133,5.5,-5.5
1/19 6:42:08 am,Pinnacle,Los Angeles Clippers,New Orleans Pelicans,4.5,-109,-4.5,-121,130,133,5.5,-5.5
1/19 6:42:00 am,Pinnacle,Los Angeles Clippers,New Orleans Pelicans,3.5,-115,-3.5,-115,130,133,5.5,-5.5
1/19 6:41:44 am,Pinnacle,Los Angeles Clippers,New Orleans Pelicans,2.5,-113,-2.5,-117,130,133,5.5,-5.5
1/19 6:41:36 am,Pinnacle,Los Angeles Clippers,New Orleans Pelicans,1.0,-114,-1.0,-116,130,133,5.5,-5.5
1/19 6:41:32 am,Pinnacle,Los Angeles Clippers,New Orleans Pelicans,2.5,-113,-2.5,-117,130,133,5.5,-5.5
1/19 6:41:31 am,Pinnacle,Los Angeles Clippers,New Orleans Pelicans,2.0,-113,-2.0,-117,130,133,5.5,-5.5
1/19 6:41:03 am,Pinnacle,Los Angeles Clippers,New Orleans Pelicans,2.0,-113,-2.0,-117,130,133,5.5,-5.5
1/19 6:40:41 am,Pinnacle,Los Angeles Clippers,New Orleans Pelicans,2.5,-111,-2.5,-119,130,133,5.5,-5.5
1/19 6:40:40 am,Pinnacle,Los Angeles Clippers,New Orleans Pelicans,2.0,-110,-2.0,-120,130,133,5.5,-5.5
1/19 6:40:18 am,Pinnacle,Los Angeles Clippers,New Orleans Pelicans,2.0,-119,-2.0,-111,130,133,5.5,-5.5
1/19 6:40:03 am,Pinnacle,Los Angeles Clippers,New Orleans Pelicans,1.5,-118,-1.5,-112,130,133,5.5,-5.5
1/19 6:39:45 am,Pinnacle,Los Angeles Clippers,New Orleans Pelicans,2.0,-116,-2.0,-114,130,133,5.5,-5.5
1/19 6:39:37 am,Pinnacle,Los Angeles Clippers,New Orleans Pelicans,3.0,-116,-3.0,-114,130,133,5.5,-5.5
1/19 6:39:29 am,Pinnacle,Los Angeles Clippers,New Orleans Pelicans,2.0,-115,-2.0,-115,130,133,5.5,-5.5
1/19 6:39:15 am,Pinnacle,Los Angeles Clippers,New Orleans Pelicans,3.0,-114,-3.0,-116,130,133,5.5,-5.5
1/19 6:38:59 am,Pinnacle,Los Angeles Clippers,New Orleans Pelicans,2.0,-113,-2.0,-117,130,133,5.5,-5.5
1/19 6:36:46 am,Pinnacle,Los Angeles Clippers,New Orleans Pelicans,2.0,105,-2.0,-123,130,133,5.5,-5.5
1/19 6:36:38 am,Pinnacle,Los Angeles Clippers,New Orleans Pelicans,2.0,100,-2.0,-117,130,133,5.5,-5.5
1/19 6:36:36 am,Pinnacle,Los Angeles Clippers,New Orleans Pelicans,2.0,106,-2.0,-124,130,133,5.5,-5.5
1/19 6:36:31 am,Pinnacle,Los Angeles Clippers,New Orleans Pelicans,2.0,103,-2.0,-121,130,133,5.5,-5.5
1/19 6:36:27 am,Pinnacle,Los Angeles Clippers,New Orleans Pelicans,2.0,-109,-2.0,-107,130,133,5.5,-5.5
1/19 6:36:06 am,Pinnacle,Los Angeles Clippers,New Orleans Pelicans,2.0,-110,-2.0,-106,130,133,5.5,-5.5
1/19 6:35:49 am,Pinnacle,Los Angeles Clippers,New Orleans Pelicans,2.0,-106,-2.0,-110,130,133,5.5,-5.5
1/19 6:35:36 am,Pinnacle,Los Angeles Clippers,New Orleans Pelicans,2.0,-113,-2.0,-117,130,133,5.5,-5.5
1/19 6:35:30 am,Pinnacle,Los Angeles Clippers,New Orleans Pelicans,1.0,-121,-1.0,-109,130,133,5.5,-5.5
1/19 6:35:14 am,Pinnacle,Los Angeles Clippers,New Orleans Pelicans,-1.5,-114,1.5,-116,130,133,5.5,-5.5
1/19 6:35:00 am,Pinnacle,Los Angeles Clippers,New Orleans Pelicans,-3.0,-113,3.0,-117,130,133,5.5,-5.5
1/19 6:34:43 am,Pinnacle,Los Angeles Clippers,New Orleans Pelicans,-4.0,-115,4.0,-115,130,133,5.5,-5.5
1/19 6:34:35 am,Pinnacle,Los Angeles Clippers,New Orleans Pelicans,-4.5,-116,4.5,-114,130,133,5.5,-5.5
1/19 6:34:33 am,Pinnacle,Los Angeles Clippers,New Orleans Pelicans,-5.5,-119,5.5,-111,130,133,5.5,-5.5
