Time,Book,Away Team,Home Team,Home Line,Home Odds,Away Line,Away Odds,Home Score,Away Score,Home Line Open,Away Line Open
3/4 11:24:39 am,RedZone,Los Angeles Clippers,Oklahoma City Thunder,17.5,-125,-17.5,101,94,109,5.5,-5.5
3/4 11:24:20 am,RedZone,Los Angeles Clippers,Oklahoma City Thunder,17.5,-103,-17.5,-121,94,109,5.5,-5.5
3/4 11:24:12 am,RedZone,Los Angeles Clippers,Oklahoma City Thunder,16.5,107,-16.5,-134,94,109,5.5,-5.5
3/4 11:23:55 am,RedZone,Los Angeles Clippers,Oklahoma City Thunder,16.5,104,-16.5,-129,94,109,5.5,-5.5
3/4 11:23:47 am,RedZone,Los Angeles Clippers,Oklahoma City Thunder,16.5,-115,-16.5,-108,94,109,5.5,-5.5
3/4 11:23:00 am,RedZone,Los Angeles Clippers,Oklahoma City Thunder,18.5,-102,-18.5,-122,94,109,5.5,-5.5
3/4 11:22:42 am,RedZone,Los Angeles Clippers,Oklahoma City Thunder,17.5,-102,-17.5,-122,94,109,5.5,-5.5
3/4 11:22:08 am,RedZone,Los Angeles Clippers,Oklahoma City Thunder,18.5,-126,-18.5,101,94,109,5.5,-5.5
3/4 11:21:46 am,RedZone,Los Angeles Clippers,Oklahoma City Thunder,18.5,-115,-18.5,-108,94,109,5.5,-5.5
3/4 11:19:35 am,RedZone,Los Angeles Clippers,Oklahoma City Thunder,18.5,-105,-18.5,-118,94,109,5.5,-5.5
3/4 11:19:16 am,RedZone,Los Angeles Clippers,Oklahoma City Thunder,19.5,-112,-19.5,-112,94,109,5.5,-5.5
3/4 11:19:13 am,Pinnacle,Los Angeles Clippers,Oklahoma City Thunder,18.5,-112,-18.5,-104,94,109,5.5,-5.5
3/4 11:18:46 am,RedZone,Los Angeles Clippers,Oklahoma City Thunder,18.5,-112,-18.5,-112,94,109,5.5,-5.5
3/4 11:18:22 am,Pinnacle,Los Angeles Clippers,Oklahoma City Thunder,18.5,-117,-18.5,100,94,109,5.5,-5.5
3/4 11:18:21 am,RedZone,Los Angeles Clippers,Oklahoma City Thunder,18.5,-118,-18.5,-105,94,109,5.5,-5.5
3/4 11:17:59 am,RedZone,Los Angeles Clippers,Oklahoma City Thunder,17.5,101,-17.5,-126,94,109,5.5,-5.5
3/4 11:17:42 am,RedZone,Los Angeles Clippers,Oklahoma City Thunder,17.5,-105,-17.5,-118,94,109,5.5,-5.5
3/4 11:17:21 am,RedZone,Los Angeles Clippers,Oklahoma City Thunder,17.5,-118,-17.5,-105,94,109,5.5,-5.5
3/4 11:16:58 am,RedZone,Los Angeles Clippers,Oklahoma City Thunder,19.5,-126,-19.5,101,94,109,5.5,-5.5
3/4 11:16:44 am,RedZone,Los Angeles Clippers,Oklahoma City Thunder,18.5,-105,-18.5,-118,94,109,5.5,-5.5
3/4 11:16:33 am,RedZone,Los Angeles Clippers,Oklahoma City Thunder,18.5,-112,-18.5,-112,94,109,5.5,-5.5
3/4 11:16:22 am,RedZone,Los Angeles Clippers,Oklahoma City Thunder,18.5,-118,-18.5,-105,94,109,5.5,-5.5
3/4 11:16:07 am,RedZone,Los Angeles Clippers,Oklahoma City Thunder,16.5,101,-16.5,-126,94,109,5.5,-5.5
3/4 11:15:43 am,RedZone,Los Angeles Clippers,Oklahoma City Thunder,16.5,-105,-16.5,-118,94,109,5.5,-5.5
3/4 11:15:27 am,RedZone,Los Angeles Clippers,Oklahoma City Thunder,17.5,-105,-17.5,-118,94,109,5.5,-5.5
3/4 11:15:03 am,RedZone,Los Angeles Clippers,Oklahoma City Thunder,16.5,-105,-16.5,-118,94,109,5.5,-5.5
3/4 11:10:44 am,RedZone,Los Angeles Clippers,Oklahoma City Thunder,16.5,-112,-16.5,-112,94,109,5.5,-5.5
3/4 11:10:17 am,RedZone,Los Angeles Clippers,Oklahoma City Thunder,16.5,-105,-16.5,-118,94,109,5.5,-5.5
3/4 11:10:06 am,RedZone,Los Angeles Clippers,Oklahoma City Thunder,17.5,-112,-17.5,-112,94,109,5.5,-5.5
3/4 11:09:51 am,RedZone,Los Angeles Clippers,Oklahoma City Thunder,17.5,-122,-17.5,-102,94,109,5.5,-5.5
3/4 11:09:04 am,RedZone,Los Angeles Clippers,Oklahoma City Thunder,16.5,-118,-16.5,-105,94,109,5.5,-5.5
3/4 11:08:45 am,RedZone,Los Angeles Clippers,Oklahoma City Thunder,18.5,-126,-18.5,101,94,109,5.5,-5.5
3/4 11:08:20 am,RedZone,Los Angeles Clippers,Oklahoma City Thunder,18.5,-102,-18.5,-122,94,109,5.5,-5.5
3/4 11:08:10 am,RedZone,Los Angeles Clippers,Oklahoma City Thunder,17.5,-112,-17.5,-112,94,109,5.5,-5.5
3/4 11:08:01 am,RedZone,Los Angeles Clippers,Oklahoma City Thunder,17.5,-118,-17.5,-105,94,109,5.5,-5.5
3/4 11:07:43 am,RedZone,Los Angeles Clippers,Oklahoma City Thunder,18.5,-122,-18.5,-102,94,109,5.5,-5.5
3/4 11:06:58 am,RedZone,Los Angeles Clippers,Oklahoma City Thunder,18.5,-126,-18.5,101,94,109,5.5,-5.5
3/4 11:06:40 am,RedZone,Los Angeles Clippers,Oklahoma City Thunder,17.5,-105,-17.5,-118,94,109,5.5,-5.5
3/4 11:06:11 am,RedZone,Los Angeles Clippers,Oklahoma City Thunder,17.5,-112,-17.5,-112,94,109,5.5,-5.5
3/4 11:05:16 am,RedZone,Los Angeles Clippers,Oklahoma City Thunder,17.5,-118,-17.5,-105,94,109,5.5,-5.5
3/4 11:04:22 am,RedZone,Los Angeles Clippers,Oklahoma City Thunder,16.5,-118,-16.5,-105,94,109,5.5,-5.5
3/4 11:04:03 am,RedZone,Los Angeles Clippers,Oklahoma City Thunder,15.5,-102,-15.5,-122,94,109,5.5,-5.5
3/4 11:03:39 am,RedZone,Los Angeles Clippers,Oklahoma City Thunder,15.5,-112,-15.5,-112,94,109,5.5,-5.5
