Time,Book,Away Team,Home Team,Home Line,Home Odds,Away Line,Away Odds,Home Score,Away Score,Home Line Open,Away Line Open
1/27 9:21:17 am,Pinnacle,Los Angeles Clippers,Orlando Magic,8.0,-117,-8.0,100,97,112,3,-3
1/27 9:21:04 am,Pinnacle,Los Angeles Clippers,Orlando Magic,8.0,-114,-8.0,-103,97,112,3,-3
1/27 9:20:25 am,Pinnacle,Los Angeles Clippers,Orlando Magic,8.0,-108,-8.0,-108,97,112,3,-3
1/27 9:21:35 am,Pinnacle,Los Angeles Clippers,Orlando Magic,8.0,-115,-8.0,-101,97,112,3,-3
1/27 9:16:31 am,Pinnacle,Los Angeles Clippers,Orlando Magic,10.0,-107,-10.0,-123,97,112,3,-3
1/27 9:16:13 am,Pinnacle,Los Angeles Clippers,Orlando Magic,9.0,-108,-9.0,-122,97,112,3,-3
1/27 9:14:01 am,Pinnacle,Los Angeles Clippers,Orlando Magic,9.5,-107,-9.5,-109,97,112,3,-3
1/27 9:13:55 am,Pinnacle,Los Angeles Clippers,Orlando Magic,9.5,-108,-9.5,-108,97,112,3,-3
1/27 9:13:49 am,Pinnacle,Los Angeles Clippers,Orlando Magic,9.5,-109,-9.5,-107,97,112,3,-3
1/27 9:13:41 am,Pinnacle,Los Angeles Clippers,Orlando Magic,9.5,-110,-9.5,-106,97,112,3,-3
1/27 9:13:31 am,Pinnacle,Los Angeles Clippers,Orlando Magic,9.0,-102,-9.0,-115,97,112,3,-3
1/27 9:13:17 am,Pinnacle,Los Angeles Clippers,Orlando Magic,9.0,-108,-9.0,-122,97,112,3,-3
1/27 9:13:10 am,Pinnacle,Los Angeles Clippers,Orlando Magic,8.5,-112,-8.5,-118,97,112,3,-3
1/27 9:13:02 am,Pinnacle,Los Angeles Clippers,Orlando Magic,7.5,-111,-7.5,-119,97,112,3,-3
1/27 9:12:28 am,Pinnacle,Los Angeles Clippers,Orlando Magic,8.5,-113,-8.5,-117,97,112,3,-3
1/27 9:12:08 am,Pinnacle,Los Angeles Clippers,Orlando Magic,9.0,-111,-9.0,-120,97,112,3,-3
1/27 9:12:04 am,Pinnacle,Los Angeles Clippers,Orlando Magic,8.5,-113,-8.5,-117,97,112,3,-3
1/27 9:11:40 am,Pinnacle,Los Angeles Clippers,Orlando Magic,7.5,-112,-7.5,-118,97,112,3,-3
1/27 9:11:23 am,Pinnacle,Los Angeles Clippers,Orlando Magic,7.0,-114,-7.0,-116,97,112,3,-3
1/27 9:10:46 am,Pinnacle,Los Angeles Clippers,Orlando Magic,7.0,101,-7.0,-118,97,112,3,-3
1/27 9:09:04 am,Pinnacle,Los Angeles Clippers,Orlando Magic,7.0,-102,-7.0,-115,97,112,3,-3
1/27 9:08:56 am,Pinnacle,Los Angeles Clippers,Orlando Magic,7.0,100,-7.0,-117,97,112,3,-3
1/27 9:08:43 am,Pinnacle,Los Angeles Clippers,Orlando Magic,7.0,-108,-7.0,-108,97,112,3,-3
1/27 9:08:26 am,Pinnacle,Los Angeles Clippers,Orlando Magic,7.0,-114,-7.0,-116,97,112,3,-3
1/27 9:08:20 am,Pinnacle,Los Angeles Clippers,Orlando Magic,7.5,-113,-7.5,-118,97,112,3,-3
1/27 9:08:04 am,Pinnacle,Los Angeles Clippers,Orlando Magic,8.5,-115,-8.5,-115,97,112,3,-3
