Time,Book,Away Team,Home Team,Home Line,Home Odds,Away Line,Away Odds,Home Score,Away Score,Home Line Open,Away Line Open
2/27 12:21:53 pm,RedZone,Los Angeles Clippers,Phoenix Suns,9.5,167,-9.5,-216,92,102,7.5,-7.5
2/27 12:16:48 pm,RedZone,Los Angeles Clippers,Phoenix Suns,10.5,113,-10.5,-142,92,102,7.5,-7.5
2/27 12:14:04 pm,RedZone,Los Angeles Clippers,Phoenix Suns,9.5,109,-9.5,-137,92,102,7.5,-7.5
2/27 12:13:37 pm,RedZone,Los Angeles Clippers,Phoenix Suns,9.5,107,-9.5,-134,92,102,7.5,-7.5
2/27 12:13:06 pm,RedZone,Los Angeles Clippers,Phoenix Suns,9.5,-108,-9.5,-115,92,102,7.5,-7.5
2/27 12:12:58 pm,RedZone,Los Angeles Clippers,Phoenix Suns,8.5,101,-8.5,-125,92,102,7.5,-7.5
2/27 12:12:45 pm,RedZone,Los Angeles Clippers,Phoenix Suns,8.5,104,-8.5,-129,92,102,7.5,-7.5
2/27 12:12:19 pm,RedZone,Los Angeles Clippers,Phoenix Suns,8.5,101,-8.5,-125,92,102,7.5,-7.5
2/27 12:12:02 pm,RedZone,Los Angeles Clippers,Phoenix Suns,8.5,-125,-8.5,101,92,102,7.5,-7.5
2/27 12:11:18 pm,RedZone,Los Angeles Clippers,Phoenix Suns,8.5,107,-8.5,-134,92,102,7.5,-7.5
2/27 12:11:01 pm,RedZone,Los Angeles Clippers,Phoenix Suns,8.5,-106,-8.5,-117,92,102,7.5,-7.5
2/27 12:10:19 pm,RedZone,Los Angeles Clippers,Phoenix Suns,6.5,-105,-6.5,-118,92,102,7.5,-7.5
2/27 12:10:08 pm,RedZone,Los Angeles Clippers,Phoenix Suns,7.5,-112,-7.5,-112,92,102,7.5,-7.5
2/27 12:09:44 pm,RedZone,Los Angeles Clippers,Phoenix Suns,8.5,-126,-8.5,101,92,102,7.5,-7.5
2/27 12:09:29 pm,RedZone,Los Angeles Clippers,Phoenix Suns,7.5,107,-7.5,-135,92,102,7.5,-7.5
2/27 12:08:50 pm,Pinnacle,Los Angeles Clippers,Phoenix Suns,8.0,-116,-8.0,-101,92,102,7.5,-7.5
2/27 12:08:45 pm,Pinnacle,Los Angeles Clippers,Phoenix Suns,8.0,-111,-8.0,-105,92,102,7.5,-7.5
2/27 12:08:41 pm,Pinnacle,Los Angeles Clippers,Phoenix Suns,8.0,-110,-8.0,-106,92,102,7.5,-7.5
2/27 12:08:38 pm,Pinnacle,Los Angeles Clippers,Phoenix Suns,8.0,-109,-8.0,-107,92,102,7.5,-7.5
2/27 12:08:23 pm,Pinnacle,Los Angeles Clippers,Phoenix Suns,8.0,-113,-8.0,-103,92,102,7.5,-7.5
2/27 12:08:17 pm,Pinnacle,Los Angeles Clippers,Phoenix Suns,8.0,-113,-8.0,-103,92,102,7.5,-7.5
2/27 12:08:14 pm,Pinnacle,Los Angeles Clippers,Phoenix Suns,8.0,-108,-8.0,-108,92,102,7.5,-7.5
2/27 12:08:08 pm,Pinnacle,Los Angeles Clippers,Phoenix Suns,8.0,-108,-8.0,-108,92,102,7.5,-7.5
2/27 12:07:59 pm,Pinnacle,Los Angeles Clippers,Phoenix Suns,8.0,-112,-8.0,-105,92,102,7.5,-7.5
2/27 12:07:21 pm,RedZone,Los Angeles Clippers,Phoenix Suns,7.5,-112,-7.5,-112,92,102,7.5,-7.5
2/27 12:06:47 pm,RedZone,Los Angeles Clippers,Phoenix Suns,9.5,-135,-9.5,107,92,102,7.5,-7.5
2/27 12:06:29 pm,RedZone,Los Angeles Clippers,Phoenix Suns,9.5,101,-9.5,-126,92,102,7.5,-7.5
2/27 12:06:17 pm,RedZone,Los Angeles Clippers,Phoenix Suns,10.5,-105,-10.5,-118,92,102,7.5,-7.5
2/27 12:05:49 pm,RedZone,Los Angeles Clippers,Phoenix Suns,11.5,-130,-11.5,104,92,102,7.5,-7.5
2/27 12:05:07 pm,RedZone,Los Angeles Clippers,Phoenix Suns,10.5,-118,-10.5,-105,92,102,7.5,-7.5
2/27 12:04:49 pm,RedZone,Los Angeles Clippers,Phoenix Suns,9.5,-112,-9.5,-112,92,102,7.5,-7.5
2/27 12:04:24 pm,Pinnacle,Los Angeles Clippers,Phoenix Suns,10.5,-110,-10.5,-107,92,102,7.5,-7.5
2/27 12:04:11 pm,Pinnacle,Los Angeles Clippers,Phoenix Suns,10.5,-109,-10.5,-107,92,102,7.5,-7.5
2/27 12:03:59 pm,Pinnacle,Los Angeles Clippers,Phoenix Suns,10.5,-108,-10.5,-108,92,102,7.5,-7.5
2/27 12:03:44 pm,Pinnacle,Los Angeles Clippers,Phoenix Suns,10.5,-110,-10.5,-106,92,102,7.5,-7.5
2/27 12:03:20 pm,Pinnacle,Los Angeles Clippers,Phoenix Suns,10.5,-110,-10.5,-106,92,102,7.5,-7.5
2/27 12:03:11 pm,Pinnacle,Los Angeles Clippers,Phoenix Suns,10.5,-111,-10.5,-105,92,102,7.5,-7.5
2/27 12:03:08 pm,Pinnacle,Los Angeles Clippers,Phoenix Suns,10.5,-111,-10.5,-105,92,102,7.5,-7.5
2/27 12:03:00 pm,Pinnacle,Los Angeles Clippers,Phoenix Suns,10.5,-111,-10.5,-105,92,102,7.5,-7.5
2/27 12:02:50 pm,Pinnacle,Los Angeles Clippers,Phoenix Suns,10.5,-112,-10.5,-105,92,102,7.5,-7.5
2/27 12:02:47 pm,Pinnacle,Los Angeles Clippers,Phoenix Suns,10.5,-111,-10.5,-105,92,102,7.5,-7.5
2/27 12:02:32 pm,Pinnacle,Los Angeles Clippers,Phoenix Suns,10.5,-111,-10.5,-105,92,102,7.5,-7.5
2/27 12:02:26 pm,Pinnacle,Los Angeles Clippers,Phoenix Suns,10.5,-111,-10.5,-105,92,102,7.5,-7.5
2/27 12:01:41 pm,RedZone,Los Angeles Clippers,Phoenix Suns,10.5,-118,-10.5,-105,92,102,7.5,-7.5
2/27 12:01:23 pm,RedZone,Los Angeles Clippers,Phoenix Suns,11.5,101,-11.5,-126,92,102,7.5,-7.5
2/27 12:00:38 pm,Pinnacle,Los Angeles Clippers,Phoenix Suns,13.5,-112,-13.5,-118,92,102,7.5,-7.5
