Time,Book,Away Team,Home Team,Home Line,Home Odds,Away Line,Away Odds,Home Score,Away Score,Home Line Open,Away Line Open
11/30 11:37:28 am,Pinnacle,Los Angeles Clippers,San Antonio Spurs,-13.5,-112,13.5,-104,107,97,5,-5
11/30 11:37:22 am,Pinnacle,Los Angeles Clippers,San Antonio Spurs,-13.5,-102,13.5,-114,107,97,5,-5
11/30 11:37:10 am,Pinnacle,Los Angeles Clippers,San Antonio Spurs,-13.5,-103,13.5,-113,107,97,5,-5
11/30 11:37:07 am,Pinnacle,Los Angeles Clippers,San Antonio Spurs,-13.5,-104,13.5,-112,107,97,5,-5
11/30 11:36:58 am,Pinnacle,Los Angeles Clippers,San Antonio Spurs,-13.5,-107,13.5,-109,107,97,5,-5
11/30 11:36:49 am,Pinnacle,Los Angeles Clippers,San Antonio Spurs,-13.5,-108,13.5,-108,107,97,5,-5
11/30 11:36:32 am,Pinnacle,Los Angeles Clippers,San Antonio Spurs,-13.5,-109,13.5,-107,107,97,5,-5
11/30 11:30:31 am,Pinnacle,Los Angeles Clippers,San Antonio Spurs,-7.5,-116,7.5,-101,107,97,5,-5
11/30 11:29:43 am,Pinnacle,Los Angeles Clippers,San Antonio Spurs,-7.5,-117,7.5,100,107,97,5,-5
11/30 11:29:40 am,Pinnacle,Los Angeles Clippers,San Antonio Spurs,-7.5,-118,7.5,101,107,97,5,-5
11/30 11:29:07 am,Pinnacle,Los Angeles Clippers,San Antonio Spurs,-7.5,-114,7.5,-102,107,97,5,-5
11/30 11:28:58 am,Pinnacle,Los Angeles Clippers,San Antonio Spurs,-7.5,-117,7.5,100,107,97,5,-5
11/30 11:28:46 am,Pinnacle,Los Angeles Clippers,San Antonio Spurs,-7.5,-116,7.5,-101,107,97,5,-5
11/30 11:28:40 am,Pinnacle,Los Angeles Clippers,San Antonio Spurs,-7.5,-111,7.5,-105,107,97,5,-5
11/30 11:28:34 am,Pinnacle,Los Angeles Clippers,San Antonio Spurs,-7.5,-108,7.5,-108,107,97,5,-5
11/30 11:27:52 am,Pinnacle,Los Angeles Clippers,San Antonio Spurs,-7.5,-101,7.5,-116,107,97,5,-5
11/30 11:23:31 am,Pinnacle,Los Angeles Clippers,San Antonio Spurs,-11.0,-108,11.0,-108,107,97,5,-5
11/30 11:22:52 am,Pinnacle,Los Angeles Clippers,San Antonio Spurs,-11.0,-109,11.0,-107,107,97,5,-5
11/30 11:22:49 am,Pinnacle,Los Angeles Clippers,San Antonio Spurs,-11.0,-104,11.0,-112,107,97,5,-5
11/30 11:22:38 am,Pinnacle,Los Angeles Clippers,San Antonio Spurs,-11.0,101,11.0,-118,107,97,5,-5
11/30 11:22:31 am,Pinnacle,Los Angeles Clippers,San Antonio Spurs,-11.0,105,11.0,-122,107,97,5,-5
11/30 11:22:28 am,Pinnacle,Los Angeles Clippers,San Antonio Spurs,-11.0,106,11.0,-124,107,97,5,-5
11/30 11:22:26 am,Pinnacle,Los Angeles Clippers,San Antonio Spurs,-11.0,107,11.0,-125,107,97,5,-5
11/30 11:22:22 am,Pinnacle,Los Angeles Clippers,San Antonio Spurs,-11.0,101,11.0,-118,107,97,5,-5
11/30 11:22:07 am,Pinnacle,Los Angeles Clippers,San Antonio Spurs,-11.0,100,11.0,-117,107,97,5,-5
11/30 11:22:04 am,Pinnacle,Los Angeles Clippers,San Antonio Spurs,-11.0,-103,11.0,-113,107,97,5,-5
11/30 11:22:01 am,Pinnacle,Los Angeles Clippers,San Antonio Spurs,-11.0,-104,11.0,-112,107,97,5,-5
11/30 11:21:58 am,Pinnacle,Los Angeles Clippers,San Antonio Spurs,-11.0,-105,11.0,-111,107,97,5,-5
11/30 11:21:43 am,Pinnacle,Los Angeles Clippers,San Antonio Spurs,-11.0,-107,11.0,-109,107,97,5,-5
11/30 11:19:10 am,Pinnacle,Los Angeles Clippers,San Antonio Spurs,-6.5,-114,6.5,-102,107,97,5,-5
11/30 11:19:04 am,Pinnacle,Los Angeles Clippers,San Antonio Spurs,-6.5,-117,6.5,100,107,97,5,-5
11/30 11:18:52 am,Pinnacle,Los Angeles Clippers,San Antonio Spurs,-6.5,-119,6.5,102,107,97,5,-5
11/30 11:18:43 am,Pinnacle,Los Angeles Clippers,San Antonio Spurs,-6.5,-121,6.5,104,107,97,5,-5
11/30 11:18:37 am,Pinnacle,Los Angeles Clippers,San Antonio Spurs,-6.5,-123,6.5,105,107,97,5,-5
11/30 11:18:10 am,Pinnacle,Los Angeles Clippers,San Antonio Spurs,-6.5,-126,6.5,108,107,97,5,-5
11/30 11:18:04 am,Pinnacle,Los Angeles Clippers,San Antonio Spurs,-6.5,-127,6.5,108,107,97,5,-5
11/30 11:17:43 am,Pinnacle,Los Angeles Clippers,San Antonio Spurs,-6.5,-127,6.5,109,107,97,5,-5
11/30 11:17:37 am,Pinnacle,Los Angeles Clippers,San Antonio Spurs,-6.5,-128,6.5,110,107,97,5,-5
11/30 11:17:25 am,Pinnacle,Los Angeles Clippers,San Antonio Spurs,-6.5,-111,6.5,-105,107,97,5,-5
