Time,Book,Away Team,Home Team,Home Line,Home Odds,Away Line,Away Odds,Home Score,Away Score,Home Line Open,Away Line Open
12/9 9:28:04 am,Pinnacle,Los Angeles Clippers,Washington Wizards,16.5,104,-16.5,-121,119,135,8.5,-8.5
12/9 9:27:26 am,Pinnacle,Los Angeles Clippers,Washington Wizards,16.5,107,-16.5,-124,119,135,8.5,-8.5
12/9 9:27:19 am,Pinnacle,Los Angeles Clippers,Washington Wizards,16.5,-107,-16.5,-109,119,135,8.5,-8.5
12/9 9:25:52 am,Pinnacle,Los Angeles Clippers,Washington Wizards,15.5,-118,-15.5,101,119,135,8.5,-8.5
12/9 9:25:37 am,Pinnacle,Los Angeles Clippers,Washington Wizards,15.5,-118,-15.5,102,119,135,8.5,-8.5
12/9 9:25:25 am,Pinnacle,Los Angeles Clippers,Washington Wizards,15.5,-116,-15.5,-101,119,135,8.5,-8.5
12/9 9:18:37 am,Pinnacle,Los Angeles Clippers,Washington Wizards,11.5,108,-11.5,-126,119,135,8.5,-8.5
12/9 9:18:34 am,Pinnacle,Los Angeles Clippers,Washington Wizards,11.5,-107,-11.5,-109,119,135,8.5,-8.5
12/9 9:12:55 am,Pinnacle,Los Angeles Clippers,Washington Wizards,6.5,104,-6.5,-121,119,135,8.5,-8.5
12/9 9:12:19 am,Pinnacle,Los Angeles Clippers,Washington Wizards,6.5,105,-6.5,-123,119,135,8.5,-8.5
12/9 9:11:28 am,Pinnacle,Los Angeles Clippers,Washington Wizards,6.5,104,-6.5,-121,119,135,8.5,-8.5
12/9 9:10:46 am,Pinnacle,Los Angeles Clippers,Washington Wizards,6.5,101,-6.5,-118,119,135,8.5,-8.5
12/9 9:10:31 am,Pinnacle,Los Angeles Clippers,Washington Wizards,6.5,-101,-6.5,-115,119,135,8.5,-8.5
12/9 9:09:52 am,Pinnacle,Los Angeles Clippers,Washington Wizards,7.0,-127,-7.0,-104,119,135,8.5,-8.5
12/9 9:09:46 am,Pinnacle,Los Angeles Clippers,Washington Wizards,8.0,-109,-8.0,-121,119,135,8.5,-8.5
12/9 9:09:43 am,Pinnacle,Los Angeles Clippers,Washington Wizards,9.0,-119,-9.0,-111,119,135,8.5,-8.5
12/9 9:09:37 am,Pinnacle,Los Angeles Clippers,Washington Wizards,9.0,-109,-9.0,-121,119,135,8.5,-8.5
12/9 9:09:28 am,Pinnacle,Los Angeles Clippers,Washington Wizards,9.0,-111,-9.0,-119,119,135,8.5,-8.5
12/9 9:09:25 am,Pinnacle,Los Angeles Clippers,Washington Wizards,9.0,-122,-9.0,-108,119,135,8.5,-8.5
12/9 9:09:24 am,Pinnacle,Los Angeles Clippers,Washington Wizards,10.0,-122,-10.0,-109,119,135,8.5,-8.5
12/9 9:09:22 am,Pinnacle,Los Angeles Clippers,Washington Wizards,10.0,-122,-10.0,-108,119,135,8.5,-8.5
12/9 9:09:16 am,Pinnacle,Los Angeles Clippers,Washington Wizards,10.0,-122,-10.0,-109,119,135,8.5,-8.5
12/9 9:09:10 am,Pinnacle,Los Angeles Clippers,Washington Wizards,11.0,-126,-11.0,-105,119,135,8.5,-8.5
12/9 9:09:04 am,Pinnacle,Los Angeles Clippers,Washington Wizards,11.0,-122,-11.0,-108,119,135,8.5,-8.5
12/9 9:08:58 am,Pinnacle,Los Angeles Clippers,Washington Wizards,11.0,-121,-11.0,-109,119,135,8.5,-8.5
12/9 9:08:55 am,Pinnacle,Los Angeles Clippers,Washington Wizards,11.5,-118,-11.5,-112,119,135,8.5,-8.5
12/9 9:08:52 am,Pinnacle,Los Angeles Clippers,Washington Wizards,11.5,-114,-11.5,-116,119,135,8.5,-8.5
12/9 9:08:46 am,Pinnacle,Los Angeles Clippers,Washington Wizards,11.5,-112,-11.5,-118,119,135,8.5,-8.5
12/9 9:08:31 am,Pinnacle,Los Angeles Clippers,Washington Wizards,11.0,-119,-11.0,-111,119,135,8.5,-8.5
12/9 9:08:28 am,Pinnacle,Los Angeles Clippers,Washington Wizards,10.0,-116,-10.0,-114,119,135,8.5,-8.5
12/9 9:08:10 am,Pinnacle,Los Angeles Clippers,Washington Wizards,10.5,-129,-10.5,-103,119,135,8.5,-8.5
12/9 9:08:04 am,Pinnacle,Los Angeles Clippers,Washington Wizards,10.5,-125,-10.5,-106,119,135,8.5,-8.5
12/9 9:07:55 am,Pinnacle,Los Angeles Clippers,Washington Wizards,10.5,-126,-10.5,-105,119,135,8.5,-8.5
12/9 9:07:49 am,Pinnacle,Los Angeles Clippers,Washington Wizards,10.5,-116,-10.5,-114,119,135,8.5,-8.5
12/9 9:07:46 am,Pinnacle,Los Angeles Clippers,Washington Wizards,10.5,-106,-10.5,-125,119,135,8.5,-8.5
12/9 9:07:16 am,Pinnacle,Los Angeles Clippers,Washington Wizards,12.0,-121,-12.0,-110,119,135,8.5,-8.5
12/9 9:07:10 am,Pinnacle,Los Angeles Clippers,Washington Wizards,12.0,-119,-12.0,-111,119,135,8.5,-8.5
12/9 9:07:07 am,Pinnacle,Los Angeles Clippers,Washington Wizards,11.0,-105,-11.0,-126,119,135,8.5,-8.5
12/9 9:07:01 am,Pinnacle,Los Angeles Clippers,Washington Wizards,11.5,-131,-11.5,-101,119,135,8.5,-8.5
12/9 9:06:58 am,Pinnacle,Los Angeles Clippers,Washington Wizards,11.5,-127,-11.5,-105,119,135,8.5,-8.5
12/9 9:06:55 am,Pinnacle,Los Angeles Clippers,Washington Wizards,13.0,-128,-13.0,-103,119,135,8.5,-8.5
12/9 9:06:52 am,Pinnacle,Los Angeles Clippers,Washington Wizards,13.0,-124,-13.0,-107,119,135,8.5,-8.5
12/9 9:06:49 am,Pinnacle,Los Angeles Clippers,Washington Wizards,14.0,-123,-14.0,-107,119,135,8.5,-8.5
12/9 9:06:46 am,Pinnacle,Los Angeles Clippers,Washington Wizards,13.5,-125,-13.5,-106,119,135,8.5,-8.5
12/9 9:06:40 am,Pinnacle,Los Angeles Clippers,Washington Wizards,13.0,-127,-13.0,-104,119,135,8.5,-8.5
12/9 9:06:28 am,Pinnacle,Los Angeles Clippers,Washington Wizards,13.0,-125,-13.0,-106,119,135,8.5,-8.5
12/9 9:06:22 am,Pinnacle,Los Angeles Clippers,Washington Wizards,13.0,-122,-13.0,-109,119,135,8.5,-8.5
12/9 9:06:13 am,Pinnacle,Los Angeles Clippers,Washington Wizards,11.5,-123,-11.5,-108,119,135,8.5,-8.5
12/9 9:06:10 am,Pinnacle,Los Angeles Clippers,Washington Wizards,10.5,-120,-10.5,-110,119,135,8.5,-8.5
