Time,Book,Away Team,Home Team,Home Line,Home Odds,Away Line,Away Odds,Home Score,Away Score,Home Line Open,Away Line Open
1/21 10:52:56 am,Pinnacle,Los Angeles Lakers,Boston Celtics,-26.5,-120,26.5,-110,139,107,2.5,-2.5
1/21 10:51:05 am,Pinnacle,Los Angeles Lakers,Boston Celtics,-20.0,-109,20.0,-121,139,107,2.5,-2.5
1/21 10:51:02 am,Pinnacle,Los Angeles Lakers,Boston Celtics,-20.0,-110,20.0,-120,139,107,2.5,-2.5
1/21 10:50:59 am,Pinnacle,Los Angeles Lakers,Boston Celtics,-20.0,-110,20.0,-120,139,107,2.5,-2.5
1/21 10:50:56 am,Pinnacle,Los Angeles Lakers,Boston Celtics,-21.0,-107,21.0,-109,139,107,2.5,-2.5
1/21 10:50:44 am,Pinnacle,Los Angeles Lakers,Boston Celtics,-21.0,-109,21.0,-107,139,107,2.5,-2.5
1/21 10:50:41 am,Pinnacle,Los Angeles Lakers,Boston Celtics,-21.0,-114,21.0,-103,139,107,2.5,-2.5
1/21 10:50:38 am,Pinnacle,Los Angeles Lakers,Boston Celtics,-21.5,101,21.5,-118,139,107,2.5,-2.5
1/21 10:50:37 am,Pinnacle,Los Angeles Lakers,Boston Celtics,-21.5,-102,21.5,-115,139,107,2.5,-2.5
1/21 10:50:11 am,Pinnacle,Los Angeles Lakers,Boston Celtics,-21.0,-111,21.0,-105,139,107,2.5,-2.5
1/21 10:49:24 am,Pinnacle,Los Angeles Lakers,Boston Celtics,-21.0,-111,21.0,-105,139,107,2.5,-2.5
1/21 10:49:23 am,Pinnacle,Los Angeles Lakers,Boston Celtics,-21.0,-112,21.0,-105,139,107,2.5,-2.5
1/21 10:49:21 am,Pinnacle,Los Angeles Lakers,Boston Celtics,-21.0,-111,21.0,-105,139,107,2.5,-2.5
1/21 10:49:11 am,Pinnacle,Los Angeles Lakers,Boston Celtics,-21.0,-112,21.0,-105,139,107,2.5,-2.5
1/21 10:49:05 am,Pinnacle,Los Angeles Lakers,Boston Celtics,-21.0,-113,21.0,-103,139,107,2.5,-2.5
1/21 10:49:02 am,Pinnacle,Los Angeles Lakers,Boston Celtics,-21.0,-114,21.0,-102,139,107,2.5,-2.5
1/21 10:48:56 am,Pinnacle,Los Angeles Lakers,Boston Celtics,-21.0,-115,21.0,-102,139,107,2.5,-2.5
1/21 10:48:48 am,Pinnacle,Los Angeles Lakers,Boston Celtics,-21.0,-104,21.0,-112,139,107,2.5,-2.5
1/21 10:48:42 am,Pinnacle,Los Angeles Lakers,Boston Celtics,-21.0,-104,21.0,-112,139,107,2.5,-2.5
1/21 10:48:39 am,Pinnacle,Los Angeles Lakers,Boston Celtics,-21.0,-104,21.0,-112,139,107,2.5,-2.5
1/21 10:48:32 am,Pinnacle,Los Angeles Lakers,Boston Celtics,-21.0,-104,21.0,-112,139,107,2.5,-2.5
1/21 10:48:27 am,Pinnacle,Los Angeles Lakers,Boston Celtics,-21.0,-104,21.0,-112,139,107,2.5,-2.5
1/21 10:48:05 am,Pinnacle,Los Angeles Lakers,Boston Celtics,-21.0,-105,21.0,-111,139,107,2.5,-2.5
1/21 10:47:56 am,Pinnacle,Los Angeles Lakers,Boston Celtics,-21.0,-103,21.0,-114,139,107,2.5,-2.5
1/21 10:47:53 am,Pinnacle,Los Angeles Lakers,Boston Celtics,-21.0,-104,21.0,-112,139,107,2.5,-2.5
1/21 10:47:47 am,Pinnacle,Los Angeles Lakers,Boston Celtics,-21.0,-104,21.0,-112,139,107,2.5,-2.5
1/21 10:47:41 am,Pinnacle,Los Angeles Lakers,Boston Celtics,-21.0,-104,21.0,-112,139,107,2.5,-2.5
1/21 10:47:09 am,Pinnacle,Los Angeles Lakers,Boston Celtics,-20.5,-112,20.5,-104,139,107,2.5,-2.5
1/21 10:46:57 am,Pinnacle,Los Angeles Lakers,Boston Celtics,-20.5,-132,20.5,100,139,107,2.5,-2.5
1/21 10:46:53 am,Pinnacle,Los Angeles Lakers,Boston Celtics,-20.5,-118,20.5,-112,139,107,2.5,-2.5
