Time,Book,Away Team,Home Team,Home Line,Home Odds,Away Line,Away Odds,Home Score,Away Score,Home Line Open,Away Line Open
1/11 1:10:30 pm,Pinnacle,Los Angeles Lakers,Dallas Mavericks,15.5,-102,-15.5,-114,114,129,-2.5,2.5
1/11 1:10:12 pm,Pinnacle,Los Angeles Lakers,Dallas Mavericks,15.5,-108,-15.5,-108,114,129,-2.5,2.5
1/11 1:10:03 pm,Pinnacle,Los Angeles Lakers,Dallas Mavericks,15.5,-109,-15.5,-107,114,129,-2.5,2.5
1/11 1:03:51 pm,Pinnacle,Los Angeles Lakers,Dallas Mavericks,14.5,-102,-14.5,-114,114,129,-2.5,2.5
1/11 1:03:29 pm,Pinnacle,Los Angeles Lakers,Dallas Mavericks,14.5,-127,-14.5,-104,114,129,-2.5,2.5
1/11 1:03:28 pm,Pinnacle,Los Angeles Lakers,Dallas Mavericks,14.5,-104,-14.5,-127,114,129,-2.5,2.5
1/11 1:03:27 pm,Pinnacle,Los Angeles Lakers,Dallas Mavericks,14.5,-127,-14.5,-104,114,129,-2.5,2.5
1/11 1:03:19 pm,Pinnacle,Los Angeles Lakers,Dallas Mavericks,14.5,-104,-14.5,-127,114,129,-2.5,2.5
1/11 1:02:43 pm,Pinnacle,Los Angeles Lakers,Dallas Mavericks,14.5,-108,-14.5,-123,114,129,-2.5,2.5
1/11 1:02:39 pm,Pinnacle,Los Angeles Lakers,Dallas Mavericks,14.5,-108,-14.5,-122,114,129,-2.5,2.5
1/11 1:02:33 pm,Pinnacle,Los Angeles Lakers,Dallas Mavericks,16.5,-120,-16.5,-110,114,129,-2.5,2.5
1/11 1:02:24 pm,Pinnacle,Los Angeles Lakers,Dallas Mavericks,16.5,-109,-16.5,-121,114,129,-2.5,2.5
1/11 1:02:18 pm,Pinnacle,Los Angeles Lakers,Dallas Mavericks,16.5,-111,-16.5,-119,114,129,-2.5,2.5
1/11 1:02:07 pm,Pinnacle,Los Angeles Lakers,Dallas Mavericks,16.5,-110,-16.5,-120,114,129,-2.5,2.5
1/11 1:02:03 pm,Pinnacle,Los Angeles Lakers,Dallas Mavericks,16.5,-111,-16.5,-119,114,129,-2.5,2.5
1/11 1:01:54 pm,Pinnacle,Los Angeles Lakers,Dallas Mavericks,16.0,-124,-16.0,-106,114,129,-2.5,2.5
1/11 1:01:51 pm,Pinnacle,Los Angeles Lakers,Dallas Mavericks,14.5,-106,-14.5,-125,114,129,-2.5,2.5
1/11 1:01:39 pm,Pinnacle,Los Angeles Lakers,Dallas Mavericks,15.0,-112,-15.0,-118,114,129,-2.5,2.5
1/11 1:01:33 pm,Pinnacle,Los Angeles Lakers,Dallas Mavericks,15.5,-120,-15.5,-110,114,129,-2.5,2.5
