Time,Book,Away Team,Home Team,Home Line,Home Odds,Away Line,Away Odds,Home Score,Away Score,Home Line Open,Away Line Open
2/13 1:46:58 pm,Pinnacle,Los Angeles Lakers,Denver Nuggets,3.5,163,-3.5,-193,116,120,3,-3
2/13 1:46:52 pm,Pinnacle,Los Angeles Lakers,Denver Nuggets,3.5,166,-3.5,-197,116,120,3,-3
2/13 1:46:17 pm,Pinnacle,Los Angeles Lakers,Denver Nuggets,3.5,169,-3.5,-200,116,120,3,-3
2/13 1:43:16 pm,Pinnacle,Los Angeles Lakers,Denver Nuggets,0.0,452,0.0,-600,116,120,3,-3
2/13 1:39:04 pm,Pinnacle,Los Angeles Lakers,Denver Nuggets,0.0,123,0.0,-143,116,120,3,-3
2/13 1:39:01 pm,Pinnacle,Los Angeles Lakers,Denver Nuggets,0.0,128,0.0,-150,116,120,3,-3
2/13 1:38:22 pm,Pinnacle,Los Angeles Lakers,Denver Nuggets,0.0,115,0.0,-134,116,120,3,-3
2/13 1:38:02 pm,Pinnacle,Los Angeles Lakers,Denver Nuggets,0.0,120,0.0,-140,116,120,3,-3
2/13 1:35:04 pm,Pinnacle,Los Angeles Lakers,Denver Nuggets,1.5,104,-1.5,-121,116,120,3,-3
2/13 1:34:41 pm,Pinnacle,Los Angeles Lakers,Denver Nuggets,1.5,-101,-1.5,-116,116,120,3,-3
2/13 1:34:16 pm,Pinnacle,Los Angeles Lakers,Denver Nuggets,1.5,-101,-1.5,-115,116,120,3,-3
2/13 1:34:01 pm,Pinnacle,Los Angeles Lakers,Denver Nuggets,1.5,-103,-1.5,-114,116,120,3,-3
2/13 1:33:55 pm,Pinnacle,Los Angeles Lakers,Denver Nuggets,1.5,-102,-1.5,-115,116,120,3,-3
2/13 1:33:41 pm,Pinnacle,Los Angeles Lakers,Denver Nuggets,1.5,103,-1.5,-120,116,120,3,-3
2/13 1:33:28 pm,Pinnacle,Los Angeles Lakers,Denver Nuggets,1.5,-105,-1.5,-111,116,120,3,-3
2/13 1:33:11 pm,Pinnacle,Los Angeles Lakers,Denver Nuggets,1.5,-108,-1.5,-108,116,120,3,-3
2/13 1:32:01 pm,Pinnacle,Los Angeles Lakers,Denver Nuggets,0.0,176,0.0,-208,116,120,3,-3
2/13 1:31:46 pm,Pinnacle,Los Angeles Lakers,Denver Nuggets,0.0,169,0.0,-200,116,120,3,-3
2/13 1:31:40 pm,Pinnacle,Los Angeles Lakers,Denver Nuggets,0.0,247,0.0,-300,116,120,3,-3
2/13 1:31:34 pm,Pinnacle,Los Angeles Lakers,Denver Nuggets,0.0,172,0.0,-203,116,120,3,-3
2/13 1:31:28 pm,Pinnacle,Los Angeles Lakers,Denver Nuggets,0.0,169,0.0,-200,116,120,3,-3
