Time,Book,Away Team,Home Team,Home Line,Home Odds,Away Line,Away Odds,Home Score,Away Score,Home Line Open,Away Line Open
2/9 12:08:14 pm,Pinnacle,Los Angeles Lakers,Golden State Warriors,8.5,137,-8.5,-161,120,125,14,-14
2/9 12:08:08 pm,Pinnacle,Los Angeles Lakers,Golden State Warriors,8.5,131,-8.5,-153,120,125,14,-14
2/9 12:07:57 pm,Pinnacle,Los Angeles Lakers,Golden State Warriors,8.5,128,-8.5,-150,120,125,14,-14
2/9 12:07:38 pm,Pinnacle,Los Angeles Lakers,Golden State Warriors,8.5,107,-8.5,-125,120,125,14,-14
2/9 11:58:29 am,Pinnacle,Los Angeles Lakers,Golden State Warriors,9.5,107,-9.5,-125,120,125,14,-14
2/9 11:58:23 am,Pinnacle,Los Angeles Lakers,Golden State Warriors,9.5,101,-9.5,-118,120,125,14,-14
2/9 11:58:17 am,Pinnacle,Los Angeles Lakers,Golden State Warriors,9.5,100,-9.5,-117,120,125,14,-14
2/9 11:58:14 am,Pinnacle,Los Angeles Lakers,Golden State Warriors,9.5,-106,-9.5,-110,120,125,14,-14
2/9 11:57:53 am,Pinnacle,Los Angeles Lakers,Golden State Warriors,9.5,-107,-9.5,-109,120,125,14,-14
2/9 11:57:38 am,Pinnacle,Los Angeles Lakers,Golden State Warriors,9.5,-110,-9.5,-106,120,125,14,-14
2/9 11:52:23 am,Pinnacle,Los Angeles Lakers,Golden State Warriors,13.0,-116,-13.0,-114,120,125,14,-14
2/9 11:52:21 am,Pinnacle,Los Angeles Lakers,Golden State Warriors,13.0,-115,-13.0,-115,120,125,14,-14
2/9 11:52:00 am,Pinnacle,Los Angeles Lakers,Golden State Warriors,13.0,-114,-13.0,-116,120,125,14,-14
2/9 11:51:57 am,Pinnacle,Los Angeles Lakers,Golden State Warriors,13.0,-106,-13.0,-110,120,125,14,-14
2/9 11:49:14 am,Pinnacle,Los Angeles Lakers,Golden State Warriors,13.5,-119,-13.5,-111,120,125,14,-14
2/9 11:49:06 am,Pinnacle,Los Angeles Lakers,Golden State Warriors,13.5,-137,-13.5,103,120,125,14,-14
2/9 11:48:57 am,Pinnacle,Los Angeles Lakers,Golden State Warriors,13.5,-118,-13.5,-112,120,125,14,-14
2/9 11:48:38 am,Pinnacle,Los Angeles Lakers,Golden State Warriors,13.5,-116,-13.5,-114,120,125,14,-14
2/9 11:48:02 am,Pinnacle,Los Angeles Lakers,Golden State Warriors,13.5,-113,-13.5,-117,120,125,14,-14
2/9 11:47:59 am,Pinnacle,Los Angeles Lakers,Golden State Warriors,14.5,-119,-14.5,-111,120,125,14,-14
2/9 11:47:51 am,Pinnacle,Los Angeles Lakers,Golden State Warriors,14.5,-117,-14.5,-113,120,125,14,-14
2/9 11:47:38 am,Pinnacle,Los Angeles Lakers,Golden State Warriors,15.5,-110,-15.5,-121,120,125,14,-14
2/9 11:47:36 am,Pinnacle,Los Angeles Lakers,Golden State Warriors,14.5,-115,-14.5,-115,120,125,14,-14
2/9 11:47:14 am,Pinnacle,Los Angeles Lakers,Golden State Warriors,16.0,-122,-16.0,-108,120,125,14,-14
2/9 11:46:53 am,Pinnacle,Los Angeles Lakers,Golden State Warriors,15.5,-117,-15.5,-113,120,125,14,-14
2/9 11:46:44 am,Pinnacle,Los Angeles Lakers,Golden State Warriors,15.5,-114,-15.5,-116,120,125,14,-14
2/9 11:46:11 am,Pinnacle,Los Angeles Lakers,Golden State Warriors,15.5,-111,-15.5,-119,120,125,14,-14
2/9 11:45:47 am,Pinnacle,Los Angeles Lakers,Golden State Warriors,15.0,-114,-15.0,-116,120,125,14,-14
2/9 11:45:38 am,Pinnacle,Los Angeles Lakers,Golden State Warriors,16.5,-112,-16.5,-119,120,125,14,-14
2/9 11:45:36 am,Pinnacle,Los Angeles Lakers,Golden State Warriors,16.5,-111,-16.5,-119,120,125,14,-14
2/9 11:45:26 am,Pinnacle,Los Angeles Lakers,Golden State Warriors,16.0,-114,-16.0,-116,120,125,14,-14
2/9 11:45:23 am,Pinnacle,Los Angeles Lakers,Golden State Warriors,16.0,-113,-16.0,-117,120,125,14,-14
2/9 11:43:48 am,Pinnacle,Los Angeles Lakers,Golden State Warriors,16.0,-125,-16.0,107,120,125,14,-14
2/9 11:43:41 am,Pinnacle,Los Angeles Lakers,Golden State Warriors,16.0,-118,-16.0,101,120,125,14,-14
2/9 11:42:56 am,Pinnacle,Los Angeles Lakers,Golden State Warriors,16.0,-117,-16.0,100,120,125,14,-14
2/9 11:42:53 am,Pinnacle,Los Angeles Lakers,Golden State Warriors,16.0,-103,-16.0,-113,120,125,14,-14
2/9 11:42:38 am,Pinnacle,Los Angeles Lakers,Golden State Warriors,16.0,-102,-16.0,-115,120,125,14,-14
2/9 11:42:23 am,Pinnacle,Los Angeles Lakers,Golden State Warriors,16.0,-101,-16.0,-116,120,125,14,-14
2/9 11:42:08 am,Pinnacle,Los Angeles Lakers,Golden State Warriors,16.0,-100,-16.0,-116,120,125,14,-14
2/9 11:42:02 am,Pinnacle,Los Angeles Lakers,Golden State Warriors,16.0,-106,-16.0,-110,120,125,14,-14
2/9 11:41:51 am,Pinnacle,Los Angeles Lakers,Golden State Warriors,16.0,-114,-16.0,-116,120,125,14,-14
2/9 11:41:44 am,Pinnacle,Los Angeles Lakers,Golden State Warriors,16.5,-112,-16.5,-118,120,125,14,-14
2/9 11:41:38 am,Pinnacle,Los Angeles Lakers,Golden State Warriors,16.5,-109,-16.5,-121,120,125,14,-14
2/9 11:41:22 am,Pinnacle,Los Angeles Lakers,Golden State Warriors,16.0,-111,-16.0,-120,120,125,14,-14
2/9 11:41:09 am,Pinnacle,Los Angeles Lakers,Golden State Warriors,17.0,-122,-17.0,-108,120,125,14,-14
