Time,Book,Away Team,Home Team,Home Line,Home Odds,Away Line,Away Odds,Home Score,Away Score,Home Line Open,Away Line Open
12/18 10:08:25 am,Pinnacle,Los Angeles Lakers,Indiana Pacers,2.5,125,-2.5,-146,105,102,2.5,-2.5
12/18 10:08:16 am,Pinnacle,Los Angeles Lakers,Indiana Pacers,2.5,120,-2.5,-140,105,102,2.5,-2.5
12/18 10:07:41 am,Pinnacle,Los Angeles Lakers,Indiana Pacers,2.5,117,-2.5,-137,105,102,2.5,-2.5
12/18 10:07:37 am,Pinnacle,Los Angeles Lakers,Indiana Pacers,2.5,110,-2.5,-128,105,102,2.5,-2.5
12/18 10:07:31 am,Pinnacle,Los Angeles Lakers,Indiana Pacers,2.5,107,-2.5,-125,105,102,2.5,-2.5
12/18 10:07:28 am,Pinnacle,Los Angeles Lakers,Indiana Pacers,2.5,101,-2.5,-118,105,102,2.5,-2.5
12/18 10:07:22 am,Pinnacle,Los Angeles Lakers,Indiana Pacers,2.5,100,-2.5,-117,105,102,2.5,-2.5
12/18 10:07:18 am,Pinnacle,Los Angeles Lakers,Indiana Pacers,2.5,-104,-2.5,-112,105,102,2.5,-2.5
12/18 10:07:13 am,Pinnacle,Los Angeles Lakers,Indiana Pacers,2.5,-105,-2.5,-111,105,102,2.5,-2.5
12/18 10:01:01 am,Pinnacle,Los Angeles Lakers,Indiana Pacers,1.0,-101,-1.0,-131,105,102,2.5,-2.5
12/18 10:00:52 am,Pinnacle,Los Angeles Lakers,Indiana Pacers,1.0,-116,-1.0,-114,105,102,2.5,-2.5
12/18 10:00:49 am,Pinnacle,Los Angeles Lakers,Indiana Pacers,-1.0,106,1.0,-141,105,102,2.5,-2.5
12/18 10:00:46 am,Pinnacle,Los Angeles Lakers,Indiana Pacers,-1.0,107,1.0,-142,105,102,2.5,-2.5
12/18 10:00:37 am,Pinnacle,Los Angeles Lakers,Indiana Pacers,-1.0,-103,1.0,-128,105,102,2.5,-2.5
12/18 10:00:34 am,Pinnacle,Los Angeles Lakers,Indiana Pacers,-1.5,-101,1.5,-131,105,102,2.5,-2.5
12/18 10:00:31 am,Pinnacle,Los Angeles Lakers,Indiana Pacers,-1.5,-109,1.5,-122,105,102,2.5,-2.5
12/18 10:00:25 am,Pinnacle,Los Angeles Lakers,Indiana Pacers,-1.5,-116,1.5,-114,105,102,2.5,-2.5
12/18 9:59:43 am,Pinnacle,Los Angeles Lakers,Indiana Pacers,-1.5,-114,1.5,-116,105,102,2.5,-2.5
12/18 9:59:34 am,Pinnacle,Los Angeles Lakers,Indiana Pacers,-1.0,-106,1.0,-125,105,102,2.5,-2.5
12/18 9:59:29 am,Pinnacle,Los Angeles Lakers,Indiana Pacers,-1.0,-102,1.0,-130,105,102,2.5,-2.5
12/18 9:59:23 am,Pinnacle,Los Angeles Lakers,Indiana Pacers,-1.5,-110,1.5,-121,105,102,2.5,-2.5
12/18 9:59:16 am,Pinnacle,Los Angeles Lakers,Indiana Pacers,-1.5,-114,1.5,-116,105,102,2.5,-2.5
12/18 9:59:13 am,Pinnacle,Los Angeles Lakers,Indiana Pacers,-1.5,-113,1.5,-117,105,102,2.5,-2.5
12/18 9:59:10 am,Pinnacle,Los Angeles Lakers,Indiana Pacers,-1.0,-103,1.0,-129,105,102,2.5,-2.5
12/18 9:59:04 am,Pinnacle,Los Angeles Lakers,Indiana Pacers,-1.0,-102,1.0,-130,105,102,2.5,-2.5
12/18 9:58:55 am,Pinnacle,Los Angeles Lakers,Indiana Pacers,-1.0,-112,1.0,-118,105,102,2.5,-2.5
12/18 9:58:43 am,Pinnacle,Los Angeles Lakers,Indiana Pacers,-1.5,-103,1.5,-128,105,102,2.5,-2.5
12/18 9:58:36 am,Pinnacle,Los Angeles Lakers,Indiana Pacers,-1.5,-114,1.5,-116,105,102,2.5,-2.5
12/18 9:58:31 am,Pinnacle,Los Angeles Lakers,Indiana Pacers,-2.5,-106,2.5,-125,105,102,2.5,-2.5
12/18 9:58:28 am,Pinnacle,Los Angeles Lakers,Indiana Pacers,-3.0,-103,3.0,-128,105,102,2.5,-2.5
12/18 9:58:10 am,Pinnacle,Los Angeles Lakers,Indiana Pacers,-3.0,-119,3.0,-111,105,102,2.5,-2.5
12/18 9:58:04 am,Pinnacle,Los Angeles Lakers,Indiana Pacers,-3.0,-117,3.0,-113,105,102,2.5,-2.5
12/18 9:57:58 am,Pinnacle,Los Angeles Lakers,Indiana Pacers,-3.5,-124,3.5,-107,105,102,2.5,-2.5
12/18 9:57:55 am,Pinnacle,Los Angeles Lakers,Indiana Pacers,-4.0,-106,4.0,-124,105,102,2.5,-2.5
12/18 9:57:43 am,Pinnacle,Los Angeles Lakers,Indiana Pacers,-4.0,103,4.0,-120,105,102,2.5,-2.5
12/18 9:57:34 am,Pinnacle,Los Angeles Lakers,Indiana Pacers,-4.0,102,4.0,-119,105,102,2.5,-2.5
12/18 9:57:28 am,Pinnacle,Los Angeles Lakers,Indiana Pacers,-4.0,-109,4.0,-107,105,102,2.5,-2.5
12/18 9:57:10 am,Pinnacle,Los Angeles Lakers,Indiana Pacers,-4.0,-112,4.0,-104,105,102,2.5,-2.5
12/18 9:57:07 am,Pinnacle,Los Angeles Lakers,Indiana Pacers,-4.0,-111,4.0,-105,105,102,2.5,-2.5
12/18 9:57:01 am,Pinnacle,Los Angeles Lakers,Indiana Pacers,-4.0,-113,4.0,-104,105,102,2.5,-2.5
12/18 9:56:25 am,Pinnacle,Los Angeles Lakers,Indiana Pacers,-4.0,-111,4.0,-105,105,102,2.5,-2.5
12/18 9:56:19 am,Pinnacle,Los Angeles Lakers,Indiana Pacers,-4.0,-113,4.0,-104,105,102,2.5,-2.5
12/18 9:56:01 am,Pinnacle,Los Angeles Lakers,Indiana Pacers,-4.0,-113,4.0,-103,105,102,2.5,-2.5
12/18 9:54:52 am,Pinnacle,Los Angeles Lakers,Indiana Pacers,-4.0,-108,4.0,-123,105,102,2.5,-2.5
12/18 9:54:43 am,Pinnacle,Los Angeles Lakers,Indiana Pacers,-2.0,-138,2.0,104,105,102,2.5,-2.5
12/18 9:54:37 am,Pinnacle,Los Angeles Lakers,Indiana Pacers,-2.0,-125,2.0,-106,105,102,2.5,-2.5
12/18 9:54:34 am,Pinnacle,Los Angeles Lakers,Indiana Pacers,-2.5,-106,2.5,-124,105,102,2.5,-2.5
12/18 9:54:22 am,Pinnacle,Los Angeles Lakers,Indiana Pacers,-3.0,-114,3.0,-116,105,102,2.5,-2.5
12/18 9:54:19 am,Pinnacle,Los Angeles Lakers,Indiana Pacers,-2.0,-134,2.0,101,105,102,2.5,-2.5
12/18 9:54:13 am,Pinnacle,Los Angeles Lakers,Indiana Pacers,-2.0,-136,2.0,102,105,102,2.5,-2.5
12/18 9:54:07 am,Pinnacle,Los Angeles Lakers,Indiana Pacers,-2.0,-123,2.0,-108,105,102,2.5,-2.5
12/18 9:54:01 am,Pinnacle,Los Angeles Lakers,Indiana Pacers,-1.5,-112,1.5,-118,105,102,2.5,-2.5
12/18 9:53:52 am,Pinnacle,Los Angeles Lakers,Indiana Pacers,-2.5,-114,2.5,-116,105,102,2.5,-2.5
12/18 9:53:46 am,Pinnacle,Los Angeles Lakers,Indiana Pacers,-3.0,-103,3.0,-129,105,102,2.5,-2.5
12/18 9:53:37 am,Pinnacle,Los Angeles Lakers,Indiana Pacers,-3.0,-103,3.0,-128,105,102,2.5,-2.5
12/18 9:53:34 am,Pinnacle,Los Angeles Lakers,Indiana Pacers,-3.0,-114,3.0,-116,105,102,2.5,-2.5
12/18 9:53:18 am,Pinnacle,Los Angeles Lakers,Indiana Pacers,-3.5,-121,3.5,-109,105,102,2.5,-2.5
12/18 9:53:13 am,Pinnacle,Los Angeles Lakers,Indiana Pacers,-3.0,-112,3.0,-118,105,102,2.5,-2.5
12/18 9:53:07 am,Pinnacle,Los Angeles Lakers,Indiana Pacers,-2.0,-121,2.0,-109,105,102,2.5,-2.5
12/18 9:53:04 am,Pinnacle,Los Angeles Lakers,Indiana Pacers,-3.0,-121,3.0,-109,105,102,2.5,-2.5
12/18 9:53:01 am,Pinnacle,Los Angeles Lakers,Indiana Pacers,-3.5,104,3.5,-138,105,102,2.5,-2.5
12/18 9:52:52 am,Pinnacle,Los Angeles Lakers,Indiana Pacers,-3.5,-103,3.5,-128,105,102,2.5,-2.5
12/18 9:52:46 am,Pinnacle,Los Angeles Lakers,Indiana Pacers,-3.5,-124,3.5,-107,105,102,2.5,-2.5
12/18 9:52:34 am,Pinnacle,Los Angeles Lakers,Indiana Pacers,-4.5,-114,4.5,-116,105,102,2.5,-2.5
