Time,Book,Away Team,Home Team,Home Line,Home Odds,Away Line,Away Odds,Home Score,Away Score,Home Line Open,Away Line Open
3/9 6:08:28 am,RedZone,Los Angeles Lakers,Los Angeles Clippers,7.5,-129,-7.5,104,103,112,-2.5,2.5
3/9 6:08:08 am,RedZone,Los Angeles Lakers,Los Angeles Clippers,6.5,-121,-6.5,-103,103,112,-2.5,2.5
3/9 6:06:12 am,RedZone,Los Angeles Lakers,Los Angeles Clippers,6.5,-106,-6.5,-117,103,112,-2.5,2.5
3/9 6:05:59 am,RedZone,Los Angeles Lakers,Los Angeles Clippers,7.5,-125,-7.5,101,103,112,-2.5,2.5
3/9 6:05:28 am,RedZone,Los Angeles Lakers,Los Angeles Clippers,7.5,104,-7.5,-129,103,112,-2.5,2.5
3/9 6:05:13 am,RedZone,Los Angeles Lakers,Los Angeles Clippers,7.5,-108,-7.5,-115,103,112,-2.5,2.5
3/9 6:04:57 am,RedZone,Los Angeles Lakers,Los Angeles Clippers,7.5,-112,-7.5,-112,103,112,-2.5,2.5
3/9 6:04:39 am,RedZone,Los Angeles Lakers,Los Angeles Clippers,6.5,104,-6.5,-129,103,112,-2.5,2.5
3/9 6:04:24 am,RedZone,Los Angeles Lakers,Los Angeles Clippers,7.5,104,-7.5,-129,103,112,-2.5,2.5
3/9 6:04:11 am,RedZone,Los Angeles Lakers,Los Angeles Clippers,7.5,107,-7.5,-134,103,112,-2.5,2.5
3/9 6:03:57 am,RedZone,Los Angeles Lakers,Los Angeles Clippers,8.5,-108,-8.5,-115,103,112,-2.5,2.5
3/9 6:03:34 am,RedZone,Los Angeles Lakers,Los Angeles Clippers,7.5,104,-7.5,-129,103,112,-2.5,2.5
3/9 6:03:23 am,RedZone,Los Angeles Lakers,Los Angeles Clippers,7.5,-134,-7.5,107,103,112,-2.5,2.5
3/9 6:03:13 am,RedZone,Los Angeles Lakers,Los Angeles Clippers,6.5,107,-6.5,-134,103,112,-2.5,2.5
3/9 6:02:47 am,RedZone,Los Angeles Lakers,Los Angeles Clippers,6.5,-115,-6.5,-108,103,112,-2.5,2.5
3/9 6:02:22 am,RedZone,Los Angeles Lakers,Los Angeles Clippers,6.5,104,-6.5,-129,103,112,-2.5,2.5
3/9 6:02:14 am,RedZone,Los Angeles Lakers,Los Angeles Clippers,6.5,-106,-6.5,-117,103,112,-2.5,2.5
3/9 6:02:02 am,RedZone,Los Angeles Lakers,Los Angeles Clippers,7.5,-115,-7.5,-108,103,112,-2.5,2.5
3/9 5:59:31 am,RedZone,Los Angeles Lakers,Los Angeles Clippers,7.5,-106,-7.5,-117,103,112,-2.5,2.5
3/9 5:59:16 am,RedZone,Los Angeles Lakers,Los Angeles Clippers,8.5,-112,-8.5,-112,103,112,-2.5,2.5
3/9 5:59:08 am,RedZone,Los Angeles Lakers,Los Angeles Clippers,8.5,-108,-8.5,-115,103,112,-2.5,2.5
3/9 5:58:53 am,RedZone,Los Angeles Lakers,Los Angeles Clippers,5.5,104,-5.5,-129,103,112,-2.5,2.5
3/9 5:58:40 am,Pinnacle,Los Angeles Lakers,Los Angeles Clippers,5.5,111,-5.5,-129,103,112,-2.5,2.5
3/9 5:58:15 am,Pinnacle,Los Angeles Lakers,Los Angeles Clippers,5.5,111,-5.5,-130,103,112,-2.5,2.5
3/9 5:57:54 am,Pinnacle,Los Angeles Lakers,Los Angeles Clippers,5.5,112,-5.5,-131,103,112,-2.5,2.5
3/9 5:57:48 am,Pinnacle,Los Angeles Lakers,Los Angeles Clippers,5.5,109,-5.5,-127,103,112,-2.5,2.5
3/9 5:57:45 am,Pinnacle,Los Angeles Lakers,Los Angeles Clippers,5.5,104,-5.5,-121,103,112,-2.5,2.5
3/9 5:57:39 am,Pinnacle,Los Angeles Lakers,Los Angeles Clippers,5.5,100,-5.5,-117,103,112,-2.5,2.5
3/9 5:57:05 am,RedZone,Los Angeles Lakers,Los Angeles Clippers,5.5,101,-5.5,-125,103,112,-2.5,2.5
3/9 5:56:45 am,RedZone,Los Angeles Lakers,Los Angeles Clippers,6.5,-103,-6.5,-121,103,112,-2.5,2.5
