Time,Book,Away Team,Home Team,Home Line,Home Odds,Away Line,Away Odds,Home Score,Away Score,Home Line Open,Away Line Open
3/1 11:14:58 am,RedZone,Los Angeles Lakers,Memphis Grizzlies,-20.5,128,20.5,-162,105,88,11.5,-11.5
3/1 11:14:56 am,RedZone,Los Angeles Lakers,Memphis Grizzlies,-20.5,137,20.5,-174,105,88,11.5,-11.5
3/1 11:14:39 am,RedZone,Los Angeles Lakers,Memphis Grizzlies,-19.5,-121,19.5,-103,105,88,11.5,-11.5
3/1 11:14:19 am,RedZone,Los Angeles Lakers,Memphis Grizzlies,-20.5,126,20.5,-159,105,88,11.5,-11.5
3/1 11:14:04 am,RedZone,Los Angeles Lakers,Memphis Grizzlies,-18.5,-115,18.5,-108,105,88,11.5,-11.5
3/1 11:14:02 am,RedZone,Los Angeles Lakers,Memphis Grizzlies,-18.5,-125,18.5,101,105,88,11.5,-11.5
3/1 11:12:27 am,RedZone,Los Angeles Lakers,Memphis Grizzlies,-19.5,-115,19.5,-108,105,88,11.5,-11.5
3/1 11:12:14 am,RedZone,Los Angeles Lakers,Memphis Grizzlies,-19.5,104,19.5,-129,105,88,11.5,-11.5
3/1 11:12:02 am,RedZone,Los Angeles Lakers,Memphis Grizzlies,-18.5,-117,18.5,-106,105,88,11.5,-11.5
3/1 11:11:48 am,RedZone,Los Angeles Lakers,Memphis Grizzlies,-17.5,-121,17.5,-103,105,88,11.5,-11.5
3/1 11:10:53 am,RedZone,Los Angeles Lakers,Memphis Grizzlies,-14.5,-102,14.5,-122,105,88,11.5,-11.5
3/1 11:10:31 am,Pinnacle,Los Angeles Lakers,Memphis Grizzlies,-16.5,107,16.5,-125,105,88,11.5,-11.5
3/1 11:10:28 am,Pinnacle,Los Angeles Lakers,Memphis Grizzlies,-16.5,-105,16.5,-111,105,88,11.5,-11.5
3/1 11:10:25 am,Pinnacle,Los Angeles Lakers,Memphis Grizzlies,-16.5,-106,16.5,-110,105,88,11.5,-11.5
3/1 11:10:22 am,Pinnacle,Los Angeles Lakers,Memphis Grizzlies,-16.5,-107,16.5,-109,105,88,11.5,-11.5
3/1 11:10:13 am,Pinnacle,Los Angeles Lakers,Memphis Grizzlies,-16.5,-108,16.5,-108,105,88,11.5,-11.5
3/1 11:09:06 am,RedZone,Los Angeles Lakers,Memphis Grizzlies,-15.5,101,15.5,-126,105,88,11.5,-11.5
3/1 11:08:58 am,RedZone,Los Angeles Lakers,Memphis Grizzlies,-14.5,107,14.5,-135,105,88,11.5,-11.5
3/1 11:08:15 am,RedZone,Los Angeles Lakers,Memphis Grizzlies,-12.5,-105,12.5,-118,105,88,11.5,-11.5
3/1 11:07:45 am,RedZone,Los Angeles Lakers,Memphis Grizzlies,-12.5,104,12.5,-130,105,88,11.5,-11.5
3/1 11:07:31 am,RedZone,Los Angeles Lakers,Memphis Grizzlies,-11.5,-118,11.5,-105,105,88,11.5,-11.5
3/1 11:07:16 am,RedZone,Los Angeles Lakers,Memphis Grizzlies,-10.5,-115,10.5,-108,105,88,11.5,-11.5
3/1 11:06:38 am,RedZone,Los Angeles Lakers,Memphis Grizzlies,-12.5,101,12.5,-126,105,88,11.5,-11.5
3/1 11:06:33 am,RedZone,Los Angeles Lakers,Memphis Grizzlies,-11.5,101,11.5,-126,105,88,11.5,-11.5
3/1 11:06:20 am,RedZone,Los Angeles Lakers,Memphis Grizzlies,-11.5,104,11.5,-130,105,88,11.5,-11.5
