Time,Book,Away Team,Home Team,Home Line,Home Odds,Away Line,Away Odds,Home Score,Away Score,Home Line Open,Away Line Open
1/23 10:46:43 am,Pinnacle,Los Angeles Lakers,New York Knicks,6.5,-101,-6.5,-116,102,95,11.5,-11.5
1/23 10:38:49 am,Pinnacle,Los Angeles Lakers,New York Knicks,9.5,120,-9.5,-140,102,95,11.5,-11.5
1/23 10:38:40 am,Pinnacle,Los Angeles Lakers,New York Knicks,9.5,115,-9.5,-134,102,95,11.5,-11.5
1/23 10:38:34 am,Pinnacle,Los Angeles Lakers,New York Knicks,9.5,111,-9.5,-130,102,95,11.5,-11.5
1/23 10:38:31 am,Pinnacle,Los Angeles Lakers,New York Knicks,9.5,107,-9.5,-125,102,95,11.5,-11.5
1/23 10:38:30 am,Pinnacle,Los Angeles Lakers,New York Knicks,9.5,103,-9.5,-120,102,95,11.5,-11.5
1/23 10:38:24 am,Pinnacle,Los Angeles Lakers,New York Knicks,9.5,100,-9.5,-117,102,95,11.5,-11.5
1/23 10:38:10 am,Pinnacle,Los Angeles Lakers,New York Knicks,9.5,-106,-9.5,-110,102,95,11.5,-11.5
1/23 10:35:16 am,Pinnacle,Los Angeles Lakers,New York Knicks,11.5,-111,-11.5,-119,102,95,11.5,-11.5
1/23 10:35:13 am,Pinnacle,Los Angeles Lakers,New York Knicks,11.5,-103,-11.5,-113,102,95,11.5,-11.5
1/23 10:33:46 am,Pinnacle,Los Angeles Lakers,New York Knicks,11.5,-111,-11.5,-106,102,95,11.5,-11.5
1/23 10:33:09 am,Pinnacle,Los Angeles Lakers,New York Knicks,11.5,-112,-11.5,-105,102,95,11.5,-11.5
1/23 10:32:40 am,Pinnacle,Los Angeles Lakers,New York Knicks,11.5,-117,-11.5,-100,102,95,11.5,-11.5
1/23 10:32:13 am,Pinnacle,Los Angeles Lakers,New York Knicks,11.5,-103,-11.5,-113,102,95,11.5,-11.5
1/23 10:32:03 am,Pinnacle,Los Angeles Lakers,New York Knicks,11.5,-111,-11.5,-120,102,95,11.5,-11.5
1/23 10:31:46 am,Pinnacle,Los Angeles Lakers,New York Knicks,10.5,-110,-10.5,-120,102,95,11.5,-11.5
1/23 10:31:40 am,Pinnacle,Los Angeles Lakers,New York Knicks,11.5,-108,-11.5,-123,102,95,11.5,-11.5
1/23 10:31:31 am,Pinnacle,Los Angeles Lakers,New York Knicks,10.5,-108,-10.5,-122,102,95,11.5,-11.5
1/23 10:31:09 am,Pinnacle,Los Angeles Lakers,New York Knicks,12.0,-121,-12.0,-110,102,95,11.5,-11.5
1/23 10:30:53 am,Pinnacle,Los Angeles Lakers,New York Knicks,13.5,-122,-13.5,-109,102,95,11.5,-11.5
1/23 10:30:46 am,Pinnacle,Los Angeles Lakers,New York Knicks,12.0,-118,-12.0,-112,102,95,11.5,-11.5
1/23 10:30:25 am,Pinnacle,Los Angeles Lakers,New York Knicks,12.0,-115,-12.0,-115,102,95,11.5,-11.5
1/23 10:30:10 am,Pinnacle,Los Angeles Lakers,New York Knicks,11.0,-114,-11.0,-116,102,95,11.5,-11.5
1/23 10:29:52 am,Pinnacle,Los Angeles Lakers,New York Knicks,11.5,-120,-11.5,-110,102,95,11.5,-11.5
1/23 10:29:49 am,Pinnacle,Los Angeles Lakers,New York Knicks,11.0,-120,-11.0,-110,102,95,11.5,-11.5
1/23 10:29:31 am,Pinnacle,Los Angeles Lakers,New York Knicks,11.0,-114,-11.0,-116,102,95,11.5,-11.5
1/23 10:29:25 am,Pinnacle,Los Angeles Lakers,New York Knicks,11.0,-113,-11.0,-117,102,95,11.5,-11.5
1/23 10:29:07 am,Pinnacle,Los Angeles Lakers,New York Knicks,12.0,-112,-12.0,-118,102,95,11.5,-11.5
1/23 10:28:51 am,Pinnacle,Los Angeles Lakers,New York Knicks,12.0,-112,-12.0,-119,102,95,11.5,-11.5
1/23 10:28:49 am,Pinnacle,Los Angeles Lakers,New York Knicks,11.0,-112,-11.0,-118,102,95,11.5,-11.5
1/23 10:28:46 am,Pinnacle,Los Angeles Lakers,New York Knicks,11.0,-112,-11.0,-119,102,95,11.5,-11.5
1/23 10:28:19 am,Pinnacle,Los Angeles Lakers,New York Knicks,11.5,-117,-11.5,-113,102,95,11.5,-11.5
1/23 10:27:56 am,Pinnacle,Los Angeles Lakers,New York Knicks,12.0,-117,-12.0,-113,102,95,11.5,-11.5
1/23 10:27:37 am,Pinnacle,Los Angeles Lakers,New York Knicks,13.0,-115,-13.0,-115,102,95,11.5,-11.5
1/23 10:27:22 am,Pinnacle,Los Angeles Lakers,New York Knicks,13.0,-114,-13.0,-116,102,95,11.5,-11.5
1/23 10:27:07 am,Pinnacle,Los Angeles Lakers,New York Knicks,13.5,-111,-13.5,-119,102,95,11.5,-11.5
1/23 10:27:04 am,Pinnacle,Los Angeles Lakers,New York Knicks,13.5,-104,-13.5,-112,102,95,11.5,-11.5
1/23 10:26:46 am,Pinnacle,Los Angeles Lakers,New York Knicks,13.5,-113,-13.5,-103,102,95,11.5,-11.5
1/23 10:25:55 am,Pinnacle,Los Angeles Lakers,New York Knicks,13.5,-112,-13.5,-104,102,95,11.5,-11.5
1/23 10:25:49 am,Pinnacle,Los Angeles Lakers,New York Knicks,13.5,-110,-13.5,-106,102,95,11.5,-11.5
1/23 10:25:13 am,Pinnacle,Los Angeles Lakers,New York Knicks,13.5,-116,-13.5,-101,102,95,11.5,-11.5
1/23 10:25:10 am,Pinnacle,Los Angeles Lakers,New York Knicks,13.5,-113,-13.5,-103,102,95,11.5,-11.5
1/23 10:24:26 am,Pinnacle,Los Angeles Lakers,New York Knicks,13.5,-104,-13.5,-112,102,95,11.5,-11.5
1/23 10:24:04 am,Pinnacle,Los Angeles Lakers,New York Knicks,13.5,-111,-13.5,-119,102,95,11.5,-11.5
1/23 10:24:02 am,Pinnacle,Los Angeles Lakers,New York Knicks,13.0,-112,-13.0,-118,102,95,11.5,-11.5
1/23 10:23:40 am,Pinnacle,Los Angeles Lakers,New York Knicks,12.0,-111,-12.0,-120,102,95,11.5,-11.5
1/23 10:23:34 am,Pinnacle,Los Angeles Lakers,New York Knicks,11.0,-120,-11.0,-111,102,95,11.5,-11.5
1/23 10:23:29 am,Pinnacle,Los Angeles Lakers,New York Knicks,10.0,-118,-10.0,-112,102,95,11.5,-11.5
1/23 10:23:13 am,Pinnacle,Los Angeles Lakers,New York Knicks,10.0,-119,-10.0,-111,102,95,11.5,-11.5
1/23 10:23:10 am,Pinnacle,Los Angeles Lakers,New York Knicks,9.5,-119,-9.5,-111,102,95,11.5,-11.5
1/23 10:23:04 am,Pinnacle,Los Angeles Lakers,New York Knicks,9.5,-118,-9.5,-112,102,95,11.5,-11.5
1/23 10:22:43 am,Pinnacle,Los Angeles Lakers,New York Knicks,8.0,-120,-8.0,-111,102,95,11.5,-11.5
1/23 10:22:37 am,Pinnacle,Los Angeles Lakers,New York Knicks,8.5,-118,-8.5,-112,102,95,11.5,-11.5
1/23 10:22:34 am,Pinnacle,Los Angeles Lakers,New York Knicks,8.5,-119,-8.5,-111,102,95,11.5,-11.5
1/23 10:22:09 am,Pinnacle,Los Angeles Lakers,New York Knicks,8.5,-118,-8.5,-112,102,95,11.5,-11.5
1/23 10:22:00 am,Pinnacle,Los Angeles Lakers,New York Knicks,9.5,-117,-9.5,-113,102,95,11.5,-11.5
1/23 10:21:37 am,Pinnacle,Los Angeles Lakers,New York Knicks,9.5,-117,-9.5,-113,102,95,11.5,-11.5
1/23 10:21:31 am,Pinnacle,Los Angeles Lakers,New York Knicks,9.5,-108,-9.5,-108,102,95,11.5,-11.5
1/23 10:19:43 am,Pinnacle,Los Angeles Lakers,New York Knicks,9.0,-100,-9.0,-117,102,95,11.5,-11.5
1/23 10:19:25 am,Pinnacle,Los Angeles Lakers,New York Knicks,9.0,-101,-9.0,-116,102,95,11.5,-11.5
1/23 10:19:21 am,Pinnacle,Los Angeles Lakers,New York Knicks,9.0,-101,-9.0,-115,102,95,11.5,-11.5
1/23 10:18:52 am,Pinnacle,Los Angeles Lakers,New York Knicks,9.5,-108,-9.5,-108,102,95,11.5,-11.5
1/23 10:18:46 am,Pinnacle,Los Angeles Lakers,New York Knicks,9.5,-109,-9.5,-107,102,95,11.5,-11.5
1/23 10:18:31 am,Pinnacle,Los Angeles Lakers,New York Knicks,9.5,-116,-9.5,-114,102,95,11.5,-11.5
1/23 10:18:29 am,Pinnacle,Los Angeles Lakers,New York Knicks,11.5,-120,-11.5,-110,102,95,11.5,-11.5
1/23 10:18:16 am,Pinnacle,Los Angeles Lakers,New York Knicks,11.5,-121,-11.5,-110,102,95,11.5,-11.5
1/23 10:18:10 am,Pinnacle,Los Angeles Lakers,New York Knicks,11.5,-120,-11.5,-110,102,95,11.5,-11.5
1/23 10:18:07 am,Pinnacle,Los Angeles Lakers,New York Knicks,11.5,-119,-11.5,-111,102,95,11.5,-11.5
1/23 10:18:02 am,Pinnacle,Los Angeles Lakers,New York Knicks,11.5,-118,-11.5,-112,102,95,11.5,-11.5
1/23 10:17:46 am,Pinnacle,Los Angeles Lakers,New York Knicks,12.5,-117,-12.5,-113,102,95,11.5,-11.5
1/23 10:17:44 am,Pinnacle,Los Angeles Lakers,New York Knicks,11.5,-117,-11.5,-113,102,95,11.5,-11.5
1/23 10:17:16 am,Pinnacle,Los Angeles Lakers,New York Knicks,11.5,-116,-11.5,-114,102,95,11.5,-11.5
1/23 10:17:10 am,Pinnacle,Los Angeles Lakers,New York Knicks,11.5,-115,-11.5,-115,102,95,11.5,-11.5
1/23 10:17:01 am,Pinnacle,Los Angeles Lakers,New York Knicks,11.5,-115,-11.5,-115,102,95,11.5,-11.5
1/23 10:16:58 am,Pinnacle,Los Angeles Lakers,New York Knicks,12.5,-114,-12.5,-116,102,95,11.5,-11.5
1/23 10:16:40 am,Pinnacle,Los Angeles Lakers,New York Knicks,12.5,-122,-12.5,-109,102,95,11.5,-11.5
1/23 10:16:35 am,Pinnacle,Los Angeles Lakers,New York Knicks,12.0,-117,-12.0,-113,102,95,11.5,-11.5
1/23 10:16:16 am,Pinnacle,Los Angeles Lakers,New York Knicks,12.0,-121,-12.0,-109,102,95,11.5,-11.5
1/23 10:16:04 am,Pinnacle,Los Angeles Lakers,New York Knicks,10.5,-109,-10.5,-121,102,95,11.5,-11.5
1/23 10:15:46 am,Pinnacle,Los Angeles Lakers,New York Knicks,12.0,-120,-12.0,-110,102,95,11.5,-11.5
1/23 10:15:13 am,Pinnacle,Los Angeles Lakers,New York Knicks,12.5,-120,-12.5,-110,102,95,11.5,-11.5
1/23 10:15:07 am,Pinnacle,Los Angeles Lakers,New York Knicks,12.0,-119,-12.0,-111,102,95,11.5,-11.5
1/23 10:14:43 am,Pinnacle,Los Angeles Lakers,New York Knicks,11.5,-114,-11.5,-116,102,95,11.5,-11.5
1/23 10:14:40 am,Pinnacle,Los Angeles Lakers,New York Knicks,11.5,-114,-11.5,-116,102,95,11.5,-11.5
1/23 10:14:36 am,Pinnacle,Los Angeles Lakers,New York Knicks,11.0,-114,-11.0,-116,102,95,11.5,-11.5
1/23 10:14:19 am,Pinnacle,Los Angeles Lakers,New York Knicks,10.0,-113,-10.0,-117,102,95,11.5,-11.5
1/23 10:14:05 am,Pinnacle,Los Angeles Lakers,New York Knicks,9.0,-119,-9.0,-111,102,95,11.5,-11.5
1/23 10:13:52 am,Pinnacle,Los Angeles Lakers,New York Knicks,9.0,-118,-9.0,-112,102,95,11.5,-11.5
1/23 10:13:50 am,Pinnacle,Los Angeles Lakers,New York Knicks,9.5,-112,-9.5,-118,102,95,11.5,-11.5
1/23 10:13:19 am,Pinnacle,Los Angeles Lakers,New York Knicks,9.5,-111,-9.5,-119,102,95,11.5,-11.5
1/23 10:13:10 am,Pinnacle,Los Angeles Lakers,New York Knicks,10.0,-111,-10.0,-119,102,95,11.5,-11.5
1/23 10:12:48 am,Pinnacle,Los Angeles Lakers,New York Knicks,11.5,-120,-11.5,-110,102,95,11.5,-11.5
1/23 10:12:37 am,Pinnacle,Los Angeles Lakers,New York Knicks,10.5,-120,-10.5,-110,102,95,11.5,-11.5
1/23 10:12:33 am,Pinnacle,Los Angeles Lakers,New York Knicks,10.5,-112,-10.5,-104,102,95,11.5,-11.5
1/23 10:11:25 am,Pinnacle,Los Angeles Lakers,New York Knicks,10.0,-107,-10.0,-109,102,95,11.5,-11.5
1/23 10:10:58 am,Pinnacle,Los Angeles Lakers,New York Knicks,10.0,-104,-10.0,-112,102,95,11.5,-11.5
1/23 10:09:40 am,Pinnacle,Los Angeles Lakers,New York Knicks,10.5,-112,-10.5,-104,102,95,11.5,-11.5
1/23 10:08:55 am,Pinnacle,Los Angeles Lakers,New York Knicks,10.5,-119,-10.5,-112,102,95,11.5,-11.5
1/23 10:08:52 am,Pinnacle,Los Angeles Lakers,New York Knicks,10.0,-118,-10.0,-112,102,95,11.5,-11.5
1/23 10:08:37 am,Pinnacle,Los Angeles Lakers,New York Knicks,10.0,-117,-10.0,-113,102,95,11.5,-11.5
1/23 10:08:29 am,Pinnacle,Los Angeles Lakers,New York Knicks,10.5,-117,-10.5,-114,102,95,11.5,-11.5
1/23 10:08:25 am,Pinnacle,Los Angeles Lakers,New York Knicks,10.5,-116,-10.5,-114,102,95,11.5,-11.5
1/23 10:08:19 am,Pinnacle,Los Angeles Lakers,New York Knicks,11.5,-114,-11.5,-116,102,95,11.5,-11.5
1/23 10:08:01 am,Pinnacle,Los Angeles Lakers,New York Knicks,10.5,-114,-10.5,-116,102,95,11.5,-11.5
1/23 10:07:46 am,Pinnacle,Los Angeles Lakers,New York Knicks,10.5,-113,-10.5,-117,102,95,11.5,-11.5
1/23 10:07:43 am,Pinnacle,Los Angeles Lakers,New York Knicks,11.5,-113,-11.5,-118,102,95,11.5,-11.5
1/23 10:07:38 am,Pinnacle,Los Angeles Lakers,New York Knicks,11.5,-112,-11.5,-118,102,95,11.5,-11.5
1/23 10:07:08 am,Pinnacle,Los Angeles Lakers,New York Knicks,10.5,-111,-10.5,-120,102,95,11.5,-11.5
1/23 10:06:58 am,Pinnacle,Los Angeles Lakers,New York Knicks,10.5,-121,-10.5,-110,102,95,11.5,-11.5
1/23 10:06:49 am,Pinnacle,Los Angeles Lakers,New York Knicks,10.5,-121,-10.5,-110,102,95,11.5,-11.5
1/23 10:07:28 am,Pinnacle,Los Angeles Lakers,New York Knicks,10.5,-112,-10.5,-118,102,95,11.5,-11.5
1/23 10:06:34 am,Pinnacle,Los Angeles Lakers,New York Knicks,9.5,-120,-9.5,-110,102,95,11.5,-11.5
1/23 10:06:19 am,Pinnacle,Los Angeles Lakers,New York Knicks,9.5,-120,-9.5,-110,102,95,11.5,-11.5
1/23 10:05:55 am,Pinnacle,Los Angeles Lakers,New York Knicks,9.5,-120,-9.5,-110,102,95,11.5,-11.5
1/23 10:05:46 am,Pinnacle,Los Angeles Lakers,New York Knicks,9.5,-119,-9.5,-111,102,95,11.5,-11.5
1/23 10:05:37 am,Pinnacle,Los Angeles Lakers,New York Knicks,10.5,-119,-10.5,-112,102,95,11.5,-11.5
1/23 10:05:14 am,Pinnacle,Los Angeles Lakers,New York Knicks,9.5,-119,-9.5,-111,102,95,11.5,-11.5
1/23 10:05:10 am,Pinnacle,Los Angeles Lakers,New York Knicks,9.0,-114,-9.0,-116,102,95,11.5,-11.5
1/23 10:04:49 am,Pinnacle,Los Angeles Lakers,New York Knicks,9.0,-118,-9.0,-112,102,95,11.5,-11.5
1/23 10:04:34 am,Pinnacle,Los Angeles Lakers,New York Knicks,9.0,-117,-9.0,-113,102,95,11.5,-11.5
1/23 10:04:31 am,Pinnacle,Los Angeles Lakers,New York Knicks,9.5,-118,-9.5,-112,102,95,11.5,-11.5
1/23 10:04:04 am,Pinnacle,Los Angeles Lakers,New York Knicks,9.5,-112,-9.5,-118,102,95,11.5,-11.5
1/23 10:03:07 am,Pinnacle,Los Angeles Lakers,New York Knicks,11.0,-117,-11.0,-113,102,95,11.5,-11.5
